Лесвічны пралёт|марш
Лётчык-касманаўт Вугоршчыны, Герай Вугоршчыны (1980), Герай Савецкага Звяза (1980), падпалкоўнік. Першы грамадзянін Вугоршчыны, які здзейсніў палёт у космас|Фаркаш
Лётчык-касманаўт Рэспублікі Афганістан, капітан, Герай Савецкага Звяза (1988), Герай Рэспублікі Афганістан (1988). Першы гражд. Афганістана, які здзейсніў палёт у космас|Моманд
Лётчык-касманаўт СССР (1969), палкоўнік, кандыдат тэхнічных навук (1971), Герай Савецкага Звяза (1969)|Хрунов
Лётчык-касманаўт СССР, двойчы Герай Савецкага Звяза (1979, 1980)|Румін
Лётчык-касманаўт СССР; сав. пісьменнік; сав. акцёр|Лявонаў
Лётчык-касманаўт СССР; сав. самбіст|Аксёнаў
Лётчык-касманаўт СССР|Аксёнаў
Лётчык-касманаўт СССР|Бяляеў
Лётчык-касманаўт СССР|Зудов
Лётчык-касманаўт СССР|Лявонаў
Лётчык-касманаўт Сірыйскай Арабскай Рэспублікі, Герай Савецкага Звяза (1987), падпалкоўнік. Чалец Партыі арабскага сацыялістычнага адраджэння (з 1973). Першы грамадзянін Сірыі, які здзейсніў палёт у космас|Фарис
Лётчык-касманаўт, доктар медыцынскіх навук|Ягораў
Лётчык. Заслужаны лётчык-выпрабавальнік СССР (1972), Герай Савецкага Звяза (1966)|Курлин
Лётчык; верш. А. Блока|авіятар
Лётчык|авіятар
Лётчык|пілот
Лечебн. і профил. поцедура метадам механическ. уздзеянні|масаж
Лячэбная ці гігіенічная працэдура|душ
Лячэбная мінеральная вада?|баржомі
Лячэбная мінеральная вада?|нарзан
Лячэбнае месца?|курорт
Лячэбнае сілкаванне|дыета
Лячэбны сродак; сумесь эфірных маслаў, смол і іншых раслінных рэчываў?|бальзам
Лячэбная ўстанова для прыходных хворых|амбулаторыя
Лячэбная ўстанова, якое лечыць “на ходу”|амбулаторыя
Лячэбная ўстанова?|амбулаторыя
Лячэбная ўстанова?|паліклініка
Лячэбнае пустазелле|мята
Лячэбны укольщик|шпрыц
Лячэбны, атрутны ці які прыварожвае напой, сумесь|зелле
Лячэнне хворага сыроваткай яго собств. крыві|аутосеротерапия
Лячэнне вінаградам ці виногр. сокам|ампелатэрапія
Лячэнне і гартаванне паветрам|аэратэрапія
Лячэнне іянізаваным паветрам|аэраіёнатэрапія
Лячэнне пчаліным ядам|апитерапия
Лечыць вуха, горла, нос|лор
Ілгун, хлус|ашуканец
Хлуслівы палітык?|дэмагог
Ліяна са смачнымі і гаючымі ягадамі|лімоннік
Ліяна дрэвы і хмызнякі|лімоннік
Ліяна для альтанак і гаўбцоў|актынідыя
Лиановидное расліна з духмянымі ягадамі|актынідыя
Ліст з кардона ці шчыльнай паперы з рамкай для налепкі фатаграфіі, малюнка|паспарту
Ліст, укладзены ў кнігу|укладыш
Ліст, кніга, куды ўносяцца звесткі пра стан і эксплуатацыі механізму, збудаванні|фармуляр
Ліставы будаўнічы матэрыял з загартаванага шкла|стемалит
Лісток у кіроўцаў транспарта з указаннем маршруту і выкананага задання|пуцёўка
Лісток паперы з запісам, кароткі ліст|цыдулка
Лісточкі паміж лісточкамі|гербарый
Лірычная муз. п'еса імправізацыйнага склада, пераважна для фартэпіяна|экспромт
Ліхаманкавая, сутаргавая дзейнасць (перен.)|істэрыя
Ліяна з самым вялікім у свеце плёнам|энтада
Ліяна сем. виноградовых|ампелопсис
Лианное расліна, павойнае па апорах|плюшч
Лиановидная трапічная “мэблевая” пальма|ротанг
Ліянавая расліна, павойнае па апорах|плюшч
Ліберыйская рака|мано
Ліван, сталіца, порт на Міжземным м. (горад у Азіі)|Бейрут
Ліванская дынастыя|Маан
Ліванскі пісьменнік|Аввад
Ливер як тэхнічная прылада|помпа
Лівія, правінцыя|Фециан
Лідар руху за учрежд. парламента ў Японіі (1837–1919)|Итагаки
Лідар Албанскай партыі працы|Алия
Лідар Палестынскай аўтаноміі|Арафат
Лідар у сабачай запрэжцы|важак
Лідар групы “Брава”|Хавтан
Лідар групы “Нірвана”|кобейн
Лідар аб'яднанай малайской арганізацыі|онн
Лідар прафзвязнага руху ў Японіі ў 1958–1966 гг.|ота
Лідар рок-групы “Аліса”|Кинчев
Лідар свараджистов у 1923–25 гг.|Дас
Лідар фашыствуючай партыі, арганізацыі (ирон.)|фюрар
Лідар французскага экзістэнцыялізму ў ХХ павеку|Сартр
Лідар швецкага аўтамабілебудавання|вольва
Ліквідацыя кароткага канцавога радка абзаца памяншэннем прабелаў і заменай слоў у папярэдніх радках (полигр.)|вгонка
Лікёр з гарычкі|суз
Лікёр|оранж
Лилейное дэкаратыўная расліна|юка
Ліман у Чорным моры|Куяльник
Лима|Перу
Ліман на Азоўскім моры|Ейский
Ліман, плыткі заліў, адлучаны ад мора пяшчанай касой з невялікім пралівам|лагуна
Ліміт часу|тэрмін
Цытрына, апельсін, грэйпфрут – адным словам|цытрус
Ліманад для кактэйляў|тонік
Цытрынавая газіроўка|сітро
Лімфатычны вузел, павялічаны ў рэз-тыя запаленні|бубон
Лінеенне, правядзенне на чым-небудзь паралельных ліній|лінеенне
Лінгвіст|мовазнавец
Лінгвістычная блізніца|сінонім
Лінгвістычны тэрмін, які азначае змена звычайнага парадку слоў у прапанове|інверсія
Лінгвістычная малекула|склад
Лінгвістычны ці матэматычны тэрмін|афікс
Лінгвістычны тэрмін|афрыката
Лінейка ў астранамічных і геадэзічных прыладах для адліку кутоў|алідада
Лінейка ці табліца з адзнакамі на отсчетном прыладзе вымяральнага прыбора|шкала
Лінейка ці цыферблат з дзяленнямі|шкала
Лінейка з диоптрами, што ўжываецца ў якасці візірнай прылады пры тапаграфічнай здымцы|алідада
Лінейны абрыс прадмета, контур?|абрыс
Лінейныя памеры друкаванай формы|фармат
Лінейны апорны элемент у канструкцыях будынкаў|рыгель
Лінейны памер, працягласць|даўжыня
Лінзавая сістэма ў аптычным прыборы|аб'ектыў
Лінзавая сістэма оптич. прыбора, звернутая да вока назіральніка|акуляр
Лініі, праведзеныя на карце ці графіцы праз кропкі з аднолькавай характарыстыкай|ізалініі
Лінія (прамая ці частка акружнасці) з адзнакамі і лічбамі для адліку вымяранай прыборам велічыні, паказванай стрэлкай ці інш. паказальнікам|шкала
Лінія сеткі географич. каардынат, якая праходзіць праз канцавоссі і вызначальная даўгату месца|мерыдыян
Лінія аднолькавых значэнняў воблачнасці ў атмасферы|ізанефа
Лінія роўнай тэмпературы|ізатэрма
Лінія роўных значэнняў ціску|изобара
Лінія распранула паміж тэрыторыямі, мяжа|мяжа
Лінія выкрайкі|пройма
Лінія з працяжніка|пункцір
Лінія на геаграфічнай карце, што злучае месцы з аднолькавым атмасферным ціскам|изобара
Лінія на графіцы, якая злучае месцы з аднолькавай тэмпературай|ізатэрма
Лінія на тэрмадынамічнай дыяграме стану|изобара
Лінія на тэрмадынамічнай дыяграме стану|ізатэрма
Лінія на тэрмадынамічнай дыяграме стану|изохора
Лінія на тэрмадынамічнай дыяграме|адыябата
Лінія найболей хуткай плыні ракі на паверхні вод|стрыжань
Лінія на мясцовасці ці карце, што адпавядае магістралі, трубаправоду і т. п.|траса
Лінія на шкале прыбора|рыска
Лінія перадачы сігналу ў радыётэхніцы|фідар
Лінія перадачы электроколебаний у радыётэхніцы|фідар
Лінія скрыжавання воднай пов-ти рэкі з пов-ю сушы|зрэз
Лінія скрыжавання круглага конусу з плоскасцю, якая сустракае абедзве яго паражніны?|гіпербала
Лінія скрыжавання паверхні корпуса плывучага судна ці гідрасамалёта з гарызантальнай плоскасцю, якая супадае з гарызонтам?|ватэрлінія
Лінія шляху карабля ад заваротку да заваротку|галс
Лінія распранула|грань
Лінія роўна размешчаных аднастайных прадметаў|шэраг
