Лекі ад злосці|дабрыня
Лётчык, Герай Савецкага Звяза (1941, пасмяротна), капітан (1940). Напачатку Вялікай Айчыннай вайны, 26 чэрвеня, па-геройску загінуў, накіраваўшы свой падбіты самалёт у скупнасць машын і танкаў суперніка|Гастелло
Лётчык, Герай Савецкага Звяза (1943, пасмяротна), старэйшы лейтэнант|Горовец
Лётчык, Герай Савецкага Звяза (1944), поўны кавалер ордэна Славы (усе тры ступені ў 1944), старэйшы лейтэнант|Драченко
Лётчык, Герай Савецкага Звяза, які здзейсніў пералёт Масква–С. Канцавоссе–ЗША|Байдуков
Лётчык, Герай Савецкага Звяза, удзельнік па выратаванні экспедыцыі Нобілю|Бабулін
Лётчык, Герай Савецкага Звяза, пералёт Масква–С. Канцавоссе–ЗША|Данилин
Лётчык, Герай Савецкага Звяза, прататып героя рамана Палявога|Маресьев
Лётчык, Двойчы Герай Савецкага Звяза|Грицевец
Лётчык, герой СССР здзяйснілы беспасадкавы пералёт Масква – Паўночнае канцавоссе – ЗША з В. Чкаловым і Г. Байдуковым|Белякоў
Лётчык, двойчы Герай Савецкага Звяза|Голубеў
Лётчык, тройчы Герай Савецкага Звяза|Кожедуб
Лётчык-выпрабавальнік, Герай Савецкага Звяза (1960)|Ковалев
Лётчык-выпрабавальнік, палкоўнік, Герай Савецкага Звяза (1948)|Фёдараў
Лётчык-касманаўт СССР, двойчы Герай Савецкага Звяза (1971, 1974)|Рукавишников
Лётчык-касманаўт СССР, двойчы Герай Савецкага Звяза|Шаталов
Лётчык-касманаўт Румыніі, падпалкоўнік-інжынер (1981), Герай Румыніі (1981), Герай Савецкага Звяза (1981). Першы грамадзянін Румыніі, які здзейсніў палёт у космас|Прунариу
Лётчык-касманаўт Манголіі, Герай МНР (1981), Герай Савецкага Звяза (1981), генерал-маёр (1984). Першы грамадзянін Манголіі, які здзейсніў палёт у космас|Гуррагча
Лётчыца, Герай Савецкага Звяза (1990, пасмяротна). Удзельніца савецка-фінскай вайны, выпрабоўвала бамбавік Су-2|Зеленко
Лётчыца, Герай Савецкага Звяза па імі Паліна|Осипенко
Лётчыца, Герай Савецкага Звяза|Руднева
Лётчыца, Герай Савецкага Звяза|Чечнева
Лячэбная павязка|кампрэс
Лячэбная трава, падораная Сяргеем Раданежскім Зміцеру Данскому ў перадпачатку Кулікоўскай бітвы|саладкакорань
Лячэнне ў баракамеры|баротерапия
Ласосевая рыба|рапушка
Лорд, вынаходнік складанага бутэрброда|сэндвіч
Лавелас, валацуга|донжуан
Лавец ракападобнага дэлікатэсу|крабалоў
Пастка для звяроў і птушак|самалоў
Спрытняк, прайдзісвет|фификус
Спрытны прыём, фокус, пацешная выхадка (устар.)|кунштюк
Лагарыфм. лінейка|лятунок
Лагічны канчатак задачы|рашэнне
Лагічная развага з прыватнай высновай з агульных перадумоў|дэдукцыя
Лагічная выснова ад агульнага да дзелі|дэдукцыя
Лагічная выснова ад прыватных выпадкаў да агульнай высновы|індукцыя
Лагічны метад, заснаваны на выснове ад прыватных выпадкаў да агульнай высновы|індукцыя
Лодка паўночных народнасцяў са шкур на дерев. каркасе|байдара
Лодка для абівання парогаў|байдарка
Лодка на Волзе і Дону|завозня
Лодка прыморскіх чукч, каракаў і эскімосаў, у якой драўляны каркас абцягваўся шкурай маржа|байдара
Гультай, лайдак|шалапут
Лыжачнік, майстар, які робіць драўляныя лыжкі|лыжачнік
Хлусня|выдумка
Лакаматыў з рухавіком унутранага згарання|цеплавоз
Лакаматыў з дызелем|цеплавоз
Ломовой вазак|ламавік
Лусты нежирной свініны, бараніны ці цяляціны з мякаці паяснічнай часткі ці задняй нагі|эскалоп
Лондонск. игорн. хата эпохі Ч. Диккенса|крокфорд
Лонданскі гутарковы ангел. – адным словам|цюкні
Лапатачка для грунтоўкі|шпатэль
Лапатка для соскабливания|скрабок
Лотошная сямёрка|качарга
Коні, не дасягнулыя поўнага развіцця арганізма|маладняк
Конь ва ўзросце аднаго года|годовик
Конь стагоддзя, жарабец рысистой пароды, знакаміты конь-рэкардыст, якому пастаўлены помнік у Расіі|Квадрат
Конь, павыкормліваная спехам для продажу|выкормліванняў
Конь, якая бяжыць симметр. алюрам|інаходзец
Конь, якая бегае інахаддзю|інаходзец
Лугавая расліна з духмянымі кветкамі|вятроўнік
Лугавая расліна, якое апыляюць адны мухі|багаткі
Лугавая лекавая расліна|чэмер
Лугавая і лясная трава; травы. расліна|зуброўка
Лук, высаживаемый вакол кветнікаў для отпуг. вредн. казурак|шнитт
Цыбульная садовая расліна, кветка|гіяцынт
Цыбульная расліна сямейства лилейных|цюльпан
Выпраменьванне, выпраменьванне|радыяцыя
Прамяністы камень, породообразующий мінерал|актыналіт
Лепшая прыгажосць (па Хансу Андэрсану)|чысціня
Лепшая паліцыя нораваў|культура
Лепшы сродак для астуджэння пры помывке ў зімовай вясковай лазні|палонка
Лепшае ўпрыгожванне моцнага|літасць
Лепшае мяса для шашлыкоў (гурман.)|бараніна
Лепшы саюзнік магната|капітал
Лепшы спосаб спыніць фантан жаночага красамоўства|пацалунак
Лепшы крэм пасля галення|пяшчота
Лепшы футбаліст Расіі 1996|Ціханаў
Лабірынт, у якім мы пачынаем блукаць яшчэ да таго, як навучымся хадзіць|жыццё
Лабараторны посуд?|колба
Лабараторная шкляная пасудзіна|колба
Крама арчака, частка казачага сядла|полица
Крама са скрыняй у пярэднім куце сялянскай хаты|конник
Лавсония, дрэва, з якога атрымліваюць якія фарбуюць пігменты, у прыватнасці хну|хенна
Лагунное салёнае возера ў Адэскай вобл.|Сасык
Лад усходняй музыкі|мугам
Лад, у якім напісана сімфонія “Юпітар” В. Моцарта|мажор
Ладово-мелодическ. мадэль у арабскай, іранскай і тюркск. музыцы|макам
Далоні і сагнутыя пальцы, складзеныя так, што ў іх можна што-небудзь пакласці|жменя
Які лазіць хмызняк сямейства перачных|перац
Лайнер, патанулы гучней усіх?|тытанік
Лак, фарба на аснове синтетич. смолы, якая атрымліваецца са многоатомных спіртоў і ортофталевой да-ты. Падобныя алейным фарбам, але больш устойлівыя|алкидный
Ласунак у выглядзе дзвюх хрумсткіх пласцін і з праслойкай пралине паміж імі|вафлі
Ласунак мядзведзяў|мёд
Лакская народная мудрасць абвяшчае: “Пад сонцам цяпло, на Радзіме ...”|дабро
Лакская народная мудрасць абвяшчае: “У сваім ... і шчанюк леў”|жыллё
Ламаистский малітоўны барабан|хурде
Ламаистский манастыр|дацан
Ламаистский манах|лама
Ламаистский храм, манастыр|дацан
Лямпа для імгненнага моцнага выбліску пры фатаграфаванні|бліц
Лямпа на доўгай ножцы|таршэр
Лямпа з махрамі|засня
Лямпа-выбліск; кароткі паядынак шахматыстаў|бліц
Лямпа-выбліск|бліц
Лямпа|бра
Лампас па сваёй сутнасці|кант
Лангуст з клюшнямі|амар
Ландшафт пустэч|ланды
Лантаноід, рэдказямельны метал|эрбій
Лаоская “капейка”|ат
Лапта як яна ёсць|гульня
Лапці з пеньковой вяроўкі|чуні
Лапці з вялікімі шкарпэткамі для нашэння ў хаце ці ў двары|ступні
Куфар для хран. св. мошчаў; першая выганка віна з брагі|рака
Куфар для хран. св. мошчаў|рака
Куфар для захоўвання мошчаў святых|рака
Куфар, куфар для асоба каштоўных і важных рэчаў (устар.)|каўчэг
Ларина “стала клікаць Акулькой ранейшую Селину і абнавіла нарэшце на ваце шлафор і ...” (А. Пушкін, “Яўген Онегин”)|каптур
Ласкавая мянушка птушкі і каня|ворлік
Ласкавы зварот Астапа Бэндара да Іпаліта Мацвеевічу|Кіца
Ласкавы зварот жонкі да мужа, пакуль той яшчэ не стаў “казлом”|каток
Ласкавы зварот да асла|ослік
Ласкавая мянушка Шварцэнэгера|Арни
Ласо па-руску|аркан
Ласо, якое зацягвае здабытчыка хутчэй, чым здабычу|рызыка
Ласо|аркан
Ластоногое жывёла сямействы вушастых цюленяў|леў
Ластоногое млекопитающее|морж
Лат. дух. муз. прылада|ажурагс
Лат. часопіс|домас
Лат. пісьменнік (ром. “Вясновыя воды”, трил. “Ветэран”)|Ниедре
Лат. пісьменнік|Грыва
