Жаба з памяранцавым брушкам|жарлянка
Маршал Савецкага Звяза (1944), Герай Савецкага Звяза (1940)|Мерецков
Маршал Савецкага Звяза (1944), Герай Савецкага Звяза (1965, пасмяротна)|Толбухин
Маршал Савецкага Звяза (1955), Герай Савецкага Звяза (1944)|Яроменка
Маршал Савецкага Звяза (1959), двойчы Герай Савецкага Звяза (1945, 1971)|Захараў
Маршал Савецкага Звяза (1968), Герай Савецкага Звяза (1965)|Батицкий
Маршал Савецкага Звяза (1968), двойчы Герай Савецкага Звяза (1944, 1945)|Кошевой
Маршал Савецкага Звяза (1976), двойчы Герай Сацыялістычнай Працы (1942, 1961), Герай Савецкага Звяза (1978)|Усцінаў
Маршал Савецкага Звяза (1977), Герай Савецкага Звяза (1977)|Недагаркаў
Маршал і Герай Савецкага Звяза|Недагаркаў
Маршал, герой Савецкага Звяза|Недагаркаў
Маршрут онегинских шпацыраў|бульвар
Чараўнік і чараўнік|чарадзей
Чараўнік, чараўнік|чарадзей
Чараўнік, чарадзей|вядзьмак
Крама па продажы круп, салі, цукры і т. п.|бакалея
Крама, гандлёвы хлебнымі вырабамі|булочная
Магічныя словы, якія валодаюць вядзьмарскай сілай ці гаючай сілай|змова
Магматычная горная парода|тахилит
Магніевая руда|кизерит
Магнітная пастка для плазмы ў форме тора для досведаў па тэрмаядзерным сінтэзе (физ.)|такамак
Мадам Бовари у рускім перакладзе|спадарыня
Мазаніна, неакуратны запіс|крамзолі
Мазь для скуранога абутку|гуталін
Мазь для чысткі абутку|гуталін
Мазь, якая ўжываецца ў медыцыне, касметыцы, тэхніцы|вазелін
Травеньская садовая кветка|нарцыс
Майк Науменко лічыў, што менавіта яны “замінаюць нам жыць”|гопнікі
Суколка на шлеях|топ
Макаронны выраб з пшанічнай пакуты|спагецці
Македонская дынастыя|Антигонид
Макрамэ як самаробка|пляценне
устар. Верхавіна, выстригаемая ў служак царквы, а таксама некаторымі стараверамі|гуменце
Маклерские фірмы, якія з'яўляюцца пасроднікамі паміж пакупнікамі і прадаўцамі|сантори
Малая радзіма Сирано дэ Бержерака|Гасконь
Малая планета, астэроід|Апалон
Малая планета, астэроід|Ганимед
Малая планета, астэроід|Паллада
Малая планета, што круціцца вакол буйнейшай|спадарожнік
Малая планета|Лейкотея
Малая флейта|пікала
Маленькая паўночнаамерыканская живородящая рыбка атрада карпозубых|гамбузия
Маленькая ракавіна|ракавінка
Маленькая рачная рыба сямейства карповых|келба
Маленькая узконосая малпа з доўгімі заднімі нагамі і з доўгім хвастом|малпа
Маленькая бутэлечка|бурбалка
Маленькая група|групка
Маленькая дзюра, адтуліна|дзірачка
Маленькі італьянскі хорт|леўрэтка
Маленькая картка з адраснымі дадзенымі|візітоўка
Маленькая кабіна|кабінка
Маленькая скрынка, скрыначка|скрынак
Маленькі пакойчык, закутак|каморка
Маленькі круглы капялюшык з мяккай тканіны без аколышка|ярмолка
Маленькая марская рыбка, барабуля|султанка
Маленькая пералётная птушка атрада вераб'іных|аўсянка
Маленькая пявучая птушка сямейства славковых з бурым апярэннем|пеначка
Маленькая пявучая птушка|салавей
Маленькая печка ў хаце|падпалак
Маленькая палявая птушка сямейства фазанавых|перапёлка
Маленькая тонкая аладка з вадкага цеста, выпечаная на патэльні|блінец
Маленькая точеная фігурка, якая ўжываецца ў гульні, у якой з купкі такіх фігурак дастаюць гаплікам адну за адной, не варушачы астатніх|бірулька
Маленькі капялюшык з мяккай тканіны|ярмолка
Маленькая, хутка лятучая птушка атрада вераб'іных з доўгімі вострымі крыламі|ластаўка
Маленькая, пухнатая, узорная|сняжынка
Маленькае дрэва|дрэўца
Маленькае долата (прылада)|долотцо
Маленькі будынак для набажэнства|капліца
Маленькае дзіця|малая
Маленькае дзіця|немаўля
Маленькая перапечка|булачка
Маленькі бутэрброд|тарцінка
Маленькі бліскучы кружочак, пласцінка для ўпрыгожвання|бліскаўка
Маленькі збанок з ладанам, талісманам, носны на грудзі забабоннымі людзьмі|ладанка
Маленькі кот|кацяня
Маленькі кавалачак лёду|ільдзінка
Маленькі мяшэчак з талісманам, зёлкамі|ладанка
Маленькая міленькая пасма|завіток
Маленькі піражок з прэснага цеста з мясным начыннем|пяльмень
Маленькі піражок з прэснага цеста, начынены тварагом, бульбай, капустай, ягадамі, што ўжываецца ў вараным выглядзе|варэнік
Маленькі цэтлік (налепка на рэчы)|ярлычок
Малаадукаваны чалавек|невук
Малаўжытная назва лёду|криолит
Малагабарытны механічны перамыкач|тумблер
Малакаліберная адназарадная вінтоўка|бярданка
Малалетнія людзі|дзеці
Малы орган|портатив
Маляня (разг.)|карапуз
Маляня, які толькі пачаў хадзіць (ласак.-уменьш.)|топотун
Хлопчык жадае ў Тамбоў... (исполн. песні)|Насыров
Хлопчык з Кветкавага горада (м/ф)|Нязнайка
Хлопчык ці дзяўчынка ў раннім узросце|дзіця
Хлопчык, чалец спартова-патриотич. дзіцячай арганізацыі скаўтаў у ЗША і інш. краінах|байскаўт
Хлопчык, чалец арганізацыі пазашкольнага выхавання ў шматлікіх краінах|байскаўт
Малярийный камар|анофелес
Малярная прылада|скрабок
Манс. пісьменнік|Шесталов
Манера мастацкага малюнка|ліст
Манера дзейнічаць, звычка|замашка
Манускрыпт|рукапіс
Маниоковое сага|тапиока
Мантическое занятак|варажба
Мацюк. каардыната кропкі па восі Z у сістэме дэкарт. каардынат|апліката
Матэрыял для дарожных пакрыццяў|асфальт
Матэрыял для выраба свечак|стэарын
Матэрыял для кніжных вокладак|ледэрын
Тканіна, гатунак штучнай скуры для кніжных вокладак|ледэрын
Кожезаменитель для кніжных вокладак|ледэрын
Тканіна ці папера з аднабаковым афарбаваным нитроцеллюлозным пакрыццём, якая служыць пераплетным матэрыялам|ледэрын
Пераплетны матэрыял?|ледэрын
Матэрыял для пакрыцця бегавых дарожак|спортан
Матэрыял для пакрыцця падлог|лінолеум
Матэрыял для ліста ў Інш. Егіпце|папірус
Матэрыял на аснове палімераў|пластык
Матэрыял, з дапамогай якога дасягаецца абарона ад фізічных з'яў|ізаляцыя
Матэрыял, які выкладзены на дарозе|пакрыццё
