Касметычны сродак|лак
Костриков, партыйны дзеяч (псеўданім)|Кіраў
Костровая лятучка|іскра
Кастрамская вобл. (горад)|Шарья
Костка ў назе птушак паміж галёнкай і пальцамі. У пеўняў на гэтай костцы маюцца вырасты-шпоры|цэўка
Костка ў назе птушкі, размешчаная паміж галёнкай і пальцамі|цэўка
Гарнітур па-за чаргой|убор
Гарнітур для сну|піжама
Гарнітур для сноў|піжама
Гарнітур для цыркавога акрабата|трыко
Гарнітур танцоркі са станіка і пышнай спадніцы|туніка
Гарнітур цыркавога гімнаста|трыко
Гарнітур-...: ачкі, прэзерватыў і гальштук – прапушчанае слова са студэнцкага жарту|тройка
Касцюмаваны танцавальны вечар|баль
Гарнітурная тканіна|цвід
Гарнітурная ваўняная тканіна з нахільнымі дробнымі рубчыкамі|бостан
Касцяк прадмета|драбы
Касцяны складнік Бабы Ягі|нага
Касьба, час уборкі сена|пакос
Кот Бабы-Ягі ў рускіх казках|баюн
Кот з хаты – ... у скокі. (Хто?)|мышы
Кот-гулівер, які вымахаў так пад белым сонцам пустэльні|манул
Кот-д’Івуар, дэпартамент, адм. ц. – Буаке (Бваке)|Буаке
Кацёл для падрыхтоўкі ежы|казан
Кацельнае паліва|мазут
Кацяня з такім імем стаў героем мультфільма Льва Атаманова|Гав
Катлавіна, яма, карстовая варонка|яндоўка
Катлу не таварыш (посл.)|чыгун
Кава з морквы, які пілі немцы ў 1945 году|эрзац
Кава з марозівам|глясэ
Кававы гатунак?|мока
Кавамолкі|микма
Кофтачка з тонкай тканіны|блузка
Качан перад тым, як завівацца|відэльцаў
Качэўнік (историч.)|намад
Качэўнік|нагаец
Качэўнікі|намады
Качавое аб'яднанне ў казахаў|жуз
Качавы араб-жывёлагадовец Пярэдняй Азіі і Паўночнай Афрыкі|бедуін
Качавыя ці паўкачавыя арабы Аравійскага паўвострава і Паўночнай Афрыкі?|бедуіны
Храпка на народны лад|хряпка
Каціны ... сустракаецца толькі на Ўрале і на Шри-Ланцы|вока
Кашалёк жыцця|час
Кашалёк як знак багацця; мяшок для грошай (устар.)|мошна
Кашалёк як знак багацця|мошна
Котачка, якая рыфмуецца з мурыской|киска
Котка – божая ...|стварэнне
Котка котится, сабака шчэніцца, авечка ягнится, конь жарэбіцца, а што робіць асліца?|нулится
Кашмар|жах
Кашчэй (асацыяцыя)|моцы
Крадзеж аўтамабіля?|згон
Край (антонім)|цэнтр
Край у Сібіры|Алтай
Край дыска Сонца|лімб
Край дарогі, кювета, канавы|беражок
Край зямлі каля вады|бярог
Край лесу|узлесак
Край лёду|беражок
Край пірагоў з вачамі|Разань
Край сушы|бярог
Край тканіны, дывана з самастойным арнаментам|бардзюр
Край тканіны, дывана з самост. арнаментам; огражд. ходніка|бардзюр
Край ходніка?|бардзюр
Край чаго-небудзь|беражок
Вельмі ўстрыманы чалавек, які вядзе строгі лад жыцця, што адмаўляецца ад жыццёвых выгод|аскет
Вельмі злы, жорсткі чалавек|ірад
Вельмі цяжкі стан арганізма|кома
Крайняе ўстрыманне, адмова ад жыццёвых выгод|аскетызм
Крайняя напруга (перен.)|напал
Крайняя стараннасць у працы, якое ўзнікае ў Пушкіна кожную восень|стараннасць
Крайнія апоры моста з насыпамі|асновы
Крайняя бязладзіца ў біблейскім стылі?|садом
Крайняя бязладзіца, блытаніна?|хаос
Крайняя бязладзіца, поўная блытаніна|бязладдзе
Крайні кармавы адсек судна|ахтэрпік
Крайні насавы адсек судна|фарпік
Крайні адсек кармавога трума, які мае ролю баластнай цыстэрны для ўхілення дыферэнта судна|ахтэрпік
Крайні заняпад, звод, поўны ідыятызм|маразм
Крайні, нястрымны страх, адразу што ахоплівае чалавека ці шматлікіх людзей|паніка
Крайнасць, дзіўнасць у паводзінах, у думках|заскок
Крайняя бедната|галеча
Крайняя групоўка якой-небудзь арганізацыі|крыло
Крайні смутак, гаротнасць, пакута|скруха
Крайняя паласа кавалка тканіны з лепшым кач-ом, выст. на паказ|хаз
Крайняя ступень натхнення, захаплення?|экстаз
Крайні бок шэрагу, баявога парадку|фланг
Крайняя частка баявой пабудовы|крыло
Крайняя частка конусу нарастання ўцёкаў кветкавых раслін (ботан.)|туніка
Кралатые казуркі, здольныя ў выглядзе лічынак паразітаваць у целе буйных жывёл.|гізы
Рабая сумчатая куніца|кволл
Прыгажун наадварот|вырадак
Прыгажуня (паэт.)|краса
Прыгажуня (разг.)|краля
Прыгажуня іерусалімская, узятая царом Давыдам у жонкі|Ависага
Прыгажуня з антытэрарыстычнага аддзела ў папулярным тэлесерыяле|Мікіта
Прыгажуня рака ў Празе|Влтава
Прыгажуня, з-за якой пачалася Траянская вайна|Алена
Прыгажуні, якія падпільноўваюць у раі праведных мусульман|гурыі
Беладонна як прадстаўніца птушынага царства?|журавель
Прыгожы і моцны, справядлівы і настойлівы, філосаф і летуценнік будзе які нарадзіўся пад знакам гэтага дрэва ў сярэдзіне траўня/лістапада|каштан
Прыгожы буйны дзённы матылёк сямейства ветразнікаў, распаўсюджаная ў Еўропе і Азіі|апалон
Прыгожая модная адзежа, гарнітур|убор
Прыгожая птушка з хохлікам|удод
Хораша завязаная стужка|бант
Хораша афарбаваны ці бясколерны празрысты мінерал, выкарыстоўваны для выраба ўпрыгожванняў, прадметаў мастацтва|камень
Красивоцветущий хмызняк|азалія
Прыгожыя вершы, пакладзеныя на душэўную музыку|песня
Прыгожы зман|фокус
Прыгожы скачок, выкананы фігурыстам|кажух
Прыгожы туалет|убор
Фарбавальнік для валасоў, што надае радыкальна руды колер|хна
Фарбавальнік для чырвонай губной памады|эозин
Фарбавальнік чырвонага ці жоўтага колеру|сандал
Фарбавальнік чырвонага колеру расліннага паходжання|сандал
Фарбавальнік, які атрымліваецца з казуркі кашанілі|кармін
Фарба для валасоў; тонкая метал. пласцінка|басма
Фарба для валасоў|басма
Фарба для вуснаў|памада
Фарба для жывапісу|сурык
Фарба для класічных джынсаў|індыга
Фарба для аконных рам|бяліла
Фарба для падфарбоўвання тканін, паперы|лазурак
Фарба для малявання, чарчэнні, лісты|туш
Фарба для чарчэння, маляванні; косметич. сродак|туш
Фарба для чарчэння, маляванні|туш
Фарба з лавсонии|хна
Фарба, якая здабываецца з драўніны некаторых дрэў|сандал
Фарба, атрыманая з лісця паўднёвай хмызняковай расліны|хна
Фарба; скура; химич. элемент|хром
Фарба|вапа
Фарба|сажа
Фарба|хром
Фарбы, развод. вадой, а таксама жывапіс гэтымі фарбамі|акварэль
Красконаноситель|валік
Чырвоная пірогамі|хата
Чырвоная – і ў чырвоным, і ў чорным, і ў белым, і ў жоўтым|кроў
Чырвоная і юж. свідзіна – дэкор. расліна, хмызняк|глог
Чырвоная выкапнёвая смала, названа па месцы здабычы – Бірме|бирмит
Чырвоная фарба для жывапісу|мумія
Чырвоная фарба, падобная на чырвоную охру. Складаецца галоўным чынам з гліназёму, крэменязёму, аксіду жалеза, магнезіі і змарнаваць. Даўней ужывалі ў жывапісе для грунтоўкі, палатна|болюс
Чырвоная планета|Марс
Чырвоная радасць алкаша|агдам
Чырвоная рака на поўначы В'етнама і ў Кітаі?|Хонгха
Чырвоная рыба|кета
Чырвоная рыба|нерка
Чырвоная сінтэтычная шпинель|аламандит
Чырвоны радок на вышэйшай прыступцы кар'еры вайскоўца|лампас
Чырвоны радок|абзац
Чырвоная качка|огарь
Чырвоненькі пеўнічак па вуліцы бяжыць (загадка)|пажар
