Калідор у магільні|дромос
Кароткі лямант|выкрык
Кароткі густы пушок на асабовым боку некаторых тканін|ворс
Кароткае жазло з шарападобнай цяжкай галоўкай|булава
Кароткі жалезны меч скіфаў|акинак
Кароткі і несильный прамы ўдар|штурхель
Кароткі кідаў. стрыжань, скрепл. па верт. блокі кам. муры|пирон
Кароткі абцінак бервяна|калодачка
Кароткі абцінак тоўстага бервяна|камлюк
Кароткі адрэзак часу?|момант
Кароткі паўтаральны гук, вырабляны металічным прадметам пры ўдары пра метал|ляск
Кароткі прамежак часу?|імгненне
Кароткі прамежак часу|хвіліна
Кароткі смешны аповяд; аповяд М. Горкага|анекдот
Кароткі смешны аповяд|анекдот
Кароткі стыхар з невялікімі рукавамі|сакас
Кароткі стаялы брусок у полозьях санак, службовец апорай для кузава|капыл
Кароткі суцэльны плашч з прастакутнага кавалка тканіны, напрананы праз галаву|понча
Кароткая панчоха|шкарпэтка
Сцісла і роўна падстрыжаная, засеяная дэкаратыўнай травой пляцоўка?|траўнік
Сцісла падстрыжаныя бакенбарды|бакі
Кароткае замыканне ў КПЗ|арышт
Кароткае і моцнае ўзаемадзеянне прадметаў|удар
Кароткая кідальная дзіда?|дроцік
Кароткі верш дасціпна-кплівага і сатырычнага характару?|эпіграма
Кароткае тоўстае бервяно|калода
Кароткае, але эмацыйнае начальніцкае ўздзеянне?|лупцоўка
Кароткае, зблытанае, непрядимое валакно, якое атрымліваецца як адыход пры перапрацоўцы льняной ці канаплянай трасты?|пакулле
Коротконогая паляўнічы сабака|басет
Короткоплодный гібрыд агурка, схільны да партенокарпии|шугавея
Короткоплодный гібрыд агурка, схільны да партенокарпии|гусар
Короткоплодный гібрыд агурка, схільны да партенокарпии|апал
Короткоплодный пчелоопыляемый гібрыд агурка|антэй
Короткоплодный пчелоопыляемый гібрыд агурка|спрынт
Короткохвостый рак|краб
Короткошерстная буйны службовы сабака|дог
Корпус артылерыйскага снарада|шклянка
Корпус перавозкавага сродку?|кузаў
Корпус воза, экіпажа|кузаў
Корпус снарада|шклянка
Карэспандэнцкі рахунак буйнага банка ў філіяле|ностро
Карэспандэнцкі рахунак, які адчыняецца банкам для залічэння сум, што выдаюцца ці атрымоўваных банкам па даручэнні свайго карэспандэнта|лора
Допіс|пошта
Карсар|пірат
Гарсэт насіла вельмі вузкі, // І рускі Н як N французскі // Прамаўляць умела ў ...; // Але хутка ўсё перавялося. (А. Пушкін, “Яўген Онегин”)|нос
Кортик як холад. зброя|кінжал
Корушка|сняток
Каса ў Крыму|Арабатская
Каса ў Чорным моры|Айя
Каса, слоік|водмель
Ускосная|доказ
Ускосны падатак на тавар|акцыз
Касманаўт Феактыстаў (карабель)|узыход
Касметыка для абутку|вакса
Касметыка|макіяж
Косметич. сродак|гель
Косметич. сродак|лак
Косметич. сродак|цяні
Касметычная мазь для абутку і твары|крэм
Касметычная апрацоўка твару, лёгкі грым|макіяж
Касметычны парашок|пудра
Касметычны гігіенічны сродак|ласьён
Касметычны дэкаратыўны сродак, якое складаецца з сумесі тальку, кааліну, кукурузнага крухмалу, фарбавальнікаў і духмяных рэчываў|пудра
Касметычны ці гігіенічны сродак для сыходу за вуснамі|памада
Касметычны сродак для скуры на водна-спиртовой аснове|ласьён
Касметычны сродак для надання твару прыгажосці, свежасці|макіяж
Касметычны сродак?|ласьён
Касметычны сродак|крэм
