Звіліна, выгін|лукавіна
Змена звычайнага парадку слоў у прапанове з сэнсавай ці стылістычнай мэтай|інверсія
Падвышэнне тэмпературы паветра ў верхніх пластах атмасферы замест звычайна назіранага паніжэння|інверсія
Пераўтварэнне складаных выглядаў цукру ў меней складаныя ў водным асяроддзі пад уздзеяннем кіслот ці ферментаў|інверсія
Прылада для пераўтварэння сталага электрычнага току ў зменны|інвертар
Прылада для пераўтварэння сігналу аднаго значэння ў сігнал іншага, процілеглага значэння (у электроніку)|інвертар
Твар, арганізацыя ці дзяржава, якія вырабляюць інвестыцыю|фундатар
Твар, да якога, паводле індасамента, пераходзіць вэксаль, чэк ці іншая каштоўная папера|індасат
Магнитоэлектрическая машына з ручным прывадам для атрымання зменнага току|індуктар
Электрамагнітная прылада для індукцыйнага нагрэву|індуктар
Лагічная выснова ад дзелі да агульнага, ад адзінкавага назірання да абагульнення|індукцыя
Ўзрушанасць зменным магнітным полем электродвижущей сілы ў правадырах (у фізіцы)|індукцыя
Заканамерныя ўзаемаадносіны паміж двума асноўнымі нервовымі працэсамі – узрушанасцю і тармажэннем, што выяўляюцца ў тым, што ўзнікненне аднаго з іх выклікае развіццё процілеглага (у фізіялогіі)|індукцыя
Струменевая помпа для нагнятання вадкасці|інжэктар
Пачатковыя літары імя і прозвішчы, імя і імёны па бацьку ці імя, імёны па бацьку і прозвішчы|ініцыялы
Першыя вялікія літары тэксту, часткі і т. п. (звычайна павялічанага памеру), часам упрыгожаныя арнаментам, малюнкам і т. п.|ініцыялы
Іншая форма быцця|іншабыццё
Конь, які бяжыць інахаддзю|інаходзец
Прыроджаная рэакцыя арганізма, што ўзнікае ў адказ на вонкавыя ці ўнутраныя раздражняльнікі|інстынкт
Падсвядомае, неўсвядомленае пачуццё; унутраны нюх|інстынкт
Вышэйшая навучальная ўстанова|інстытут
Навукова-даследчая ўстанова|інстытут
Прывілеяваная зачыненая жаночая сярэдняя навучальная ўстанова для дзяцей дваран (у Расійскай дзяржаве да 1917 г.)|інстытут
Сукупнасць нормаў права, якія існуюць у вобласці грамадскіх адносін|інстытут
Форма грамадскай прылады|інстытут
Інкрустацыя на мэблі і іншых драўляных прадметах|інтарсія
Цэлая велічыня, разгляданая як сума сваіх бясконца малых частак|інтэграл
Прамежак, перапынак, адлегласць|інтэрвал
Прамежак часу|інтэрвал
Суадносіны па вышыні паміж дзвюма адначасова ці паслядоўна вырабленымі гукамі (у музыцы)|інтэрвал
Выгоды, патрэбы|інтарэсы
Імкненні, запатрабаванні, запыты|інтарэсы
Інтэрнат для навучэнцаў пры навучальнай установе|інтэрнат
Сярэдняя, звычайна спецыялізаваная, навучальная ўстанова для дзяцей і падлеткаў, у якім навучэнцы жывуць, знаходзячыся на поўным ці частковым дзяржаўным забеспячэнні|інтэрнат
Міжнародная арганізацыя крымінальнай паліцыі|інтэрпол
Унутраная частка памяшкання, архітэктурна і мастацка аформленая|інтэр'ер
Малюнак унутранай часткі памяшкання|інтэр'ер
Магма, застылая ў тоўшчы зямной кары (у геалогіі)|интрузив
Укараненне расплаўленай магмы ў тоўшчу зямной кары (у геалогіі)|интрузия
Замежны турыст|інтурыст
Пранікненне ў арганізм і размнажэнне ў ім хваробатворных мікраарганізмаў, што выклікаюць захворванне, заражэнне|інфекцыя
Празмернае павелічэнне змешчанай у звароце грашовай масы, якое выклікае абясцэньванне папяровых грошай у адносінах да дзяржаўнага залатога запасу і назіральнае ў тым выпадку, калі аб'ём грошай расце хутчэй, чым аб'ём тавараў і паслуг|інфляцыя
Непрыемны выпадак, непаразуменне; сутыкненне, канфлікт|інцыдэнт
Упырскванне лекавых рэчываў непасрэдна пад скуру, у цягліцу, у вену|ін'екцыя
Насельніцтва Іярданіі, што складаецца галоўным чынам з арабаў|іярданцы
Адно з твараў хрысціянскай сёмухі|выява
Адмыслова абсталяваны ўчастак і комплекс збудаванняў для выпрабавання рысистых і скаковых канёў і спаборніцтваў па конным спорце|іпадром
Сямейства однодольных раслін, да якога ставяцца гладыёлус, касач, шафран і т. п.; касатиковые|ірысавыя
Народ кельцкай этноязыковой групы, які складае асноўнае насельніцтва Ірландыі|ірландцы
Прыбор, прыстасаванне, аўтаматычна ажыццяўляльнае пошук|шукальнік
Рэвалюцыянер, примыкавший да групы газеты “Іскра”, заснаванай В. І. Ленінам у 1900 г.|іскравец
Рэлігійная сістэма ісламу|исламизм
Народ германскай этноязыковой групы, які складае асноўнае насельніцтва Ісландыі|ісландцы
Пот, выступоўца на целе (звычайна ў хворага пасля жару)|пот
Абрад пакаяння ў сваіх грахах перад святаром (у хрысціян)|споведзь
Выканаўчы камітэт|выканкам
Прыпадак істэрыі|істэрыка
Слова ці ўстойлівае словазлучэнне, што пазначае зніклыя прадметы, працэсы, з'явы (у лінгвістыцы)|гістарызм
Натуральнае выйсце падземных вод на паверхню зямлі; ключ, крыніца|крыніца
Выгляд дзеяслова, які пазначае шматразовае ці паўтаральнае дзеянне (у лінгвістыцы)|итератив
Длиннохвостое драпежная жывёла сямействы виверровых, што нішчыць пацукоў і мышэй, распаўсюджанае ў Паўночнай Афрыцы і Пярэдняй Азіі; мангуст|іхнеўмон
Невялікае лёгкай канструкцыі будынак у парку ці саду, род альтанкі|павільён
Крытая лёгкая пабудова, прызначаная для гандлю ці іншых мэт|павільён
Памяшканне, абсталяванае для здымкі фільмаў|павільён
Назва дарагой прывазной тканіны ў Старажытнай Русі|паволока
Якія апалі з дрэва плады, лісце|ападкі
Што апала збожжа, насенне|ападкі
Рускі парны бальны танец, які спалучае кароткі крок з вальсовыми рухамі|падэкатр
Танец чатырох выканаўцаў у балеце|падэкатр
Аднагадовая ці шматгадовая расліна сямейства бабовых з тройчатыми лісцем і жоўтымі, радзей блакітнымі, фіялетавымі і белымі кветкамі|пажытнік
Марскі паштова-пасажырскі параход ці ветразнік|пакетбот
Крытыя насілкі, службоўцы экіпажам у некаторых краінах Азіі, Афрыкі і Паўднёвай Амерыкі|паланкін
Жаночая наплечная накідка з меха ці аксаміту|палантын
Першая палова троеснага перыяду гісторыі Зямлі|палеаген
Трэцяя эра гісторыі Зямлі|палеазой
Старажытны, самы працяглы перыяд каменнага веку|палеаліт
Школа фізічнага выхавання для хлопчыкаў 13–14 гадоў у старажытных Афінах|палестра
Рэдкі тугаплаўкі метал серабрыста-белага колеру, што ўжываецца ў тэхніку, медыцыне і т. п.|паладый
Назва кнігі, якая апісвае вандраванні па святых месцах|паломнік
Вадзяная расліна сямейства осоковых з доўгімі круглымі сцебламі|палачнік
Травяністая расліна сямейства травы з прамымі сцебламі і шурпатым лісцем; куга, трыснёг|палачнік
Тоўстыя дошкі ці дошкі, прызначаныя для палуб|палубнік
Вееролистная пальма трапічнай Азіі, што мае цвёрдую драўніну|пальміра
Адна з гарнітур друкарскіх шрыфтоў|пальміра
Падгузнікі – пераважна дзіцячыя – з мяккага, добра які ўбірае вільгаць матэрыялу|памперсы
Архітэктурнае ці скульптурнае збудаванне ў памяць ці ў гонар твару ці падзеі|помнік
Каменнае, бронзавае і т. п. збудаванне на магіле памерлага; надмагілле|помнік
Млекопитающее атрада яшчараў, якое жыве ў Індастане і на Цэйлоне|панголин
Дрэва ці хмызняк сямейства пандановых з ядомымі пладамі|панданус
Складанкі, што змяшчаюць поўны выклад матэрыялаў, якія адносяцца да якога-небудзь пытання|пандекты
Збор рашэнняў старажытных рымскіх юрыстаў, што мелі сілу закона|пандекты
Падвесак падоўжанай формы да завушніц, люстрам і іншым прадметам, службовец упрыгожваннем|панделок
Распаўсюд інфекцыйнай хваробы на цэлыя краіны і мацерыкі|пандэмія
Царкоўная служба, якая здзяйсняецца па памерлым|паніхіда
Падстраўнікавая залоза|панкреас
Выгляд мясцовасці (звычайна з узнёслага месца), што распасціраецца на далёкую прастору|панарама
Карціна, на якой плоскі маляўнічы фон сумяшчаецца з аб'ёмным прадметным першым планам|панарама
Карціна вялікіх памераў з рэльефным пярэднім планам, змешчаная ўсярэдзіне круглага асветленага зверху будынкі, якая дае гледачу ілюзію рэальнага выгляду|панарама
Рухомая дэкарацыя, што ўжываецца для стварэння ілюзіі перасоўвання|панарама
Карціна, малюнак, якія пры разглядзе праз адмысловыя шклы ці шкло ствараюць уражанне аб'ёмнасці, рэльефнасці, перспектывы|панарама
Аптычны прыбор у прылад, які дазваляе бачыць любую кропку на 360 градусаў вакол і вымяраць куты на мясцовасці|панарама
Рэлігійна-філасофскае вучэнне, атаясамлялае Бога з прыродай і разглядвалае прыроду як увасабленне Бажаствы|пантэізм
Паслядоўнік пантэізму|пантэіст
Паляванне на высакародных ці плямістых аленяў для здабывання пантаў|пантоўка
Танцавальна-мімічнае ўяўленне ў Старажытнай Грэцыі і ў Старажытным Рыме (звычайна на міфалагічны сюжэт)|пантамім
Лекавы прэпарат опіуму, што ўжываецца як болесуцішальны і снатворны сродак|пантапон
Папяровая трубачка, набітая тытунем і прызначаная для курэння|папяроса
Стан узбудлівай тканіны, якое ўзнікае пад уплывам моцных раздражненняў і што характарызуецца стратай праводнасці і ўзбудлівасці|парабиоз
Штучнае зрошчванне дзвюх (радзей трох) жывёл|парабиоз
Шлях, апісваны целам, кінутым пад кутом да гарызонту|парабала
Прадмет, абрысы якога маюць форму выпуклай крывой, паўавала|парабала
Дробнае падраздзяленне тэксту ўсярэдзіне часткі, распранула, якое пазначаецца звычайна адмысловым знакам|параграф
Меркаванне, становішча, рэзка разбежныя з агульнапрынятым, што супярэчаць разумнаму сэнсу|парадокс
Супярэчнасць, якое ўзнікае пры захаванні лагічнай правільнасці ходу разваг (у фармальнай логіцы)|парадокс
Нотны музычны знак, што ўжываўся ў крюковой натацыі|параклит
Велічыня, якая ўваходзіць у матэматычную формулу і што захоўвае сталае значэнне толькі для дадзенага выпадку|параметр
Велічыня, якая характарызуе істотная ўласцівасць прылады ці з'явы (у тэхніку)|параметр
Велічыня, што характарызуе стан сістэмы (у фізіка-хімічным аналізе)|параметр
Дыямент ці іншы каштоўны камень без заган|парангон
Друкарскае найменне фігурных дужак, якія пазначаюцца знакам|парантэз
Персідская мера даўжыні|парасанг
Самалёт-манаплан з крылом, усталяваным над корпусам|парасоль
Аддзяленне на фабрыцы, дзе параць|апарня
Аддзяленне ў лазні, дзе парацца; парная|апарня
Сыр са знятага малака, што ўжываецца звычайна як заправа да макарон|пармезан
Аўтар пародый|парадыст
Перавозчык на пароме|паромшчык
Удзельнік узброенай барацьбы, якая вядзецца з ворагам на акупаванай тэрыторыі атрадамі шырокіх народных мас|партызан
Палова нетолстого бярвенне, распілаванага ўздоўж, што ўжываецца для прылады сценак шклярніц і цяпліц|парубень
Грубіянская, тоўстая льняная ці полульняная тканіна, першапачаткова ўжываная толькі на выраб ветразяў|парусіна
Ветразнае судна|ветразнік
Вельмі маленькі ўчастак зямлі|парцэла
Працаўнік пчальніка пчаляр|пчаляр
Паклёпніцкае складанне з абразлівымі нападкамі|пасквіль
Месца, дзе пасвіцца скаціна|паша
Скульптурны твор з размятой і абпаленай гліны|пасцілаж
Фігурны выраб з цеста, цукры і т. п.|пасцілаж
Званне, пасада пастара|пастарат
Прыход пастара|пастарат
Жыллё пастара|пастарат
Атрад птушак, да якога ставяцца драч, лысуха, вадзяная курачка і т. п.|пастушкі
Невялікая птушка атрада пастушкоў з заступніцкай афарбоўкай|пастушок
Табліца для вызначэння часу штогадовай імпрэзы Вялікдня і іншых рухомых – т. е. якія змяняюць у залежнасці ад Вялікдня свой тэрмін – свят|пасхалия
Аднагадовая агароднінная расліна сямейства гарбузовых|патысон
Старэйшы чалец радавога грамадства; родапачынальнік|патрыярх
Найстары, самы паважаны дзе-або чалавек|патрыярх
Вышэйшы духоўны твар, частка праваслаўнай царквы|патрыярх
Твар, што належала да спрадвечных рымскіх родаў, якія складалі кіравальны клас і трымалым у сваіх руках грамадскія землі (у Старажытным Рыме)|патрыцый
Твар, што належала да заможных бюргерскіх родаў, якія гулялі першынствавалую ролю ў самакіраванні (у сярэднія вякі ў германскіх гарадах)|патрыцый
Адмысловая форма заступніцтва, што ўсталёўвае матэрыяльную залежнасць кліентаў ад патронаў у інтарэсах набыцця апошнімі палітычнага ўплыву (у Старажытным Рыме)|патранат
Заступніцтва з боку|патранат
Выхаванне дзяцей-сірот і дзяцей, якія страцілі сувязь з бацькамі, у сем'ях працаўнікоў пад кантролем дзяржаўных органаў (у СССР)|патранат
Кароткая труба, што служыць адводам ад асноўнага трубаправода, рэзервуара і т. п., а таксама злучальнай часткай у трубаправодах|патрубак
Таўстаногія жывёлы|пахиподы
Тонкая папяроса з тытуню, загорнутага ў ліст кукурузы|пахітоса
Крайняя частка пуза жывёлы ад пупа да пахвіны|паховина
Ручная маслабойка|пахталка
Антываенны рух, якое ўзнікла ў ХIХ ст. у шэрагу краін, прадстаўнікі якога асуджаюць любыя войны і вядуць актыўную грамадскую дзейнасць па іх прадухіленні|пацыфізм
Ручная прылада для паяння|паяльнік
Крупнозернистая горная парода магматычнага паходжання, якая ўжываецца ў шкляной і керамічнай прамысловасці|пегматыт
Прыбор, што вызначае лік зробленых крокаў; крокамер|педометр
Орган настаўнікаў школы, паўнамоцны вырашаць навучальныя і адміністрацыйныя пытанні; педагагічная рада|педсавет
Сістэма сувязі, якая здзяйсняецца з дапамогай пэйджара|пэйджынг
Каштоўная прамысловая рыба сямейства скумбриевых|пеламида
Кароткі плашч да пояса ў выглядзе круглай накідкі ці кароткая круглая накідка з каптуром, напрананая па-над плашчом|палярына
Вялікі круглы каўнер на верхняй адзежы ці на жаночай сукенцы|палярына
Захворванне, што выклікаецца недахопам у арганізме чалавека нікацінавай кіслаты і якое выяўляецца ў паразе скуры, страўнікава-кішачнага гасцінца і ў псіхічных засмучэннях|пелагра
Кулінарны выраб у выглядзе маленькіх піражкоў з прэснага цеста з мясной (радзей рыбнай ці агародніннай) начыннем|пяльмені
Жонка старажытнагрэцкага героя Траянскай вайны Адысея, што заставалася дакладнай свайму мужу падчас яго дваццацігадовых падарожжаў|пенелопа
Месца, дзе быў пажар; пажарышча|папялішча
Першае дзіця|першынец
Першае цяленне каровы|першацёл
Паласа, стужка ці рамень праз плячо (звычайна ў формавай адзежы)|тальмах
Павязка, перакінутая праз шыю і служэлая для падтрымлівання хворай рукі|тальмах
Складовая частка глебы, якая з'яўляецца прадуктам гніення раслінных і жывёльных рэштак; перагной|перагной
Канцэрт, лекцыя і т. п., перадатныя па радыё, тэлевізару|перадача
Рэчы, прадукты, якія перадаюцца (у турму, лякарню і т. п.)|перадача
