Сельскагаспадарчая праца|сенажаць
Склад і колькасць розных формаў розных генаў у папуляцыях таго ці іншага выгляду арганізмаў|генафонд
Склад міністраў, што ўваходзяць ва ўрад|кабінет
Складальнік рэфератаў|рэферэнт
Складзены ў вызначаным парадку пералік аднастайных прадметаў|каталог
Складнік Эридана, якая мае нулявую зорную велічыню|Ахернар
Складовая частка складаных слоў, што пазначае стаўленне да самалётаў|авія
Складовая частка ваеннага мастацтва: тэорыя і практыка падрыхтоўкі і вядзенні бою|тактыка
Складовая частка гальванічнага элемента|электрод
Складовая частка глебы|перагной
Складовая частка трансфарматара|абмотка
Стан рахунку кліента ў слоіку (бухг.)|пазіцыя
Стан рэзкай слабасці з прычыны падзення крывянага ціску|калапс
Стан біясферы, якое склалася ў выніку ўзаемадзеяння яе законаў з дзейнасцю чалавека|наасфера
Стан захаплення, асалоды|зачараванне
Стан крайняй безнадзейнасці. Чай тут ні пры чым|роспач
Стан глебы, якая змяшчае ў сабе лёд|мерзлата
Стан чалавека ў разумным розуме і памяці|свядомасць
Стан чалавека|бадзёрасць
Стан чалавека|увага
Стан чалавека|жаль
Стан чалавека|надзея
Стан чалавека|роспач
Стан чалавека|радасць
Стан чалавека|шчасце
Стан чалавека|трывога
Стан чалавека|замілаванне
Стан чалавека|пачварнасць
Стан, што чакаюць вас пасля трох гадзін отгадывания гэтай крыжаванкі|атупенне
Стан, пагрозлівае жыцці|калапс
Стан, у якім сумешчаны і крык, і слёзы, і смех|істэрыя
Стан, калі яшчэ памятаюць, што чагосьці ўжо не памятаюць. (Неизв.)|склероз
Стан, пры якім усё знаходзіцца на сваіх месцах|парадак
Станы супакою, нерухомасці, раўнавагі|статыка
Якое складаецца з некалькіх частак верш да ўрачыстага выпадку ці на міфалагічную тэму|кантата
Мноства аднастайных прадметаў|гушчыня
Што складаецца на харчовым забеспячэнні|ядок
Спачуванне да тых, каго мы кахаем|пяшчота
Змаганне, у якім больш слабому падаецца фора|гандикап
Змаганне, калі тры абітурыента на адно месца|конкурс
Змаганні страляльных лыжнікаў|біятлон
Злучэнне сурмы|антыманід
Злучэнне хим. элемента з кіслародам|вокісел
Злучэнне баявых караблёў (речн.)|флатылія
Злучэнне ваенных караблёў аднаго ці некалькіх класаў|дывізія
Злучэнне ёду, антысептык з непрыемным пахам, які ўжываўся для апрацоўкі ран у абедзвюх сусветных войнах|иодоформ
Злучэнне мыш'яку з іншымі элементамі|арсенід
Злучэнне элемента з атамамі кіслароду, злучанымі паміж сабой|перакіс
Злучальная перапонка пад мовай|аброць
Соединительнотканная пласцінка для фіксацыі цягліц|апанеўроз
Злучальныя дэталі трубаправодаў (муфты, траякі, кутнікі і інш.)|фітынгі
Сооруж. для биол. абіркі сцёкавых вод|аэратэнк
Збудаванне з шэрагамі лавак для публікі на стадыёнах|трыбуна
Збудаванне з праёмамі для царкоўных званоў, званіца|званіца
Збудаванне ў выглядзе шэрагу прыступак для ўздыму і спуску|усходы
Збудаванне ў выглядзе калідора для транспартных сродкаў|тунэль
Збудаванне ў выглядзе моста|эстакада
Збудаванне для астуджэння вады ў сістэме адваротнага водазабеспячэння прамысловага прадпрыемства|градзірня
Збудаванне для захоўвання вялікіх мас збожжа|элеватар
Збудаванне для паветраных ваннаў|аэрарый
Збудаванне для конноспортивных спаборніцтваў|іпадром
Збудаванне для прыёму паветраных ваннаў|аэрарый
Збудаванне для транспарта, пешаходаў, пракладкі камунікацый на некаторай вышыні над паверхняй зямлі|эстакада
Збудаванне з каменя, у якім труна з прахам памерлага|магільня
Збудаванне ці прылада для скачкоў|трамплін
Збудаванне, якое перагароджвае раку для ўздыму вады|плаціна
Збудаванне, да якога нельга па-наплявальніцку ставіцца|студня
Паведамленне сарафаннага радыё|плётка
Паведамленне пра падзеі дня, публікуемае ў друку, што перадаецца па радыё, тэлебачанню|рэпартаж
Паведамленне пра мясцовыя падзеі, пра падзеі дня|рэпартаж
Паведамленне журналіста (рэпарцёра) з месца падзей|рэпартаж
Паведамленне|вестка
Адпаведны правілам свецкай прыстойнасці|комильфо
Суадносіны дзвюх муз. гукаў па вышыні|інтэрвал
Суадносіны фарбаў у карціне па тоне, насычанасці колеру|каларыт
Спаборніцтва, якое мае мэтай вылучыць лепшых удзельнікаў, лепшыя працы|конкурс
Спаборніцтва, як правіла, не спартовае|конкурс
Спаборніцтва|аўтагонка
Спаборніцтвы серыйных машын|аўтаралі
Спаборніцтвы спартовых каманд – мінанне вызначанай адлегласці што змяняюць адзін аднаго спартоўцамі|эстафета
Спаборніцтвы ў бегу і інш., у якіх спартоўцы адной каманды змяняюць адзін аднаго на розных этапах, перадаючы адзін аднаму|эстафета
Спаборніцтвы на звышдоўгую дыстанцыю|марафон
Сорак дзён, на працягу якіх у 14 павеку ў Італіі трымалі на рэйдзе суда, якія прыбылі з няшчасных па чуме месцаў|карантын
Сорочинское гандлёвае мерапрыемства|кірмаш
Пустазельная трава, што вылучае горкі малочны сок|багаткі
Пустазельная расліна з калючымі суквеццямі і пладамі|дзядоўнік
Пустазельная трава з венікавым суквеццем|метлица
Пустазелле (травы. расліна)|амброзія
Пустазелле (травы. расліна)|вострыца
Пустазелле (травы. расліна)|макрыца
Пустазелле (травы. расліна)|павітуха
Пустазелле, атрутны. травы. расліна|багаткі
Гатунак самых буйных і салодкіх сталовых яблыкаў|апорт
Гатунак сакавітых яблыкаў падоўжанай формы|кандыль
Гатунак салодкага перцу, рэкамендуемы для гадоўлі ў зімовых цяпліцах|пяшчота
Гатунак салодкіх яблыкаў|размарын
Гатунак сліў|вугорка
Гатунак слівы з буйнымі салодкімі пладамі|ренклод
Гатунак парэчкі|галубка
Гатунак парэчкі|загадка
Гатунак сыра|бакштэйн
Гатунак сыра|камамбер
Гатунак сыра|пармезан
Гатунак сыра|сулугуни
Гатунак вострага італьянскага сыра|пармезан
Гатунак аўсяных круп|геркулес
Гатунак агуркоў|крынічка
Гатунак белакачаннай капусты|падарунак
Гатунак віна і вінаграда|фетяска
Гатунак віна|рэйнвейн
Гатунак вінаграда і віны|саперави
Гатунак вінаграда і марка віна|ізабела
Гатунак вінаграда нямецкага паходжання|рыслінг
Гатунак вінаграда|каталон
Гатунак вінаграда|канкорд
Гатунак вінаграда|хусайне
Гатунак вінаграда|шардоне
Гатунак вінаграднага віна|рэйнвейн
Гатунак вішні|любская
Гатунак груш|лімонка
Гатунак грушы з вінна-салодкімі пладамі|бергамот
Гатунак грушы з буйнымі сакавітымі пладамі|бергамот
Гатунак суніцы|мысовка
Гатунак разынак|карынка
Гатунак разынак|чермиан
Гатунак капусты|кальрабі
Гатунак цукерак з арэхамі|грыльяж
Гатунак цукерак|карамель
Гатунак цукерак|мармелад
Гатунак кавы|карамель
Гатунак чырвонага вінаграднага віна|лафіт
Гатунак лёгкага здобнага печыва|бісквіт
Гатунак лядзяшоў|монпансье
Гатунак маліны|мальбара
Гатунак маліны|трыножкі
Гатунак дробнай кіслявай слівы|мірабель
Гатунак марозіва|пламбір
Гатунак морквы|нанцкая
Гатунак малдаўскага вінаграда і чырвонага віна|кабернэ
Гатунак мяса: верхняя частка задняга сцягна|сцягняк
Гатунак мяса|бараніна
Гатунак мяса|ялавічына
Гатунак мяса|грудзінка
Гатунак мяса|свініна
Гатунак мяса|цяляціна
Гатунак мяккіх цукерак|памадка
Гатунак папярос|беломор
Гатунак персікаў|зафрани
Гатунак позняй белакачаннай капусты|зімоўка
Гатунак памідораў|малышок
Гатунак пірожнага|бульбачка
Гатунак фруктовай карамелі: празрыстая і цвёрдая цукерка без начыння|лядзяш
Гатунак чаю|бадзёрасць
Гатунак чарэшні|Напалеон
Гатунак ваўнянай тканіны для верхняй адзежы (устар.)|казімір
Гатунак ваўнянай тканіны|каверкот
Гатунак шакаладных цукерак|грыльяж
Гатунак яблыкаў|Джонатан
Гатунак яблыкаў|цітаўка
