С/г прыстасаванне|акучнік
Сэксуальнае самазадавальненне з дапамогай масажу палавых органаў|ананізм
Секмышца, жалеза, праца якой паказвае на спрацоўванне рэфлексу (мёд., биол.)|эффектор
Секта, якая ўзнікла ў 19 ст. у ЗША|мармоны
Паселішча каля Віцебску (буйная бітва ў 1812 г.)|Неверов
Паселішча ў Бельгіі, каля якога ў 1815 году состоялорсь апошняя бітва Напалеона: Англія, Прусія – Францыя|Ватэрлоо
Паселішча ў Грэцыі, назва якога злучана з выглядам лёгкай атлетыкі|марафон
Паселішча ў казачых абласцях|станіца
Сяло каля Куйбышава з музеем Леніна|Алакаевка
Сяло ў Ніжагародскай губерні, знакамітае сваімі канаркавымі заводамі па ўсёй Расіі|Павлово
Сяло ў Мыцішчанскім раёне|Марфино
Сяло на Саратовщине, дзе ў радавым склепе пахаваны рускі вынаходнік Павел Яблочков|Боцік
Сяло, каля якога ў 1812 г. рускія прадэманстравалі сваё ваеннае мастацтва і гераічнасць|Барадзіно
Села, у раёне якога напалеонаўскія войскі патрывалі буйную паразу ў вайне 1812 г.|Чырвонае
Сяло, у якім паўстаў у ХVII ст. руская народная мастацкая здабыча па дэкаратыўнай размалёўцы на драўляных вырабах|Хохлома
Сяло, мястэчка|паселішча
Сельскагаспадарчая самаходная машына|трактар
