Гатунак яблыкаў|янтарка
Соў. авіяканструктар, стваральнік першага рэактыўнага пасажырскага самалёта|Туполев
Соў. авіяканструктар|Бярэзнік
Соў. авіяканструктар|Ильюшин
Соў. авіяканструктар|Лавочкин
Соў. авіяканструктар|Петляков
Соў. аграном, глебазнавец|Тулайков
Соў. акцёр і рэжысёр тэатра лялек|Деммени
Соў. акцёр і рэжысёр, шарон. фам. Вовси (1890–1948)|Михоэлс
Соў. акцёр, загінулы падчас здымак фільма “Дырэктар”|Урбанский
Соў. акцёр; рус. прамысловец|Марозаў
Соў. акцёр|Адомайтис
Соў. акцёр|Алейников
Соў. акцёр|Анненков
Соў. акцёр|Болдуман
Соў. акцёр|Баярскі
Соў. акцёр|Бурляев
Соў. акцёр|Гарчакоў
Соў. акцёр|Гостюхин
Соў. акцёр|Губенко
Соў. акцёр|Жариков
Соў. акцёр|Зельдин
Соў. акцёр|Киндинов
Соў. акцёр|Конскі
Соў. акцёр|Коренев
Соў. акцёр|Гаплікаў
Соў. акцёр|Куравлев
Соў. акцёр|Лапиков
Соў. акцёр|Леньков
Соў. акцёр|Ливанов
Соў. акцёр|Любезнов
Соў. акцёр|Малевич
Соў. акцёр|Менглет
Соў. акцёр|Папанов
Соў. акцёр|Пастухоў
Соў. акцёр|Пашутин
Соў. акцёр|Пуговкин
Соў. акцёр|Пузырев
Соў. акцёр|Стеблов
Соў. акцёр|Толубеев
Соў. акцёр|Фатюшин
Соў. акцёр|Піліпаў
Соў. акцёр|Филозов
Соў. акцёр|Харатьян
Соў. акцёр|Шакуров
Соў. акцёр|Шалевич
Соў. акцёр|Шевелев
Соў. акторка (Украіна, Львоў)|Доценко
Соў. акторка (тэатр Вахтангова)|Райкіна
Соў. акторка|Алентова
Соў. акторка|Алфёрава
Соў. акторка|Андрейченко
Соў. акторка|Берзина
Соў. акторка|Барысава
Соў. акторка|Гоголева
Соў. акторка|Догилева
Соў. акторка|Еланская
Соў. акторка|Засечына
Соў. акторка|Крючкова
Соў. акторка|Кулиева
Соў. акторка|Лаўровая
Соў. акторка|Левтова
Соў. акторка|Майорова
Соў. акторка|Малявина
Соў. акторка|Міронава
Соў. акторка|Мышкова
Соў. акторка|Пельтцер
Соў. акторка|Польскіх
Соў. акторка|Проклова
Соў. акторка|Санаева
Соў. акторка|Соколова
Соў. акторка|Талызина
Соў. акторка|Телегина
Соў. акторка|Тенякова
Соў. акторка|Терехова
Соў. акторка|Хитяева
Соў. акторка|Чурсина
Соў. акторка|Шагалова
Соў. акторка|Шатрова
Соў. альпініст|Абалаков
Соў. скульптар і графік|Абакелия
Соў. адмысловец у вобл. газотехники і хим. перапрацоўкі газу|Копытов
Соў. спартовец, чэмпіён свету 1973 па шрубалётным спорце|Чекалов
Соў. спартовец-барацьбіт (дзюдо)|Меркулов
Соў. спартовец-барацьбіт (дзюдо)|Мухамор
Соў. спартовец-барацьбіт (дзюдо)|Тенадзе
Соў. спартовец-барацьбіт|Бакулин
Соў. спартовец-барацьбіт|Давидян
Соў. спартовец-барацьбіт|Ігуменаў
Соў. спартовец-барацьбіт|Каныгин
Соў. спартовец-барацьбіт|Караваяў
Соў. спартовец-барацьбіт|Коридзе
Соў. спартовец-барацьбіт|Мустафин
Соў. спартовец-барацьбіт|Пинигин
Соў. спартовец-барацьбіт|Прокудин
Соў. спартовец-барацьбіт|Резанцев
Соў. спартовец-барацьбіт|Сапуноў
Соў. спартовец-барацьбіт|Саркисян
Соў. спартовец-барацьбіт|Фадзаев
Соў. спартовец-барацьбіт|Шатворян
Соў. спартовец-барацьбіт|Яковенко
Соў. рэжысёр, рэфарматар сцэны, орг-ор і рук. камер. тэатра|Таіраў
Соў. рэжысёр|Козинцев
Соў. рэжысёр|Трауберг
Соў. харавы дырыжор|Баблоев
Соў. хакеіст, брамнік|Трацяк
Соў. хакеіст|Альметов
Соў. хакеіст|Бабинов
Соў. хакеіст|Балдерис
Соў. хакеіст|Девятов
Соў. хакеіст|Жлуктов
Соў. хакеіст|Зигмундт
Соў. хакеіст|Ковалев
Соў. хакеіст|Курашев
Соў. хакеіст|Лабачоў
Соў. хакеіст|Локотко
Соў. хакеіст|Махинько
Соў. хакеіст|Канёў
Соў. хакеіст|Мошкаров
Соў. хакеіст|Немчинов
Соў. хакеіст|Пантюхов
Соў. хакеіст|Первухин
Соў. хакеіст|Пеўняў
Соў. хакеіст|Чыюкоў
Соў. хакеіст|Рагулин
Соў. хакеіст|Шпакоў
Соў. хакеіст|Ценявік
Соў. хакеіст|Трефилов
Соў. хакеіст|Трухачев
Соў. хакеіст|Туников
Соў. хакеіст|Тюриков
Соў. хакеіст|Фетисов
Соў. хакеіст|Фаменкаў
Соў. хакеіст|Харламаў
Соў. хакеіст|Дубцоў
Соў. хакеіст|Хамутоў
Соў. хакеіст|Цыганков
Соў. хакеіст|Чарапанаў
Соў. хакеіст|Чибирев
Соў. хакеіст|Шепелев
Соў. хакеіст|Шипицин
Соў. хакеіст|Юшкевич
Соў. мастак|Горелов
Соў. мастак|Кузьмин
Соў. мастак|Лисицкий
Соў. мастак|Осмеркин
Соў. мастак|Пахомов
Соў. мастак|Ромадин
Соў. мастак|Ряжский
Соў. мастак|Савицкий
Соў. мастак|Срэбны
Соў. мастак|Шишко
Соў. хірург, 1-я ў свеце перасадка ныркі чалавеку (1933)|Варонай
Соў. хімік (1878–1959)|Тананаев
Соў. хімік (1891–1968)|Одинцов
Соў. хімік, акад., адмысловец па пытаннях ачысткі вады|Кульский
Соў. хімік, акад. з 1913|Курнаков
Соў. хімік, спец. па хіміі высокомол. злучэнняў|Роговин
Соў. хімік, у 1939–40 міністр асветы Эстоніі|Когерман
Соў. хімік, гл. рэд. “Часопіса фізічнай хіміі” з 1984 г.|Грязнов
