Два ачка на носу|пенснэ
Двойчы Герай Савецкага Звяза (1944, за гераічнасць у баях у Запаляр'е; 1945, за баявыя адрозненні пры высадцы марскога дэсанта на ўсходняе ўзбярэжжа Сяўбу. Карэі)|Лявонаў
Двойчы Герай Савецкага Звяза (1944, за адрозненне пры вызваленні гг. Казатин, Черновцы і фарсіраванні рр. Днестр і Пруць), палкоўнік (1944)|Бойка
Двойчы Герай Савецкага Звяза (1945), палкоўнік (1953)|Мыхлик
Двойчы Герай Савецкага Звяза (1945), палкоўнік (1956)|Гареев
Двойчы Герай Савецкага Звяза, генерал-лейтэнант авіяцыі|Алексенко
Двойчы Герай Савецкага Звяза, генерал-лейтэнант артылерыі (1977)|Пятроў
Двойчы Герай Савецкага Звяза, адзін са стваральнікаў партызанскага руху на Ўкраіне|Ковпак
Дзве жэрдкі, злеплены крыгай, Дрыготкі, згубны ... , Пакладзены праз струмень: І прад шумліваю безданню, Здзіўленні поўная, Остановилася яна. (А. Пушкін, “Яўген Онегин”)|масток
Дзве карты, дадаткова якія здаюцца ў прэферансе|прыкуп
Дзве скрыначкі з тэкстамі з Торы (юдаізм)|тфилин
Дзве поллитры|літр
Дзве паловы?|цэлае
Дзве рэйкавыя ніткі, выкладзеныя на вызначанай адлегласці адна ад іншай (у Расіі 1520 мм) і прымацаваныя да шпал|каляіна
Дзве старонкі ў злічальных кнігах з адным і тым жа поряд. ном.|фоліо
Дзве кропкі над літарай|трема
Двенадцатисильный трактар, які вырабляўся ў 30-е гады ў г. Марксштадте|карлік
Дванаццаць тузінаў|грос
Двередержательница|завеса
Дзверцы ў акне|фортка
Рухавік гандлю|рэклама
Рухавік, вал якога прыводзіцца ў кручэнне за кошт пераўтварэння энергіі пары, газу, воды|турбіна
Рухавік, якім энергія пары, газу ці рухомай вады пераўтворыцца ў механічную працу|турбіна
Рухавік унутранага згарання, які працуе на цяжкім вадкім паліве|дызель
Рухавік унутранага згарання|матор
Рухальная рэакцыя найнізкіх арганізмаў пад уплывам аднабаковага раздражнення святлом, тэмпературай, токам і т. д.|таксіс
Рух хваста сабакі, якое выдае шчырасць яе пачуццяў|вілянне
Рух вады ў рацэ|плынь
Рух ці становішча рук, што ахопліваюць каго-небудзь для ласкі, выразы сяброўскіх пачуццяў|объятие
Рух лакаматываў і вагонаў па станцыйных шляхах пры складанні цягнікоў і т. п. працах|манеўры
Рух каня не ў той бок, куды пасылае вершнік|закідка
Рух лёду па плыні ракі|крыгаход
Рух назад у развіцці|рэгрэс
Рух, ход развіцця|хада
Рухі, якія адказваюць характару танца|пластыка
Рух аўтамабіля па крывой|віраж
Рух у балеце|фуэте
Рух у якім-небудзь кірунку|ход
Рух у вызначаным кірунку|ход
Рух у цяжкай атлетыцы|рывок
Рух у худы. культуры 20 ст.|авангардызм
Рух уніз|спуск
Рух паветра ў гарызантальным кірунку|вецер
Рух паветра адносна зямной паверхні|вецер
Рух паветра?|павеў
Рух газаў і дыму ў топачных і вентыляцыйных прыладах|цяга
Рух за адмену якога-небудзь закона?|абаліцыянізм
Рух за адмену рабства неграў у ЗША (истор.)|абаліцыянізм
Рух за далучэнне да Грэцыі на пакінутых пад Асманскай імперыяй греч. землях у 19 ст.; совр. – на грэцкай частцы Кіпра|энозис
Рух прылады пасля стрэлу|адкат
Рух ад простага да складанага?|развіццё
Рух ад частак да цэлага ў спазнанні, наогул злучэнне, абагульненне|сінтэз
Рух пад музыку|танец
Рух рукой ці іншы рух цела, што-небудзь якое выказвае ці суправаджалае гаворка|жэст
Рух судна па плыні|дрэйф
Рух творчага дзеяча, накіраванае на нешта грандыёзнае|замах
Рух, круцячыся ці слізгаючы па якой-небудзь паверхні?|качэнне
Рух, развіццё чаго-небудзь|ход
Рух, суправаджалае гаворка|жэст
Рух, якое выводзіць паветра з лёгкіх вонкі|выдых
Рухі твару, што выказваюць унутраны стан|міміка
Рухі рукамі над тварам пры ўводзінах у сост. гіпнозу|пасы
Рухавік гульні|рызыка
Рухавік ракеты|сопла
Рухальная сіла|цяга
Рухомая карціна|кіно
Рухомая светлая плямка ад адлюстраванага сонечнага прамяня|зайчык
Двое дзяцей стаялі поруч куста: –Гэта чорная? –Не, чырвоная! –А чаму белая? –Таму што зялёная! Пра што ідзе гаворка?|парэчка
Двайковая адзінка|біт
Двайковы, які складаецца з двух кампанентаў? (адказ – прыметнік)|бінарны
Двойка|пары
Падвойная папяровая палоска, наклеиваемая на карэньчык кніжнага блока для надання яму трываласці і лепшага вонкавага выгляду|гільза
Падвойная зорка ў сузор'і Вялікая Мядзведзіца|Мицар
Падвойная зорка?|Кастар
Двайнік Івана Грознага з фільма “Іван Васільевіч змяняе прафесію”|Бунша
Двайнік прадмета ці паняцці|аналог
Двайнік чалавека ў старажытных егіпцян|ка
Падвойнае азотна-фосфорн. минеральн. угнаенне|амафос
Падвойнае задавальненне на траіх, але не “Ригли даблминт”|літр
Падвойны ліст шчыльнай паперы, які злучае кніжны блок|фарзац
Падвойны ліст, што злучае вокладка з кнігай|фарзац
Падвойны ўдар у шахматах|відэлец
Падвойнай?|бі
Дваістасць перажывання|амбівалентнасць
Палац Людовіка|луўр
Палац рызыкі|казіно
Палац бога Одзіна, месцазнаходжанне душ ваяроў, загінулых у бою?|Валгала
Палац у Петергофе, адгэтуль Бястужаў-Марлинский|марлі
Палац веласпорту|трэк
Палац і крэпасць феадала|замакрэў
Палац турэцкага султана|сераль
Палац, крэпасць феадала|замакрэў
Прыслужнік, акольнічы, частка шэрагу загадаў, які адкрыў на свае сродкі шэраг лякарань, багадзельняў, школу ў Андрэеўскім манастыры (17 ст.)|Ртищев
Дворничья прыналежнасць|венік
Дварняк, не якая выйшла ростам|бобік
Дваровы сабака (па распаўсюджанай мянушцы)|жучка
Дваровыя дысідэнты|шпана
Палацавы белы хлеб для царскага стала ў 15–17 стст.|басман
Дваранін, абшарнік у царскай Расіі|пан
Дваранін, якога паставілі на калены і пераламалі шпагу|шэльма
Дваранін-абшарнік у Прусіі|юнкер
Дваранскі знак|герб
Дваранскі тытул П'ера дэ Кубертена, сталага родапачынальнікам сучасных Алімпійскіх гульняў|барон
Дваранскі тытул у Заходняй Еўропе|герцаг
Дваранскі тытул у Іспаніі|гранд
Дваранскі тытул у некаторых краінах Заходняй Еўропы|маркіз
Дваранскі тытул у некаторых краінах|віконт
Дваранскі тытул у краінах Заходняй Еўропы, сярэдні паміж баронам і графам|віконт
Дваранскі тытул у Францыі|віконт
Дваранскі тытул ніжэй графскага|барон
Дваранскі тытул чалавека, па патрабаванні якога Пушкіна выслалі з Адэсы|граф
Дваранскі тытул, які “здабыў” свайму гаспадару кот у ботах|маркіз
Дваранскі тытул. У сяр. стагоддзі – васал караля|барон
Дваранскае званне, тытул|барон
Дваранства ў Польшчы, Літве|шляхта
Двоюр. брат царэвіча Гаутамы, суправаджаў Буду 45 гадоў|Ананда
Стрыечны брат і зяць Мухамеда|Алі
Стрыечны брат?|кузен
Двухбортная хатняя куртка?|тужурка
Двухгаловая вяршыня на Вялікім Каўказе|Шхара
Двухгаловая цягліца пляча?|біцэпс
Двукартинный чарцёж прасторавай постаці|эпюр
Двухразовы алімпійскі чэмпіён па хакеі, у наш час трэнер зборнай каманды хакейных зорак Расіі|Зімін
Двукрылое якая джаліць казурка|авадзень
Двукрылое казурка, лічынкі якога паратизируют на целе жывёл|авадзень
Двукрылое казурка|камар
Двулетняя трава сямейства парасонавых|амі
Двухаблічны|Янус
Двухаблічнае бажаство|Янус
Двудушны, крывадушны чалавек (перен.)|янус
Двухногая істота, якое дапамагае чацвераногаму пільнаваць авечак|чабан
Двухпальцы гультай|унау
Двуречье, старажытная дзяржава?|Месапатамія
Двухрадкоўе ў класічнай усходняй паэзіі|бейт
Двухрадкоўе ў паэзіі народаў Блізкага і Сярэдняга Ўсходу, звычайна ўтрымоўвае скончаную думку|бейт
Двухбаковы барабан|дол
Двухбаковы барабан|доол
Двухбаковы ваўняны дыван|килим
Дзвюх думак у адну звязаць не можа|ёлуп
Дзвюх- ці трохколавы сродак з рухавіком унутранага згарання, працоўны аб'ём якога да 50 кв. гл|мапед
Двухканальнае прайграванне гуку з выкарыстаннем левага і правага крыніц|стэрэа
Двухколавая ці длиная чатырохколавыя калёсы|арба
Двухколавы конны воз без рысор?|двухколка
Двухколавая лёгкая калыска, у якую запрагаецца чалавек|рыкша
Двухколавая пароконная антычная баявая калясніца|біга
Двухколавы воз|арба
Двухколавыя калёсы ў Крыму, на Каўказе і ў Сярэдняй Азіі|арба
Двухмачтовое судна з прамымі ветразямі на абедзвюх шчоглах?|брыг
Двухмесны ровар|тандэм
Двухмесны спорт. двухколавы ровар|тандэм
Двухмесны экіпаж з сядушкамі, размешчанымі адно супраць іншага|візаві
Двуходка, сім. яшчарак|амфисбена
Двухскладовая вершаваная ступня з націскам на другім складзе|ямб
Двухскладовая вершаваная ступня з націскам на першым складзе|тхароў
Двухбаковы ваўняны дыван|килим
Двухэлектродны паўправаднік|дыёд
Двухэлектродны прыбор з аднабаковай праводнасцю|дыёд
Двухпавярховы аўтобус далёкага прытрымлівання|ротель
Дэбетавая ці крэдытовая рэштка пры зняволенні рахунку|сальда
Дэбош, рукапрыкладства|бойка
Дэбютны фільм для Крысціны Орбакайте?|пудзіла
Панна мусульманскага рая|гурыя
Панна, пацярпелая ад залатога дажджу|Даная
Дэвізам гэтага капітана было “Рухомы ў рухомым”|Нямое
Дзявоцкія гутаркі, калі дзяўчыны – птушачкі|ціўкат
Дзявоцкае прозвішча Лінды Макартні|Истмен
Дзявоцкае прозвішча Соф'і Талсты|Берс
Дзеўка-___ – цуд-каса|краса
Дзяўчынка, “якая закідала” кветнікі сваімі вочкамі|Анюта
Дзяўчынка, што пабыла ў Краіне цудаў і Залюстаркоўе|Аліса
Дзяўчынка, якая здолела падпаліць ледзяное сэрца|Герда
Дзяўчынка, што выслабаніла Кая з палону Снежнай каралевы|Герда
Дзяўчынка-падлетак, физич. развіццё якой апярэджвае яшчэ дзіцячую псіхіку, недастатковы жизненнный досвед|акселератка
Дзяўчына мары, якая адмовіла два разу|зараза
Дзяўчына, дакладная спадарожніца графа Монте-Кристо|Гайде
Дзяўчына, становяшаяся знакам Францыі, носіць фрыгійскі ...|каўпак
