Грашовая адзінка Анголы|кванза
Грашовая адзінка шэрагу еўрапейскіх краін|франк
Грашовая адзінка шэрагу краін|франк
Грашовая адзінка краіны?|валюта
Грашовая адзінка, = 100 кобо, Нігерыя|найра
Грашовая адзінка, = 100 піястрам (курушам), Ватыкан, Італія, Турцыя|ліра
Грашовая адзінка, = 100 сентаво, Мазамбік, Партугалія|эскуда
Грашовая адзінка, = 100 филлерам, Вугоршчына|форынт
Грашовая адзінка, якая ў Іспаніі замяніла ў 19 павеку эскуда|песета
Грашовая адзінка, пакладзеная ў аснову грашовай сістэмы краіны|валюта
Грашовая адзінка = 1/100 ліры, Ватыкан, Італія, Турцыя|піястр
Грашовая адзінка = 100 сантыма, Іспанія|песета
Грашовая адзінка = 100 чонам, Карэя|вона
Грашовая адзінка|фунт
Грашовая і вагавая адзінка ў Старажытнай Русі: срэбны злітак вагай каля полуфунта|грыўня
Грашовая купюра, якая мела хадня ў Расіі з 1769 г. па 1849 г.|асігнацыя
Грашовая наяўнасць прадпрыемства, арганізацыі, установы|каса
Грашовы падатак у інш. Грэцыі|форос
Грашовая сістэма дзяржавы|валюта
Грашовая сума ці іншая каштоўнасць, якая выдаецца наперад у рахунак будучага плацяжу|аванс
Грашовая сума, якую гулец укладвае ў рызыкоўную гульню|стаўка
Грашовае спагнанне ў пакаранне завошта-небудзь|штраф
Грашовае пакрыццё для звароту закладу|выкуп
Грашовая ўзнагарода за працу|аплата
Грашовая ўзнагарода, пакрыццё чаго-небудзь?|плата
Грашовая ўзнагарода|плата
Грашовы выраз кошту тавара?|кошт
Грашовае ці іншае матэрыяльнае заахвочванне|прэмія
Грашовае забеспячэнне за выслугу гадоў, па непрацаздольнасці|пенсія
Грашовы дапаможнік з боку дзяржавы?|субсідыя
Грашовыя знакі замежных дзяржаў і выяўленыя ў іх вэксалю, загваздкі і інш. аплатныя дакументы|валюта
Грашовыя сродкі, якія захоўваюцца ў слоіку|унёсак
Грашовы дакумент?|акрэдытыў
Грашовы падатак на Русі|подать
Деним як нешта джынсавае?|тканіна
Дзень тыдня; сукупнасць прыродных умоў|асяроддзе
Дзень тыдня|асяроддзе
Дзень перад святам|пярэдадне
Дзень п'ём – гулянка, тры дня – свята, пяць дзён – п'янства, дзесяць дзён – ...|загул
Грошы ... кахаюць|рахунак
Грошы ў Кіргізіі|сом
Грошы ў сейфе|нал
Грошы ці іншыя каштоўнасці, выдадзеныя наперад у рахунак будучага плацяжу?|аванс
Грошы ці матэрыяльныя каштоўнасці, якія даюцца службовай асобе як подкуп|хабар
Грошы ці матэрыяльныя каштоўнасці, што атрымліваюцца ад якога-небудзь роду дзейнасці|прыбытак
Грошы на захоўванне ў слоіку|унёсак
Грошы сышлі|марнаванне
Грошы, багацце (разг.)|мошна
Грошы, спаганяемыя для гадоўлі “кветак жыцця”|аліменты
Грошы, якія той, хто іх плаціць, заўсёды, па ўласным перакананні, плаціць ні завошта|штраф
Грошы, якія выдаюцца наперад у рахунак заробку|аванс
Грошы, маёмасць, што належыць дзяржаве ці абшчыне|казна
Грошы?|бабкі
Дэпардзье|Жэрар
Дэпартамент Францыі|Вандея
Дэпартамент у Францыі|Пра
Дэпартамент у Францыі|Од
Дервишская мясціна, малельня|ханака
Дерев. парусно-вяслярнае судна (Д. Усход)|кунгас
Дерев. плоскод. одномачтовое судна ў Ю.-В. Азіі|сампан
Вясковая жылая пабудова|хата
Вясковая абшчына ў Інданэзіі|Деса
Вясковая абшчына ў Інданэзіі|Дусун
Вясковая сядзіба ў старажытным Рыме|Віла
Вясковы дэтэктыў, незамужняя англічанка|Марпл
Вясковы інвентар для сенажаці|граблі
Вясковая крама|сельпо
Вясковы пяюн|певень
Вясковы энергостроитель|пячнік
Вёска ў Беларусі, спаленая гітлераўцамі разам з жыхарамі|Хатынь
Вёска ў казахаў|аул
Вёска, у якой з-за адсутнасці “Фэйри” вечныя праблемы з мыццём посуду?|Виллабаджо
Вёска, месца гістарычнай рады, на якім М. Кутузаў вырашыў пакінуць Маскву|Фили
Дрэва (слова з сонніка Мартына Задеки, які чытала Таццяна Ларина)|елка
Дрэва афрыканскіх саван|баабаб
Дрэва ў Юж. Амерыцы|агаката
Дрэва ў Паўднёвай Амерыцы|акагата
Дрэва для першынствавалых|пальма
Дрэва з роду платанаў|чынара
Дрэва ці хмызняк, выкарыстоўваныя для замацавання пяскоў?|гребенщик
Дрэва ці хмызняк роду верб|ракіта
Дрэва ці хмызняк сямейства вярбовых з пухнатымі ныркамі|вярба
Дрэва ці хмызняк сямейства вярбовых, якое расце звычайна па берагах рэк|ракіта
Дрэва ці хмызняк сямейства розоцветных з сабранымі ў пэндзлі ялкавымі памяранцава-чырвонымі пладамі|рябина
Дрэва роду вярба?|вярба
Дрэва роду вярба|вярба
Дрэва роду льм|вяз
Дрэва роду кария сямействы арэхавых|пекан
Дрэва роду таполя|асіна
Дрэва з “кашмарнай” вуліцы|вяз
Дрэва з белай карой|бяроза
Дрэва з вузкім лісцем|вярба
Дрэва з каштоўнай драўнінай|ціс
Дрэва сем. симарубовых, лісце – корм гусеніц шаўкапрада|айлант
Дрэва сем. эбенавых|хурма
Дрэва сямейства бярозавых з цвёрдай драўнінай|граб
Дрэва сямейства бомбаксовых, характэрнае для саван Афрыкі|баабаб
Дрэва сямейства бомбаксовых. Лісце пальчатосложные, якія ападаюць на гарачы час, кветкі белыя буйныя?|баабаб
Дрэва сямейства букавых з карычневымі пладамі|каштан
Дрэва сямейства вярбовых з высокім і прамым ствалом|таполя
Дрэва сямейства кляновых, белы клён|явар
Дрэва сямейства лещиновых з гладкім шэрым ствалом|граб
Дрэва сямейства маслиновых з пёрыстым лісцем і цяжкай пругкай драўнінай|ясень
Дрэва сямейства ружовых|арония
Дрэва сярэдняй паласы з увесь час дрыготкім лісцем|асіна
Дрэва каштоўнай пароды|аксаміт
Дрэва паўднёвых краін з араматычнай драўнінай|сандал
Дрэва паўднёвых краін, звычайна з прамым не галінастым ствалом і з буйным вечназялёным лісцем|пальма
Дрэва, выгляд анчара з атрутным млечным сокам|уратаваў
Дрэва, драўніну якога выкарыстоўваюць у сталярнай справе і мэблевай вытворчасці|ясень
Дрэва, якое жыве больш 2000 гадоў|платан
Дрэва, з драўніны якога на Русі рабілі лыжкі|ліпа
