Горад у Іспаніі|Мурсия
Горад у Кітаі|Фуян
Горад у Кітаі|Харбін
Горад у Кітаі|Чэнду
Горад у Кітаі|Шэньян
Горад у Кітаі|Юймынь
Горад у Калумбіі|Ибаге
Горад у Комі, цэнтр нафтавай прамысловасці|Ухта
Горад у Комі|Емва
Горад у Карэі|Сувон
Горад у Карэі|Тэгу
Горад у Кастрамскай вобл.|Нея
Горад у Кастрамскай вобласці|Галіч
Горад у Кот-д’Івуары, у 1960–83 сталіца дзяржавы Бераг Слановай Косткі|Абіджан
Горад у Кот-д’Івуары|Абоисо
Горад у Краснодарск. краі|Ейск
Горад у Краснадарскім краі (з 1963)|Абинск
Горад у Краснадарскім краі|Ейск
Горад у Краснаярск. краі|Ужур
Горад у Краснаярскам краі|Абакан
Горад у Краснаярскам краі|Карск
Горад у Курскай вобл.|Обоянь
Горад у Курскай вобл.|Щигры
Горад у Кыргызтане|Токмак
Горад у Кыргызтане|Узген
Горад у Латвіі, на рацэ Лиелупе|Елгава
Горад у Латвіі, буйны курорт на беразе Рыжскага заліва|Юрмала
Горад у Латвіі; прыток Зап. Дзвіны|Огре
Горад у Латвіі|Алсунга
Горад у Латвіі|Алуксне
Горад у Латвіі|Ауце
Горад у Латвіі|Огре
Горад у Латвіі|Сабиле
Горад у Латвіі|Тукумс
Горад у Ленингр. вобл. на рацэ Волхов|Кириши
Горад у Ленінградскай вобл.|Сенажаці
Горад у Ленінградскай вобласці на рацэ Тигода|Любань
Горад у Ленінградскай вобласці|Тихвин
Горад у Лівіі на мяжы з Алжырам|Гат
Горад у Лівіі|Зуара
Горад у Лівіі|Тобрук
Горад у Лівіі|Хомс
Горад у Ліпецкай вобл.; прыток ракі Варонеж|Усмань
Горад у Ліпецкай вобл.|Данков
Горад у Ліпецкай вобл.|Усмань
Горад у Ліпецкай вобласці|Бруду
Горад у Літве|Акмяне
Горад у Літве|Алітус
Горад у Літве|Аникщяй
Горад у Літве|Арегала
Горад у Літве|Биржай
Горад у Літве|Варана
Горад у Літве|Варняй
Горад у Літве|Вевис
Горад у Літве|Даугай
Горад у Літве|Езнас
Горад у Літве|Жагаре
Горад у Літве|Ионава
Горад у Літве|Каўнас
Горад у Літве|Кельні
Горад у Літве|Обяляй
Горад у Літве|Плунге
Горад у Літве|Пренай
Горад у Літве|Русне
Горад у Літве|Седа
Горад у Літве|Симнас
Горад у Літве|Утена
Горад у Літве|Шакяй
Горад у Літве|Шаўляй
Горад у Літве|Шедува
Горад у Літве|Шилале
Горад у Літве|Шилуте
Горад у Літве|Шяуляй
Горад у Луганскай вобл.|Брянка
Горад у Львоўскай вобласці|Сколе
Горад у Люксембурзе|Вильц
Горад у Маўрытаніі|Нямая
Горад у Македоніі, кліматычны курорт|Охрид
Горад у Малайзіі|Ипох
Горад у Марый Эл, праз які праходзіць газаправод|Помары
Горад у Марый-Эл|Волжск
Горад у Марока|Мекнес
Горад у Марока|Таза
Горад у Марока|Тетуан
Горад у Марока|Уджда
Горад у Марока|Фес
Горад у Мексіцы|Лявон
Горад у Мексіцы|Пуэбла
Горад у Мексіцы|Тампик
Горад у Магілёўскай вобласці|Горкі
Горад у Магілёўскай вобласці|Шклоў
Горад у Малдавіі, прыстань на рацэ Пруць|Леово
Горад у Малдавіі|Бяльцы
Горад у Малдавіі|Дрокия
Горад у Малдавіі|Оргеев
Горад у Малдавіі|Сарокі
Горад у Малдавіі|Унгены
Горад у Малдове|Бяльцы
Горад у Малдове|Кагул
Горад у Манголіі|Бярут
Горад у Мардовіі|Інсар
Горад у Моск. вобл.|Руза
Горад у Моск. вобласці; левы прыток ракі Масквы|Истра
Горад у Моск. вобласці; прыток Волгі|Дубна
Горад у Моск. вобласці|Бачнае
Горад у Моск. вобласці|Дрезна
Горад у Моск. вобласці|Дубна
Горад у Моск. вобласці|Истра
Горад у Моск. вобласці|Кашира
Горад у Моск. вобласці|Клін
Горад у Моск. вобласці|Мытищи
Горад у Моск. вобласці|Озеры
