Разменная манета Амана|байза
Разнавіднасць делопроизводственных дакументаў у Расіі ХVII–ХVIII стст. – запісы пазасудовых вусновых сведчанняў у дзяржаўных установах|казкі
Разнавіднасць хатняй адзежы|халат
Разнавіднасць дарожнай торбы?|валізка
Разнавіднасць древнерим. камедыі|тогата
Разнавіднасць жывёл, якія маюць агульныя прыкметы|парода
Разнавіднасць зайца|бяляк
Разнавіднасць зайца|русак
Разнавіднасць вярбы; аповяд А. Чэхава|вярба
Разнавіднасць вярбы|вярба
Разнавіднасць імя Іосіф|Восіп
Разнавіднасць выкапнёвых сапрапелевых вуглёў, якія ўтварыліся з рэштак багавіння|богхед
Разнавіднасць двукоссяў|лапка
Разнавіднасць карэты|фаэтон
Разнавіднасць керамікі|парцалян
Разнавіднасць керамікі|фаянс
Разнавіднасць крыжадзюба|еловик
Разнавіднасць дывана|палас
Разнавіднасць касцяной тканіны|дэнцін
Разнавіднасць культурных раслін, што валодаюць аднолькавымі ўласцівасцямі і прыкметамі|гатунак
Разнавіднасць курагі|кайса
Разнавіднасць лёгкага бетону|асфальт
Разнавіднасць люстры|засня
Разнавіднасць мэблі, як правіла для кухні|куток
Разнавіднасць мінерала серпентин|афіт
Разнавіднасць мінерала цыркону (назв. па Азорскіх о-вам)|азорит
Разнавіднасць шматгадовага лука|батун
Разнавіднасць шматгадовага лука|порей
Разнавіднасць шматгадовага лука|шнитт
Разнавіднасць монаршьего тытула|цар
Разнавіднасць музыкі|джаз
Разнавіднасць мяккай пшаніцы з белым збожжам|альбидум
Разнавіднасць натуральнай воспы|аластрим
Разнавіднасць нашейного хусткі|шалік
Разнавіднасць некаторых аркестравых музычных прылад|альт
Разнавіднасць аленя|казуля
Разнавіднасць пакосту|оксоль
Разнавіднасць артаклазу|адуляр
Разнавіднасць восцяў для лоўлі марскога звера|гуляла
Разнавіднасць ачкоў|пенснэ
Разнавіднасць нашыйніка|пятля
Разнавіднасць пёраў у птушак і валокны шерстного полага ў млекаспажыўцоў|пух
Разнавіднасць пірага|кекс
Разнавіднасць плоскага друку|афсет
Разнавіднасць плоткі|таран
Разнавіднасць крою рукавоў|рэглан
Разнавіднасць посуду|сподак
Разнавіднасць злачынства|тэракт
Разнавіднасць проса (травы. расліна)|гаалян
Разнавіднасць проса|сорга
Разнавіднасць развязак, даўжынь. рамень у рыштунку каня|шамбон
Разнавіднасць рэлігійнага кірунку ў стараверстве і сектанцтве|толк
Разнавіднасць рэпелентаў|антифидинг
Разнавіднасць рагаціны, якая мела крывую паласу з адным лязом, злёгку выгнутым на канцы, якое насаджвалася на доўгі тронак|совня
Разнавіднасць рускай народнай партманеткі|панчоха
Разнавіднасць санкавага спорту?|бабслей
Разнавіднасць селядца|івасі
Разнавіднасць сядушкі|лава
Разнавіднасць синтетич. каучуку|тыякол
Разнавіднасць синтетическ. валокны|акрыл
Разнавіднасць страфы|актава
Разнавіднасць супу|бацвінне
Разнавіднасць сыра|брынза
Разнавіднасць тэксту рукапіснага помніка, якая ўсталёўваецца на падставе асаблівасцяў мовы|перавод
Разнавіднасць тэніса|сквош
Разнавіднасць тэасофіі – сумесь рэлігійнай містыкі і фантастычных забабонаў|антрапасофія
Разнавіднасць цяпліцы|шклярніца
Разнавіднасць ціхага шуму, напрыклад, лістоты|шолах
Разнавіднасць турмаліну|дравит
Разнавіднасць угнаення|фасфат
Разнавіднасць пакавальнай тары|скрыня
Разнавіднасць фарсу ў французскім тэатры ў 15–16 павеках|соти
Разнавіднасць фігурнага катання|танец
Разнавіднасць филэмбриогенеза, пры якім эвалюцыйныя пераўтварэнні органаў у жывёл адбываюцца пасродкам ранніх эмбрыянальных адхіленняў, так што развіццё органа з самага пачатку ідзе па новым шляху|архаллаксис
Разнавіднасць фартэпіяна|раяль
Разнавіднасць гаспадарча карысных жывёл, што адрозніваюцца якімі-небудзь прыкметамі ад жывёл таго ж выгляду|парода
Разнавіднасць чаго-небудзь|гатунак
Разнавіднасць чэркескі|чыху
Разнавіднасць кроку каня|галоп
Разнавіднасць шахматнай задачы?|эцюд
Разнавіднасць шашак|рэндзю
Разнавіднасць шпинели, назв. па радовішчы Акера, Швецыя|акерит
Разнавіднасць штэпселя, які мае адна загваздка для падлучэння да эл. ланцугі|штэкер
Разнавіднасць электр. пахілу|манта
Разнавіднасць электроннага прыбора – лямпы, транзістара|трыёд
Разнавіднасць южноафрик. муз. лука|горра
Разнавіднасць яблыні нізкай|дусен
Разнавіднасць яблыні, выкарыстоўванай у якасці прышчэпы|дусен
Разнавіднасць, форма загадкі?|шарада
Рознагалоссе, сварка, варожасць, смута|разлад
Рознае можа здарыцца, калі чорны ... дарогу пяройдзе|кот
Разнастайнасць (меркаванняў, поглядаў, тавараў, прадукцыі)|спектр
Разнастайная ежа|стравы
Рознабакова ўтвораны чалавек?|эрудыт
Рознасць паміж памерамі якая ахопліваецца і што ахоплівае дэталяў|нацяг
Рознасць паміж прыбыткамі і выдаткамі за определенн. час|сальда
Рознасць паміж аднабаковымі межамі разрыўнай функцыі|скок
Рознасць паміж прыходам і выдаткам грошай у балансе, вартасным выразам экспарту і імпарту краіны|сальда
Разносчык энцэфаліту|клешч
Рознакаляровая дуга на небасхіле|вясёлка
Распушчаная п'яная гулянка, групавы сэкс і т. п.|оргія
Распушчанае баляванне|оргія
Розныя лёсы (роля Фрейндлиха)|Рощин
Выкрывальнік сухот|Кох
Разавая дзелавая папера, дакумент|талон
Разавы цыкл металургічнай вытворчасці|плаўленне
Спусташэнне, банкруцтва|крах
Распрацоўвальная спосабы атрымання розных соляў галіна?|галургія
Распрацаваны план збудавання|праект
Распрацоўнік пашырэння мовы З – З++?|Страуструп
Разрастанне ў якім-небудзь органе злучальнай тканіны, якая замяшчае яго што гінуць клеткі і часці|цыроз
Разрастанне глоточной міндаліны|адэноід
Разрастанне злучальнай тканіны ў падскурнай абалоніне розных органаў|гума
Разрэджаны стан газу, паветра|вакуум
Разрэз для рукава|пройма
Разрэзанае месца па даўжыні чаго-небудзь|расшчэп
Дазвол на ўварванне ў жыллё|ордар
Дазвол на ўезд у якую-небудзь краіну, соотв. адзнака ў пашпарце|віза
Дазвол на ўезд, выезд з-за межы|віза
Дазвол пракурора на ордары, які дае права арыштаваць?|санкцыя
Разбурэнне берагоў мораў, азёр, буйных вадасховішчаў хвалямі|абразія
Разбурэнне хваль у берагоў мораў і буйных азёр?|прыбой
Разбурэнне хвалямі берагоў мораў, азёр|абразія
Разбурэнне горных парод пад уплывам хим. уздзеянні вады?|карозія
Разбурэнне марскіх хваль|бурун
Разбурэнне атачальнага прыроднага асяроддзя|экоцид
Разбурэнне арганічнага рэчыва|тлен
Разбурэнне поверхн. матэрыялу пад дзействаў. тэмпературы|абляцыя
Разбурэнне паверхні металу ў выніку механічнага дзеяння струменя газу, вадкасці, цвёрдых часціц, кавітацыі ці электрич. разрадаў|эрозія
Разбурэнне цвёрдай тканіны зуба|карыес
Разбурэнне тканіны косткі зуба|карыес
