Рака на паўвостраве Індастан|Інд
Рака, якую пісьменнік Н. П. Задорнов назваў “бацечкам”|Амур
Рака, левы прыток Дняпра|Дзясна
Рака, левы прыток Обі|Шчупаковая
Рака, левы прыток Акі|Масква
Рака, левы прыток Акі|Нара
Рака, левы прыток Акі|Пра
Рака, левы прыток Акі|Протва
Рака, на беразе якой адбылася сутычка Мцыри з барсам|Арагви
Рака, на якой казачил Емяльян Пугачев|Яик
Рака, на якой адбылася бітва ў 1240, рускія–шведы|Нява
Рака, на якой адбылася бітва ў 1770, Расія–Турцыя|Марна
Рака, на якой адбылася бітва ў 1914, Англія, Францыя–Нямеччына|Ларга
Рака, на якой адбылася бітва|Сить
Рака, на якой адбылося першае (31.5.1223) бітва рускіх і палавецкіх войскаў з мангола-татарскімі войскамі, якія атрымалі перамогу|Калка
Рака, на якой адбывалася бітва ў 1471, Масква–Ноўгарад|Шелонь
Рака, на якой адбывалася бітва ў 1770, Расія–Турцыя|Кагул
Рака, на якой адбывалася бітва ў 1914, Расія–Нямеччына|Нарев
Рака, на якой адбывалася бітва ў 1916, Англія, Францыя–Нямеччына|Сомма
Рака, на якой размешчаны Новасібірск|Иня
Рака, на якой размешчаны старажытнарускі горад Ноўгарад|Волхов
Рака, на якой размешчаны Барнавул, Новасібірск|Об
Рака, на якой размешчаны гарады Рудны, Кустанай, Курган|Тобол
Рака, на якой варта Новоиерусалимский манастыр|Истра
Рака, на якой варта Чэлябінск|Миасс
Рака, на якой варта г. Прага|Влтава
Рака, на якой варта горад Омск|Иртыш
Рака, на якой стаяць гарады Сураж і Добруш|Іпуць
Рака, найвялікі прыток Волгі|Кама
Рака, па якой можна пераплысці з Туркменіі ў Іран|Атрек
Рака, якая дазваляе выказаць здагадку, што парыжане ловяць рыбу ў сухой траве|Сена
Рака, правы складнік Шилки|Онон
Рака, правы прыток Нілу|Атбара
Рака, правы прыток Акі|Мокша
Рака, правы прыток Акі|Проня
Рака, правы прыток Акі|Упа
Рака, правы рукаў дэльты ракі Дон|Аксай
Рака, прыток Амазонкі|Иса
Рака, прыток Аракса|Арпа
Рака, прыток Варонежа|Усмань
Рака, прыток Соммы (Францыя)|Авр
Рака, прыток Тэмзы|Тейм
Рака, што праходзіць па Маскве, назва якой далечы дачка і сын заснавальнікаў горада Мосоха і Квы|Яўза
Рака, якая праходзіць праз Тулу|Упа
Рака, што праходзіць праз сталіцу астраўной еўрапейскай дзяржавы|Тэмза
Рака, якая падзяляе Нямеччыну і Польшчу|Ложы
Рака, што злучае Мстино і Ильмень|Мста
Рака, якая злучае Онежское і Ладажскае азёры|Свір
Рака, складнік Сырдар'і|Нарын
Рака, у якой “жывуць аленяводы і рыбачаць рыбакі”|Печора
Рака, у якой у 1378 г. адбылася бітва рускіх войскаў з татара-манголамі|Вожа
Рака, якая згадваецца ў “Слове пра полк Игореве”|Каяла
Рака, частка мяжы паміж Польшчай і Нямеччынай|Одар
Рака, праз якую Хирон перавозіў душы памерлых|Ахерон
Рака, што ўпадае ў іншую раку|Прыток
Рака, дзе было 1-е бітва рус. і половецк. войскаў з манголамі|Калка
Рака-малалітражка|Ака
Рака. У старажытнасці – Ра, у сярэднія вякі – Итиль, Атала, ці Атель?|Волга
Рака; літ. часопіс; кінатэатр у Маскве|Нява
Рака|Витим
Рака|Волга
Рака|Вятка
Рэкламнае выданне|буклет
Рэкламны лозунг, дэвіз, накіраваны на стварэнне іміджу фірмы ці на рэкламу тавара|слоган
Рэкламны праспект|буклет
Рэкламны ролік|кліп
Рэкламны фільм|ролік
Рэкардыст па продажах|хіт
Рэкардсмен гульні на царкоўным органе (119 гадзін)|Станли
Рэктар Пражскага ўніверсітэта ў 1409 г.|Гус
Рэлігійная спадчына|запавет
Рэлігійны падзвіжнік, пустэльнік|аскет
Религ. цэнтр, месца каранавання негусаў|аксум
Религ. цэнтр, месца каранавання негусаў|аусум
Религиоз. спеў|харал
Религиозн. уяўленне ў Іспаніі і Партугаліі|аўта
Религиозн. забароны ў юдаізме на харчовыя прадукты|кашрут
Рэлігійная група, якая адшчапілася ад панавальнай царквы|секта
Рэлігійная кніга|Біблія
Рэлігійная місіянерская арганізацыя|місія
Рэлігійна-містычнае вучэнне пра магчымасць непасрэднага зразумення бажаства, спірытызм?|тэасофія
Рэлігійна-палітычная дзейнасць царкоўных арганізацый, якая выяўляецца ў распаўсюдзе царкоўнага вучэння?|місіянерства
Рэлігійна-філасофскае вучэнне пра бога, як пра асобу, якая стварыла свет і кіравальнай ім|тэізм
Рэлігійна-філасофская дактрына, што прызнае Бога як творцы, але якая адпрэчвае Божая здабыча|дэізм
Рэлігійна-філасофскі часопіс|арэапагітыкі
Рэлігійна-філасофскае вучэнне пра Бога, як пра істоту, што стварыў свет, але не кіраўніку яго лёсамі|дэізм
Рэлігійна-філасофскае вучэнне пра бога, як пра істоту, які стварыў свет і кіравальным ім|тэізм
Рэлігійна-філасофскае вучэнне пра бога, што стварыў свет|тэізм
Рэлігійнае ўстрыманне|пост
Рэлігійны светапогляд, выходнае з разумення бога як абсалютнай асобы|тэізм
Рэлігійны кірунак у стараверстве, якой-небудзь секце|толк
Рэлігійны спеў|псалом
Рэлігійны спеў|харал
Рэлігійнае ўяўленне пра незалежнае існаванне духу, душы ў кожнага чалавека, жывёлы, расліны і пра магчымасць зносін чалавека са сваім духам, душой|анімізм
Рэлігійнае служэнне бажаству і злучаныя з гэтым абрады|культ
Рэлігійная плынь, “якое плыве” супраць плыні|секта
Рэлігійная плынь, што адлучылася ад веравучэння і яму супрацьстаялае|секта
Рэлігійная плынь|бхакти
Рэлігійнае вучэнне, створанае ў Іране ў 40-х гадах 19 ст.|бабизм
Рэлігійныя абрады і рытуалы|культ
Рэлігійныя спевы (хвалы Богу, маленні, скаргі, праклёны і т. д.), сабраныя ў Псалтыры|псаломы
Рэлігійныя спевы|харал
Рэлігійная забарона на любую працу па суботах у иудаистов|шаббат
Рэлігійная забарона, надвигаемый на вызначаны прадмет, слова ці дзеянне ў першабытных народаў|табу
Рэлігійная забарона, які накладаецца на вызначаны прадмет, слова ці дзеянне ў першабытных народаў?|табу
Рэлігійны междусобойчик|секта
Рэлігійны настаўнік, настаўнік|гуру
Рэлігійны падзвіжнік, які адмаўляецца ад жыццёвых выгод|аскет
Рэлігійнае свята|Сёмуха
Рэлігійны кіраўнік габрэйскай абшчыны|рабін
Рэлігійны цэнтр балтыйскіх славян 10–12 стст. на о. Рюген (Нямеччына) (горад у Еўропе)|Аркона
Рэлігійны цэнтр ісламу, святы горад мусульман|Мека
Рэлігія мусульман|іслам
Рэлігія пакорлівых|іслам
Рэлігія, да якой ставяцца гэтыя тэрміны: заход, саунаў, суна|іслам
Рэлігія, заснаваная ў 7 павеку|іслам
Рэлігія|іслам
Рэльефны мур|руст
Рэльефны малюнак на цвёрдым матэрыяле для паліграфічнага прайгравання|клішэ
Рэльефная адукацыя?|гара
