Аргентынскі абаронца Лас Пальмаса?|Шурэр
Паўабаронца Пармы і зборнай Японіі?|Накату
Паўабаронца Пармы?|Маіні
Паўабаронца Райо Валекано?|Луіс Цембранос
Паўабаронца Рэал Сас'едада і зборнай Турцыі?|Тайфун
Паўабаронца Рэал Сас'едада?|Чупрын
Паўабаронца Рэала і зборнай Партугаліі?|Фігу
Паўабаронца Рэала і зборнай Францыі?|Зідан
Паўабаронца Ромы і зборнай Італіі?|Тамазі
Паўабаронца Ромы і зборнай Італіі?|Тоці
Паўабаронца Тэнэрыфэ?|Хуго Маралес
Паўабаронца Тарына?|Вергасола
Паўабаронца Ўдзінэзэ і зборнай Аргентыны?|Пінеда
Паўабаронца Ўдзінэзэ?|Скарлата
Паўабаронца Фіарэнціны?|Амароза
Паўабаронца Фіарэнціны?|Бароніа
Паўабаронца Фіарэнціны?|Коіс
Паўабаронца Чэлсі, капітан моладзевай зборнай Італіі?|Дала Бона
Паўабаронца Эспаньёла і зборнай Мексікі?|Паленсія
Паўабаронца Ювентуса і моладзевай зборнай Італіі?|Марэска
Паўабаронца Ювентуса і зборнай Галандыі?|Давідс
Паўабаронца Ювентуса і зборнай Італіі?|Кантэ
Паўабаронца Ювентуса і зборнай Чэхіі?|Недвед
Паўабаронца ў спартовых гульнях з мячом|хаўбек
Паўабаронца зборнай Бразіліі і Мадрыдскага Рэала 50х гадоў?|Дзідзі
Паўабаронца зборнай Італіі, капітан Ромы?|Тоці
Паўабаронца зборнай Расіі?|Аленічаў
Паўабаронца зборнай Расіі?|Аршавін
Паўабаронца зборнай Расіі?|Бабёр
Паўабаронца зборнай Расіі?|Ізмайлаў
Паўабаронца зборнай Расіі?|Карпін
Паўабаронца зборнай Расіі?|Каряка
Паўабаронца зборнай Расіі?|Лакціонаў
Паўабаронца зборнай Расіі?|Маставы
Паўабаронца зборнай Расіі?|Смерцін
Паўабаронца зборнай Расіі?|Цетрадзе
Паўабаронца зборнай Расіі?|Цітоў
Паўабаронца зборнай Расіі?|Чупрын
Паўабаронца зборнай Францыі і Мадрыдскага Рэала 50х гадоў?|Копа
Паўабаронца зборнай Чэхіі і Ювентуса|Недвед
Паўабаронца-ўніверсал К'ево?|Перота
Паўабаронца Мальёркі?|Нова
Югаслаўскі паўабаронца Атлетыка, гулец за Мальёрку на арэндзе?|Паўновіч
Югаслаўскі паўабаронца Ромы?|Таміч
Швейцарац, паўабаронца Баварыі|Сфорца
Швецкі паўабаронца Венецыі?|Андерсан
Харвацкі абаронца Венецыі?|Цвітановіч
Харвацкі паўабаронца Малагі?|Леко
Французскі паўабаронца Аталанты?|Дабо
Французскі паўабаронца Пармы?|Джету
Партугальскі паўабаронца Тэнэрыфэ?|Біно
Румынскі паўабаронца Валенсіі?|Сербан
Румынскі паўабаронца Мадрыдскага Атлетыка, аддадзены ў арэнду Эспаньёлу?|Мунцяну
Нападнік Арсенала і зборнай Францыі?|Анры
Нападнік Аталанты і былы гулец Мілана?|Камандзіні
Нападнік Аталанты, “Другі Вьеры”?|Расіні
Нападнік Аталанты, адзін з лепшых бамбардзіраў Італьянскага Чэмпіянату?|Доні
Нападнік Аталанты, які пагуляў у Мілане і Перуджэ?|Саўдаці
Нападнік Барселоны і моладзевай зборнай Аргентыны?|Савіола
Нападнік Барселоны і зборнай Бразіліі?|Рівалда
Нападнік Балонні і моладзевай зборнай Італіі, будучы гулец Ювентуса?|Кіпрыані
Нападнік Балонні і зборнай Аргентыны?|Круз
Нападнік Брэшыі, які правёў больш 50 матчаў за зборную Італіі?|Баджа
Нападнік Брэшыі?|Тані
Нападалы Венецыі?|Ванучы
Нападнік Венецыі?|Дзі Наполі
Нападнік Венецыі?|Маньеро
Нападнік Вероны і моладзевай зборнай Італіі?|Гільярдзіна
Нападнік Вероны і зборнай Калумбіі?|Мантана
Нападнік Вероны і зборнай Румыніі?|Муту
Нападнік Дэпартыва і зборнай Галандыі?|Мачай
Нападалы Дэпартыва і зборнай Іспаніі?|Трыстан
Нападнік Дэпартыва і зборнай Уругвая?|Пандзіані
Нападнік Дэпартыва?|Туру Флорэс
Нападнік Інтэра і моладзевай зборнай Італіі?|Вентола
Нападнік Інтэра і зборнай Бразіліі?|Раналда
Нападнік Інтэра і зборнай Італіі?|Вьеры
