Запаленне малочнай залозы?|мастыт
Выдатны акцёр, пісьменнік, рэжысёр, кампазітар, які стварыў фільмы: “Кароль Нью-Ёрка”, “Графіня з Ганконга”, “Парыжанка”?|Чаплін
Выдатны ў дадзенай вобласці дзеяч?|карыфей
Выдатны нямецкі фізік Гельмгольц растлумачыў паводзіны марскіх хваль, вывучаў лейденскую слоік і ... (не памятаю, але яшчэ штосьці вынайшаў) і адным з першых зазірнуў на дно. Якое?|вочнае
Выдатны рускі фізіёлаг (1829–1905), аўтар кнігі “Рэфлексы галаўнога мозгу”?|Сечанаў
Вылучэнне гуку ў музычным выкананні?|акцэнт
Вылучэнне, націск, узмацненне?|акцэнт
Вылучаная дзель, частка, норма чаго-небудзь?|квота
Выкліканае чым-небудзь стан прыкрасці, незадаволенасці?|раздражненне
Выкормыш капиталійскай ваўчыцы?|Ромул
Вылітая са шкла рака ў гогалеўскіх тварэннях?|Днепр
Вымерлы выгляд чалавека. Жыў у сярэднім плейстацэне каля 500 000 гадоў назад. Выяўлены вырабленыя імі ручныя секла, атрыманы доказы знаёмства з агнём. Таксама завецца “Малпачалавек”?|пітэкантроп
Вымерлы марскі головоногий малюск?|белемніт
Вымятанне ікры і молак?|нераст
Якія выканалі нормы ГТО ў савецкі час узнагароджваліся ... ?|значком
Выпуск звароту папяровых грошай і каштоўных папер?|эмісія
Выказванне “Хатка на курыных ножках” з'явілася з-за таго, што хата будавалася на пнях з ... ?|абсечанымі каранямі
Выказванне “як зюзя п'яны” можна было пачуць яшчэ напачатку ХIХ стагоддзі. Што мелі на ўвазе пад словам “зюзя”?|свіння
Выказванне, якое патрабуе разгадкі?|загадка
Выраз у шыі на жаночай сукенцы (на грудзі, часам і на спіне)?|дэкальтэ
Высадка войска?|дэсант
Выказ?|выслоўе
Высокія боты з шырокім раструбам?|батфорты
Высокая гліняная пасудзіна з шырокім горлам для малака?|гладыш
Высакагорны раён у Цэнтральнай Азіі?|Тыбет
Высокачуллівы прыбор для вымярэння слабога электрычнага току?|гальванометр
Вышыня вады ў вадаёме?|гарызонт
Вышыня гуку?|тон
Найвысокая горная вяршыня на мяжы Непала і Кітая (8844,43 м)?|Джамалунгма
Найвысокая горная сістэма Паўночнай Амерыкі?|Кардыльеры
Найвысокая горная сістэма Паўднёвай Амерыкі?|Анды
Найвысокі ў свеце вадаспад (1054 метра) знаходзіцца ў ... ?|Венесуэле
Выстаўленне сваёй кандыдатуры?|балатаванне
Выступ будынка, перакрыты стуленым паўсводам?|апсіда
Выступалая панэль з прыборамі, органамі кіравання?|кансоль
Вышэйшая кропка ці стадыя чаго-небудзь?|зеніт
Вышэйшая выбарная службовая асоба ў старажытным Рыме?|консул
Вышэйшы службовец ці выбарны твар, якое кіруе рэгіёнам?|губернатар
Вывучылы на памяць усе словы “Без праліцця крыві” саудаўскі злачынец удвая змяншае тэрмін свайго зняволення. Колькі ж там слоў?|80000
Выйсце з гульні?|пас
Выйсце аднаго ці некалькіх выканаўцаў у балеце?|антрэ
Выходжанне пад скуру часткі якога-небудзь унутранага органа?|кіла
Павойная ці якая лазіць чэпкая расліна?|ліяна
Павойная трапічная расліна?|ліяна
Павойная паўднёвая расліна?|вінаград
Глейкая запальная і огнеметная сумесь?|напалм
Дзяржава ў Еўропе?|Ірландыя
Дзяржава ў Еўропе|Балгарыя
“Габарыт” вядомага казачнага хлопчыка, цалкам прыдатнага ў жаніхі Дзюймовачке.|пальчык
Гавоты – бедныя сяляне поўдня Праванса, пасля канчатка сельскага прыпару падзараблялі выкладаннем французскай мовы і ... ?|латыні
Газета, якая ўзнагароджвала Блохіна за выніковасць?|праца
Газетна-часопісны жанр?|агляд
Галантны, абыходлівы мужчына, залётнік?|кавалер
Гальштук-казурка?|матылёк
Гаргантюа і ... ?|Пантагрюэль
Гарпун для прыгатаванай здабычы?|відэлец
Гатэрыя?|таўтара
Дзе Адольф Гітлер напісаў сваю кнігу – “Мая Барацьба”? “у ...”|турме
Дзе ў антычныя часы знаходзіўся горад Кнос?|Крыт
Дзе ўручаецца прэмія “Залатая пальмавая галіна”?|Каны
Дзе павінен па традыцыі знаходзіцца будаўнік маста, калі ідуць яго выпрабаванні?|пад мастом
Дзе зайздросніку падыходна трымаць камень?|за пазухай
Дзе міністры расійскага ўрада захоўвалі бюджэты ведамстваў? “у ...”|банке
Дзе знаходзіліся Вісячыя сады?|Вавілон
Дзе знаходзіцца мора Гумбальдта?|Месяц
Дзе знаходзіцца Музей малака, заснаваны ў 80-х гадах мінулага стагоддзя?|Каўнас
Дзе знаходзяцца Чорныя Лясы (У ...)?|Нямеччыны
Дзе праводзіцца адкрыты чэмпіянат Вялікабрытаніі па тэнісе?|Уімблдон
Дзе адбылося паўстанне Спартака? “У ...”|Рыме
Дзе адбываюцца дзеянні рамана “Адхіленыя” Віктара Гюго?|Парыж
Дзе праходзіла зімовая алімпіяда-98?|Нагана
Дзе разгортваюцца падзеі рамана А. Талстога “Аэліта”?|на Марсе
Дзе гутарка нярэдка пачынаецца словамі: “Усё, што вы скажаце, можа быць скарыстана супраць вас”?|крыміналістыка
Дзе стамляюцца тытаны, зрынутыя багамі-алімпійцамі? “у ...”|Тартары
Дзе захоўвала рацыю радыстка Кэт? “у ...”|валізцы
Дзе размяшчаецца рэзідэнцыя ангельскіх каралёў?|Вестмінстар
Дзе ў вас тут гарэлкай гандлююць? – спыталі палякі. “Пайшлі, дзеці, пакаджу” – адказаў .?|Сусанін
Геката гэта багіня ... ?|вядзьмарства
Генерал ад інфантэрыі, герой Айчыннай вайны 1812 г.?|Дахтураў
Генерал, герой руска-турэцкай вайны 1877–78 гг.?|Скабелеў
Генератар зменнага току?|магнета
Генры Луіс Менкен казаў: “Цяжка паверыць, што чалавек кажа табе праўду, калі ведаеш, што ты сам на яго месцы б ...”?|зманіў
Генрых Гейне казаў, што “анёлы завуць гэта нябеснай уцехай, а чэрці – пякельнай пакутай”. Пра што гаворка?|каханне
Геаметрычная фігура?|трыкутнік
Геаметрычнае цела?|піраміда
Геарг Рыхман, сябар Ламаносава, быў знойдзены забітым у сваёй лабараторыі. Прылады забойства паліцыя так і не знайшла, паколькі падчас досведу па вывучэнні атмасфернай электрычнасці Рыхман быў забіты ... ?|маланкай
Геахраналагічная эра, распачатая прыбліз. 2600 млн. гадоў назад пасля архея і якая доўжылася звыш 2 млрд. гадоў?|пратэразой
Геахраналагічная эра, распачатая прыбліз. 570 млн. гадоў назад пасля пратэразоя і якая доўжылася 340 млн. гадоў?|палеазой
Герб якой еўрап. дзяржавы ўпрыгожвае малюнак манаха?|Манака
Нямеччына (горад у Еўропе)?|Эсэн
Германская ваенная выведка і контразведка ў 1919–44 гг.?|абвер
Германскі тытул, чын?|курфюрст
Германская аблогавая зброя “адна рука”?|эйнарм
Героі Савецкага Звяза з 1934 гады атрымлівалі ад дзяржавы ... ?|залатую зорку
Гераіня драмы А. Астроўскага “Навальніца”?|Груша
Гераіня камедыі Шэкспіра “Утаймаванне свавольнай”?|свавольная
Гераіня Лермантава “Герай нашага часу”?|Вера
Гераіня аднайменнай песні Чэлентано, якой ён прызнаецца ў каханні?|Сюзана
Гераіня аперэты Ю. Мілютына?|Чаніта
Гераічны эпас калмыцкага народа?|джангар
Герой “Іліяды”?|Ахіл
Герой “Легенды пра Вялікага Інквізітара” быў таксама і героем твора ... ?|братоў Стругацкіх
Герой ВАВ, генерал войска, пач. аператыўнага кіравання Генштаба?|Шцеменка
Герой Гражд. войны?|Кіквідзэ
Герой дзіцячых мультфільмаў?|Чабурашка
Герой Ільва Кассіля Оська крычыць: “Мама! А ў канторы таксама ёсць вундэркінд: на ім стукаюць і друкуюць”. Ён пераблытаў “вундэркінд” і ... ?|ундервуд
Герой аднаго з самых вядомых раманаў Г. Уэллса?|нябачнік
Герой аднайменнай п'есы А. Чэхава?|Іванаў
Герой рамана А. Р. Бяляева “Чалавек-амфібія”?|Сальватор
Герой рамана Я. Гашека?|Швейк
Героі Савецкага Звяза (1943, пасмяротна); загінулі пры падрыве чыгуначнага эшалона суперніка?|Ігнатавы
Герой Ю. Багатырова ў фільме “Свой сярод чужых, чужы сярод сваіх”?|Шылаў
Герой, згуляны гэтым акцёрам, унёс у наш побыт фразу: “Тастуемы п'е да дна!”?|Лявонаў
Герцаг Брабантскі Ян Грымус I быў ганаровым старшынёй нейкай Брусельскай гільдыі, а сувязі яго з Адэсай вядомыя амаль кожнаму. А якую гільдыю ўзначальваў герцаг?|півавараў
Герцаг Брэтонскі (14 стагоддзе), тлумачачыся ў каханні, выказаў жаданне замест аднаго аб'екта кахання мець дзесяць. У каханні да каго ён тлумачыўся?|каралю
Гётэ: “Калі сыходзяць героі, на арэну выходзяць... ”?|блазны
Гіганцкая зорная сістэма ў Сусвеце?|галактыка
Гідрат вокісу крэмнія – мінерал?|апал
Гідрамасажная ванна?|джакузі
Гідратэхнічнае прычальнае збудаванне, якое выступае ў акваторыю парта і прызначанае для швартоўкі судоў з двух бакоў?|пірс
Гідратэхнічнае збудаванне, якое абараняе акваторыю парта ад хвалявання?|мол
Гідратэхнічнае збудаванне, якое злучае дамбу з незатопляемой тэрыторыяй?|траверс
