Корпус артылерыйнага снарада?|шклянка
Хто быў улюбёнцам Апалона?|гіяцынт
Хто быў наркамам замежных спраў СССР у 1941 году?|Молатаў
Хто быў заснавальнікам вучэння пра спадчыннасць?|Мендэль
Хто быў першым амерыканскім мільярдарам?|Ракфелер
Хто быў першым рэйхсканцлерам Германскай імперыі?|Бісмарк
Хто быў першым чалавекам на Зямлі?|Адам
Хто быў рэжысёрам фільма “Ўзвод” (“Рlаtооn”), атрымалага ў 1986 году прэмію “Оскар”?|Стоун
Хто быў родапачынальнікам рускага футурызму?|Хлебнікаў
Хто быў сынам Ноя?|Хам
Хто ў 1895 году адкрыў прамяні загадкавай прыроды, назваўшы іх ікс-прамянямі?|Рэнтген
Хто ў 1912 г. дасягнуў Паўднёвага канцавосся?|Скот
Хто ў 19-ом павеку перасоўваў рачныя судны ўручную з дапамогай ліны?|асначы
Хто ў старажытнагрэцкай міфалогіі закочваў камень у гару?|Сізіф
Хто ў Кіеўскай Русі шанаваўся як бог-захавальнік всея Русі?|Вялес
Хто ў мультфільме “Лятучы карабель” усклікаў “Эх, жыццё мая бляшанка, ды ну яе ў балота!”?|вадзяны
Хто натхніў Андрэя Рублева на стварэнне абраза “Сёмуха”?|Раданежскі
Хто вядзе КВЗ?|Масляков
Хто ўнёс вырашальны ўнёсак у працэс вымання репки з зямлі?|мышка
Хто ўзначаліў, паводле міфалогіі, паход грэкаў супраць Троі?|Агамемнон
Хто ўпершыню высунуў ідэю пераходу на летні час?|Франклін
Хто ўпершыню правёў аперацыю на сэрца (прозвішча)?|Барнард
Хто ўпершыню спажыў тэрмін “робат”?|Чапек
Хто заўсёды выбаўляў героя фільма “Белае сонца пустэльні” таму, што “стралялі...”?|Саід
Хто ўсёткі знайшоў Залаты ключык?|Тарціла
Хто ўе гняздзечка ў бору, нібы турчык?|вяхір
Хто дзяліў узнагароду наступным чынам: “Табе дзвесце таньга за тое, што ты разумееш у хваробах, а мне дзвесце за тое, што я разумею ў дзяўчынах”?|Насрэддзін
Хто жыве даўжэй (на 9 гадоў у сярэднім), правши ці леўшуны?|правши
Хто заклаў асновы кібернетыкі?|Винер
Хто прымусіў скакаць марскога цара?|Садко
Хто з антычных богаў лічыцца заступнікам алхіміі?|Гермес
Хто з артыстаў, па меркаванні В. Бутусова, не п'е адэкалон (прозвішча)?|Делон
Хто з еўрапейцаў першым наведаў сепулькарий?|Ціхі
Хто са знакамітых амерыканскіх фантастаў нарадзіўся ў Расіі?|Азимов
Хто са знакамітых літаратурных катоў, калі верыць братам Стругацким, пакутаваў склерозам?|кот навуковы
Хто з выканаўцаў ролі Джэймса Бонда гуляў у фільме “Осьминожка”?|Мур
Хто з катоў адрозніваўся незвычайнай міралюбнасцю?|Леапольд
Хто з маскоўскіх мітрапалітаў прапаведаваў на Алясцы?|Інакенцій
Хто з очковых пражывае ў Паўднёвай Амерыцы?|мядзведзь
Хто з пісьменнікаў увёў слова “стушавацца”?|Дастаеўскі
Хто з расійскіх хірургаў упершыню правёў аперацыю пад знячуленнем на поле бою?|Пірагоў
Хто з рускіх паэтаў казаў: “Санеты ў Расіі ўмеюць пісаць толькі 2 чалавека: я і Максіміліян Валошын”?|Брюсов
Хто з рускіх вандроўцаў хадзіў “за тры моры”?|Нікітын
Хто з савецкіх міліцыянераў ганяўся за Фантомасом (прозвішча)?|Анискин
Хто намаляваў Венеру Милосскую з высунутымі скрынямі?|Далечы
Хто вынайшаў акваланг?|Кусто
Хто вынайшаў гільяціну?|Гийотен
Хто вынайшаў радыё?|Папоў
Хто ці што ходзіць па ланцугу вакол зялёнага дуба?|кот
Хто мае размах “крылаў” да 6 метраў?|манта
Хто выкарыстоўвае тэрмін “чорная дзюра”?|астраном
Хто на божай пасцелі сказаў: “Бог мне прабачыць – гэта яго рамяство”?|Гейне
Хто напісаў “А світанкі тут ціхія”?|Васільеў
Хто напісаў “Чароўную камедыю”?|Дантэ
Хто напісаў за дзесяць дзён палатно “Сярод хваль” пляцам 12 квадратных метраў?|Айвазоўскі
Хто напісаў кнігу “Вакол святла за 80 дзён” (прозвішча)?|Верн
Хто напісаў музыку да вядомага брадвейскага мюзіклу “Саts” (“Коткі”)?|Веббер
Хто напісаў “Муму” (прозвішча)?|Тургенеў
Хто напісаў пра прыгоды Жабы-вандроўніцы?|Гаршин
Хто напісаў оперу “Жыццё за цара” пра Івана Сусаніна?|Глінка
Хто напісаў оперу “Князь Ігар”?|Бородин
Хто напісаў аповесць-казку “Прыгоды Пінокіа”?|Коллоди
Хто напісаў паэму “Страчаны рай”?|Мільтан
Хто напісаў паэму “Чорны чалавек”?|Ясенін
Хто напісаў п'есу “Дзядзька Янка”?|Чэхаў
Хто напісаў раман “Зіма трывогі нашай”?|Стейнбек
Хто напісаў “Вясельны марш”?|Мендэльсон
Хто напісаў казку “Карлік-Нос”?|Гауф
Хто напісаў казку “Сіняя барада”?|Перро
Хто напісаў верш “Екклесиаст”?|Блок
Хто напісаў верш “Да Сікстынскай мадоны”?|Фет
Хто намаляваў цыкл карыкатур “Пацешная біблія”?|Эффель
Хто абедзвюма нагамі варта на зямлі, ніколі не зніме ... ?|порткі
Хто ўладальнік Кубка Расіі па футболе ў 1999 году?|зеніт
Хто адначасова і есць, і слухае (па дзядулю Крылову)?|Васіль
Хто застаецца з носам, застаўшыся без носа?|сіфілітык
Хто аддаў загад забіць сваіх братоў Барыса і Глеба?|Святаполк
Хто спяваў: “Вазак, два чырвонца як з куста, калі мяне п'янага дачакаешся”?|Розенбаум
Хто першы ўвёў ва ўжыванне паняцце “междуящичное прастора”?|Жванецкий
Хто першы адкрыў народкі?|Левенгук
Хто першым запатэнтаваў радиопередающее прылада?|Маркони
Хто першым адкрыў Паўднёвую Амерыку?|Калумб
Хто перавозіць душы памерлых у царства Аіда?|Харон
Хто пісаў: “... той факт, што сам я ў момант ліста не разумею сэнсу сваіх карцін, не значыць, што яны наогул пазбаўлены сэнсу ... ”?|Далечы
Хто пісаў: “... Паслухайце, упарціцца чаго вам? Прыйшла пара выправіць памылкі бацькоў. Зменіце імя. Станьце Радзівонам. Ці ж Раманам, урэшце.”?|Калядны
Хто плаваў на папирусной лодцы “Ра” і на плыце “Кон-Цікі”?|Хейердал
Хто па задыяку будзе той, хто народзіцца 15 ліпеня?|рак
Хто па меркаванні Оскара Уайльда валодаюць чароўным дарункам ператвараць віно ў ваду?|ангельцы
Хто па адной з версій вынайшаў радыё?|Папоў
Хто па прафесіі браты Жамчужнікавы?|пісьменнікі
Хто прымеціў, што “Ўсход – справа тонкае”?|Сухов
Хто пасля смерці можа заставацца стоячы яшчэ некаторы час?|сланы
Хто прыдумаў Алісу Селезневу?|Булычев
Хто прыдумаў кінематограф?|браты Люмьер
Хто прыдумаў камісара Мегрэ?|Сименон
Хто прыдумаў Конана-варвара?|Говард
Хто прыдумаў персанаж па імі Анастасія Каменская?|Маринина
Хто прыдумаў Планету Малп?|Буль
Хто прыдумаў слова “робат”?|Чапек
Хто прыдумаў Шцірліца?|Сямёнаў
Хто прыходзіць з падарункамі да дзяцей на Новы Год “Дзядуля...”?|Мароз
Хто праваліўся ў балота ў вершы К. І. Чуковского “Ў мяне зазваніў тэлефон”?|бегемот
Хто прамовіў з экрана сакраментальную фразу: “Жадалі, як лепш, а атрымалася, як заўсёды”?|Чарнамырдзін
Хто прамовіў словы “Пакуль дыхаю, спадзяюся”?|Овидий
Хто прамовіў “У мяне няма сродкаў утрымоўваць сумленне”?|Шапэнгаўар
Хто падарожнічаў у краіну Гуингнмов?|Гулівер
Хто разбіў войска Спартака?|Красс
Хто рассек Гордзіеў вузел?|Македонскі
Хто рэжысёр фільма “Ад змяркання да світання”?|Радрыгес
Хто сам ... , той іншым не верыць. Устаўце ў прымаўку прапушчанае слова?|шэльма
Хто зрабіў пераклад “Адысеі” Гамера на рускую мову?|Жукоўскі
Хто сядзіць побач з кіроўцам спартовага аўтамабіля падчас ралі?|штурман
Хто сімвалізуе ЗША?|дзядзька Сэм
Хто скажа – усёткі, чым скончылася пушкінская гісторыя з трыма картамі – тройка, сямёрка і туз? Бо там Герман ... ?|з глузду з'ехаў
Хто сказаў – “Vеni, vеdi, viсi”?|Цэзар
Хто сказаў – “Рэлігія – опіум для народа”?|Маркс
Хто сказаў “Папера не чырванее”?|Цыцэрон
Хто сказаў: “Шматлікія рэчы нам незразумелыя не таму, што нашы паняцці слабыя; але таму, што гэтыя рэчы не ўваходзяць у круг нашых паняццяў?”|Прутков
Хто скакаў пад ялінкай у лесе?|зайка шэранькі
Хто хаваецца пад псеўданімам “Кушеткер”?|Чэхаў
