Хто славіўся доўгім носам?|Бержерак
Конь, даўней выстаўляная на шляхі прытрымлівання для замены стомленай, звалася?|падстава
Каням апранаюцца ... , каб яны бачылі толькі дарогу?|набадры
Лук з падоўжанай цыбулінай і плоскім лісцем?|порей
Лук-“сорокозубка”?|шалот
Лепш ... раз па разе, чым ні разу ... раз. Які лік уставім?|сорак
Лепш маўчаць і славіцца ідыётам, чым загаварыць і развеяць усё ...?|сумневы
Лепш вершы, але бывае і гэта?|проза
Лепшы сродак ад перхаці?|гільяціна
Лепшы выканавец ролі Гамлета ў СССР?|Смактуноўскі
Лыкавыя плёткі?|лапці
