Каханая мужчынамі дэталь станіка?|шлейка
Марка прыбалтыйскага тэлевізара?|шилялис
Марка самалёта?|ан
Марка самалёта?|глей
Марка самалёта?|як
Марка скрыпак, якая робіць іх, без перабольшання, на вагу золата?|Страдивари
Марка савецкага магнітафона?|вега
Марка фотаапарата?|агфа
Марка фотаапарата?|зеніт
Марка фотаапарата?|зоркі
Марка фотаапарата?|коника
Марка фотаапарата?|кэнон
Марка фотаапарата?|палівачка
Марка фотаапарата?|ломо
Марка фотаапарата?|практыка
Марка японскага аўтамабіля?|мазда
Марка японскага аўтамабіля?|нісан
Марлинский – сталы псеўданім, у чытацкай свядомасці які зліўся з прозвішчам гэтага паэта, празаіка, крытыка, аднаго з дзекабрыстаў?|Бястужаў
Мартыралог – гэта складанка о ... ?|пакутніках
Маршрут збеглага катаржніка Мауриция Беневского, які здзейсніў уцёкі на захопленым ветразніку з Петрапаўлаўска-Камчацкага, завяршыўся на выспе ... ?|Мадагаскар
Маса снарада ў мужчынскім кіданні дыска (грам)?|2000
Масць у ігральных картах?|чырвы
Матадор, ён жа ... ?|тарэра
Матэматычны знак?|інфінітыў
Матэматычны знак?|менш
Матэматычны знак?|плюс
Матэматычны знак?|сума
Матэрыял поліаміднага валакна?|нейлон
Матэрыял, які атрымліваецца спяканнем шклянога парашка і порообразователя?|пенашкло
Матэрыялізаваны давер?|аванс
Матэрыяльны прадмет, службовец аб'ектам рэлігійнай глыбокай пашаны?|ідал
Мацярык, у водах якога самая вялікая скупнасць сініх кітоў?|Антарктыда
Матроскі венік-вяхотка?|швабра
Махновское імя?|Нестар
Машына для жылля (па Ле Корбюзье)?|хата
Машына для ўборкі памяшканняў у мятро названа ў гонар дзяўчыны з казкі, якая выконвала падобныя задачы – ... ?|Папялушка
Месца пражывання, месцазнаходжанне?|адрас
Мёд. ультрагукавы прыбор?|эхоскоп
Медаль яго імя не так даўно ў Расіі заснавалі адмыслова для лётчыкаў, гэта ... ?|Несцераў
Медзведзяня, шчанё, маржаня – агульная назва?|дзіцяня
Медыцынскае прыстасаванне, выкарыстоўванае для прыпынку крывацёку?|тампон
Медыцынская ўстанова?|клініка
Медна-цынкавы сплаў?|латунь
Медны сплаў?|латунь
Паміж Зямлёй і Небам – ...! – слова з песні В. Цоя?|вайна
Паміж флейтай і кларнетом?|габой
Міжнародная адзінка даўжыні, роўная 1,852 км – гэта марская ... ?|міля
Міжнародная грамадская арганізацыя, якая ставіць мэтай ахову прыроды?|гринпис
Міжпародны – звычайная, простая, шырокая; бурлацкая – хмулацей і таўсцей звычайнай; боская – даўгаватая, тупадзюбая; а таксама полубоская, носатая, тонкая, белая і інш. Пра што ўсё гэта?|лыжка
Мексіканскі жывапісец?|Ривера
Мексіканскі напой з салодкага соку агавы?|кульцы
Дробная манета Балгарыі?|стацінка
Дробныя (рост 80–140 гл) коні, выведзеныя на выспах (Брытанскія, Ісландыя, Сіцылія, Корсіка, Готланд, Хакайда). Каля 20 верхавых і легкоупряжных парод (шатландскі, валійскі, ісландскі, хакайда-...)?|поні
Дробныя пацеркі са скразнымі адтулінамі?|пацеркі
Дробныя рознакаляровыя пацеры?|пацеркі
Дробны інтрыган?|зваднік
Дробны хмызняк сямейства верасовых з вечназялёным скурыстым лісцем?|мучан
Дробны лёд ці прасякнуты вадой снег на паверхні вады перад ледоставом?|сала
Дробнае худож. выраб, вырабленае ручным спосабам?|выраб
Дробнамаянтковы дваранін, рыцар у сярэднявечнай Іспаніі?|идальго
Мельхіёр – гэта сплаў медзі, галоўным чынам, з ... ?|нікелем
Драбнюткія неклеточные прадстаўнікі жывой прыроды, якія складаюцца з нуклеінавай кіслаты (ДНК ці РНК) і бялковай абалонкі, памерам 15–350 нм і больш. Размножваюцца не толькі ў жывых клетках, але і на вінчэстарах кампутараў?|вірусы
Мера вагі каштоўных камянёў?|карат
Мера дзёгцю?|лыжка
Мера аб'ёму вадкіх і сыпкіх целаў у розных краінах, звычайна трохі больш літра?|кварта
Мера аб'ёму?|миллилитр
Мера пляца ў метрычнай сістэме мер?|га
Мера пляца, роўная 100 кв. м?|ар
Мера прымусу ў стаўленні дзяржавы, які парушыў абавязанне?|санкцыя
Мера ўтрымання золата ў сплавах, роўная 1/24 масы сплава?|карат
Меркай таннасці ў старой Русі была гэта страва?|параная рэпа
Конь у свіным аблічча?|кнор
Мерны трос з грузам на канцы, з дапамогай якога, да нядаўняга часу, вымяралі глыбіню мора?|лот
Мярцвяк?|нябожчык
Меры па засцярозе трупа ад раскладання. Было вядома з глыбокай старажытнасці і меў асаблівы распаўсюд у старажытных егіпцян?|бальзамаванне
Мясцовасць на паўднёвым усходзе Масквы, на правым беразе Масквы-рэкі?|Нагатино
Мясцовасць, выдаленая ад сталіцы і культурных цэнтраў?|правінцыя
Месца ў гісторыі, дзе апыняюцца значныя падзеі, не мінулыя праверку часам?|завуголле
Месца выступу артыста цырка?|арэна
Месца для гандлю, рынак?|кірмаш
Месца набліжэння інжынерна-тэхнічнай інтэлігенцыі да каранёў (советск.)?|овощебаза
Месца месцавання войскаў па-за населенымі пунктамі?|лагер
Месца распяцця Хрыста; аповесць Лиханова?|Галгофа
Месца рачнога ўпадзення.|вусце
Месца сядушкі ад званка да званка?|школа
Месца сустрэчы жывых і мёртвых?|могілкі
Месца, дзе рыхтуецца італьянскі суп павеза?|духоўка
Месца, дзе адбывалася бітва ў 1477, Швейцарыя–Бургундыя?|Нанси
Месца, дзе адбывалася бітва ў 1700, 1704, Расія–Швецыя?|Нарва
Месца, куды ідзе чалавек, калі ісці больш няма куды, як сказаў адзін мудрэц?|хата
Месца, пад якім бачыць мужа ў марах кожная жанчына?|абцас
Месца, дзе вам дадуць у пазыку грошай, калі вы можаце даказаць, што яны вам не патрэбныя?|банк
Месца, дзе мацуюць гюйс?|нос
Месцажыхарства народа бай?|Кітай
Месцажыхарства Івана Грознага, паведамленае ім самім у фільме Гайдая?|палаты
Месцазнаходжанне рук гультаяватага чалавека падчас хады?|штаны
Месяц французскага рэспубліканскага календара (18 авг.–16 сэнт.), у перакладзе “пладовы”?|фрюктидор
Месяц французскага рэспубліканскага календара (19 ліпеня–17 авг.), у перакладзе “гарачы”?|тэрмідор
Месяц французскага рэспубліканскага календара (21 дэк.–19 янв.), у перакладзе “снежны”?|нивоз
Месяц французскага рэспубліканскага календара (21 мар.–19 апр.), у перакладзе “які прарастае”?|жэрміналь
Месяц французскага рэспубліканскага календара (21 траўня–18 чэрвеня), у перакладзе “лугавой”?|прериаль
Месяц паста ў мусульман?|рамадан
Метал “пайшчык”?|цын
Металлич. ці пластмасавыя трубачкі для накруткі валасоў пры завивк?|бігудзі
Металічныя абцугі?|абцугі
Металічная пасудзіна для кіпячэння вады?|самавар
Металічная пасудзіна, у якім на падпаленых вуглях воскуривается ладан?|кадзіў
Металічны выраб вызначанага профіля?|пракат
Металічнае рабро горнай лыжы?|кант
Кідальная машына?|баліста
Кідальная булава серпападобнай формы, якая, апісаўшы крывую, вяртаецца да які кідае?|бумеранг
Кідальная зброя нашых старажытных продкаў?|прашча
Кідальная зброя: які замацоўваецца адным канцом на руцэ рамень з пашыранай сярэдняй часткай для раскручвання камянёў і т. п.?|прашча
Кідальная зброя аўстралійскіх першабытнікаў і інш. народаў у выглядзе выгнутай пласціны, пры кідку міма мэты можа вяртацца назад да кідальніка?|бумеранг
Завея без снегапада, падымалая снег з зямлі?|замець
Метеорное цела дасягнулае зямной паверхні?|метэарыт
Метад выраза сваіх пачуццяў з дапамогай рыфмы?|паэзія
Метад даследавання ўнутраных органаў непасрэдным аглядам іх адмысловымі прыборамі?|эндаскапія
Метад збору інфармацыі?|апытанне
Метопоскопия – гэта ... ?|физиогномика
Механізм у транспартнай машыне для злучэння і раз'яднанні валаў?|счапленне
Механізмы развіцця захворванняў?|патагенез
Механічнае ўздзеянне адмысловымі прыёмамі на паверхню цела з лячэбнай мэтай?|масаж
Футравая ці аксамітавая жаночая накідка?|палантын
Мецэнат па-сучаснаму?|фундатар
Мяшок з салам, які можна адняць у авечкі?|курдзюк
Мяшэчак-талісман, носны на грудзі?|ладанка
Мікі ... – адзін з галоўных дыснэеўскіх персанажаў?|Маўс
Мікраскапічны арганізм?|бактэрыя
Міля капітана Нямое?|лье
Мінерал, які мае цвёрдасць 5 адзінак па шкале Мооса?|апатыт
Мінерал, як і кварц, які мае цвёрдасць 7 адзінак па шкале Мооса?|турмалін
Мінерал, як і артаклаз, які мае цвёрдасць 6 адзінак па шкале Мооса?|апаў
Мінерал, як і тапаз, які мае цвёрдасць 8 адзінак па шкале Мооса?|берыл
Мінерал, найболей устойлівая ў зямной кары разнавіднасць чыстага вугляроду?|лінеіць
Мінерал, вырабны камень?|раданіт
Мінерал, рэдкі другасны силикат берылію?|бериллит
Мінерал, каштоўная руда?|берыл
Мінерал, разнавіднасць гіпсу?|алебастр
Мінеральнае злучэнне, горная парода, якая змяшчае карысныя простыя рэчывы?|руда
Мінімальная вядомая тепература на Зямлі (-89,2 З) была зафіксавана ў ліпені 1983 г. у Антарктыдзе на савецкай станцыі ... ?|усход
Мінімальная порцыя інфармацыі?|біт
