Аргентынскі абаронца Лас Пальмаса?|Шурер
Левы паўабаронца Мадрыдскага Рэала з Аргентыны?|Салары
Левы паўабаронца Мадрыдскага Рэала?|Баліч
Левы паўабаронца Райо Валлекана?|Мічэл
Левы паўабаронца Райо, арандаваны ў Эспаньола?|Арцеага
Левы паўабаронца Сандэрленда і зборнай Аргентыны?|Арка
Левы паўабаронца Севіллі?|Томас
Левы паўабаронца Тэнэрыфэ?|Іван Аня
Малады талент мадрыдскага Рэала ў нападзе?|Парцілья
Малады уругвайскі паўабаронца Брэшыі?|Каррэа
Малады цэнтральны паўабаронца Валенсіі?|Маркена
Малады нападнік Мальёркі і зборнай Камеруна?|Этоо
Малады нападнік Эспаньола?|Раўль Тамудо
Малады нігерыец у Барселоне?|Бабангіда
Малады паўабаронца Інтэра і зборнай Турцыі?|Эмрэ
Малады паўабаронца Лацыё і зборнай Югаславіі?|Станковіч
Малады паўабаронца Лакаматыва і зборнай Расіі?|Ізмайлаў
Малады паўабаронца Мілана?|Данаці
Малады аргентынскі паўабаронца Мадрыдскага Рэала аддадзены ў арэнду ў Рывер Плэйт?|Камбіасса
Малады бразільскі паўабаронца Пьяченцы?|Матузалем
Малады брамнік Брэшыі?|Агліардзі
Малады брамнік Мадрыдскага Рэала і зборнай Іспаніі?|Касільяс
Малады галкіпер Ювентуса (Заняў 3-е месца сярод брамнікаў па выніках 2001 гады)|Буфон
Малады абаронца Аякса і зборнай Румыніі?|Ківу
Малады абаронца Балонні?|Заккардо
Малады абаронца Брэшыі і зборнай Італіі?|Бонера
Малады абаронца Мілана, гулец у Дэрбі на правах арэнды?|Даіна
Паўабаронца Пармы?|Лямушы
Паўабаронца Арсенала і зборнай Швецыі?|Юнберг
Паўабаронца Аталанты і моладзевай зборнай Італіі?|Белліні
Паўабаронца Аталанты і моладзевай зборнай Італіі?|Пінардзі
Паўабаронца Аталанты?|Зеноні
Паўабаронца Аякса і моладзевай зборнай Галандыі?|Ван дэр Ваарт
Паўабаронца Баварыі і зборнай Англіі?|Харгрыўс
Паўабаронца Барселоны і моладзевай зборнай Бразіліі?|Джэаванні
Паўабаронца Барселоны?|Жэрар
Паўабаронца Балонні, арандаваны ў Ювентуса?|Брыгі
Паўабаронца Балонні?|Аліве
Паўабаронца Балонні?|Пеккіа
Паўабаронца Барусіі Дортмунд і зборнай Чэхіі?|Расіцкі
Паўабаронца Брэшыі і ў мінулым Мілана?|Джунці
Паўабаронца Брэшыі?|Філіппіні
Паўабаронца Валенсіі і зборнай Аргентыны?|Аймар
Паўабаронца Валенсіі і зборнай Іспаніі?|Бараха
Паўабаронца Валенсіі?|Албельда
Паўабаронца Венецыі?|Брессан
Паўабаронца Вероны?|Калуччы
Паўабаронца Вероны?|Маццола
Паўабаронца Вероны?|Теадарані
Паўабаронца Вічэнцы?|Заўлі
Паўабаронца Дэпартыва і зборнай Іспаніі?|Валерон
Паўабаронца Дэпартыва?|Амавіска
Паўабаронца Інтэра і зборнай Галандыі?|Зеедорф
Паўабаронца Інтэра і зборнай Іспаніі?|Фарынас
Паўабаронца Інтэра і зборнай Партугаліі?|Сержыа Кансейсаа
Паўабаронца Інтэра і зборнай Турцыі?|Окан
Паўабаронца Інтэра і зборнай Францыі?|Дальма
Паўабаронца Лас Пальмаса і зборнай Перу?|Джайо
Паўабаронца Лацыё і зборнай Іспаніі?|Мендьета
Паўабаронца Лацыё і зборнай Італіі?|Ліверані
Паўабаронца Лацыё і зборнай Італіі?|Фіарэ
Паўабаронца Лечэ?|Канціччыа
Паўабаронца МЮ і зборнай Англіі?|Бэкхэм
Паўабаронца МЮ і зборнай Аргентыны?|Верон
Паўабаронца Мадрыдскага Рэала і зборнай Англіі?|Макманаман
Паўабаронца Мілана і зборнай Партугаліі?|Руі Кошта
Паўабаронца Мілана і зборнай Турцыі?|Юміт Давала
Паўабаронца Ньюкаслу і зборнай Англіі?|Дайер
Паўабаронца Пармы і зборнай Францыі?|Міку
Паўабаронца Пармы і зборнай Японіі?|Накату
Паўабаронца Пармы?|Маіні
Паўабаронца Райо Валлекано?|Луіс Цембранос
Паўабаронца Рэал Сосьедада і зборнай Турцыі?|Тайфун
Паўабаронца Рэал Сосьедада?|Чупрын
Паўабаронца Рэала і зборнай Партугаліі?|Фігу
Паўабаронца Рэала і зборнай Францыі?|Зідан
Паўабаронца Ромы і зборнай Італіі?|Таммазі
Паўабаронца Ромы і зборнай Італіі?|Тоці
Паўабаронца Тэнэрыфэ?|Хуго Моралес
Паўабаронца Тарына?|Вергассола
Паўабаронца Ўдзінэзэ і зборнай Аргентыны?|Пінеда
Паўабаронца Ўдзінэзэ?|Скарлата
Паўабаронца Фіарэнціны?|Амароза
Паўабаронца Фіарэнціны?|Бароніа
Паўабаронца Фіарэнціны?|Коіс
Паўабаронца Чэлсі, капітан моладзевай зборнай Італіі?|Далла Бона
Паўабаронца Эспаньола і зборнай Мексікі?|Паленсія
Паўабаронца Ювентуса і моладзевай зборнай Італіі?|Марэска
Паўабаронца Ювентуса і зборнай Галандыі?|Давідс
Паўабаронца Ювентуса і зборнай Італіі?|Конте
Паўабаронца Ювентуса і зборнай Чэхіі?|Недвед
Паўабаронца ў спартовых гульнях з мячом|хаўбек
Паўабаронца зборнай Бразіліі і Мадрыдскага Рэала 50х гадоў?|Дзідзі
Паўабаронца зборнай Італіі, капітан Ромы?|Тоці
Паўабаронца зборнай Расіі?|Аленічаў
Паўабаронца зборнай Расіі?|Аршавін
Паўабаронца зборнай Расіі?|Бабёр
Паўабаронца зборнай Расіі?|Ізмайлаў
Паўабаронца зборнай Расіі?|Карпін
Паўабаронца зборнай Расіі?|Каряка
Паўабаронца зборнай Расіі?|Лактіонаў
Паўабаронца зборнай Расіі?|Маставы
Паўабаронца зборнай Расіі?|Смерцін
Паўабаронца зборнай Расіі?|Тетрадзе
Паўабаронца зборнай Расіі?|Цітоў
Паўабаронца зборнай Расіі?|Чупрын
Паўабаронца зборнай Францыі і Мадрыдскага Рэала 50х гадоў?|Копа
Паўабаронца зборнай Чэхіі і Ювентуса|Недвед
Паўабаронца-ўніверсал Кьево?|Перротта
Паўабаронца Мальёркі?|Нова
Югаслаўскі паўабаронца Атлетыка, гулец за Мальёрку на арэндзе?|Паўновіч
Югаслаўскі паўабаронца Ромы?|Таміч
Швейцарац, паўабаронца Баварыі|Сфорца
Швецкі паўабаронца Венецыі?|Андерссон
Харвацкі абаронца Венецыі?|Цвітановіч
Харвацкі паўабаронца Малагі?|Леко
Французскі паўабаронца Аталанты?|Дабо
Французскі паўабаронца Пармы?|Джету
Партугальскі паўабаронца Тэнэрыфэ?|Біно
Румынскі паўабаронца Валенсіі?|Сербан
Румынскі паўабаронца Мадрыдскага Атлетыка, аддадзены ў арэнду Эспаньолу?|Мунтяну
Нападнік Арсенала і зборнай Францыі?|Анры
Нападнік Аталанты і былы гулец Мілана?|Камандзіні
Нападнік Аталанты, “Другі Вьеры”?|Рассіні
Нападнік Аталанты, адзін з лепшых бамбардзіраў Італьянскага Чэмпіянату?|Доні
Нападнік Аталанты, які пагуляў у Мілане і Перудже?|Саудаті
Нападнік Барселоны і моладзевай сбороной Аргентыны?|Савіола
Нападнік Барселоны і зборнай Бразіліі?|Рівалда
Нападнік Балонні і моладзевай зборнай Італіі, будучы гулец Ювентуса?|Кіпрыані
Нападнік Балонні і зборнай Аргентыны?|Круз
Нападнік Брешыі, які правёў больш 50 матчаў за зборную Італіі?|Баджо
Нападнік Брешыі?|Тані
Нападалы Венецыі?|Вануччы
Нападнік Венецыі?|Дзі Наполі
Нападнік Венецыі?|Маньеро
Нападнік Вероны і моладзевай зборнай Італіі?|Гільярдзіна
Нападнік Вероны і зборнай Калумбіі?|Мантана
Нападнік Вероны і зборнай Румыніі?|Муту
Нападнік Дэпартыва і зборнай Галандыі?|Мачай
Нападалы Дэпартыва і зборнай Іспаніі?|Трыстан
Нападнік Дэпартыва і зборнай Уругвая?|Пандзіані
Нападнік Дэпартыва?|Туру Флорэс
Нападнік Інтэра і моладзевай зборнай Італіі?|Вентола
Нападнік Інтэра і зборнай Бразіліі?|Раналда
Нападнік Інтэра і зборнай Італіі?|Вьеры
