Участак воднай паверхні?|акваторыя
Французскі генетык і вірусолаг. Нобелеўская прэмія (1965, сумесна з Жакобом і Мона)?|Ільвоў
Французскі драматург, па словах Пушкіна – яго настаўнік у вобласці похабных вершаў?|Скаррон
Французскі кампазітар, “Кветкі”, “Балеро”, “Люстэркі”?|Равель
Французскі мікрабіёлаг і хімік (1840–1904)?|Дюкло
Французскі музей, дзе Джаконда?|Луўр
Французскі пісьменнік, вялікі знаўца “парыжскіх таямніц”?|Сю
Французскі фізік. Нобелеўская прэмія (1908)?|Липман
Французскі філосаф (1913–1960). Абараняў экзістэнцыялізм “абсурднага”, вучэнне пра чужасць чалавека ў свеце. Сізіф – знак жыцця. Выступаў супраць марксісткай маралі. Гэта Альбер ... ?|Камю
Французскі хімік і грамадскі дзеяч?|Бертло
Французскія каралі?|калье
Французы – “Песня пра Роланда”, грэкі – “Адысея”, фіны – ... ?|калявала
Фрыдэрык Жолио-Кюры аднойчы сказаў: “Чым далей эксперымент ад тэорыі, тым бліжэй ён да ...”?|нобелеўскай прэміі
Фрыдрых Ніцшэ лічыў, што ёсць усяго два спосабу пазбегнуць пакут у жыцці. Гэта хуткая смерць і ... ?|доўгае каханне
Фрукт, які рускія музыкі выкарыстоўвалі для назвы свайго ансамбля?|манга
Фруктовы напой?|ліманад
Фтор, хлор, ёд – гэта ... ?|галагены
Функцыя тэлефона, якая складаецца ў аўтаматычным шматразовым наборы нумара?|аўтадазвон
Футбаліст Каладзе гуляе ў кіеўскай камандзе ... ?|дынама
Футбалісты якой зборнай заявілі “Хай нам забіваюць колькі змогуць, а мы заб'ём ім колькі захочам”?|Бразілія
Футбольны абутак?|буцы
Футбольны клуб Італіі?|ювентус
Футарал для ўкладвання шаблі, шпагі, кінжала?|ножны
Футарал для лука і стрэл у скіфаў?|пракладае
Футарал, у якім лучнікі захоўваюць стрэлы?|калчан
Хайнык гэта ... ?|як
Хан Батый не здрадзіў агню адно рускае паселішча толькі таму, што яму там прынеслі кацялок ... ?|рускай капусты
Хан Вялікай Арды, параза якога прывяло да вызвалення Русі ад мангола-татарскай няволі|Ахмат
Характарыстыка постаці ў даўжыню і шырыню, якая выяўляецца ў квадратных адзінках?|пляц
Харриет Форстер, карэспандэнт “Гардиан”, назваў “Дыснэйлэндам ХVIII стагоддзі” ...|Версаль
Іглічнае, якое “становіцца” блакітным поруч органаў улады?|елка
Хим. і физ. агент, які паніжае лік мутацый?|антымутаген
Хим. радыкал, які ўваходзіць у склад шматлікіх арганічных злучэнняў?|метыл
Хим. элемент, які сустракаецца ў прыродзе ў выглядзе солі?|галоід
Хим. элемент, метал серабрыста-белага колеру?|марганец
Хим. элемент, метал?|ніёбій
Хим. элемент, метал?|палоній
Хімік Кекулле вырашыў задачу пра колцавую структуру бензолу, назіраючы з лонданскага амнібуса, як сцепляпись паміж сабой ... ?|малпы
Химич. элемент?|крэмній
Химич. элемент?|францый
Хімічны элемент – самы лёгкі з металаў?|літый
Хімічны элемент, галаген?|фтор
Хімічны элемент, выкарыстоўваны ў святлоадчувальных барабанах ксераксаў?|селен
Хімічны элемент, мяккі метал?|індый
Хімічны элемент, найважная складовая частка арганічных рэчываў?|вуглярод
Хімічнае рэчыва, якое ўжываецца ў медыцыне як абязбольвальнае?|новакаін
Хімічнае злучэнне азоту з металамі?|нітрыд
Хиромантийный дысплей?|далонь
Хірургічная аперацыя па выдаленні якога-небудзь органа, канечнасцяў?|ампутацыя
Хірургічнае выдаленне палавых залоз?|пакладанне
Хірургічнае сячэнне крайняга цела?|абразанне
Хіт групы “Мумій Троль”?|уладзівасток 2000
Хіт Найка Барзова?|конік
Хіт Сафіі Ратару?|лаванда
Хітры выкрут?|фінт
Хітры прыём?|выкрут
Драпежная пресноводная рыба атрада лососеобразных?|шчупак
Драпежная птушка ці горад у Расіі?|арол
Драпежная птушка сямейства каршаковых. Даўжыня да 90 гл. Можа доўга парыць; здабычу хапае на зямлі. Выкарыстоўваецца як ловчая птушка?|беркут
Драпежнік сямейства виверровых?|мангуст
Драпежнік сямейства каціных, распаўсюджаны ў пустэльнях Афрыкі і Азіі?|каракал
Драпежнік сямейства куньих?|перавязка
Драпежнік сямейства псовых, які насяляе на тэрыторыі ад Аляскі да Цэнтральнай Амерыкі?|каёт
Драпежнае млекопитающее роды лісіц сямейства сабак?|карсак
Драпежнае млекопитающее сім. янотавых?|коати
Драпежнае млекопитающее сямействы каціных з вельмі вострым зрокам?|рысь
Драпежнае млекопитающее?|котка
Хобі ў кінаакцёра Бруса Ўіліса – ён спявае ... ?|блюз
Хадзячы труп?|зомбі
Гаспадар фірмы, кіраўнік, вялікі начальнік (ирон.)?|бос
Халодная закуска?|салата
Халодная зброя, назва якога ў літаральным перакладзе з французскага гучыць як “разбі галаву”?|кастэт
Халодная афіцэрская зброя?|кортик
Халодная зброя ў выглядзе тонкага заменчанага стрыжня, адвёрткі і т. п.?|завострыванне
Хамут для працоўнай скаціны?|ярмо
Добры ... , калі не адзін?|блін
Добры ... – характарызуюць гаворку чалавека, віртуозна які валодае роднай мовай. Пра што гаворка?|склад
Добра аплачваная пасада, не патрабавальная вялікай працы?|синекура
Хоць у побыце гэты прадмет з чарнільнай плямай не сумяшчальны, на арэне цырка яны выдатна ўжываліся разам. Гэта былі ... ?|Аловак і Клякса
Хоць яго назва адбываецца ад італьянскага слова “высокі” – гэта самы нізкі жаночы пеўчы голас. Які?|кантральта
Хоць яго прозвішча пазначала па-грэцку “залатых спраў майстар”, ён стаў вялікім мастаком. Хто ён?|Куинджи
Хоць гэты горад не быў сталіцай СССР, але замежныя пасольствы ў ім месцаваліся?|Куйбышаў
Жадаеш свету – рыхтуйся да ... ?|вайне
Жадаеш, я выкраду для цябе маю сястру? Як яна скача! – хто зрабіў гэту прапанову ў “Герою нашага часу”?|Азамат
Хрысціянін “заходняй” царквы?|каталік
Хрысціянскае свята ў памяць уезду Хрыста ў Іерусалім, жыхары якога віталі Сына Божага, кідаючы перад ім на дарогу пальмавыя галіны. Адзначаецца ў апошнюю нядзелю перад Вялікднем?|уваход господен у іерусалім
Хрысціянскае свята ў памяць з'явы каля 910 г. ва Ўлахернскім храме ў Канстанцінопалі Багародзіцы, простирающей свой полаг над усімі вернікамі. Адзначаецца 1 (14) кастрычніка?|полаг найсвяцейшай багародзіцы
Хрысціянскае свята ў гонар сустрэчы праведнікам Сімеонам месіі – дзіцяці-Хрыста, якога бацькі прынеслі ў храм для прысвячэння Богу. Адзначаецца 2 (15) лютага?|грамніцы гасподне
Хрысціянскае свята ў гонар ператварэння Ісуса Хрыста, які явіў вучням незадоўга да Голгофских пакут сваю Чароўную прыроду. Адзначаецца 6 (19) жніўня?|Ператварэнне
Хрысціянскае свята, злучаны з хрысціянскім адданнем пра тое, як арханёл Гаўрыіл паведаміў Панне Марыі “добрую вестку” пра гядущем нараджэнні ў яе чароўнага немаўля. Адзначаецца 25 сакавіка (7 красавіка)?|звеставанне
Хрысціянскае набажэнства з прычашчэннем?|літургія
Хрысціянскае стаўленне да жорсткіх удараў лёсу?|пакора
Худож. інтэлігенцыя?|багема
Мастацкая кераміка, пакрытая непразрыстай глазурай?|маёліка
Мастацкая фарба, якую здабывалі з высушаных малюскаў?|сэпія
Мастацкае афармленне спектакля?|дэкарацыя
Мастацкі кіраўнік Маскоўскага тэатра імя Вахтангова?|Мережко
Мастак, які паказвае садавіна, гародніна і іншую ежу?|натюрмортист
Горшы з “казённых хат” у расплывістых гадалкиных прадказаннях?|турма
Хэмиэхинус Ауритус – гэта ... ?|вожык
Царыца Егіпту, якая была вядомая як “змяя Нілу”?|клеапатра
Царыца з “Казкі пра цара Салтане” разбіла чароўнае люстэрка пра ... ?|падлога
Царскае крэсла?|трон
Цар, сталы “хросным бацькам” бясплоднай працы?|Сізіф
