Спадарожнік планеты Сатурн?|Тытан
Сталіцай якой рэспублікі з'яўляецца Тэгусігальпа?|Гандурас
Сталовы прыбор, які па распаўсюджанасці займае другое месца ў свеце?|палачкі
Сталярная прылада, аднойчы прапіты лесунам?|долата
Сталярны разметочный прылада?|кутнік
Стопкран у карабля?|якар
Бок манеты, зваротная гербу?|рэшка
Бок трыкутніка, ужо “обзаведшегося” гіпатэнузай?|катэт
Прыхільнік аднаго з рэлігійных плыняў у Францыі ў 16–18 стст.?|гугенот
Вартавы закона, які звыкся да звароту “сэр”?|паліцэйскі
Вартавы Турэцкага ары?|делибаш
Краіна, у якой знаходзіцца самая нізкая кропка Паўднёвай Амерыкі?|Аргентына
“Краіна дабратворнай няроўнасці”?|Амерыка
Краіна з найвялікай колькасцю людзей, размаўлялых па-ангельску?|Кітай
Краіна, у якой паўстаў у 16 павеку хакей на лёду?|Нідэрланды
Краіна, у якой нават дажджы і тыя – касыя?|Расія
Краіна, у якой жыў літаратурны персанаж Рыкі-Тикки-Тави?|Індыя
Краіна, дзе ў 6 павеку з'явіліся першыя вятракі?|Персія
Краіна, дзе ўпершыню з'явілася званне “афіцэр”?|Францыя
Краіна, дзе ўпершыню ўсталявана ўсеагульная вайсковая павіннасць?|Францыя
Краіна, дзе круціцца самая вялікая колькасць 100-даляравых купюр?|Расія
Краіна, дзе ўзнікла гульня ў бадмінтон?|Англія
Краіна, дзе знаходзіцца святая гара Афон?|Грэцыя
Краіна, дзе насяляе адзіная ў свеце атрутная яшчарка?|Мексіка
Краіна, дзе чаем адганялі сон ужо пяць тысяч гадоў назад, лічыцца радзімай чаю – гэта ... ?|Кітай
Краіна, жыхар якой, кандытар па прафесіі, паднёс сваёй умілаванай Жуже гіганцкае сэрца, складзенае з 642 марципановых сэрцайкаў, пасля чаго яна без ваганняў пагадзілася стаць яго жонкай?|Вугоршчына
Краіна, якая падарыла свая назва пародзе самых драпежных і зласлівых котак?|Сіям
Краіна, дзе плацяць стосамі, а рэшту атрымліваюць атами?|Лаос
Краіна, з якой адбываецца аўтар рамана “Сто гадоў адзіноты”?|Калумбія
Гарачы заўзятар?|фанат
Гарачы аматар музыкі?|меламан
Запал да запалкавых скрынак – гэта ... ?|філуменія
Страх глытальных курчаў пры спробе піць, выглядзе ці нават згадванні вады пры шаленстве, істэрыі і інш.?|гідрафобія
Страхавое сведчанне?|поліс
Страшная пачвара Хімеру знішчыў грэцкі герой ... ?|Беллерофонт
Імклівы націск, які суправаджаецца традыцыйным “Ура”?|напад
Стрэсавы гармон?|адрэналін
Стрыжка прастакутнай формы?|карэ
Строгая мараль і чысціня нораваў?|пурызм
Будынак чаго-небудзь, якое адпавядае вызначанай прыступкі развіцця?|фармацыя
Строжка, циклевание, натирка, лакирование – спосабы аздаблення ... ?|паркета
Будаўніцтва жылых будынкаў, хат?|хатабудаванне
Лад баявых самалётаў?|пеленг
Будматэрыял?|даломіць
Будматэрыял?|цэгла
Будматэрыял?|цэмент
Радкі Пушкіна: “Лісліўцы, імкніцеся захаваць // І ў подласці выправу высакароднасці” выкліканы да жыцця з-за слоў ліберала графа ... ?|Варанцова
Ўпарты, утаймаваны Орнеллой Каламуць у папулярным фільме?|Челентано
Страфа з 3 вершаў?|тэрцэт
Структурныя элементы ядра клеткі, якія змяшчаюць ДНК, а таксама ў іх у лінейным парадку размешчаны гены. Што гэта?|храмасомы
Струнная музычная прылада|мандолина
Струнная музычная прылада?|арфа
Струнная музычная прылада?|банджа
Струнная музычная прылада?|віяланчэль
Струнная музычная прылада?|гітара
Струнная музычная прылада?|гуслі
Струнная музычная прылада?|раяль
Струнная музычная прылада?|скрыпка
Студэнт, які правучыўся ў вну тры семестра?|другакурснік
Студэнтам горнага інстытута, напэўна, падабаецца гэты галівудскі блокбастар?|скалалаз
Субстанцыя ў моры, з якой па адданні выйшла багіня Венера?|пена
Суверэнны “карлік” у Еўропе?|манака
Асуджаны за прызямленне на Чырвоным пляцы нямецкі пілот?|Руст
Судна, якое буксіруе плыты пры сплаве лесу?|лесавоз
Суднавыя ўсходы?|трап
