Курча?|канвульсія
Там знаходзіцца знакамітая карціна Леанарда Ды Вінчы “Джаконда”?|Луўр
Там ад кінжала ўнучкі вялікага Корнеля памёр Жан-Поль Марат. Што гэта за месца?|ванна
Там пахаваны Ўладзімір Высоцкі?|Ваганьковское могілкі
Там, дзе малпы глынаюць бананы :)?|Афрыка
Танец у трохдольным вымярэнні?|вальс
Танец, выкананы адным чалавекам?|сола
Танцавальная зала, папярэднік дыскатэкі?|дансінг
Татарыя (горад)?|Агрыз
Татарскі тэмнік, які прайграў Кулікоўскую бітву?|Мамай
Цвёрдая маса, якая атрымліваецца шляхам гартавання вугля, торфу, што ўжываецца як паліва?|кокс
Цвёрды ўнутраны пласт ракавін некаторых малюскаў?|перламутр
Творчае адлюстраванне, прайграванне рэчаіснасці?|мастацтва
Тыя з вас, хто ведае музыку, змогуць сказаць, як венецыянцы звалі ва ўжытку свае гандолы?|барка
Тэатр ужо поўны; ложы бліскаюць; // Партэр і крэслы, усё кіпіць; // У райке нецярпліва плёскаюць, // І, узвіўшыся, ... шуміць. (А. Пушкін, “Яўген Онегин”)?|заслона
Тэатр, ва ўяўленнях якога спалучаюцца розныя жанры мастацтва?|вар'етэ
Тэатральная дэкарацыя ўзбоч сцэны?|куліса
Тэатральнае чытво?|п'еса
Тэатральны працаўнік?|бутафор
Тэлеграфны слуп ніколі не зразумее прынцып дзеяння ... ?|тэлеграфа
Телепризыв рэкламы “Проста дадай воды!” ставіцца да напоя ... ?|инвайт
Тэлестужка, часам разлічаны вылучна на гледачоў-даўгавечнікаў?|серыял
Цёмная пляма ад прадмета на асветленай паверхні?|цень
Цёмна-карычневая фарба ў акварэльным жывапісе?|бистр
Тэмпературны рэжым печы пры вырабе знакамітага кітайскага парцаляну майстар вызначае гэтым не зусім прыгожым спосабам. Як?|плюе ў печ
Темь, цемра, цемра, цемрадзь, поцемкі, адсутнасць святла?|цямрэча
Тэнісная пляцоўка?|корт
Тэорыя і метад спазнання з'яў рэчаіснасці ў іх развіцці і самаруху, навука пра найболей агульныя законы развіцця прыроды, грамадствы і мысленні?|дыялектыка
Тэорыя адукацыі і навучанні?|дыдактыка
Зараз ён замяніў жаночую сумачку?|заплечнік
Цёплая фуфайка?|швэдар
Цяпло- і гукаізаляцыйны матэрыял?|вата
Цеплаабменнік у рухавіках унутранага згарання?|радыятар
Цеплаабменнік для нагрэву паветра ў ацяпляльных сістэмах?|каларыфер
Тэрытарыяльная адзінка, да якой ставяцца Чырвоная Пресня і Трыножкі?|раён
Тэрыторыя, якая мае ўласнае дзяржаўнае кіраванне?|краіна
Цеста Гасподне?|гліна
Тэхніка надання якой-небудзь паверхні жаданага тону?|таніраванне
Тэхнічны прыём у футболе?|адбор
Тэхнічны сродак ЭВМ, якое дазваляе рэалізаваць сувязь тэрмінала ці ЭВМ з іншай ЭВМ пасродкам тэлефоннага канала?|мадэм
Тэхналагічны працэс выраба віна?|вінаробства
Плынь у ісламе, якое спарадзіла розенкрэйцараў?|суфизм
Тып дзяржаўнай прылады?|султанат
Тып дзяржаўнай прылады?|тэакратыя
Тып драўлянага марскога і рачнога судна ў Кітаі?|джонка
Тып кузава легкавога аўтамабіля?|седан
Тып расліннасці?|стэп
Тып тканіны?|фібрабласт
Друкарскі шрыфт?|дыямент
Тытул імператара ў манархічнай Эфіёпіі?|негус
Тытул індыйскага князя?|махараджа
Тытул манарха, якога ў Расіі звалі турэцкім султанам?|падышах
Тытул спадчынніка прастола ў царскай Расіі?|цэсарэвіч
Тытул спадчынніка фр. пасаду з шэры. 14 ст. да 1830 г.?|дафін
Тканіна з Інданэзіі?|батик
Тканіна з узорам, аддрукаваным з разьбяной рэльефнай драўлянай дошкі завецца ... ?|набіванка
Тканіна тыпу парчы, выкарыстоўваная для аздаблення “драўляных макінтошаў”?|глазет
Тканіна, якая дала назва сезону, што спрыяе адпачынку на паўднёвых курортах?|аксаміт
Тканіна?|батыст
То ж, што бутадыен (сыравіна для вытворчасці сінтэтычных каучукаў)?|дивинил
То ж, што і грошы, але грошы лепш?|час
То ж, што прамысловасць?|індустрыя
То ж, што прамашка?|мазок
То ж, што шчака?|шчака
То ж, што инцест?|кровазмяшанне
То, завошта трэба хапацца тапельцу па народнай мудрасці?|саломінка
То, на чым чаканілася ў Францыі рымскае выслоўе: “Апошні довад каралёў”?|гарматы
То, пра што не пытаюць у жанчыны, таму што і так усё добра відаць?|узрост
То, з чаго пачынаюць шлях да славы будучыя танцоры, распрацаваў італьянскі педагог і танцоўнік Карла Блазис. Гэта пяць зыходных ... ?|пазіцый ног
Тое, чаго на сушы кантынентаў знаходзіцца 99,2%, а ў сусветным акіяне – толькі 6,3%?|расліны
Тое, чаго не могуць мець ні вол, ні баран, ні конь?|нашчадства
То, чым “няўлоўны мсцівец” Яшка Цыган прымудрыўся збіць самалёт?|аркан
То, чым жонка павінна привечать падгулялага мужа?|качалка
Тое, што нават у найсвежым хлебе можа быць не ўсім па зубах?|скарыначка
Тое, што павінен цягнуць кожны салдат?|шлейка
Тое, што з нас можа выціснуць падатковая інспекцыя, калі грошай няма і не прадбачыцца?|сок
Тое, што іракезы звалі “оренда”, алгонкины звалі ... ?|маниту
Тое, што знаходзіцца пад зямной паверхняй?|нетры
Тое, што звычайна не спраўджваецца ў метэаролага, але спраўджваецца ў лекара?|прагнозы
Тое, што яна знаходзіцца ў віне, навукай не даказана, але тым не менш шматлікія людзі працягваюць займацца яе пошукамі. Празмернае ж стараннасць у яе пошуках прыводзіць да таго, што чалавек апыняецца на дне. Што гэта?|праўда
Тое, што Пётр Першы не паспеў прасекчы ў Еўропу?|дзверы
Тое, што атрымае жанчына, калі па яе нагах прабяжыць мыш. (Пералом, ... , Перхаць, Перапынак)?|перапуд
Тое, што ў звычайных аўтамабіляў спераду, а ў Пежо і запежорца ззаду?|капот
Тое, што навуковец паспеў зрабіць для сваёй навукі?|унёсак
Тое, што чалавек вядзе да абеду з голадам, а пасля абеду – са сном?|барацьба
То, завошта нам парткамы давяралі несці сцягі і транспаранты на святочных дэманстрацыях?|тронак
Тое, чаго нельга растлумачыць ідыёту, і тое, чаго з яго башкі нічым нельга выбіць?|ідэя
Тавар, прадметы, якія прымаюцца для перавозкі?|груз
Таварыш Сталін кахаў жартаваць са сваімі падпарадкаванымі. Вядома, што часта, сустракаючы маршала Васілеўскага, ён пытаў: “Вас яшчэ не ... ?”|расстралялі
Таксама рух, але з нулявой хуткасцю?|супакой
Тоўстая вяроўка з валокнаў ці прововоки?|ліна
Тоўстая завостраная палка?|кол
Тоўстая цяжкая палка?|дубец
Тоўстая, шчыльная ваўняная ці напаўваўняная тканіна з густым ворсам?|драп
Талсты пісаў: “Вярнуўшыся дахаты, Наташа не спала ўсю ноч; яе мучыла невырашальнае пытанне, каго яна кахала: Анатоля ці ... ”?|князя Андрэя
Тоўсты вераўчаны трос?|ліна
Тоўсты завостраны стрыжань – традыцыйная прылада ўзломшчыкаў?|крышан
Толькі адзін кіраўнік Расіі пасля Пятра I, насіў званне “Вялікі”. Гэта ... ?|Кацярына II
Толькі з адным са сваіх сяброў скрыжаваў шпагі Д’Артаньян. Гэта быў ... ?|Атос
Толькі гэтыя людзі, якія жывуць у Злучаных Штатах – цяпер, што жылі ў Расіі – у 19 павеку, мелі права ў Старажытным Рыме насіць чорныя чаравікі. Гэта ... ?|сенатары
Толькі гэтаму гораду Санкт-Пецярбург саступае па ліку выспаў?|Венецыя
Толькі гэты кіт мог пры жаданні лёгка праглынуць прарока Іёву?|кашалот
Толькі гэты адзін дзень у годзе скандынаўскім сялянам патрэбныя нож для адразання хвастоў, кутамер для гнаявой кучы і камарыны тлушч. Калі ж?|1 красавіка
Толькі з-за гэтага прадукта рускія не ўладкоўвалі яшчэ бунту?|гарэлка
Тоні Брэкстон напісала працяг свайго хіта “Unbrеаk mу hеаrt”, працяг называеться “... mу hаrd”. Як? (Рус. літарамі)|апгрэйд
Тонкая вяроўка; гімнастычная постаць?|шпагат
Тонкая доўгая трубачка, праз якую ўцягваюць пітво?|саломка
Тонкая залатая нітка?|важданіна
Тонкая аладка?|блін
Тонкая нябачная сутнасць ці флюід, эманирующий з людскіх і жывёльных целаў, і нават з рэчаў. Гэта псіхічнае выпарэнне, у якім удзельнічаюць як розум, так і цела (Греч. і Лат.)?|аўра
Тонкая отбивная ці сечаная круглая катлета?|шніцаль
Тонкая пласцінка, якая адшчапілася па пласце дрэва?|трэска
Тонкая шаўковая тканіна, часта з машастовай ніткі?|жоржет
Тонкая завісь кропель ці тб. часціц у паветры, не якая асядае пад дзеяннем сілы цяжару?|аэразоль
Тонкія аладкі з пшанічнай пакуты, у якія абгорнутая начынне?|блінцы
Тонкія лісты драўніны?|шпон
Тонкі густ да ежы, професиональное веды справы?|гастраномія
Тонкі трыкатажны швэдар з высокім каўняром (разг.)?|водолазка
Тонкай душы цяжка ўсведамляць, што хто-небудзь абавязаны ёй падзякай; грубіянскай душы – усведамляць сябе абавязанай каму-або. Аўтар?|Ніцшэ
Танкарунная парода авечак, выведзеная ў Францыі?|прекос
Тарэц свідравіны, які руйнуецца свідравой прыладай падчас праходкі?|забой
Урачыстая клятва?|зарок
Урачысты патэтычны верш?|ода
Паспешлівасць у справах, учынках?|паспех
Той самы Сцяпан, які “нас на бабу прамяняў”?|Разін
Той грамадскі лад, да якога цяпер плыўна пераходзіць Еўропа, але толькі не мы?|сацыялізм
Той, для якога Карла Коллоди быў тым жа, кім для Аляксандра Волкова Фрэнк Баум?|Талсты
Той, хто карыстаецца добразычлівасцю кіраўніка ці ўплывовага твару і, у сваю чаргу, можа паўплываць на меркаванне заступніка?|фаварыт
Той, хто даў у абавязак?|крэдытор
Той, хто хавае сваё аўтарства?|ананім
Той, чые інтарэсы накіраваны на свой унутраны свет, замкнёны чалавек?|інтраверт
Пункт гледжання, як правіла незвычайная і давальная адмысловую перспектыву (у фатаграфіі, кіно, жывапісу)?|ракурс
Кропка нябеснай сферы?|поўдзень
Трава з эфірным маслам у лісці?|мята
Трава сямейства сложноцветных, лекавая расліна?|купальнік
Трава, якую часцяком дадаюць у вермут?|рамонак
Травиата, аўтар?|Верди
Травяністая опіумная расліна?|мак
