Эстрадная спявачка, якая знялася ў фільме “Ўзброены і вельмі небяспечны”?|Сенчина
Гэтыя два мастака напісалі карціну “Бывай, вольная стыхія!” на словы верша Пушкіна “Да мора”: адзін намаляваў Пушкіна, а іншы – мора. Хто яны?|Репин і Айвазоўскі
Гэтыя дзве рэлігіі большасць японцаў вызнае адначасова. Гэта сінтаізм і ... ?|будызм
Гэтыя ўбраныя ў тоненькую адзежу спартоўцы атрымліваюць тытул “горнага караля”. Хто яны?|веласіпедысты
Гэтыя птушкі выратавалі Рым?|гусакі
Гэтыя пругкія хвалі не чуе чалавек, але выдатна адрозніваюць кажаны і рыбы. Што за хвалі?|ультрагук
Гэтым горадам правіл паводле аднаго аўтара – мудрэц (Фрэнк Баум), а паводле другому – чараўнік (Аляксандр Ваўкоў). Што гэта за горад?|Смарагдавы
Гэтым памятныя ў гісторыі Пецярбурга гады з 1703 па 1918 – тады ён быў ... ?|сталіцай
Гэтым паролем карысталіся кантрабандысты ў фільме “Дыяментавая рука”?|чорт пабяры
Гэтым словам старажытныя грэкі звалі адну з сямі палос, на якія яны дзялілі населеную частку Землі?|клімат
Гэтым спосабам амерыканскі інжынер Крысці прапанаваў часамі ўдвая павялічваць хуткасць танкаў. Што трэба было рабіць?|здымаць гусеніцы
Гэтым сродкам мольеровского ўяўнага хворага лячылі практычна ад усіх хвароб. Што гэта?|клісцір
Гэтым сталовым прыборам ядуць бозбаш, чорбу і шурпу?|лыжка
Гэтым тэрмінам моладзь заве бюст жанчыны, а пажылыя людзі так клічуць аднаго з персанажаў серыяла Санта-барбара?|сиси
Гэтым тэхнічным прыёмам бліскуча валодае бразілец Раналда?|абводка
Гэтымі птушкамі вы можаце палюбавацца на карціне Рылова “Ў блакітным абшары”. На ёй намаляваны ... ?|лебедзі
Гэтымі словамі пачынаецца шаснаццатая “Песня заходніх славян” – “Што ты ржэш, мой конь ... ”?|заўзяты
Гэта бяскрыўднае для чалавека істота амерыканцы чамусьці завуць “лятучым цмокам”?|страказа
Гэта бяскрыўдная істота некаторы час пражываў у тэлефоннай будцы?|Чабурашка
Гэта быў першы горад у Азіі, які прымаў летнія Алімпійскія гульні?|Токіо
Гэта было сапраўдным імем Иоканана Марусидзе – улюбёнца Рабиндраната Тагора. Хто ж ён, безумоўна, і наш улюбёнец?|Астап Бэндар
Гэта дзяржава звала атачальныя яго вадаёмы Зялёным Морам і Блакітнымі Водамі. Якое?|Егіпет
Гэта доўжылася трынаццаць разоў па адзінаццаць тыдняў (7 х 11 х 13 = “...”), а па іншым – “казкі Шахерезады”?|1001 ноч
Гэта даражэй фунта на шылінг (дваццаць адзін шылінг)?|гінея
Гэты адзіны дакладны сродак ад прусакоў было вядома яшчэ рускім сялянам. Гэта проста ... ?|холад
Гэта жаночае імя з'яўляецца знакам Францыі?|Мар'яна
Гэта жывёла – старадаўні тып транспарта. У “мадыфікацыі” “Цяжкавоз” важыць амаль як сучасная легкавушка – да 1300 кг?|конь
Гэта ўстанова, дзе дзяцей вучаць патрэбнаму і непатрэбнаму ўперамешку, усяляк замінаючы ім адрозніваць адно ад іншага (Віктар Кратоў)?|школа
Гэта імя насіла німфа, якую пакінуў той, хто даў сваё імя “падводным тулянням” з дапамогай судна, які носіць імя той жа німфы?|Каліпса
Гэты кароткі музычны твор павінен навяваць “начны” настрой?|ноктюрн
Гэты літаратурны твор прысвечана сообытиям, якія адбыліся ў 1185 году з адным рускім князем?|слова пра полк игореве
Гэта млекопитающее ставіцца да некрофагам?|гіена
Гэта можна назваць у прамым сэнсе слова самым буйным унёскам расейцаў у чайную цырымонію?|самавар
Гэта назва роду кактусаў сугучна з перайманнем у сатырычнай форме?|пародыя
Гэта не занадта прасторнае месцазнаходжанне для філосафа, але затое злучана з адным з самых знакамітых?|бочка
Гэта не толькі цюлень, а яшчэ і прыток Дубца?|ларга
Гэта нерифмованное пяцірадкоўе японскай паэзіі адрозніваецца вытанчанасцю і лаканічнасцю, хоць можна падумаць, што гаворка ідзе пра ваенную тэхніку. Гэта ... ?|танка
Гэта некалькі састарэлае слоўца ўтрымоўвае 30 літар?|непоблагорассмотрительствующий
Гэта грамадства арганізавалі Кончаловский, Фальк, Купрын, Машков, Лентулов?|звановы валет
Гэта возера Паўднёвай Амерыкі хоць і маленькае (8 300 кв. км), але яно размешчана вышэй усіх у свеце на вышыні 3 812 м ад узроўня сусветнага акіяна. А завецца яно даволі пацешна – ... ?|Тытыкака
Гэта вострае захворванне суправаджаецца галаўным болем, млоснасцю і непрытомнасцямі?|сонечны ўдар
Гэта апошні дзень ХХ стагоддзі – 31 снежня ... гады?|2000
Гэта апошняя вайсковая пасада бравага салдата Иозефа Швачка – ... ?|ардынарац
Гэта радыё, якое распачало свае трансляцыі ў 1953 году, вядзе свае перадачы з Кёльна на трыццаці чатырох мовах. Гэта ... ?|нямецкая хваля
Гэта расліна ўвекавечыла імя французскага батаніка П'ера Маньоля?|магнолія
Гэта самая вялікая біблейская кніга – у ёй сто пяцьдзесят частак?|псалтыр
Гэта самая вялікая па пляцы краіна, цалкам ляжалая ў Еўропе?|Украіна
Гэта самая высокая гара Еўропы (4807 м)?|Монблан
Гэта самая зыркая зорка, назіраная ў небе над Расіяй узімку – гэта ... ?|Сонца
Гэта самае ваяўнічае для рускага слыху назва японскага жанру мастацтва – ...?|танка
Гэта самы заходні горад Расіі, які мае больш аднаго мільёна жыхароў?|Санкт-Пецярбург
Гэта самы буйны архіпелаг Землі, які складаецца больш за з трынаццаці тысяч выспаў?|Інданэзія
“Гэта салодкае слова – ...” фільм В. Жалакявичюса?|воля
Гэта слова, якое перакладаецца з лацінскага як “дастаўка”, пазначае тое, што адбываецца паміж кавы і сліўкамі ў вашым кубку. Гэта ... ?|канвекцыя
Гэта сузор'е вавіланяне звалі “Лясная птушка”?|Лебедзь
Гэта бітва адбылася ў 490 году да нашай эры прыкладна ў сарака кіламетрах ад Афін (а дакладней, у 42 км 195 м). Месца?|Марафон
Гэта трэці святы горад мусульманскай рэлігіі пасля Мекі і Медины – ... ?|Іерусалім
Гэта трэцяя па адлегласці ад Сонца вялікая планета Сонечнай сістэмы?|Зямля
Гэта займальны быў атракцыён, так яшчэ ніхто не жартаваў, як я і ён... – чый голас?|Успенская
Гэта ўпрыгожванне з жывых кветак носяць на адзежы або ў прычосцы?|бутаньерка
Гэта квітнеючая расліна – выдатнае ўпрыгожванне любога саду?|ляўконія
Гэты цуд паркавай скульптуры – знак перамогі Пятра над Швецыяй (знак Швецыі – леў). Назва фантана?|Самсон
Гэта штука, на якую сыходзіць зусім мала часу і якая стварае самыя вялікія праблемы?|сэкс
Гэта з'ява вывучае акустыка?|гук
Гэта двухногая жывёла, якое дапамагае сабаку пільнаваць авечак?|пастух
Гэта калі дзве душы сустракаюцца паміж сабой кончыкамі вуснаў?|пацалунак
Гэта каханне без крылаў?|сяброўства
Гэта просьба далікатнага, звернутая да разумнага. Віктар Кратоў?|намёк
Гэта забойства з рызыкай?|паляванне
Гэта чалавек, які на апошнія грошы купляе папернік. Франсуаза Подбер?|аптыміст
Гэта чалавек, які перастаў думаць, таму што ён ведае?|эксперт
Гэта, напэўна самы здаровы рачны трафей – гэта рыба даўжынёй да 5 м важыць да 420 кг?|сом
Гэтага вугорскага архітэктара ўславілі не яго праекты, а яго гульня?|Рубік
Гэтага італьянца рэабілітавалі праз тры з паловай стагоддзя пасля яго смерці?|Галілей
Гэтага айчыннага палітыка “прыстрэлілі” ў фільме “Асса”?|Говорухин
Гэтага першага заслужанага артыста рэспублікі клікалі “кароль блазнаў, але не блазан каралёў”?|Дуров
Гэтага вайскавода арабы звалі “Зп-ці-Карейн”, гэта значыць “Двухрогі”. Хто ж ён?|Македонскі
Гэтага расліны гроздья духмяныя ноч напралёт могуць зводзіць з розуму (песень.)?|акацыя
Гэтай знакамітай жанчыне падышло б выраз “дакладная жонка”?|Пенелопа
Гэтай разнавіднасці штаноў дала назву папулярная гульня?|гольф
Гэтаму паэту прыналежаць радкі: “Па раніцах, надзеўшы баязліўцы, не забудзьцеся пра гадзіны”?|Узнясенскі
Гэтаму прадукту сілкавання прысвечаны свята, і менавіта гэтым частуюць госцяў кухара італьянскага горада Камолья, падрыхтоўваючы пачастунак на велізарнай пяцімятровай патэльні (магчыма, менавіта ў Виллабаджо ці Вилларибе). Што гэта?|рыба
Гэты акцёр гуляў у дуэце з Робертам Дэ Ниро ў фільме “Сутычка”?|Пачино
Гэты акцёр згуляў ролю Гамлета двойчы: у камедыі і ў трагедыі?|Смактуноўскі
Гэты архітэктар пабудаваў Исаакиевский сабор у Санкт-Пецярбургу?|Монферран
Гэты афрыканскі дзікі “пад'ёмны кран” – самая высокая жывёла на Зямлі – мае рост да 6 метраў?|жыраф
Гэты барон быў другім прэзідэнтам МОК?|П'ер дэ Кубертен
Гэты бізнэсмэн і паветраплавальнік быў не толькі жудасны, але і вялікі?|Гудвин
Гэты брытанскі палітык быў першым, хто ў 1923 году ў сваім “Ультыматуме” запатрабаваў ад Савецкай Расіі спыніць умяшанне ў справы Афганістана?|Керзон
Гэты вялікі музыка і кампазітар 19 стагоддзі ў 42 гады прыняў сан абата. Хто ён?|Ліст
Гэты пышны акцёр быў блізніцай Шварцэнэгера ў аднайменным фільме?|Денни дэ Віта
Гэты вясёлы жанр драматычных твораў нарадзіўся ў невялікім нармандскім мястэчку Ван Дэ Вір?|вадэвіль
Гэты вадаспад на рацэ Чурун зрыньваецца са стромы ў 1054 м, амаль у 20 раз якая перавышае вышыню знакамітага Ніягарскага вадаспаду... ?|Анхель
Гэты правадыр сялянскіх паўстанняў на Русі з'яўляўся дваранінам, а менавіта ... ?|Пугачев
Гэты газ завуць “сонечным”, таму што адкрылі яго ўпершыню на Сонца|гелій
Гэты герой міфаў быў знішчаны за незахаванне правіл дарожнага руху. Хто ён?|Фаэтон
Гэты гіганцкі танк пабудавалі ў Расіі ў 1916 году. Ён ніколі не прымаў удзелы ў баях і натуральна зваўся ... ?|цар-танк
Гэты галівудскі акцёр згуляў тоўстага паліцыянта, а потым не захацеў худнець у жыцці?|Сталлоне
Гэты грэк напісаў “Медэю”, а крытыкі тых гадоў звалі яго “філосафам на сцэне”?|Еўрыпід
Гэты грэк некалі прапанаваў Ксанфу выпіць мора?|Эзоп
Гэты грузінскі футбаліст бліскае сёння на опернай сцэне?|Соткилава
Гэты двадцативосьмилетний мараплавец, выйдучы з Лісабона, абмінуў Афрыку і дасягнуў індыйскага горада Каликут?|Васко ды Гаму
Гэты дзень тыдня ў савецкай краіне быў “рыбным”?|чацвер
Гэты дыск “Па хвалях маёй памяці” стаў сенсацыяй 1976-го гады. Аўтар?|Тухманов
Гэты доўгі, прамы балахон, падтрымоўваны на плячах адной ці дзвюма палоскамі матэрыі і які адрозніваўся адсутнасцю рукавоў, славяне насілі круглы год?|кашуля
Гэты старажытнарымскі філосаф казаў: “Лепшы спосаб падоўжыць жыццё – гэта не караціць яе”?|Сенека
Гэты жыхар Швецыі зусім не прызнаваў традыцыйнай медыцыны. Сваё здароўе ён абараняў толькі з дапамогай звышдоз вугляводаў, глюкозы і цукрозы. Яго імя?|Карлсан
Гэты знакаміты ў мінулым акцёр, у наш час жыве на выспе ўдалечыні ад людзей, як яго імя?|Марлон
Гэты знакаміты жывапісец напісаў карціну “Пераход Суворава праз Альпы”?|Суриков
Гэты ілюстраваны часопіс выдаецца ў Гамбургу тыражом каля паўтары мільёнаў асобнікаў? (рус. літарамі)|штерн
Гэты італьянскі горад даў імя цэлай дзяржаве ў Паўднёвай Амерыцы. Якому?|Венесуэла
Гэты каляндар бярэ пачатак з моманту ўцёкаў Мухамеда з Мекі (хіджра) 16.07.662 г.?|магометанский
Гэты каляндар бярэ пачатак з першых Алімпійскіх гульняў у 01.07.776 г. да н. э.?|старажытнагрэцкі
Гэты каляндар бярэ пачатак з меркаванага нараджэння Ісуса Хрыста 01.01.01 г. н. э.?|хрысціянскі
Гэты каляндар, вядомы таксама як праваслаўны, бярэ пачатак ад міфічнага стварэння свету ў 01.09.5508 г. да н. э.?|візантыйскі
Гэты канібал злачынна зжор сорак людзей невядомых прафесій, а акрамя таго – мясніка і каваля – гэта Робін Бабін ... – з'еў сорак чалавек?|Барабек
Гэты кліматычны курорт на Чорным моры размешчаны да паўночнага ўсходу ад Варны?|Залатыя пяскі
Гэты князь напісаў “Слова пра полк Игореве”?|Ізяслаў
Гэты лорд-канцлер караля Англіі змясціў шчаслівае грамадства будучыні ў “месца, якога няма” – даслоўна “Ўтопію”?|Мор
Гэты малады акцёр стаў папулярным пасля маленькага эпізоду ў фільме “Тельма і Луіза”?|Піт
Гэты малады расійскі акцёр стаў вядомы дзякуючы нашумеламу ў свой час фільму “Маленькая Вера”?|Сокалаў
Гэты монстар – вінаваты жудасных забойстваў на вуліцы Вязаў меў мянушку “Рукі-нажніцы”?|Фредди Кругер
Гэты марскі гігант бывае ў шырыню да 6 м і важыць да 2 т, таму і далі мянушку яго “марскім д'яблам”. Хто гэта?|манта
Гэты маскоўскі банкір быў яшчэ і рэдактарам органа сімвалістаў – часопіса “Залатое руно”. Прозвішча?|Рябушинский
Гэты музычны калектыў быў створаны ў 1984 году Зміцерам Варшаўскім?|чорны кава
Гэты музыка тлумачыць каханне, як сукупленне ката з катом “ніжэй жывата”?|Лагутенко
Гэты напой шматлікія лічаць безалкагольным, хоць усё залежыць ад колькасці выпітага?|піва
Гэты напой на яго радзіме вырабляецца па традыцыі з трох гатункаў вінаграда: Фоль Бланш, Сэнт Эмильон і Коланбар?|каньяк
Гэты напой прадаюць у Ташкенце ў такіх жа бочках, як у Расіі – квас?|морс
Гэты напой Сталін зваў сокам?|маладое віно
Гэты ордэн ваяроў Ісуса, заснаваны іспанскім дваранінам Иньиго Лойолой быў зацверджаны татам Паўлам III. Назва ордэна?|езуіты
Гэты парадаксальны вынік быў атрыманы пры выпрабаванні ў зямных умовах усталёўкі, прызначанай вызначыць, ці ёсць жыццё на Марсе. Ён вызначыў, што на Зямлі ... ?|жыцці няма
Гэты хлопец кахаў, калі яму на твар пісала родная сястра, а таксама не без яго ўдзелу развіваліся падзеі 41–45 г.?|Гітлер
Гэты парыжскі скрыпач па імі Рудольф знакаміты яшчэ і пышным творам самага Бетховена. Яго прозвішча?|Крэйцар
Гэты плён, па меркаванні кітайскіх паэтаў, сімвалізаваў вялікае нашчадства?|гранат
Гэты вырабны камень, па павер'ях, можа ўваскрэсіць памерлага, выратаваць ад яду і зрабіць чалавека прыемным у грамадстве?|агат
Гэты польскі вайскавод уславіўся не вайсковымі подзвігамі, а “Развітаннем з радзімай”. Хто ён?|Агінскі
Гэты папулярны швецкі квартэт не так даўно спяваў і ў нас, праўда, як заўсёды пад фанаграму. Назва гэтага творчага калектыва (рус)?|войска палюбоўнікаў
Гэты прадмет, вынайдзены Кацярынай Медычы, выдае пры выкарыстанні характэрны шум (гук) і дазваляе выгнуць спіну, высунуць грудзі наперад, як бы ўсім выглядам паказваючы “ідзі сюды”. Што гэта?|абцас
Гэты псеўданім узяла сабе амерыканка Луіза Чикконе?|Мадона
Гэты плямісты драпежнік даў сваё імя аднаму з самых дарагіх ангельскіх аўтамабіляў?|ягуар
Гэты рэжысёр у Расіі носіць ганарлівы тытул “народны”?|Разанаў
Гэты рускі паэт быў мужам знакамітай танцоркі Айседоры Дункан?|Ясенін
Гэты рускі паэт аднойчы прызнаўся: “мне і рубля не назапасілі радкі”?|Маякоўскі
Гэты рускі публіцыст, які адмаўляў значэнне Пушкіна для сучаснасці, амаль пяць з дзевяці гадоў літаратурнай дзейнасці правёў у адзінкавай камеры. Прозвішча нягодніка?|Пісараў
Гэты сад Пушкін зваў “сваім гародам”?|Летні сад
Гэты самы грозны рачны драпежнік жыве да 40, а часам да 100 гадоў?|кракадзіл
Гэты самы малады ў гісторыі галоўнакамандуючы ўзброенымі сіламі Францыі, пасля загінулы пакутлівай смерцю, дрэнна валодаў французскай мовай. Хто гэта?|Жана д'Арк
Гэты сплаў утрымоўвае ад дзвюх да пяці адсоткаў вугляроду і ад дзевяноста пяці да дзевяноста васьмі адсоткаў жалеза?|чыгун
Гэты найстары метад лячэння ўніверсальны, выкарыстоўваецца дзікімі жывёламі і 74 разу згадваецца ў Бібліі. Гэта ... ?|галаданне
Гэты найстары маскоўскі музей быў адкрыты ў 1813 году?|Зброевая палата
Гэты танец нагадвае нам пра старажытную сталіцу Польскай дзяржавы?|кракавяк
Гэты цеплаход на падводных крылах пабудавалі ў 1957 году на заводзе “Чырвонае Сормово”?|ракета
Гэты тэрмін адбыўся ад лацінскага слова, які пераводзіцца на рускі як “уздуцце”?|інфляцыя
Гэты тытул, у перакладзе на рускі які азначае “велічная брама”, носяць усе імператары Японіі. Гэта ... ?|мікада
Гэта ўдарная прылада гучыць на рынгу, узвяшчаючы пачатак ці канец раўнда?|гонг
Гэта ўдарная музычная прылада можа нагадаць вам пра тэарэму Піфагора, калі вы яе ведаеце. Гэта ... ?|трыкутнік
Гэты ўнікальны савецкі спартовец тры гады запар, з 1961 па 1963 прызнаваўся лепшым спартоўцам свету?|Брумель
Гэты навуковец і філосаф служыў візірам і лекарам пры розных усходніх кіраўніках. Яго клікалі Ибн Сина, а мы яго ведаем як ... ?|Авіцэна
Гэты фільм выйшаў у пракат спачатку 1998 гады і атрымаў звыш 10 оскараў?|Тытанік
Гэты фільм адкрыў у 1977 г. сусветна вядомы серыял “Зорныя войны”. Як ён зваўся?|новая надзея
Гэты сцяг паднімаюць на караблі, калі на ім знаходзіцца імператар. Гэта ... ?|суднавы штандар
Гэты француз вынайшаў крутильные шалі, усталяваў законы сухога трэння і адкрыў асноўны закон электрастатыкі?|Кулон
Гэты французскі жывапісец іспанскага паходжання быў чальцом камуністычнай партыі. Хто гэта?|Пікасо
Гэты французскі паэт сямнаццатага стагоддзя вынайшаў сем спосабаў палёту на Месяц?|Сирано дэ Бержерак
Гэты фрукт прызнаны самым каларыйным і ў Індыі клічацца “каровай беднякоў”?|авакада
Гэты футбольны кубак калісьці зваўся “Кубкам Кірмашоў”?|кубак УЕФА
