Маёмасць, уласнасць|маёнтак
Імя Табей – першай жанчыны, якая заваявала Эверэст|Юнко
Імя Тамерлана, сярэднеазіяцкі вайскавод|Цімур
Імя Тэрнера, правадыра паўстання чарнаскурых рабоў у Вірджыніі ў 1831 году|Нат
Імя Трумэна|Гары
Імя Тынис, эстонскі эстрадны спявак|Мяги
Імя Ўільям, ангельскі пісьменнік|Шэкспір
Імя Фенимор, амерыканскі пісьменнік|Купер
Імя Фучика|Юлиус
Імя Хайяма|Амар
Імя Чейза|Джэймс
Імя Черниковой, Удовиченко|Ларыса
Імя Чынгісхана|Цемучын
Імя Шарль, франц. пісьменнік-баечнік, аўтар казак “Папялушка”, “Чырвоны капялюшык”|Перро
Імя Шифрина|Яхім
Імя Шрейнера|Аліў
Імя Эдгар, імпрэсіяніст|Дега
Імя Эміль, французскі пісьменнік|Папелячы
Імя Эраст, савецкі акцёр|Гарин
Імя Этель, ангельская пісьменніца, “Авадзень”|Войнич
Імя Юлиус, чэшскі пісьменнік, паэт|Фучик
Імя Юры, папулярны эстрадны спявак і кампазітар “Гілі”, “Люстэрка”|Антонаў
Імя авіяканструктара і прамыслоўца Сікорскага|Ігар
Імя аўтара “Гісторыі лангобардов”, які жыў пры двары Карла Вялікага|Павел
Імя аўтара кнігі для дзяцей “Кандуіт і Швамбрания”|Лёваў
Імя агента 007|Джэймс
Імя акцёра Делона|Ален
Імя акцёра Копеляна|Яхім
Імя акцёра Юрскага, эканаміста Глаз'ева і пісьменніка Довлатова|Сяргей
Імя акцёра, што згуляў доктара Живаго|Амар
Імя акторак Демидовой і Ларионовой|Ала
Імя акторкі Саввиной|Ія
Імя акторкі, якая адлюстравала модерновую сакратарку ў фільме “Службовы раман”|Лія
Імя акторкі, што згуляла Любку Шевцову, Жану Д’Арк|Іна
Імя акторкі, якая згуляла ў фільме “Рокко і яго браты”|Анни
Імя амер. трубача і спевака Армстронга|Луі
Імя амерыканскага акцёра Ўіліса|Брус
Імя амерыканскага калегі нашага Дзеда Марозу|Санта
Імя амерыканскага пісьменніка Твена|Марк
Імя амерыканскага фантаста, які распавёў пра віно з дзьмухаўцоў|Рэй
Імя амерыканскай акторкі Андерсон|Памэла
Імя анёла, пасланага Богам Товию пад імем Азарыя (библ.)|Рафаіл
Імя ангел. пісьменніка Уайльда|Оскар
Імя ангельскага дзіцячага пісьменніка Милна, стваральніка Віні-Пуху|Алан
Імя ангельскага пісьменніка Шэкспіра|Уільям
Імя ангельскага рэжысёра, аўтара фільма “Чужой”|Ридли
Імя ангельскага рэжысёра, распачыналага з рэкламы, аўтар фільма “Тельма і Луіза”|Ридли
Імя ангельскай пісьменніцы Бэн, якая займалася адначасна шпіёнскай дзейнасцю|Афра
Імя ангельскай пісьменніцы Крысці|Агата
Імя ангельскай пісьменніцы, майстры дэтэктыва, што стварыла выява Эркюля Пуаро|Агата
Імя арапа Пятра Вялікага|Абрам
Імя армянск. советск. паэта, у гонар котор. названы г. Чаренцаван|Егише
Імя артыста Быкава|Ралан
Імя набожнай гераіні Маргарыты Тереховой|Марта
Імя багатага літаратара-дылетанта, які жыў у Старажытным Рыме ў часы імператара Аўгуста, стала ў нашы дні намінальным. Як яго клікалі?|Мецэнат
Імя багіні, мужы Зеўса?|Гера
Імя героя Неўскай Бітвы, продка А. С. Пушкіна|Гаўрыла
Імя гераіні Марыны Влади у фільме “Вядзьмарка”|Інга
Імя гераіні О. Браун у серыяле “Паліцыя Маямі”|Трудзі
Імя гераіні рамана Ж. Сименона “Порт туманоў”|Жулі
Імя гераіні рамана Л. Н. Талстога|Ганна
Імя героя Хоггарда|Алан
Імя героя ангел. народных балад|Робін
Імя героя ў інш.-гр. эпасе, які абезгаловіў Гаргону Медузу?|Пярсей
Імя героя дэтэктыўных раманаў Р. Стаута|Ниро
Імя героя кнігі В. Г. Арсеньева|Дерсу
Імя героя аповесці Н. В. Гогаля|Тарас
Імя героя рамана “Дванаццаць крэслаў”|Астап
Імя героя рамана Э. Л. Войнич|Артур
Імя галоўнага дзейснага твару п'есы М. Горкага|Ягор
Імя галоўнай гераіні аповесці “Спадарычна-сялянка”|Ліза
Імя часткі сямейства Амати|Андрэа
Імя гнома, правадыра атрада, у кнізе Р. Толкіена “Хобіт”|Торин
Імя ганконскага рэжысёра, да/фільмы “Ледзяны шторм”|Анг
Імя грузіна, якога дапытваў “тупы дацэнт” з рэпертуара А. Райкіна|Авас
Імя прыслужніка ў дэтэктыўным рамане Р. Чандлера “Вечны сон”|Норрис
Імя дзяўчынкі з аповесці-казкі А. Волкова “Чараўнік смарагдавага горада”|Элли
Імя дзяўчыны і сібірскай ракі|Лена
Імя дзеда Рады Никитичны Аджубей|Сяргей
Імя дирижаблестроителя Нобілю|Умберта
Імя доисламского арабскага паэта-ваяра (да. 6 – н. 7 стст.)|Хатам
Імя хатняй жывёлы|мянушка
Імя дачкі Яраслава Мудрага, жонкі французскага караля Генрыха I|Ганна
Імя старажытнарымскага і старажытнагабрэйскага гісторыка Флавия|Іосіф
Імя дзядзькі паэта, які ўнёс яго ў хату пасля двубоя|Мікіта
Імя адзінай дачкі каралевы Вялікабрытаніі Лізаветы II|Ганна
Імя жонкі Блохина|Ірына
Імя жонкі Ельцына|Наіна
Імя жонкі Людовіка ХIII|Ганна
Імя жонкі прэзідэнта ЗША, якая наведала разам з ім Расію|Нэнсі
Імя жывапісца Гольбейна малодшага|Ханс
Імя зоркі Галівуду ў “Прывядзенні”|Вупи
Імя знакамітага Берта Марыя Бэндар-бея, тата якога быў турэцкі подданый|Астап
Імя знакамітага ангельскага шпіка?|Шэрлак
Імя знакамітай тэнісісткі Граф|Штеффи
Імя і імя па бацьку Скрыначкі з “Мёртвых душ”?|Настасся Пятроўна
Імя вядомага ў нашай гісторыі ангельскага дыпламата супадала з імем і прозвішчам вядомага ў еўрапейскай гісторыі шатландскага караля. Назавіце прозвішча дыпламата|Локкарт
Імя вядомага савецкага палітычнага дзеяча|Анастас
Імя вядомага сучаснага італьянскага кампазітара|Тото
Імя вядомага шпіка Пинкертона|Нат
Імя вядомага французскага асветніка|Дэні
Імя імператара Актавіяна|Аўгуст
Імя інспектара з рамана Ж. Сименона “Турма”|Нобль
Імя выканаўца ролі Майкла Корлеоне ў “Хросным бацьку”|Аль
Імя італьянскага спевака Кутуньо|Тото
Імя італьянскага продюссера “Кінг-конг”, “Аварыя”|Дзіна
Імя каменя, які завуць квасцовым, якое адбываецца ад французскага слова, таксама што азначае “галын”.|алуніт
Імя кінаактрысы Чуриковой|Іна
Імя кінарэжысёра Шахназарова|Карен
Імя (не прозвішча) кінарэжысёра, які паставіў фільм “Айбаліт-66”|Ралан
Імя класіка ангельскага жывапісу Гейнсборо?|Томас
Імя кампазітара Вагнера|Рихард
Імя кампазітара Кальмана|Имре
Імя кампазітара Маршнера|Генрых
Імя кампазітара Фельцмана|Оскар
Імя кампазітара Френкеля, аўтара песні “Рускае поле”|Ян
Імя касманаўта, летавшего на караблі “Ўсход 3”|Андрыян
Імя чырвонаармейца Сухова з фільма “Белае сонца пустэльні”|Фёдар
Імя культавага амерыканскага рэжысёра “Прыроджаныя забойцы”, “Уоллстрит”|Олівер
