Даследнік Арктыкі|Візе
Гістарычная правінцыя Францыі|Ангумуа
Гістарычная правінцыя Францыі|Анжу
Гістарычная правінцыя Францыі|Артуа
Гістарычная правінцыя Францыі|Берри
Гістарычная правінцыя Францыі|Гиень
Гістарычная правінцыя Францыі|Лионне
Гістарычная правінцыя Францыі|Марш
Гістарычная правінцыя Францыі|Турень
Гістарычная правінцыя Францыі|Фуа
Гістарычная правінцыя ў Іспаніі|Арагон
Гістарычная правінцыя ў Іспаніі|Мурсия
Гістарычная правінцыя ў Францыі|Беарн
Гістарычная правінцыя ў Францыі|Дафіне
Гістарычная правінцыя ў Францыі|Овернь
Гістарычная правінцыя ў Францыі|Онис
Гістарычная правінцыя ў Францыі|Пуату
Гістарычная правінцыя ў Францыі|Савоя
Гістарычная правінцыя на ўсходзе Францыі|Эльзас
Гістарычная эпапея Новікава-Прыбоя|Цусима
Гістарычна першая ЭВМ|ЭНИАК
Гістарычна якая склалася група чалавецтва, аб'яднаная агульнасцю спадчынных фізічных прыкмет|раса
Гістарычна што склалася агульнасць людзей|этнас
Гістарычна якая склалася сістэма гукавых, слоўнікавых і граматычных сродкаў, што з'яўляецца прыладай зносін, абмену думкамі і ўзаемнага разумення людзей у грамадстве|мова
Гістарычна якая склалася сукупнасць раслін і жывёл, аб'яднаных агульнай вобласцю распаўсюду|биота
Гістарычна што склалася ўстойлівая агульнасць людзей|нацыя
Гістарычны перавал у Балгарыі|шипка
Гістарычны перыяд, напрыклад каменны ...?|стагоддзе
Гістарычны працэс фармавання чалавека і чалавецтва|антрапагенез
Гістарычны раман Б. Пруса|фараон
Гістарычны раман В. Скота|Айвенго
Гістарычны раман Е. А. Фёдарава|Ярмак
Гістарычны эмбрыён войска|войска
Гістарычная назва народных збораў на Ўкраіне|радая
Гістарычная назва тэрыторыі па берагах Нявы|ижора
Гістарычнае развіццё арганічнага свету?|філагенез
Гістарычнае ядро, цэнтральная частка Лондану|сіці
Гісторыя хваробы?|анамнез
Гісторыя назвы горада: ... , Сталино, Данецк|Юзовка
Гісторыя пра Папялушку|казка
Гісторыя развіцця хваробы|анамнез
Гісторыя роду, радаслоўе?|генеалогія
Крыніца амбры|кіт
Крыніца багацця, які яшчэ трэба паспрабаваць знайсці|скарб
Крыніца болю?|рана
Крыніца вітаміна З для эстраднай зоркі Вікі Цыгановой|цытрына
Крыніца дзейнасці гістарыёграфа|архіў
Крыніца натуральнага святла ў пакоі|акно
Крыніца жалудоў|дуб
Крыніца жыватворнай вады ў раі (іслам)|кавсер
Крыніца гуку?|камертон
Крыніца здароўя ў Бразіліі|дуля
Крыніца ведаў (перен.)|кніга
Крыніца музыкі ў касцёле|орган
Крыніца новых сіл, сродкаў|рэзерв
Крыніца святога паху|кадзіла
Крыніца сігналу да пачатку паядынку баксёраў|гонг
Крыніца сыравіны для плеценых кошыкаў|вярба
Крыніца трэсак (фольк.)|лес
Крыніца, час ад часу выкідвалы фантаны гарачай вады і пары|гейзер
Крыніца, які вывяргае фантан гарачай вады?|гейзер
Знясіленне ўсіх сіл і сродкаў (устар.)|змор
Знішчальнік франц. авіяканструктара Марсэлю Дассо|міраж
Иструмент для вязання|спіца
Балван|кумір
Зыход шахматнай партыі|нічыя
Зыходная бяздоказнасць. праўда, не патрабавальная доказаў|аксіёма
Зыходнае слова, ад якога адбылося сучаснае слова|этымон
Зыходнае слова, ад якога адбылося існае ў сучаснай мове слова|этымон
Зыходная сыравіна для вытворчасці карэты для Папялушкі|гарбуз
Зыходны пункт, зыходная кропка|пачатак
Які вылечвае газ?|радон
Вылічэнне хуткіх выдаткаў і прыбыткаў|каштарыс
Іт. : жывапісец 16 ст.|Вазари
Іт. кінаакцёр|Неро
Іт. кінаакцёр|Тото
Іт. камуніст|Лонго
Іт. кампазітар|Рота
Іт. оперная спявачка|Паста
Іт. паэт, аўтар “Чароўнай камедыі”|Дантэ
Іт. паэт|Белі
Іт. фізік|Вольта
Іт. мастак (1266 ці 1267–1337)|Джотто
Іт. паэт, сатырык|Берни
Итал. архітэктар 15 ст.|Альберти
Итал. архітэктар 15 ст.|Філарэце
Итал. архітэктар 16 ст.|Гварини
Итал. архітэктар 16 ст.|Перуцци
Итал. архітэктар 16–17 стст.|Мадерна
Итал. архітэктар 17–18 стст.|Фантана
Итал. архітэктар|Бернини
Итал. архітэктар|Роджерс
Итал. акторка|Ристони
Итал. альпініст, 1-й у свеце заваёўнік усіх 14 васьмітысячных горных пікаў|Месснер
Итал. судовы псіхіятр і крыміналіст, родапачынальнік антрапалагічнага кірунку ў крымінальным праве|Ломброзо
Итал. скрыпач (1653–1713)|Корелли
Итал. скрыпач, кампазітар 18 ст.|Тартини
Итал. скульптар|Бернини
Итал. оперны спявак|Тебальди
Итал. мастак (ок. 1284–1344); кактэйль з вермуту і джыну ці гарэлкі з цытрынавай цэдрай|марціні
Итал. мастак|Бассано
Итал. горад у вобласці Эмілія-Романья|Карпи
Итал. гарадскі палац з велічным фасадам і внутр. панадворкам|палацо
Итал. гітарыст|Джулиани
Итал. жывапісец 15 ст.|Анджелико
Итал. жывапісец 15–16 стст.|Савольдо
Итал. вынаходнік радыё (1874–1937, Нобелеўская прэмія 1909)|Маркони
Итал. кампазітар і музыка|Паганини
Итал. кампазітар, аўтар абапёр “Багема”, “Заза”|Леонкавалло
Итал. кампазітар, педагог 18–19 стст., жыў у Англіі|Клементи
Итал. кампазітар|Керубини
Итал. кампазітар|Марчелло
Итал. кампазітар|Чимароза
Итал. кінаакцёр|Манфреди
Итал. кінаакцёр|Плачидо
Итал. кінаакцёр|Тоньяцци
Итал. кінарэжысёр і сцэнарыст|Феллини
