Заалагічная ўстанова|зообаза
Завод у Кіеве|арсенал
Завод у Маскве|барацьбіт
Завод у Маскве|варз
Завод у Маскве|изолит
Завод у Маскве|маляня
Завод у Маскве|арыён
Завод рэжучых прылад|фрэзер
Завод, які вырабляе “гарбатыя” мікралітражкі (аббр.)|ЗАЗ
Завадскі выгляд грузавога транспарта|аўтакар
Заўсёднік “Клуба Белы Чыюк”?|Арканаў
Сняданак, абед, вячэра|ежа
Завязаны кольцам канец вяроўкі, шнура|завеса
Завязка для чаравік|шнурок
Завязка ў лапця|абора
Загадка “Паўвостраў, які жаліцца на велічыню”|Ямал
Загадка ў малюнках?|рэбус
Загадка з кнігі Д. Р. Р. Толкіена: “Халоднае як лёд; Не дыхае, але жыве; Заўсёды кальчугу носіць і п'е, хоць піць не просіць”?|рыба
Загадка на отгадывание словы ці фразы, запісаных па адмысловых правілах сумессю літар, знакаў і малюнкаў|рэбус
Загадка, у якой загаданное слова падзяляецца на некалькі частак – асобных слоў|шарада
Загадка: “Як добра табе і мне, я пад табой, а ты на мне.” Гэта не тое, што Вы падумалі, а проста вожык нясе ... ?|яблык
Загадка: “Што не сеянае народзіцца?”|трава
Загадка: “Што ты глядзіш на мяне, распранайся, я твая”?|ложак
Загадка: хто носіць капялюш на назе?|грыб
Загадкавая асоба|таямніца
Загадкавы жанр з дзяленнем слоў|шарада
Загін, шво на месцы злучэння тонкіх металічных лістоў|фальц
Якая загінаецца з краёў вокладка, у якую ўкладваюцца паперы|тэчка
Загаловак кнігі|тытул
Загалоўная гераіня мюзіклу Р. Паулса|Кэры
Загалоўны герой вядомай гісторыі пра масавыя ўцёкі і вяртанні пагражаў яе аўтару нейкай працэдурай. Шэраг сучасных атрыбутаў для гэтай працэдуры асацыюецца ў нас з...|чорнай галавой
Загалоўны герой оперы А. Рабыня|Маруф
Загалоўны герой рамана Бальзака|Горио
Загнуты за шво лішак тканіны для магчымага прыпуску|назапасіла
Змова невялікай групы|путч
Загаловак буйным шрыфтам агульны для некалькіх артыкулаў у газеце|шапка
Загаловак, вынесены на палі (полигр.)|глосса
Загарадны забаўляльны шпацыр кампаніяй з закускай на адкрытым паветры|пікнік
Загарадная драўляная хата|шале
Загарадная хата для летняга адпачынку|дача
Загарадная хата з садам; інш.-рым. маёнтак|віла
Загарадная хата з садам|віла
Загарадная хата|віла
Загарадная хатка ў горах Швейцарыі|шале
Загароджанае месца для скаціны|загон
Загароджанае рашоткай месца пад печкай ці пад крамай, дзе трымаюць зімою хатнюю птушку|шосток
Нарыхтоўка для выраба Бураціны|палена
Нарыхтоўка для цеста|рошчына
Нарыхтоўка дроў|колка
Нарыхтоўка з воску для сот|вашчына
Нарыхтоўка гародніны празапас|саленне
Нарыхтоўка, шаблон дакумента (разг.)|рыба
Нарыхтаванае празапас|запас
Загарода з падручных прадметаў і матэрыялаў?|барыкада
Загарода са ссечаных дрэў, выкарыстоўванае ў славянскіх селішчах ад набегаў качэўнікаў|пасека
