Гістарычная вобласць у Іране|Луристан
Іголкаўколванне – метад лячэння з дапамогай уколаў ці іншага ўздзеяння на вызначаныя кропкі цела|акупунктура
Іголкаўколванне па-навуковаму|акупунктура
Иголкин хвост|нітка
Ігольчастая стужка са скуры ў чесальных машынах|карда
Ігральная хата па-блатному|валены
Ігральная хата, установа для рызыкоўных гульняў|казіно
Ігральны храм|казіно
Ігар Старыгин як мушкецёр|Арамис
Гульня (“тактыка”)|ёга
Гульня без хабараў у прэферансе|мізар
Гульня ў бочачкі і шарыкі|лато
Гульня ў даміно|казёл
Гульня ў кольца, што нарадзілася ў Польшчы|рынга
Гульня ў мяч на вадзе?|ватэрпола
Гульня ў абруч, які падкідаецца і ловіцца палачкай|серсо
Гульня ў ручны мяч, мэта – патрапіць у вароты суперніка з зоны перад імі?|гандбол
Гульня ў складанне вершаў на зададзеныя рыфмы|бурыме
Гульня ў шашкі на старадаўні лад|тавлеи
Гульня конна на канях|пола
Гульня двух партнёраў шашкамі на квадратнай дошцы|го
Гульня дзяцінства нашых бабуль з якія скачуць кружочкамі|блошкі
Гульня на 64- ці 100-клеткавай дошцы|шашкі
Гульня на більярдзе для двух шароў|алагер
Гульня на адмысловых картах з нумарамі ці малюначкамі|лато
Гульня на пальцах вядомая з античн. часоў|мору
Гульня на падвышэнні (паніжэнні) курсу каштоўных папер, якая прыносіць, як шчасце, так і гора|бесса
Гульня на поле, але не футбол?|гольф
Гульня на адмысловых картах з нумарамі, якія зачыняюцца фішкамі|лато
Гульня з бочачкамі|лато
Гульня з валанам і ракеткамі?|бадмінтон
Гульня з мішэнню і дроцікамі|дартс
Гульня з мячом і клюшкамі, папулярная ў англамоўных краінах|гольф
Гульня з мячом і ракеткай|сквош
Гульня з мячом, у якую можна гуляць і рукамі, і нагамі?|рэгбі
Гульня з тонкім абручом|серсо
Гульня з шарамі|кеглі
Гульня са словамі – прыдумаць вершык на зададзеную рыфму; самі атрымоўваныя ў выніку вершы|бурыме
Гульня са словамі – прыдумаць вершык на зададзеную рыфму?|бурыме
Гульня спорт. характару, удзельнікі якой па чарзе ловяць на палку кіданыя супернікамі абручы|серсо
Гульня спартовага тыпу, якая ўзнікла ў Францыі ў ХVII ст.|кракет
Гульня спартовага тыпу, якая зарадзілася ў Нямеччыне ў ХVII павеку|кеглі
Гульня японскіх генералаў|шоги
Гульня, у якой драўляныя шары праганяюцца драўлянымі малаткамі праз драцяныя веснічкі|кракет
Гульня, у якой з костак можа паўстаць рыба|даміно
Гульня, у якой кожны становіцца на свае канькі|хакей
Гульня, у якой камусьці з удзельнікаў ну ніяк не атрымоўваецца “паразуваць вочы”|хованкі
Гульня, у якой на карту ставіцца бочачка|лато
Гульня, у якой атрымала поспех Штеффи Граф|тэніс
Гульня, у якой шары праганяюцца малаточкамі ў драцяныя веснічкі|кракет
Гульня, вакол якой пабудаваны эпізод з “Махабхараты”|касці
Гульня, што складаецца ў збіванні шарам драўляных слупкоў|кеглі
Гульня, назва якой даў Ч.-Л. Бутон|ім
Гульня, перакідванне кольцаў і лоўля іх на лёце на палку|серсо
Гульня, пры якой ударамі доўгага малаточка трэба правесці шарык праз серыю варот|кракет
Гульня, забаўка, уцеха|забава
Гульня, якая складаецца ў збіванні постацяў шарамі, пускаемыми па драўляным насціле|кеглі
Гульня, мэта якой патрапіць пушчанай па лёдзе бітай у вычарчаную на ім мішэнь?|керлинг
Гульня, чые ўдзельнікі з ходу імкнуцца прыручыць мяч?|гандбол
Гульня, у якой удзельнікі выконваюць жартоўнае заданне, прызначанае па жэрабі|фант
Гульня-латарэя; аповяд Сетон-Томпсана|бінга
Гульня-латарэя|бінга
Игральн. костка, якой конаются|панк
Ігральная карта|дама
Ігральная костка (устар.)|тавлея
Ігральная, геаграфічная|карта
Ігральныя ...?|карты
Ігральныя карты на шулерском мове|очата
Ігральныя карты з малюнкам трилистника|крэсці
Ігральны кубік|костка
Гуляць гучна, калі гэта слова запісана ў нотах|фортэ
Якая мае ролю палубы верхняя частка абалонкі разборнай байдаркі, што абараняе ад залівання і пырсак|дэка
Игристый, пеністы цытрынавы напой|физ
Гульнявая картатэка?|калода
Гульнявы выкрут|фінт
Гульнявы выгляд спорту – кіданне дроцікаў у мішэнь|дартс
Гульнявы спартовы снарад?|мяч
Гулец Аякса, які пагуляў у Італіі|Винтер
Гулец у телеказино “Што? Дзе? Калі?”|знаўца
Гулец кіеўскага “Дынама” і зборнай СССР|Блохин
Гулец левага флангу Інтэра і зборнай Славакіі?|Греско
Гулец левага флангу Мілана і зборнай Бразіліі?|Сержиньо
Гулец лініі нападу ў футбольнай камандзе|інсайд
Гулец зборнай Францыі, які мае грузінскія карані|Джоркаефф
Гулец зборнай Англіі і Ньюкастла|Ширер
Гулец, шмат у чым дзякуючы якому Валенсія два разу запар даходзіла да фіналу лігі чэмпіёнаў (2000, 2001)|Мендьета
Гулец, гатовы крычаць па любой спорн. сітуацыі|глот
Гулец, які забіў 13 галоў на адным з Чэмпіянатаў Свету?|Фонтен
Удзельнік гульнявога працэсу ў казіно, які ніколі не бывае ў пройгрышы|круп'е
Гулец, трэнер кіеўскага Дынама, зборнай СССР, Украіны па імі Йожеф|сабо
Цацачнае маляня, лялька|пупс
Цацка ў выглядзе кружка, шарыка на круцельнай восі|турок
Цацка не для хлопчыкаў|лялька
Цацка дзіцяці, які жыве ў сталым|хобі
Цацка, з якой гуляюць паўналетнія, забыўшыся, колькі ім гадоў|цацка
Цацка-галаваломка, якую прыдумаў вугорац Рубік|кубік
Ідэаліст. канцэпцыя пра эвалюцыю жывы. прыроды|аўтагенез
Ідэалізаваны малюнак сельскага жыцця|пастараль
Ідэалогія і рух, якое выступае супраць любых войн|пацыфізм
Ідэалогія, што адмаўляе дзярж. улада і арганізаваныя формы палітычнага жыцця|анархізм
Ідэйны прыхільнік прававых і эканамічных воляў|ліберал
Ідэя, якая захапіла чалавека цалкам|ідэфікс
Ідэя, што задавальненне – не ўзнагарода за дасягнутую мэту, а сама мэта|геданізм
