Зодиакальное сузор'е, ліпень|леў
І змяя, і кракадзіл, і чарапаха|рэптылія
І змяя, і лацінаамерыканскі танец|мамба
І знак прыпынку, і гандлёвы шапік, і канец гутаркі|кропка
І зуб, і такарная прылада|разец
І іслам, і будызм|рэлігія
І да вечара сонечнага дня, як бы я сказаў, на заходзе сёмага стагоддзя, гэта значыць да канчатка майго жыцця... – пісаў Исайя Серский. А што павінна здарыцца на заходзе сёмага стагоддзя?|Страшны суд
І які ж ... не кахае хуткай язды а) чукча б) рускі ў) чалец ВЛКСМ г) не выязджаў раней?|б
І картежная гульня, і частка цела, якая “гуляе” пры пройгрышы|ачко
І катэгарычнае “няма”, і дыпламатычнае “можа быць”|адмова
І кельт, і скіф, і славянін для рымляніна|варвар
І кліматычная зона, і “непраходны” чалавек|тундра
І каралева экрана Мордюкова, і каралева шахмат Гаприндашвили|Нонна
І каронны, і пусты|нумар
І крывалінейнае перакрыцце, і складанка законаў|збор
І крыкі “Ўра” застывалі ў роце, // Калі мы кулі глыналі... – верш-песня В. Высоцкага?|вышыня
І кракадзіл, і жаба|амфібія
І кулябяка, і расцягай|пірог
І кавалак турэмнага хлеба, і спосаб далучэння рэзістара да друкаванай платы|паянне
І твар, і жак|пыса
І любая з дзвюх зморшчын цела, якія атачаюць адтуліна, і мужчынская верхняя даўгакрысая адзежа з сукна з доўгім ворсам у вугорцаў і славакаў, і месца адбыцця правіннасцяў на салдацкім жаргоне|губа
І манах, і малпа|капуцын
І магнітная, і кулямётная?|стужка
І макет карабля, і манекеншчыца|мадэль
І маліна, і каліна, і суніца|ягада
І марка аўтамабіля, і нястрымная папойка|газ
І матэрыял, і каштоўнасць|карунд
І медыцынская, і аўтамабільная|шына
І мемарыяльная, і шахматная, і грыфельная|дошка
І месца стаянкі, і востры жарт|прыкол
І металічны злітак, і свіння|свінка
І мужчынскае імя, і літаратурны твор|раман
І музычны, і сардэчны|рытм
І на яе бывае проруха|старая
І назва аповяду Лескова і тетраоксид диалюминия – берылію|александрыт
І нечаканы падарунак, і мыш, падкладзеная Вовачкай настаўніцы ў сумачку|неспадзеўка
І на гэтым стане вады можна “ездзіць”|пара
І наркота, і рэлігія|опіум
І казурка, і запальная сумесь|тэрміт
І нязбытная мара, і міфалагічная пачвара|хімера
І навіны перадае, і грэе, і спявае|радыё
І вобад на бочцы, і гімнастычны прадмет|абруч
І агароджванне ўчастку, і падыход да кожнага госця з пачастункам|обнос
І орган малюска, і адзежа кардынала, і абалонка Землі|мантыя
