Обстенная культура (ботанич.)|гарох
Агульнасць людзей, выкарыстоўваная ўладарамі для іх падзелу|нацыя
Агульнасць народанасельніцтва якой-небудзь краіны, пераважна аднастайнага па нацыянальным складзе, які мае агульная мова, культуру, традыцыі|нацыя
Агульнасць прыёмаў, вобразнага рашэння, што вырабляе вызначанае ўражанне|стыль
Аб'яднанне Арагона і Кастыліі ў 1479 году, які паклаў пачатак адзінай Іспанскай дзяржаве|унія
Аб'яднанне архітэктараў-урбаністаў|АРУ
Аб'яднанне дзяржаў, грамадскіх арганізацый ці груп для сумесных дзеянняў|блок
Аб'яднанне групы твараў для сталых сумесных заняткаў чым-небудзь?|кружок
Аб'яднанне дзейсных войскаў|фронт
Аб'яднанне для якіх-небудзь сумесных мэт|звяз
Аб'яднанне сялян для вядзення калектыўнай гаспадаркі|талака
Аб'яднанне твараў ці ўстаноў?|асацыяцыя
Аб'яднанне твараў некаторых прафесій, злучаных з фізічнай працай, для сумеснай працы|талака
Аб'яднанне людзей у дакласавым грамадстве|племя
Аб'яднанне мангола-татарскага войска з 10 тыс. чалавек|тумен
Аб'яднанне некалькіх аднатыпных прадпрыемстваў|трэст
Аб'яднанне арганізацый ці твараў для дасягнення агульнай гаспадарчай, палітычнай ці якой-небудзь іншай мэты|асацыяцыя
Аб'яднанне плямёнаў мансі ў ХV–ХVI ст. у Сібіры|пелым
Аб'яднанне цясляроў для сумеснай працы|талака
Аб'яднанне сіл ваеннага флота?|флатылія
Аб'яднанне чаго-небудзь у адным месцы, у адных руках?|цэнтралізацыя
Аб'яднанне, звяз дзяржаў|унія
Аб'яднанне|звяз
Аб'яднаныя Арабскія Эміраты (горад у Азіі)|Аджман
Аб'ект барановага агляду|вароты
Аб'ект вывучэння ў гісталогіі|тканіна
Аб'ект куплі-продажы|тавар
Аб'ект палявання Дуремара|п'яўка
Аб'ект пошуку ў лабірынце|выйсце
Аб'ект глыбокай пашаны хрысціян, святыя рэшткі|моцы
Аб'ект глыбокай пашаны?|ідал
Аб'ект глыбокай пашаны|фетыш
Аб'ект рэлігійнага шанавання радавых груп, плямёнаў|татэм
Аб'ект стральбы, мішэнь|мэта
Аб'ект, які вывучаюць уфолагі|нла
Аб'ектыўная рэальнасць; матэрыя ў адзінстве ўсіх формаў яе руху?|субстанцыя
Аб'ектыўна існае|рэаліі
Аб'ектыўна існыя акалічнасці, з'явы і т. п.|рэаліі
Аб'ём у лістах|листаж
Аб'ём унутраных памяшканняў судна|танаж
Аб'ём кнігі|листаж
Аб'ём нафты, які паступае са свідравіны ў адзінку часу|дэбіт
Аб'ём гэтай інфармацыі каля 1,5 гігабайт. Мяркуецца, што яна будзе расшыфравана праз 2-3 гады. Што гэта за інфармацыя?|генны код чалавека
Аб'ёмная імітацыя выгляду мясцовасці, будынкаў і збудаванняў у вызначаным маштабе|макет
Аб'ёмная копія збудавання ў меншым маштабе|макет
Аб'ёмная тара з лубу ці бяросты|кораб
Аб'ёмнае паглынанне газаў ці пар вадкасцю з адукацыяй раствора|абсарбаванне
Аб'ёмны квадрат|куб
Аб'ёмная акружнасць|сфера
Аб'ява ў тэатры, кіно і т. д. пра тое, што ўсе квіткі прададзены?|аншлаг
Аб'ява благога намеру|пагроза
Аб'ява пра лекцыю, спектаклі, канцэрце і т. д.|афіша
Аб'ява пра хуткую падзею (звычайна ў сферы культурнага жыцця: канцэрце, спектаклі і т. п.)|анонс
Аб'ява пра хуткія гастролі, спектаклях, канцэртах?|анонс
Аб'ява пра спектакль, канцэрце|афіша
Аб'ява пра спектакль, канцэрце, вывешиваемое ў публічных месцах|афіша
Аб'ява ўтрымання царскага ўказу?|абвяшчэнне
Тлумачэнне з'яў жыцця толькі на аснове меркаванняў прамой выгады і жывёльных інстынктаў, часта абразлівае для атачальных|цынізм
Штодзённасць, штодзённасць|проза
Звычайны цуд|фокус
Звычайны крамнік, толькі ў шмат разоў павялічаны?|бізнэсмэн
Звычайны катар|ринит
Звычайны ўдаў, са шкуры якога робяць жаночыя сумачкі|баа
Звычай у інш. Яп. хаваць са знатн. чалавекам начынне, слугаў|дзюнси
Звычай аддаваць дзяцей шляхетных бацькоў на выхаванне васалам|аталычество
Звычай у мусульман|адат
Звычай караціць хвасты канёў ампутацыяй канца макаўкі|англизирование
Звычай, уклад грамадскага жыцця|нораў
Обычн. тып падлог. працэсу, калі просх. зліццё ядраў клетак|амфимиксис
Звычайная здабыча гепарда?|антылопа
Звычайная здабыча для рысі|собаль
