Футравыя панчохі поўсцю ўнутр|липты
Мінерал, силикат кальцыя і натрыю, вырабны камень|пектолит
Мінерал, силикат кальцыя і тытана, использ. для агранкі|тытаніт
Мінерал, силикат літыя і алюмінія, ювелірны камень|сподумен
Мінерал, складаны аксід тантала, ніёбія, марганцу, жалеза|танталіт
Мінерал, сфен|тытаніт
Мінерал, сыравіна для вымання вокісу тытана|тытаніт
Мінерал, натуральны абразіўны матэрыял|крамень
Мінерал, асноўная руда свінцу|галеніт
Мінерал, асноўная руда для атрымання вісмута|вісмуцін
Мінерал, асноўная тытанавая руда|ильменит
Мінерал, які складае асноўную масу зямной кары|силикат
Мінерал, вогнетрывалы матэрыял|даломіць
Мінерал, адзін са скапалітаў, ювелірны камень|мариалит
Мінерал, аксід магнію, ювелірны камень|периклаз
Мінерал, разнавіднасць сфалерыту|клейофан
Мінерал, разнавіднасць уранинита|клевеит
Мінерал, разнавіднасць вівіяніту|керченит
Мінерал, разнавіднасць гіпсу|селеніт
Мінерал, руда сурмы|антыманіт
Мінерал, руда ртуці|цынобра
Мінерал, руда барыю|витерит
Мінерал, руда бора|датолит
Мінерал, руда ванадыя, урана, радыя|карнотит
Мінерал, руда для вымання цыну|станнин
Мінерал, руда жалеза|магнетыт
Мінерал, руда жалеза|сідэрыт
Мінерал, руда калія|сільвін
Мінерал, руда мыш'яку|рэальгар
Мінерал, руда ніёбія|колумбит
Мінерал, руда тантала|мікраліт
Мінерал, руда тытана|ильменит
Мінерал, руда фтору|флюарыт
Мінерал, руда цэзія|поллуцит
Мінерал, руда чыгуну|магнетыт
Мінерал, борасілікат кальцыя, ограночный матэрыял|датолит
Мінерал, водны силикат медзі, исп. як імітацыя смарагду|диоптаз
Мінерал, водны карбанат нікеля, вырабны камень|заратит
Мінерал, свінцовы бляск, асноўная свінцовая руда|галеніт
Мінерал, гідраксід алюмінія, выкарыстоўваецца для агранкі|дыяспар
Мінерал, каліевы палявы шпат|артаклаз
Мінерал, аксід алюмінія, драгоцен. камень, сінонім карунду|адамантин
Мінерал, чырвоны жалязняк|гематыт
Мінерал, вырабны камень жоўтага, зялёнага і бурага колеру|везувиан
Мінерал, вырабны камень|кровавик
Мінерал, вырабны камень|лабрадор
Мінерал, вырабны камень|малахіт
Мінерал, вырабны камень|флюарыт
Мінерал, напаўпразрысты кварц, мае шмат разнавіднасцяў па колеры. Вырабны камень|халцэдон
Мінерал, паліморфная разнавіднасць вуглякіслага кальцыя, звычайна адкладаецца з гарачых крыніц|араганіт
Мінерал, фасфат алюмінія, ограночный матэрыял|аугелит
Мінерал|йоссаит
Мінерал|кальцыт
Мінеральная вада Арменіі|бжни
Мінеральная вада курорта Трускавец|нафтуся
Мінеральная лячэбная вада|баржомі
Мінеральная адукацыя, якое звешваецца ў выглядзе лядзякоў са столі пячоры|сталактит
Мінеральнае ўгнаенне|аммофоска
Мінеральныя і арганічныя рэчывы, вышчалачаныя дажджамі з верхняй часткі глебы|иллювий
Міна, подрываемая пад пластом зямлі, пад вадой, у якім-небудзь збудаванні|фугас
Міндальнае малако|аршад
Мінёр. скупнасць у изверж. горан. пародзе.|шлир
Мінерал – серны калчадан, жалезны калчадан|пирит
Мінерал белага ці жаўтлявага колеру, карысны пры пераломах|гіпс
Мінерал групы гранатаў|андрадыт
Мінерал групы псиломелана, руда марганцу|вад
Мінерал групы серпентина, вырабны камень|антыгарыт
Мінерал групы садаліту, вырабны камень|гаюин
Мінерал зелянявага колеру, вырабны камень|нефрыт
Мінерал з групы амфіболаў|амиант
Мінерал з групы гранатаў|альмандзін
Мінерал з групы палявых шпатаў|азурыт
Мінерал з групы палявых шпатаў|альбіт
Мінерал з групы палявых шпатаў|андэзін
Мінерал з групы палявых шпатаў|апатыт
Мінерал з групы палявых шпатаў|рутил
Мінерал з групы слюд, цёмнага колеру|біятыт
Мінерал з фасфатаў|апатыт
Мінерал класа сульфатаў, сыравіна для с/г угнаенняў|каініт
Мінерал класа сульфідаў|пирит
Мінерал класа фасфатаў|апатыт
Мінерал класа фасфатаў|рутил
Мінерал подкл. астраўных силикатов, бесцв., рэдкі|муліт
Мінерал подкл. астраўных силикатов|пракладае
Мінерал падкласа цепочечных (істужачных) силикатов|амфібол
Мінерал сіняга колеру, медная руда, выкарыстоўваецца таксама для атрымання сіняй фарбы|азурыт
Мінерал, алюмасілікат кальцыя і магнію, поделочн. камень|пренит
Мінерал, алюмасілікат кальцыя|анартыт
Мінерал, бясколерны ці бледна-зялёны турмалін|ахраіт
Мінерал, борасілікат|аксинит
Мінерал, бурая ігольчастая разнавіднасць эгирина|акмит
Мінерал, у якасці ўгнаення|каініт
Мінерал, у склад якога ўваходзіць свінец|сурык
Мінерал, водны арсенат цынку, вырабны камень|адамин
Мінерал, водны силикат алюмінія, вырабны камень|алафан
Мінерал, водны силикат кальцыя, жалеза, алюмінія, часам марганцу і іншага складанага складу, звычайна зялёны розных адценняў, часам ружовы|эпидот
Мінерал, водны фасфат алюмінія і медзі?|біруза
Мінерал, водосодержащий алюмасілікат натрыю, сустракаецца ў вулканічных і глыбінных пародах|анальцим
Мінерал, водосодержащий борат натрыю; выкарыстоўваецца для ачысткі металу пры паянні|свідры
Мінерал, гідраксід магнію, вырабны камень|брусіт
Мінерал, група амфіболаў|ураліт
Мінерал, дыяксід тытана, ограночный камень|брукит
Мінерал, диопсид светла-зялёны да бясколернага|алалит
Мінерал, які здабываецца ў Якутыі|дыямент
Мінерал, каштоўны камень з вясёлкавай гульнёй кветак|апаў
Мінерал, каштоўны камень|александрыт
Мінерал, каштоўны камень|берыл
Мінерал, каштоўны камень|гранат
Мінерал, каштоўны камень|дравит
Мінерал, каштоўны камень|сапфір
Мінерал, каштоўны камень|цыркон
Мінерал, іншая назва якога – аланіт|ортит
Мінерал, натуральны абразіўны матэрыял|карунд
Мінерал, што замяняў шкло ў рускіх хатах|лушчак
Мінерал, зелянявы напаўпразрысты кварц|празем
Мінерал, зялёны кварц|празем
