Манета Заіра|сенк
(морск.) Прыватная асоба, якое атрымоўвала ад дзяржавы ліцэнзію на захоп і знішчэнне судоў варожых і нейтральных краін у абмен на абяцанне падзяляцца з наймальнікам|капер
Марская баржа|ліхтэр
Марская бездань|бездань
Марская паветраная маса|пена
Марская выдра, камчацкі бабёр|калан
Марская змеепадобная рыбка|іголка
Марская мера хуткасці?|вузел
Марская непагадзь|шторм
Марская плотка|таран
Марская промысл. рыба сем. серрановых отр. окунеобразных|мероу
Марская прамысловая рыба з падоўжаным і сціснутым з бакоў целам|кефаль
Марская прамысловая рыба сямейства скумбриевых|тунец
Марская прамысловая рыба сямейства трасковых|хек
Марская прамысловая рыба, “якая плавае” на карце Ю. Амерыкі|аргентына
Марская прамысловая рыба|палтус
Марская прамысловая рыба|салака
Марская прамысловая рыба|трэска
Марская прафесія; верш. А. Ахматавай; рус. пісьменнік|рыбак
Марская прафесія|рыбак
Марская птушка атрада весланогіх|олуш
Марская птушка атрада весланогіх|олуша
Марская птушка|альбатрос
Марская птушка|ипатка
Марская птушка|кайра
Марская птушка|гарбаткі
Марская рыба (ок. 30 выглядаў), у шэрагу краін прамысловая|хімера
Марская рыба отр. окунеобразных|зубан
Марская рыба атрада лососеобразных. Аб'ект здабычы|мойва
Марская рыба атрада окунеобразных|луфарь
Марская рыба атрада скорпенообразных, аб'ект здабычы|рашпіль
Марская рыба роду зубанов отр. окунеобразных|пагр
Марская рыба сем. сельдевых (Балт., Черн. і Азоўскае моры)|шпрот
Марская рыба сямейства корушак?|мойва
Марская рыба, якая вядзе дновы лад жыцця|пахіл
Марская рыба, аб'ект здабычы?|хек
Марская рыбка, якая забівае здабычу поглядам|астраскоп
Марскі сажань|фатам
Марскі селядзец|камса
Марская зграйная рыба сем. серрановых отр. окунеобразных|лаврак
Марская драпежная рыба, часам небяспечная для чалавека|акула
Марская чарапаха|бисса
Марская электрычная рыба|пахіл
Марская лютасць|шторм
Марскія лютвы скандынаўскіх ваяроў (8–11 стагоддзі), здзяйснялыя набегі і далёкія плаванні|варагі
Марскія многощетинковые чарвякі|палоло
Прыём марскога, танкавага бою|таран
Марская бесхрыбтовая жывёла|карал
Марское бажаство ў інш.-греч. міфалогіі|Пратэй
Марское бажаство, сын Пасейдона (греч. міф.)|Трытон
Марское вайсковае званне|мічман
Марское двухмачтовое ветразнае судна з прамымі ветразямі|брыг
Марское жывы-ое сім. цюленяў, шарон. гренл. цюлень|лысун
Марская жывёла кембрыйскага перыяду, вапнавы шкілет якога меў выгляд кубка|археоциат
Марская жывёла атрада сірэн|дзюгонь
Марская жывёла падтыпу туникат|аппендикулярия
Марская жывёла з вялікімі шчупальцамі|спрут
Марская жывёла сямействы вушастых цюленяў|сівуч
Марская жывёла, бесхрыбтовае, паліп|карал
Марская жывёла, карлікавы кашалот|когия
Марская жывёла, якое жанглюе ў цырку мячом|каток
Марская жывёла, медуза|цианея
Марская жывёла, млекопитающее атрада кітоў|брайда
Марская жывёла, атрад кітоў|сейвал
Марская жывёла, сельдяной кіт|фінвал
Марская жывёла, сямействы кітоў|плывун
Марская жывёла, сямействы ластоногих|сякач
Марская жывёла, сямействы цюленяў|хохлач
Марская жывёла, сіні кіт|блювал
Марская жывёла, удзельнік гонак у Канадзе. Узнагарода пераможцу – жыццё|амар
Марская жывёла, чорны дэльфін|гринда
Марская жывёла, каралавы паліп|актынія
Марская жывёла|акиба
Марская жывёла|тевяк
Марское кишечнополостное бесхрыбтовая жывёла|медуза
Марское ластоногое жывёла з каштоўным мехам|каток
Марское ластоногое жывёла|каток
Марское ластоногое жывёла|нерпа
Марское ластоногое жывёла|цюлень
Марское ластоногое млекопитающее сямействы куньих|калан
Марское ластоногое млекопитающее|цюлень
Марская дробная жывёла|канёк
Марское млекопитающее сямействы дэльфінаў?|бялуха
Марское млекопитающее сямействы дельфиновых|аднарог
Марское млекопитающее сямействы цюленяў|ларга
Марское млекопитающее сямействы цюленяў|лахтак
Марское млекопитающее сямействы цюленяў|тевяк
Марское млекопитающее сямействы цюленяў|хохлач
Марское млекопитающее|кіт
Марское непередвигающееся жывёла|паліп
Марское ветразнае одномачтовое судна; прычапная частка паравоза; міжнародны гандаль|тэндар
Марское ветразнае одномачтовое судна|тэндар
Марское ветразнае судна з касымі ветразямі на кармавой шчогле і прамымі на астатніх|барк
Марское найпростае найнізкае шматклеткавае арганічнага паходжання|карал
Марское найпростае, найнізкае шматклеткавае|медуза
