Ангел. кінарэжысёр|Хадсон
Ангел. філосаф|Толанд
Ангел. хімік і фізік. Нобелеўская прэмія (1904)|Рамзай
Ангел. хімік-арганік, ноб. лаўрэат|Хоуорс
Ангел. хімік-арганік|Инголд
Ангел. хімік|Дэви
Ангел. хімік|Роско
Ангел. хлебная мера|пёк
Ангел. мастак (1878–1961, “Жабракі”)|Джон
Ангел. мастак|Ромни
Ангел. мастак|Стир
Ангел. мастак|Хогарт
Ангел. шахматыст, межд. гросмайстар|Шортаў
Ангел. 4-колесн. рессорн. паляўнічы экіпаж|брек
Ангел.: астраном; філосаф; ам. генерал войска|Брэдлі
Ангел. біяхімік, Нобелеўск. прэмія 1962|Перутц
Ангел. генерал, у 1911–17 гг. военн. аташэ ў Расіі|Нокс
Ангел. горад у графстве Мерсисаид|Роби
Ангел. дырыжор, раб. у пач. 20 ст. у Мариин. тэатры ў Пецярбургу|Коутс
Ангел. мера даўжыні 10,16 гл для прамераў каня|хэнд
Ангел. сям'я мастакоў, разьбяроў манетных штэмпеляў 18–20 стст.|Вайон
Ангел. навуковец, вынаходнік вяслярнай шрубы|Рассел
Ангел. фізік, Ноб. лаўрэат 1904 г.|Рэлей
Ангел. фізік, Нобелеўск. лаўрэат 1951 г.|Уолтон
Ангел. фізікі, асноў. рентгеноструктурн. аналізу, Нобел. лаур.?|Брэгг
Ангел. физикохимик, бліскучы. педагог, заснавальнік научн. школы|Гарнер
Ангел. физикохимик, презид. Лондонск. хим. пра-ў (1950–1955)|Ридил
Ангел. физикохимик, прэзідэнт Лондонск. хим. пра-ў (1937–39)|Доннан
Ангел. физикохимик, прэзідэнт Фарадеевского пра-ў (1952–53)|Тэйлор
Ангел. хімік 19 ст., увёў тэрміны “золь” і “гель” у 1864 г.|Грэм
Ангел. хімік і біяхімік (1785–1850)|Праут
Ангел. хімік, вынайшаў (1889) совм. з Дьюаром бездымн. порах|Эйбел
Ангел. хімік, стварыў (1868) табліцу хим. элементаў|Одлинг
Ангел. хімік-арганік (1869–1929)|Перкин
Ангел. хімік-арганік, Нобелеўская прэмія 1937|Хеуорс
Ангел. хімік-арганік, Нобелеўск. лаўрэат 1957 г.|Тодд
Ангел. хімік-арганік, прэзідэнт Лондонск. хим. пра-ў (1956–57)|Хест
Ангел. хімік-тэхнолаг 19 ст.|Дикон
Ангельскі хорт|уиппет
Ангельская літара|ви
Ангельская літара|дзі
Ангельская літара|ти
Ангельская літара|эфаў
Ангельская дынастыя|Сцюарт
Ангельская дынастыя|Тюдор
Ангельская адзінка даўжыні = 3 фута|ярд
Ангельская адзінка масы|слаг
Ангельская адзінка масы|фунт
Ангельская адзінка аб'ёму?|галон
Ангельская мера вагі|фунт
Ангельская мера даўжыні|фут
Ангельская мера вадкасці, блізкая да нашай поллитре, але толькі па аб'ёме, але не ідэалогіі|пінта
Ангельская пісьменніца, майстар дэтэктыўных раманаў і аповесцяў|Крысці
Ангельская рака, якая ўпадае ў Паўночнае мора|Уир
Ангельская традыцыйная адзінка даўжыні, 2,54 гл|цаля
Ангельская хлебная мера|пекх
Ангельскія лекары лічаць гэта такім жа сімптомам розных вочных захворванняў, як зялёных чорцікаў – сімптомам белай гарачкі. Што ж гэта?|прывіды
Ангельскія гарачыя ці камбінаваныя закускі|савори
Ангельскія фізікі, бацька і сын. Нобелеўская прэмія (1937, сумесна з Дэвиссоном)|Томсон
Ангельскія фізікі. Нобелеўская прэмія (1915)|Брэгг
Ангельскі “крок”|степ
Ангельскі антраполаг і археолаг|Абліччы
Ангельскі астраном|Брэдлі
Ангельскі біяфізік і генетык. Нобелеўская прэмія (1962, сумесна з Дж. Уотсанам і М. Уилкинсом)|Крык
Ангельскі біяхімік і физикохимик. Нобелеўская прэмія (1952, сумесна з Р. Сингом)|Марцін
Ангельскі біяхімік, Нобелеўскія прэміі 1958, 1980|Сенгер
Ангельскі біяхімік. Нобелеўская прэмія (1929, сумесна з Х. Эйлерам-Хельпином)|Гарден
Ангельскі біяхімік. Нобелеўская прэмія (1945, сумесна з А. Флемингом і Х. У. Флори)|Чейн
Ангельскі біяхімік. Нобелеўская прэмія (1952, сумесна з Марцінам)|Синг
Ангельскі біяхімік. Нобелеўская прэмія (1958; 1980, сумесна з П. Бергам і У. Гилбертом)|Сенгер
Ангельскі біяхімік. Нобелеўская прэмія (1962, сумесна з Дж. К. Кендрю)|Перуц
Ангельскі біяхімік. Нобелеўская прэмія (1962, сумесна з М. Ф. Перуцем)|Кендрю
Ангельскі лекар 14 стагоддзі|Андерн
Ангельскі географ, вандроўца, даследнік Антарктыды|Скот
Ангельскі дзяржаўны дзеяч. Нобелеўская прэмія свету (1937)|Сесил
Ангельскі гросмайстар|Нанн
Ангельскі гуманіст, аўтар “Утопіі”|Мор
Ангельскі прыродазнавец, вандроўца і натураліст, сталы ў 1858 г. суаўтарам Чарлза Дарвіна|Уоллес
Ангельскі прыродазнавец|Сорби
Ангельскі жывапісец і графік (1775–1851)|Тэрнер
Ангельскі вынаходнік банкаброша (1769)|Аркрайт
