Персанаж Пушкіна “Скупы рыцар”|герцаг
Персанаж вадэвіля А. Чэхава|Апломбов
Персанаж вадэвіля А. Чэхава|Дымба
Персанаж вадэвіля А. Чэхава|Нюнин
Персанаж вадэвіля А. Чэхава|Ять
Персанаж нямеччына-сканд. міфа-эпич. паданні|Хетель
Персанаж нямеччына-сканд. міфа-эпическ. паданні|Хильда
Персанаж греч. міфалогіі, асуджаны багамі на вечныя пакуты|Тантал
Персанаж грэцкай міфалогіі, асуджаны на вечныя пакуты смагі|Тантал
Персанаж грэцкай міфалогіі|Ниоба
Персанаж інш.-греч. міфалогіі?|Герострат
Персанаж інш.-греч. міфалогіі|Парыс
Персанаж інш.-греч. міфалогіі|Тезей
Персанаж інш.-греч. міфалогіі|Цирцея
Персанаж інш.-рым. міфалогіі|фурыя
Персанаж драмы “Ўлада цемры”|Акім
Персанаж драмы “Ўлада цемры”|Анютка
Персанаж драмы “Ўлада цемры”|Митрич
Персанаж драмы “Ўлада цемры”|сват
Персанаж драмы “Маскарад” М. Ю. Лермантава|Шприх
Персанаж драмы А. Астроўскага “Навальніца”|Кудряш
Персанаж драмы Тренева “Каханне Яравая”|Швандя
Персанаж старажытна-нубійскай міфалогіі|аренснупис
Персанаж древнегреч. міфа|Ниобея
Персанаж есенинского вершы|Шаганэ
Персанаж з “Яўгена Онегина”|Гильо
Персанаж з “Залатога ключыка” А. Талстога|Артемон
Персанаж з “Руслана і Людмілы”; спорт. яхта|Фін
Персанаж з “Руслана і Людмілы”|Фін
Персанаж з “Сарокі-зладзейкі” Герцэна|Анэта
Персанаж з : “Віновай дамы”; “Дваранскага гнязда”|Ліза
Персанаж з : “Віновай дамы”|Ліза
Персанаж з камедыі Мольера “Мізантроп”|Оронт
Персанаж з аднайменнай прозы Лермантава|Бэла
Персанаж з оперы “Сорочинская кірмаш” Мусаргскага|Хивря
Персанаж з твора Н. В. Гогаля “Ноч перад калядамі”, маці Вакулы|Солоха
Персанаж з твора Н. В. Гогаля “Ноч перад калядамі”|Панас
Персанаж з рамана “Браты Карамазовы” Ф. М. Дастаеўскага|Митя
Персанаж вядомай кінастужкі з удзелам В. Тихонова|Бим
Персанаж вядомай песні, так і які наровіць загнаць канёў|фурман
Персанаж іранскай міфалогіі|сама
Персанаж іт. камедыі масак|доктар
Персанаж да/ф “Няўлоўныя мсціўцы”|Данька
Персанаж да/ф “Няўлоўныя мсціўцы”|Ксанка
Персанаж да/ф Дружининой “Гардэмарыны, наперад”|Оленев
Персанаж да/ф М. Козакова “Пакроўскія вароты”|Соевы
Персанаж да/ф рэжысёраў Васільевых “Чапаеў”|Пецька
Персанаж киноповести А. Гайдара “Кашталян снежнай крэпасці”|Цімур
Персанаж кінастужкі “А світанкі тут ціхія...”|Васков
Персанаж кітайскай міфалогіі|утан
Персанаж камедыі “Плады асветы”|пан
Персанаж камедыі А. Н. Астроўскага “На бойкім месцы”|Аннушка
Персанаж камедыі Бомарше “Цывільны сирюльник :)” ?|Фігаро
Персанаж камедыі Бомарше|Альмавіва
Персанаж камедыі Бомарше|Базиль
Персанаж камедыі Ж.-Б. Мольера|Скапен
Персанаж камедыі Мольера “Скупы”|Клеант
Персанаж камедыі Мольера “Тартюф, ці ашуканец”|Оргон
Персанаж камедыі Н. В. Гогаля “Рэвізор”|Восіп
Персанаж камедыі Н. Гогаля “Рэвізор”|Восіп
Персанаж камедыі Э. Ростана “Сирано дэ Бержерак”|Рагно
Персанаж корейск. міфалогіі|содон
Персанаж карэйскай легенды|аранбуль
Персанаж карэйскай міфалогіі?|арэн
Персанаж шматлікіх кетских міфаў і казак|каскет
Персанаж мультсерыяла “Макрон-1”|Абихан
Персанаж мультсерыяла “Качыныя гісторыі”|Білі
Персанаж мультфільма “Вожык у смузе”|вожык
Персанаж мультфільма “Качыныя гісторыі”; імя Токарева|Вілі
Персанаж мультфільма “Качыныя гісторыі”|Вілі
Персанаж мусульманск. міфалогіі|илйас
Персанаж мусульманскай міфалогіі|балям
Персанаж навэлы Мапасана|соваж
Персанаж аднаго з твораў М. Ю. Лермантава|Аргус
Персанаж аднайменнага твора Бальзака|Гобсек
Персанаж аднайменнага твора Гётэ|Фаўст
Персанаж аднайменнага твора Шэкспіра|Макбет
Персанаж аднайменнай драмы Гюго|Анджело
Персанаж аднайменнай камедыі Мольера|Тартюф
Персанаж аперэты “Вясёлая ўдава”|Никош
Персанаж аперэты “Вольны вецер” Дунаевского|Стелла
Персанаж аперэты “Сільва” Кальмана|эдвин
Персанаж аперэты І. Кальмана “Сільва”|Эдвин
Персанаж оперы “Аіда”|Амонасро
Персанаж оперы “Аіда”|Рамфис
Персанаж оперы “Баль-маскарад”|Амелія
Персанаж оперы “Чароўная флейта” Моцарта|Тамина
Персанаж оперы “Чароўная флейта” Моцарта|Тамино
Персанаж оперы “Вражья сіла” Сярова|Еремка
Персанаж оперы “Галька”|Януш
Персанаж оперы “Яўгеній Онегин” П. Чайковского|Вольга
Персанаж оперы “Залаты пеўнічак” Рымскага-Корсакова|Дадон
Персанаж оперы “Шукальнікі жэмчугу”; кропка нябеснай сферы|Надзір
Персанаж оперы “Шукальнікі жэмчугу”|Надзір
Персанаж оперы “Кармэн” Бизе|Хозе
Персанаж оперы “Князь Ігар”|Гзак
Персанаж оперы “Мазепа” П. Чайковского|Іскра
Персанаж оперы “Атэла”|Кассио
Персанаж оперы “Блазны”|Недда
Персанаж оперы “Віновая дама” П. Чайковского|Герман
Персанаж оперы “Риголетто”|Борса
Персанаж оперы “Русалка”|Наташа
Персанаж оперы “Руслан і Людміла” Глінкі|Наіна
Персанаж оперы “Вяселле Фігаро” Моцарта|Антоніа
Персанаж оперы “Вяселле Фігаро”|Розина
Персанаж оперы “Сивильский цырульнік”|Фігаро
Персанаж оперы “Снягурка” Рымскага-Корсакова|лясун
Персанаж оперы “Нуда”|Анджелотти
Персанаж оперы “Травиата” Дж. Верди|Жозэф
Персанаж оперы “Трубадур”|Рюиц
Персанаж оперы “Фиделио” Л. Бетховена|Жакино
Персанаж оперы А. Барадзіна “Князь Ігар” (половчанин)|Овлур
Персанаж оперы А. Касьянава “Сцяпан Разін”|Одноус
Персанаж оперы А. П. Барадзіна “Князь Ігар”|Кончак
Персанаж оперы Бизе “Шукальнікі жэмчугу”|Лэйла
Персанаж оперы В. Долидзе|Котэ
Персанаж оперы В. Каппа “Лембиту”|Нийло
