Савецкая гімнастка, чэмпіёнка свету?|Кім
Французскі лекар Рене Лаэннек прыдумаў гэта з-за сваёй залішняй педантычнасці. Што гэта такое?|стэтаскоп
Французскі пісьменнік Віктар Гюго кахаў казаць, што сорак гадоў – гэта старасць маладосці. А як ён охарактеризовывал пяцьдзесят гадоў?|маладосць старасці
Французы завуць яе прыгожай, ангельцы законнай, а карэнныя жыхары Аўстраліі наогул ніяк не завуць і ўсяляк пазбягаюць. Хто яна?|цешча
Характэрная прымета запарожскага казака?|чуб
Іглічная расліна; дрэвы і хмызнякі|пиния
Хвастатае нябеснае цела?|камета
Хімічны элемент Еs|эйнштэйній
Хімічнае пазначэнне азоту? (лат. літара)|n
Хімічнае пазначэнне кіслароду? (лат. літара)|пра
Хімічнае пазначэнне марганцу? (лат. літары)|mn
Хімічнае пазначэнне медзі? (лат. літары)|сu
Хімічнае пазначэнне ўрана? (лат. літара)|u
Хімічнае пазначэнне цынку? (лат. літара)|zn
Драпежная рыба?|пірання
Драпежная расліна нашых шырот|расіца
Хоз. памяшканне ў Вост. Еўропе|камора
Гаспадыня ручнога пудзеля, які ў вачах Бураціны быў горш ланцужнога бультэр'ера?|Мальвіна
Хоць яны служаць помнікамі продкаў мужчынскай падлогі, але носяць жаночае імя. Хто яны?|каменныя бабы
Храм усіх богаў?|пантэон
Хрысціянскі знак?|крыж
Цар Картли, які заснаваў Тбілісі?|Вахтанг
Цар-вызваліцель?|Аляксандр II
Цэйлонскі, суматранский, індыйскі, малайский. А які, па меркаванні навукоўцаў, з'яўляецца агульным для ўсіх?|азіяцкі
Целебес, о-ў Інданэзіі?|Сулавеси
Цэлы шэраг савецкіх маракоў, трапляючы ў Токіо, раптам успамінаюць, што ўжо дзесьці гэта бачылі. Назавіце прозвішча чалавека, дзякуючы якому ў іх узнікае гэта пачуццё|Тарковский
Цырымонія развітання?|праводзіны
Цыліндрычны партфель інжынера?|тубус
Лічбавае пазначэнне прадметаў, размешчаных у паслядоўным парадку|нумарацыя
Частка запамінальнай прылады|назапашвальнік
Чалавек, які разам з кім-небудзь займаецца чым-небудзь|кампаньён
Чалавекалюбства, павага да людзей|гуманнасць
Чым сілкаваліся габрэі падчас вандроўкі ў пустэльні паводле біблейскай легенды?|маннай
Чарлин Дэйл, якая працуе ў міжнародным фондзе дзіцячага здароўя ААН у Бангладэш, адзначае, што паляпшэнне здароўя і сілкаванні, ратуючы жыцці людзей, дапамагае зменшыць... Што?|рост насельніцтва
Гадзіна, у параўнанні, напрыклад, са стагоддзем, нястрымна нясецца. А які прастамоўны дзеяслоў з-за гэтага з'явіўся?|чухаць
Частку твару?|пераноссе
Чаго за апошнія 300 гадоў на зямлі чалавекам знішчана дзве траціны? (чаго?)|лясоў
Чый выгляд прыняў д'ябал, каб загубіць караля, каралеву і яе сына?|бацькі Гамлета
Чыя казачная выява ва ўсходніх славян прадстаўлены ў выглядзе волата-каваля, які скоўваў ваду?|марозу
Чалавек, які прымае частка ўдару па вашай печані?|сабутэльнік
Чым у нядаўняе мінулае была ўвянчана астанкінская тэлевежа?|сцягам СССР
Чым уславіўся той, чыё прозвішча гучыць гэтак жа, як і назвы іспанскіх і партугальскіх парламентаў? (адказ у ім. п.)|заваёва Мексікі
Чым добра валодаў італьянскі матэматык Антоніа Биолитта па мянушцы Дель Абака?|рахункамі
Чорта, якая засцерагае ад нас астатні свет?|мяжа
Чарцёжнікі з дапамогай рэйсфедара красляць тушшу. А што ім робяць шматлікія жанчыны?|выскубаюць бровы
Чертольская, Канюшневая, Колымажная, Багаяўленская, Кантаваная, Собакина, Фроловская, Іерусалімская, Всполошная, Тимофеевская, Угрешская, Свиблова. Назавіце іх усіх двума словамі|крамлёўскія вежы
Чацвёртая літара грэцкага алфавіту?|дэльта
Кнігаўка сёння амаль не адрозніваецца ад свайго прыроднага аналогу, а варта значна танней. Назавіце гэты аналог|чорная ікра
Скула?|фурункул
Чалец фондавай біржы?|дылер
Чальцамі гэтай арганізацыі былі Перасвет, Мінін, Пожарский і шматлікія іншыя выбітныя дзеячы Расіі. Што гэта за арганізацыя?|чорная сотня
Што круціцца ў нежывога бульдога|барабан
Што амерыканскі гумарыст Айвен Эссар зваў гнюснай несправядлівасцю ў адносінах да сняданку і папярэдняй абразай для абеду?|ленч
Што Ганна Ахматава звала пятай парой года?|каханне
Што бывае каляндарным, нумарным, нямкам, ручным, гумовым і першага дня?|штэмпель
Што бывае не толькі святочным але і аперацыйным?|стол
Што Віктар Гюго зваў гвалтам ночы над чалавекам?|бессань
Што кажа карова?|му
Што кажа котка?|мяу
Што кажа рыба?|нічога
Што кажа сабака?|гав
Што рухае сталёвага каня?|гаручае
Што рухаецца бязладна і неприрывно?|часціцы
Што двухглавое ёсць у нас на руках (у адных больш, у іншых меней прыкметнае)?|біцэпсы
Што рабіў Мендзялееў падчас адкрыцця ім перыядычнага закона?|спаў
Што для старажытных рымлян, і для нас таксама, лічылася важным, мела значэнне?|цікавасць
Што старажытныя грэкі звалі вартаўнічым сабакам здароўя?|боль
Што ёсць баг?|глюк
Што за рэч праглынута кракадзілам з “мойдодыра”?|вяхотка
