Калі вы жадаеце пабудаваць ... , вазьміце краіну, якую вам не шкада. (Бісмарк)?|сацыялізм
Вядома, што такая медыцынская працэдура, як агульная баротерапия праводзіцца толькі ў баракамеры. А якое абсталяванне неабходна для правядзення мясцовай баротерапии?|слоікі
Вядомы амерыканскі мільярдар Рос Пяро нарадзіўся ў маленькім мястэчку Тексаркана, размешчаным на мяжы двух штатаў. Якіх?|Тэхас і Арканзас
Вядомы ангельскі навуковы Джон Бернал назваў ХVIII стагоддзе стагоддзем ПКК – вандраванняў, калекцыянаванні і... чаго яшчэ?|класіфікацый
Вядомы ангельскі фізік і хімік заклаў асновы свайго вялікага адкрыцця ў дзяцінстве, калі выявіў, што вельмі мала толку пасылаць яго ў лес за саспелай суніцай. Назавіце яго прозвішча|Дальтон
Вядомы пісьменнік пісаў, што месца дзеяння аднаго яго твора ўвасабляе чалавечую душу, а слова ў яго назве – чалавечае сумленне. Што гэта за твор?|рэвізор
Вядомы паэт Максіміліян Валошын захапляўся адзін час тым, што кідал капялюша з абрыву. Як цяпер завецца месца, дзе ён гэтым займаўся?|Планерское
Вядомы расійскі баскетбаліст Алег Тен заўсёды гуляў пад адным нумарам. Якім?|10
Вядомы рускі палітычны дзеяч Милюков прапанаваў з улікам геаграфічнай прапорцыі памяняць месцамі часткі нейкага слова. Як жа яно, па меркаванні Милюкова, павінна было б гучаць?|Азеопа
Вядомы рускі вайскавод А. В. Сувораў знаходзіў у гэтым выглядзе спорту вакамер, шпаркасць і націск. І хоць ён не ўваходзіць у алімпійскую праграму, але ў нас даволі папулярны. Што гэта за спорт?|мястэчкі
Вядомы французскі філосаф Рене Дэкарт быў вядомы і пад сваім латынізаваным імем – Картезий. А як клікалі біблейскага персанажа, латынізаванае імя якога гучыць Картафилус?|Агасфер
Выраб выдавецтва|выданне
Малюнак гэтай жывёлы было атрыбутам рымскай багіні волі Либертос. Ваяры Спартака малявалі яго на сваіх шчытах. Што гэта за жывёлу?|котка
Малюнак, чарцёж, які паказвае суадносіны якіх-небудзь велічынь?|дыяграма
Вынаходнік АКМ?|Калашнікаў
Ізаляцыя інфекцыйных хворых і тых, хто меў з імі кантакт, на час?|карантын
Ілля Сельвинский казаў пра яго, што ён адначасова падобны на араба і яго конь. Самы вядомы яго раман быў упершыню апублікаваны ў Італіі. Назавіце гэтага нобелеўскага лаўрэата|Пастарнак
Ілля Шевелев не раіць лаяць іншага, нават калі словы папроку справядлівыя. А з якой зброяй ён параўноўвае (такія) словы?|бумеранг
Імем шэкспіраўскага дабратворнага паветранага духу Аляксандр Бяляяў назваў аднаго са сваіх герояў. Што ж гэта за імя?|Арыэль
Менавіта сёння, 15 красавіка – апошні дзень сёлета, калі асабліва актуальна двухрадкоўе Міхася Векслера, якое мы вам прапануем скончыць: Камсамольцу не да твару // Піць, паліць і ...|ёсць мацу
Имп. дынастыя ў Кітаі (1368–1644)|Мін
Имп. дынастыя ў Кітаі (581–618). Заснавана вайскаводам Ян Цзянем. Зрынута буйным феадалам Лі Юанем|Совай
Имп. дынастыя ў Кітаі (618–907). Заснавана Лі Юанем|Тан
Имп. дынастыя ў Кітаі (960–1279). Апалая ў выніку монг. заваёвы|Сун
Имп. дынастыя ў Манголіі (з 1271) і Кітаі (з 1280). Апалая ў 1368 году|Юань
Имп. маньчжурская дынастыя ў Кітаі (1644–1911)|Цин
Імператар Пётр I, прэм'ер Валянцін Паўлаў, інфляцыя 1991 гады... Што іх аб'ядноўвае?|500-рублёвая купюра
Імпартны паўфабрыкат для курагі|абрыкос
Маёмасць нявесты?|пасаг
Імя асабістага пірата ангельскай каралевы падчас барацьбы з Іспаніяй?|Френсис
Імя малодшага сына Пушкіна|Рыгор
Прылада ў руках дырыжора|аркестр
Інда взопрели азімыя. // Рассупонілася сонейка, // Расталдыкнуло свае прамяні // Па белу светушку... – гэта з рамана ... ?|залатое цяля
Індзейцы ЗША (адказ у мн. ч.)?|чэрокі
Індыйскі правобраз шахматнай ладдзі|ратха
Іяган Кеплер неаднаразова паўтараў, што не можа засудзіць прыстойную маці, якую ўтрымоўвае легкадумная дачка. Назавіце гэтых маці і дачка|астраномія і астралогія
Іосіф Флавий піша, што да залатога даху храма Саламона падыходзілі медныя вадасцёкавыя трубы. Чаму медныя?|громаадводы
Ісідар, Таісія, Ануфрый, Сусана. Што агульнага паміж гэтымі імёнамі?|егіпецкае паходжанне
Іспанскі жывапісец Доменико Теотокопули вам напэўна добра вядомы. Вось толькі пад якім імем?|Эль Грэка
Гісторыя ў жыцці жанчыны і эпізод у жыцці мужчыны. (Жан Поль)?|каханне
Гісторыя данесла да нас, што яго клікалі Ўайт Суррей. Ён апынуўся гэтак неабходзен, што, калі спатрэбілася знайсці яму замену, за яе была прапанавана рэкордная сума. Якая?|полцарства
Крыніцамі папаўнення казны Медычы ў 16 ст. былі падаткі, пераважна ўскосныя (габеллы – на соль, на збожжа, аліўкавае масла і інш.), пазыкі і псута. Псута чаго?|манет
Італьянская мафія і амерыканскія індзейцы для таго, каб побрататься, змешваюць сваю кроў, арабы абменьваюцца зброяй. А што рабілі рускія?|змяняліся крыжамі
Італьянскі паэт-гуманіст?|Петрарка
Іх вывучаюць розныя галіны навук, напрыклад, папіралогія і кодакология. Гэты тэрмін быў уведзены для адрознення кніг, напісаных да 14–16 стагоддзі. Што гэта за тэрмін?|манускрыпт
Іх падданкі звалі іх куруш і дараявауш. А як іх завём мы?|Кір і Дарый
Іх часта прымаюць за мастацтвазнаўцаў, хоць насамрэч яны вывучаюць жывёльных, а якіх жывёл?|сабак
Шукай мяне напачатку красавіка – сярэдзіне траўня, шукай у парку, у гаі ці ў садзе, але не шукай у лесе ці ў поле – там мяне няма. Пра што ідзе гаворка?|літара а
Да пачатку ХIV стагоддзі на Русі атрымаў распаўсюд армбруст ці цагра. Старая руская назва гэтай зброі – заганы. Як яно завецца цяпер?|арбалет
Да выявы гэтага біблейскага героя звярталіся Гётэ, Леанід Андрэеў, Булгакаў. Яго імя стала намінальным. Назавіце яго.|Юда
Кавалерыйская торба для патронаў|лядунка
Каприс, віртуозная инстр. п'еса|каприччо
Кароль смеху Ян Арлазоров па тэмпераменце|халерык
Кожная чацвёртая ў картачнай калодзе?|крэсць
Кожнае імя штосьці значыць. Скажыце, а якім імем грэкі звалі жыхароў Радоса?|Радзівон
Кожны з прадметаў, якія звычайна не носіць індыйская ўдава?|упрыгожванне
Казах. струнны муз. прылада|кобызу
Як будзе на грэцкай мове манарх-уладар?|цэзар
Як бы назвалі шумерскі і старажытнаегіпецкі іерагліфічны ліст аматары інтэлектуальных гульняў?|рэбусным
Як у Старажытным Рыме звалі чалавека, які вызначае падатковы цэнз?|цэнзар
Як у старажытнасці на Русі зваўся пакой, размешчаная на другім паверсе хаты?|святліца
Як у Залатой Ардзе звалі зборшчыкаў падаткаў, якія мелі права браць даніну не толькі для арды?|басурманамі
Як у сістэме СІ завецца адзінка магнітнай індукцыі?|цеслы
Як даўней звалася ангельская манета ў 4 пенса?|фарцінг
Як у старой Русі маглі б назваць чалавека, які нясе цяжкі груз?|цяжарны
Як у трагедыі Шэкспіра Атэла паставіў кропку ў жыцці Дездемоны?|задушыў
Як лекары завуць змену тэмбру голасу і скажонае вымаўленне гукаў гаворкі пры парушэнні насавога дыхання?|гугнявасць
Як вы думаеце якая жывёла аб'ядноўвае горад Перм і сталіцу Швейцарыі горад Берн?|мядзведзь
Як старажытныя рымляне звалі групу рабоў, якія належалі аднаму чалавеку?|прозвішча
Як старажытныя рымляне звалі рухомую частку хатняга становішча? (адказ у тб. п.)|мэбляй
Як клікалі бабку, якая жыве ў одноногой хаце?|Яга
Як клікалі старажытнага монстра, які жыў у лабірынце?|Мінатаўр
Як клікалі камердынера братоў Жамчужнікавых?|Прутков
Як клікалі многобошковое жывёла?|гідра
Як клікалі мужыка з чатырма капытамі?|кентаўр
Як клікалі аднавокага монстра?|Цыклоп
Як клікалі апошняга вялікага інку, які ў 18 павеку таксама змагаўся з замежнікамі?|Тупак Амару
Як клікалі птушку, якая згарала і аднаўлялася?|Фенікс
Як клікалі самага знакамітага вучня самага знакамітага вучня самага знакамітага вучня Сакрата?|Македонскі
Як клікалі сатану, калі ён быў яшчэ адным з арханёлаў?|Сатанаил
Як клікалі чалавека, у цяжкую хвіліну які ўзначаліў аўтамабільны завод у Ламбардыі?|Ромео
Як клічацца кожнае з 1000 міфічных істот, дасягнулых нірваны?|Буда
Як клічуць домомучительницу, якую кахае мучаць Карлсан?|Фрэкен Бок
Як вядома, бяда чалавека не фарбуе. А каго бяда фарбуе, паводле рускай прыказкі?|рака
Як вядома, у схеме свету Пталямея ў цэнтры знаходзілася Зямля, вакол якой месцаваліся сферы планет. Якая планета займала чацвёртую сферу?|Сонца
Як вядома, ватоўка і вушанка – нацыянальная сібірская адзежа. А чыя адзежа атрымаецца, калі дадаць да іх мокры матрац? (каго?)|пажарніка
Як вядома, пикриновая кіслата выкарыстоўваецца для вытворчасці выбуховых рэчываў. А зараз, скарыстаўшыся вядомым прынцыпам медыцыны, адкажыце, для чаго яе выкарыстоўваюць лекары? “для ...”|лячэнні апёкаў
Як вядома, самым буйным французскім горадам з'яўляецца Парыж. А які горад з'яўляецца наступным па велічыні французскім горадам?|Марсэль
Як ласкава завуць прадстаўнікоў каўказскай нацыянальнасці?|хачики
Як мы завём выраб, якое парыжскі мадэльер 19 стагоддзі Чарльз Фрэдэрык Ворс назваў прадметам туалета для надання круглявасці постаці худых жанчын?|бюстгальтар
Як мы завём вынік узмацнення адукацыі фермента меланіну пад дзеяннем святла?|загар
Як мы цяпер завём тую, што першапачаткова ўяўляла сабою дошку з дзюрамі, прадзяўбанымі для ўпора ног, як у вершнікаў?|драбінкі
Як на ўсходзе завуць прымудронага жыццём старца?|аксакал
Як на рускай мове завецца краіна, якая на фінскай мове і ў наш час завецца Венейей?|Расія
Як завецца выгляд сцэнічнага мастацтва, створаны дзвюма цёзкамі ў ХVII павеку?|камедыя-балет
Як завецца выразка, якая можа быць і каштоўнай паперай?|купюра
Як завецца частка ў каране?|сура
Як завецца марскі камень, створаны драбнюткімі істотамі?|карал
Як завецца мусульманскі каляндар?|хиджара
Як завецца навука, якая тлумачыць, чаму ты падобны на свайго бацьку, калі, вядома, падобны, і чаму не падобны на яго, калі так атрымалася?|генетыка
Як завецца агляд мінулага, мінуўшчыны?|рэтраспектыва
Як завецца працэс, які графічна малюецца так: (знак Венеры, знак множання, знак Марса)|скрыжаванне
Як завецца рака, змешчаная ў Курляндыі і прама процілеглая іншай рацэ, якая праходзіць у Кемеровской вобласці?|Аа
Як завецца спірт, пазбаўлены прыродных уласцівасцяў?|дэнатурат
Як завецца верш у каране?|аят
Як завецца тое цэлае, якое зарадзілася ў фінікіі, адна трыццаць трэцяя частка якога, па трапнай заўвазе Набокава, дазваляе адрозніць смешную частку пытання ад сусветнай?|алфавіт
Як завецца трыкатажная фуфайка без каўняра і зашпілек, якую трэба нацягваць праз галаву?|пуловер
Як завецца ўрочышча ў заходняга схілу Аю-Дага, якое пасля 1925 года стала вельмі папулярным у падрастаючага пакалення?|Артэк
Як завецца вочка грамадства, у якую ўваходзяць спадар, спадарыня, раб і рабыня?|сям'я
Як звалася рызыкоўная гульня ў косткі, распаўсюджаная ў сярэднія вякі ў Партугаліі, Іспаніі і Правансе?|рызыка
Як звалася адна са старажытных формаў рэлігіі, вера ў роднасную сувязь людзей з якой-небудзь жывёлай, раслінай ці прадметам?|татэмізм
Як звалася адмысловая форма галасавання ў народным зборы Старажытных Афін, у выніку якога той ці іншы грамадзянін, прызнаны небяспечным для дзяржавы, выганяўся з Афін?|астракізм
Як зваліся пагодныя (ад лета да лета) запісы пра найбуйныя падзеі?|летапіс
Як звалася мястэчка пад Дзюсельдорфам, дзе ў 1856 г. у пячоры выявілі чэрап паталагічнага ідыёта і касці мангольскага казака з конных атрадаў, якія пераследвалі Напалеона ў 1814 г.?|Неандерталь
Як зваўся таемны звяз рэвалюцыйна наладжаных сялян і гараджан у Нямеччыне эпохі рэфармацыі і сялянскай вайны? “звяз ...”|чаравіка
Як завуць вугаль у алоўках?|графіт
Як завуць чалавека, які купаецца ўзімку ў палонкі?|морж
Як завуцца лятучыя яшчаркі ў часы дыназаўраў?|птэрадактылі
Як звычайна завецца сумесь нафтеновой і пальмитиновой кіслот, якая пры ўводзінах у яе лёгкіх металаў самазагараецца ад судотыку з вадой ці снегам?|напалм
Як па-руску назваць старажытнарымскага дзіця па імі постума?|сірата
Як раней звалі месца, куды ткнулі чымсьці вострым?|кропка
Як расшыфроўваецца назва клею ПВА?|поливинилацетат
Як рускія звалі ўсякую хваробу, якая суправаджалася падвышэннем тэмпературы цела?|гарачка
Як, па некаторых дадзеных, называлася ў ХVII–ХIХ павеках руская залатая манета трохрублёвай добрай якасці?|чырвонец
Якая хвароба часцей за ўсё дзівіць пачаткоўцаў пры яздзе на вярблюдзе?|марская хвароба
Якая хвароба, па меркаванні грэкаў, расколвае розум і душу?|шызафрэнія
Якая ўсім вядомая песня служыла гімнам расійскай рэспублікі з лютага па кастрычнік 1917 гады?|марсэльеза
Якая знакамітая скульптурная група працы Агесандра, Полидора і Атенедора магла б, магчыма, стаць эмблемай серпентологии?|Лаакаон і сынава
Якая навука ў лік прадметаў свайго разгляду ўключае абедзенныя столікі, ільняныя ніткі і хваёвыя гузы?|геаметрыя
Якая аперацыйная сістэма павінна памерці?|виндовз
Якая разнавіднасць закусачных з'явілася ў Францыі пасля знаходжання там рускіх казакоў?|бістро
Якая рака на мове афрыкаанс завецца krоkоdil riviеr – кракадзілавая рака?|Лимпопо
Якая краіна пасля першай сусветнай вайны павялічыла сваю тэрыторыю і насельніцтва больш за ўдвая?|Румынія
Якая доля чакала Гітлера?|самагубства
Якія стравы на поўначы і захадзе Расіі завуць вушнымі?|першыя
Якія выгляды ніколі не ўвойдуць у чырвоную кнігу?|зніклыя
Якія жывёлы валодаюць блакітнай крывёй?|малюскі
Якія львы ўвесь час насілі з сабой сталёвыя меч, грабянец і бранзалет?|сікхі
Якія мерцвякі пахаваны ў некропалі егіпецкага горада Бубастис?|коткі
Якія аб'екты біблейскай геаграфіі асацыююцца з бязладзіцай, хаосам і распустай?|Садом і Гамора
Якія ўстановы ўпершыню былі заснаваны ў Францыі пры Людовіку ХI выхадцамі з Паўночнай Італіі?|ламбарды
Якія постаці, па меркаванні вядома шахматыста С. Тартаковера, лепш за ўсё ахвяраваць?|чужыя
Якой якасцю, неабходным для кіраўніка, паводле Канфуцыя, валодае той, хто здольны выявіць паважнасць, абыходлівасць, праўдзівасць, кемлівасць і дабрыню? (адказ у ім. п.)|чалавекалюбства
Якім чынам могуць размножвацца нявінніцы? “пасродкам ...”|партэнагенезу
Якой зброяй ваяваў Робін Гуд?|лук
Якія могуць быць пару, рука, чытанне і сняданак? (адказ у мн. ч.)|лёгкія
Якога рымскага бога можна паставіць побач з лацінскім словам арriсus – согреваемый сонцам?|Марса
Якіх жанчын у краінах арабскага ўсходу называлі маці ветра?|не мелых сыноў
Якіх птушак на Русі паілі святой вадой, каб яны не былі бязбожнікамі?|сокалаў
