Мястэчка поруч маскоўскага тэлецэнтра.|астанкіна
Не кахаць жанчын – злачынства. Кахаць – ... .|пакаранне
Страва з царскага стала.|страва
Самае ўразлівае месца ў доблеснага Зігфрыда з “Песні пра нибелунгах”.|спіна
Колькі доўжыцца стагоддзе?|стагоддзе
Ў якім лесе лёгка назбіраць жалудоў?|дуброва
Ваяўнічы чын.|званне
Законная воля.|права
Вытанчаная шпага.|рапіра
Мінерал, прылады з якога выкарыстоўвалі пры правядзенні самых першых хірургічных аперацый яшчэ ў дагістарычныя часы.|крамень
У сваім час Напалеон Банапарт, выдатна ўсведамляючы важнасць уздзеяння на грамадскую думку прэсы, зачыніў сто шэсцьдзесят са ста сямідзесяці трох парыжскіх газет, а пакінутыя паставіў пад ... урады.|кантроль
Корзинное дрэва.|вярба
Людская маса.|натоўп
“Усмешка Фартуны”.|поспех
Што кіпіць усярэдзіне Зямлі?|магма
Світа прывіды.|страх
Законны муж.|муж
Заступніца кахання і благіх хвароб.|Венера
Ў якую балотную расліну царыца Волхова аднойчы ператварыла сваю непаслухмяную русалку, якая выйшла пагуляць на бераг.|вахта
Звыклая роля для торфу.|паліва
Французскі мысляр, які лічыў, што “хто заражаны страхам хваробы, той ужо заражаны хваробай страху”.|Мантэнь
Фларэнтыйская “Питти” як музей.|галерэя
Лаянка з-за дробязяў.|сварка
“Гойсае ў гушчары”.|звер
Што ўтрымлівае рамень?|штаны
Параснік злачыннага свету.|шпана
Што ахоўвае “Гринпис”?|прырода
Што падтрымлівае замежнага вытворцу айчынным спажываннем?|імпарт
Не толькі канцылярская прыналежнасць, але і зашпілька.|кнопка
Скатаваная жыццём конь.|кляча
“Аблудная ...” (крылаты выраз з Бібліі)|авечка
Калі на ... нічога не прыходзіць, пераканаецеся ў яго наяўнасці.|розум
Пісьменнік В. Андрэеў неяк здзівіўся: “Здаецца, ведаеш пра сябе ўсё, так няма. Знаходзяцца людзі, якія ведаюць пра цябе ...”.|больш
Людзі з аднолькава добра развітымі дзвюма рукамі (у адрозненне ад леўшуноў і правшей).|амбидекстры
Костачка пальца; павукападобная драпежная жывёла.|фаланга
Тканіна; стан рэчыва.|газ
Жывёла; манах.|лама
Крыніца; адмычка.|ключ
Бітва; лаянка.|лаянка
Рыба; нахільная плоскасць.|пахіл
Насып; круцельны стрыжань.|вал
Частка адзежы; грузоподъемный механізм.|варот
Жывёла; пяшчота.|ласка
Самавольны сыход; маладая галінка.|уцёкі
Падстава; рамень аброці.|нагода
Скандынаўскі канец святла.|рагнарек
Як клікалі сабачку ў казцы “Чараўнік смарагдавага горада”?|Тотошка
Навуковец, які лічыць зоркі.|астраном
Пераклад дрэў у гарызантальную плоскасць.|лесапавал
Яго спявак можа сарваць на працы.|голас
Трубчастае аблічча цыраты.|рулон
Месца сходкі нованароджаных судоў.|стапель
Якая душыць адзінка.|атмасфера
Альпініст сярод бараноў.|архар
Якая газуе бутэлька.|сіфон
Азбука, якую добра ведаюць радысты.|Морзэ
Збор чорных і чырвоных дзён.|каляндар
“Дзіркаватая” частка вока.|сятчатка
Пазыковы аўтограф.|распіска
Ўяўная лінія, да якой нельга дабрацца.|гарызонт
Акрылены захавальнік.|анёл
Кат для хвой і бяроз.|лесасек
Антыпод савы.|жаўрук
Пакаранне рублём.|штраф
Працаўнік тэатра, які апранае кожнага акцёра.|касцюмер
Збор “чорных плям” чужой біяграфіі.|кампрамат
Грэцкая літара, каханая спецпрызнам.|альфа
Слова, “якое групуе” выспы ў акіяне.|архіпелаг
Служба, закліканая пазнаць самыя вялікія сакрэты суперніка.|выведка
Майстар, у літаральным сэнсе требущий ад замоўцаў: “Грошы на бочку!”|бондар
Пункт гледжання, выдатная ад афіцыйнай.|ерась
Юрлівае пачуццё, якое выпрабоўвае чалавек падчас палавога акту.|воллюст
Палавая халоднасць.|гипосексуальность
Гіперсэксуальнасць у мужчын.|сатырыязіс
З'яўленне мужчынскіх рыс (целасклад, оволосение, тэмбр голасу) у жанчын.|вирилизация
З'яўленне мужчынскіх рыс (целасклад, оволосение, тэмбр голасу) у жанчын.|вирильность
Разнавіднасць садызму, якая складаецца ў самабічаванні дзеля атрымання сэксуальнай асалоды.|флагелляция
Выхаваўчы садызм, ад прозвішча студэнта, які, працуючы дарэктарам, па сэксуальных матывах ужываў гэтак жорсткае збіванне, што аднойчы яго выхаванец не вытрымаў і памёр.|диппольдизм
Шматлікія халасцякі мараць пра прыгожую, разумную і клапатлівую жонку. Шматлікія жанатыя мараць о ... .|том жа
Чаму шкілеты гуляюць на піяніна? Таму што ў іх няма ... .|органаў
“Другое сэрца мужчыны”.|прастата
Як завецца раман Стывена Кінга пра злавесны “жывы” гатэль і хлопчыку з тэлепатычнымі здольнасцямі?|ззянне
Канал беларускага тэлебачання.|лад
“Вандраванне ў Лапуту, Бальнибарби, Лаггнегг, Глаббдобдриб і ...”. Куды яшчэ?|Японію
Адам Райнер, які нарадзіўся ў 1899 г. у Граце (Аўстрыя), у 1920 г. меў рост 118 гл, 4 сакавіка ён памёр, маючы рост 234 гл. Гэта адзіны чалавек у гісторыі, які быў... Кім і кім?|карлікам і волатам
Калі журы Сусветнай выставы ў Парыжы адпрэчыла карціну Курбэ “Купальшчыцы”, той дамогся правы арганізаваць уласную экспазіцыю. Побач з раскошным будынкам афіцыйнай выставы, у простым бараку Курбе адкрыў павільён, змясціўшы над уваходам шыльду з назвай з аднаго слова. Назавіце яго.|рэалізм
Старажытныя рымляне кожны год 23 жніўня, у перыяд засухі і распаўсюду пажараў адзначалі свята. У гонар якога бога?|вулкана
Велізарнай папулярнасцю яны сталі карыстацца ў Японіі падчас нафтавага крызісу ў сярэдзіне 70-х гг., а ўжо ў да сярэдзіны 80-х гг іх стала так шмат,што адзін даводзіўся на кожных двух японцаў. Назавіце іх.|ровары
Што прускі генерал і ваенны тэарэтык Карл фон Клаўзэвіц зваў працягам палітыкі іншымі сродкамі?|вайну
Ён быў сынам землеўладальніка, вучыўся ў Кембрыджы, у 1669 г. узначаліў прафесарскую кафедру, у 1696 г. заняў пост інспектара, а пазней стаў начальнікам манетнага двара. Як клікалі гэтага чалавека?|ньютан
У 1911 г. на ўрачыстым прыёме кароль Вялікабрытаніі Георг V абвясціў пра рашэнне перанесці сталіцу з аднаго горада ў іншай. У якой?|Дзялі
Ў 1911 г. на ўрачыстым прыёме кароль Вялікабрытаніі Георг V абвясціў пра рашэнне перанесці сталіцу з аднаго горада ў іншай. З якога?|Калькутта
З 1937 г. па 1980 г. з 696 чалавек, якія скокнулі з моста “Залатыя вароты” ў Сан-Францыска, толькі 12 засталіся жывыя, з якіх Тодд Шаррат, 17 гадоў, быў адзіным хто без старонняй дапамогі даплыў да берага. З якой мэтай гэтыя людзі скакалі з моста?|самагубства
Папулярны ў свой час куплет: “Немец жыве ў Нямеччыне. Янкі жыве ў Аклахоме. Іспанец жыве ў Іспаніі. Але ангелец жыве – ... ” А дзе жыве ангелец?|хаты
Калі ўзяць праграму любога крикетного матчу, то можна ўбачыць, што ў адных гульцоў значацца прозвішчы і ініцыялы, а ў іншых толькі прозвішчы. Кім з'яўляюцца апошнія?|прафесіяналамі
Ў Японіі на ўчастках хуткасных дарог, якія праходзяць праз жылыя кварталы, збудаваны адмысловыя платы і ўсталяваны знакі з малюнкам спячага пад начным небам немаўля. Назавіце функцыю гэтых платоў.|звукозащита
Што агульнага паміж раманам “Доктар Оквард і Олсон у Осла” (31594 слоў), напісаным у 1986 г. Лоренсом Левиным і ангельскім словам “rеdividеr”, у перакладзе якое азначае “перагародка”?|палиндромы
Скончыце старажытнагрэцкую прыказку пра неадукаванага чалавека: “Ён не ўмее ні пісаць, ні...”|плаваць
Гиппарх Нікейскі (2 у да н.э.) падзяліў мерыдыян ад экватара да канцавосся на 90 гр. і такім чынам падзяліў паверхню Землі паралельнымі акружнасцямі. Як зваліся гэтыя акружнасці?|кліматамі
Одзін з вайскаводаў цара Митридата VI Архелай выявіў, што дрэва, апушчанае ў квасцовый раствор, як гэта ні парадаксальна становіцца... Якім?|вогнетрывалым
З якім параметрам прарабляюць наступнае: спачатку адняць 32, затым атрыманы вынік падзяліць на 9 і памножыць на 5?|тэмпература
Калі ў якасці пасажыра аднаго з першых “спадарожнікаў” савецкія навукоўцы адправілі ў космас Лайку, у Брытаніі прайшла хваля пратэстаў. Што прычынілася абурэнні сярод абаронцаў жывёл?|невяртанне
Паводле аддання Ромул заснавала рада з 100 чалавек – сенат. Сенатараў звалі бацькамі – раtrеs. А як звалі іх нашчадкаў?|патрыцыямі
Якая прынцыповая розніца паміж азіяцкім гепардам і паляўнічым леапардам?|ніякі
Ў глыбокай старажытнасці яны паўсталі ў гонар богаў, падчас якіх прыносіліся ахвяры. Яны суправаджаліся танцамі і спевам. Яны бываюць дзяржаўныя, грамадскія, народныя. Пра што ідзе гаворка?|святы
Ў наш час штогод праводзяцца мужчынскія і жаночыя чэмпіянаты свету пад назвай “Срэбны венік”. Што гэта за спаборніцтвы?|керлинг
Нашы продкі за мінімальную меру вагі прымалі вагу збожжа, а за мінімальную меру даўжыні, гэта значыць лінейную велічыню, яны прымалі таўшчыню ... .|воласа
68% насельніцтвы Кітая выкарыстоўваюць мандарын, асабліва на поўначы Кітая. Як жа яны яго выкарыстоўваюць, калі мы яго выкарыстоўваць не зможам?|кажуць
Лічыцца, што самыя доўгія пёры ў птушкі, якая з'яўляецца разнавіднасцю індыйскага дзікага чырвонага пеўня. З сярэдзіны ХVII стагоддзі яна разводзілася ў Японіі. Яе імя супадае з імем адной легендарнай птушкі. Як жа завецца гэта птушка?|фенікс
Дзякуючы гэтаму святу японскія фірмы, якія вырабляюць шакалад, прадаюць яго ў першыя два тыдні лютага каля 10 % свайго агульнага гадавога продажу. З-за недакладнага перакладу гэты дзень, у сутнасці, ператварыўся ў шакаладны дзень. У які дзень адзначаюць гэта свята?|14 лютага
Скажыце царкоўную назву смалы трапічнага афрыканскага дрэва босвелия картара з сямейства бурсеровых.|фіміям
Гэты дыямент губернатар Мадраса Питт купіў у купцоў Голконды, а затым прадаў яго герцегу Орлеанскому. Калі вы ўспомніце кім тады быў гецег Орлеанский, то лёгка назавяце і сам дыямент.|рэгент
Скіф Анахарсис неяк сказаў, што лаза прыносіць тры гронкі: першая – гронка асалоды... трэцяя гронка агіды. А другая гронка – гронка ...?|ап'яненні
Што, паводле адной лацінскай прымаўкі не з'яўляецца заганай, а з'яўляецца сведчаннем мудрасці?|лысіна
Дочак Зеўса і Феміды, выдатных багінь пор года, клікалі: Фалло, Ауксо і Карпа. Фалло – гэта багіня красавання, Ауксо – багіня вырастання. А багіняй чаго была Карпа?|пладоў
Першапачаткова ён ніколі не маляваўся ў выглядзе чалавека. Твар “Прасветленага” з'явілася толькі праз пяць стагоддзяў пасля яго скону. Назавіце яго.|буда
Стракач, яровик, настовик, летняк, зёлкі, листопадник... Каго так завуць?|зайца
Ў Афінах, па заканадаўстве Солона, яны былі другой маёмаснай групай. Для таго, каб цябе ўключылі ў гэту групу неабходна была даказаць наяўнасць мінімальнага гадавога прыбытку ў 300 медимнов збожжа. Як звалася гэта другая маёмасная група?|вершнікі
Ў Расіі ўпершыню газавыя ліхтары паставілі ў Пецярбургу ў 1825 г, потым яны з'явіліся і ў Маскве. Пакуль газ быў дарог, улады загадалі запраўляць ліхтары сумессю спірту са шкіпінарам. Але са спиртового асвятленні нічога не выйшла. А чаму?|выпівалі
Ранняй раніцай 20 верасня 1871 г. на 317 дзень пасля адплыцця з Кронштадта ён сышоў на бераг і патрапіў у каменны век. Як клікалі гэтага чалавека?|миклухо-маклай
Апытанне праведзены сярод 10 тыс амерыканскіх, заходнееўрапейскіх і японскіх пакупнікоў паказаў, што найболей вядомыя ў свеце наступныя 10 фірмаў: Соні, Мэрсэдэс-Бенс, Кодак, Дысней, Нестле, Таёта, Макдональдс, ИБМ, Пепсі-кола... А якую яшчэ фірму яны назвалі?|кока-кола
1904 г, скарыстаўшыся правамі арганізатараў Алімпійскіх гульняў у Сэнт-Луісе, амерыканцы ўключылі ў алімпійскую праграму ангельскі кэтч. Ва ўсіх сямі вагавых катэгорыях амерыканцы дамагліся 100 % поспеху – 21 алімп. медаль. У чым быў “сакрэт” такога поспеху?|выступалі адны амерыканцы
Што выконвае ролю апорнай канструкцыі ў панамскага бутэлькавага дрэва?|кара
Ў залежнасці ад якасці і тэхналогіі выраба, ад вытрымкі віна бываюць: сталовыя, дэсертныя, дужыя, шампанскае, марачныя... Назавіце наступны тып.|калекцыйныя
Яна складаецца з трох частак: начынне, подлист (абгортка) і покрыўка (кашуля). Назавіце яе.|цыгара
Ў 1991 г. Нацыянальная акадэмія інжынернай справы ЗША 10 найбуйных тэхнічных дасягненняў за апошнія чвэрць стагоддзя, якія аказалі найвялікі ўплыў на наш свет і паўсядзённае жыццё чалавека. На трэцім месцы ў гэтым спісе былі валаконныя лініі сувязі, на другім месцы шырокафюзеляжныя авіялайнеры... А якое дасягненне амерыканцы паставілі на першае месца?|высадка на месяц
