Плён раслін|тыквина
Выкраданне Праметэем агню ў богаў, скрыня Пандоры. Назавіце гэта словамі Ф. М. Дастаеўскага|злачынства і пакаранне
Назавіце горад, з за якога Заходняй Еўропе ў 1986 г. рэзка ўзрос лік абортаў?|Чарнобыль
Шмат гадоў у адным з гатэляў то ў Еўропе, то ў Амерыцы ў ноч на 15 красавіка збіралася якая радзее з кожным годам кампанія. Што іх аб'ядноўвала?|тытанік
Чаму рускія рабыні на нявольніцкіх рынках Крыму былі самымі таннымі?|увесь час уцякалі
Пачын, гусачок, стуканіны, оттолчки, свісты, булькат, клыканье, грымота і іншыя. Паважаныя гульцы! А дзе гэта знаходзіцца ў вас?|на назе
Ўрад якой дзяржавы прыняло ў 1993 г. рашэнне вырыць роў глыбінёй 3 і шырынёй 5 метраў і збудаваць вал вышынёй 3.5 метра ва ўсю даўжыню мяжы з адным са сваіх суседзяў?|Кувейт
Правы прыток Волгі?|Ака
Які прадбачыць – назва гэтай прафесіі, і ад дзеянняў чалавека гэтай прафесіі сапраўды часта залежыць жыццё і здароўе людзей. Хто ён?|правізар
Правадыр войска ў Польшчы і на Ўкраіне 15–18 стст.?|гетман
Лімітава сумленнае, а таму лімітава кароткае выказванне?|афарызм
Прадказанне, выказванне аракула?|вяшчунства
Прадстаўніца народа Еўропы?|францужанка
Ўявіце сабе сабраных у адным месцы Городницкого, Визбора, Высоцкага, Никитиных, Митяева і іншых. Як, па меркаванні апісанага Заходером дзівака, можна назваць такое бязладнае месца?|бардак
Уявіце сабе, што вы знаходзіцеся ў Лангедоке і бачыце хату, з даху якога знята чарапіца. Што неўзабаве, па ўсёй бачнасці, адбудзецца ў гэтай хаце?|памрэ чалавек
Папярэднік ленчу?|сняданак
Прэзідэнт у ЗША ў 1861–1865 г.|Лінкольн
Прэпарат для знішчэння казурак?|інсектыцыд
Злачынец, які пераязджае з месца на месца?|гастралёр
Злачынная супольнасць?|мафія
Пры Іване 3 на ўсіх дарогах Расіі было заснавана тое, што атрымала ганарлівае імя западзін. Што ж з'явілася на дарогах?|ямы
Пры якім каралю пасля грандыёзнага пажару напачатку 17 стагоддзя быў нанова адбудаваны горад Осла? (адказ у ім. п.)|Хрысціян
Пры Льве IХ у 1050 г. у Рым як паломнік прыходзіў каяцца шатландскі кароль. Назавіце вядомы твор вядомага пісьменніка?|Макбет
Прыбор для выяўлення і вызначэнні месцазнаходжання аб'ектаў па іх уласных ці адлюстраваных сігналах?|лакатар
Прыём кіравання спорт. канём?|одержка
Прынцып роўнасці бакоў?|парытэт
Прыстасаванне для распырсквання вадкасцяў?|апырсквальнік
Прабіўка адтулін?|перфарацыя
Падаўжэнне тэрміна пагашэння пазыкі, выдадзенай банкам прадпрыемству?|пралангацыя
Працягнеце шэраг паняццяў: фынь, цзяо|юань
Прадукт, які атрымліваецца з опіумнага маку?|морфій
Прадукты вылучэння гэтых залоз у Рыме, Візантыі, Персіі збіраліся і захоўваліся ў адмысловых шчыльна закаркаваных сосудиках. Іх колькасць сімвалізавала шлюбную пэўнасць. Што гэта такое?|слёзы
Прадукцыю гэтага прадпрыемства мы ўсё трымалі ў руках. Калі вельмі паспрабаваць, яе можна знайсці на Месяцы, Марсе, Венеры. Што гэта?|манеты
Вытворчая дзейнасць чалавека?|праца
Адбываецца гэта слова ад цудоўнай ступені слова suреrus – верхні. У рымлян гэта і верх, і вяршыня, і сукупнасць. А ў нас засталося толькі цудоўнае значэнне. Што гэта?|сума
Процідзейнае, якое нясе святло, князь мух – назавіце іх усіх адным словам|д'ябал
Процітанкавая перашкода?|эскарп
Пратапоп, адзін з буйных дзеячаў стараверства, якія ўзначальвалі царкоўны раскол?|Авакум
Прататыпам гэтай песні з'явіўся спеў 13 ст., апрацаванае ў 1781 г. нямецкім паэтам Киндлебном. Назавіце хоць бы першыя два словы гэтай песні (адказ лат. літарамі)|gаudеаmus igitur
Прафесія лекара?|рэнтгенолаг
Прафесія: аказанне юрыдычнай дапамогі, у т. ч. абарона ў судзе?|адвакат
Псеўданім пісьменніцы Г. Н. Волянской?|Мікалаева
Птушка сямейства драздовых|зарянка
Птушка отр. вераб'іных|шеврица
Птушка отр. трогонов, свящ. птушка майя і ацтэкаў|кетсаль
Птушка отр. трогонов, свящ. птушка майя і ацтэкаў|квезал
Птушка, якая насяляе ў іглічных лясах?|кедраўка
Птушка, якая адкладвае яйкі ў чужыя гнёзды?|зязюля
Птушка, чые вочы ўладкованы так, што, не паварочваючы галовы, яна можа бачыць тое, што дзеецца вакол, ды яшчэ і зверху?|слонка
П'еса А. Астроўскага|беспасажніца
Працоўны малюнак?|эскіз
Разгадайце наступную старадаўнюю шараду: першы склад – з бутэлькі льецца, другі – з хмары да нас нясецца, цэлае можна адгадаць, калі на поўдні пашукаць|вінаград
Распрануў медыцыны, які вывучае асаблівасці захворванняў у пажылых людзей?|герыятрыя
Частка механікі?|кінематыка
Разменная манета Саудаўскай Аравіі|керш
Разменная манета Саудаўскай Аравіі|куруш
Разменная манета М'янмы, роўная 1/1000 кьята?|п'ючы
Рассекчы гордзіеў вузел – значыць дазволіць невырашальную задачу. А дзе два джэнтльмена абавязаны разарваць гальштук? “у ...”|тэнісе
Райская асалода?|баунти
Раней у шахматы гуляць было рызыкоўна тым, што можна было зарабіць буйны штраф. Цяпер, праўда, шахматыстам гэта не пагражае. Завошта ж шахматысты плацілі са сваёй кішэні? “за ...”|пратэрміноўку часу
Расплаўленая маса ўсярэдзіне зямлі?|магма
Распавядаюць, што адзін аўстрыйскі выдавец ацэньвае рэйтынг пісьменнікаў з дапамогай звычайнай лінейкі. А велічыню чаго ён ёю вымярае?|рэцэнзій
Адлегласць паміж ножкамі рогля?|раствор
Раст. сім. дербенн., куст., дэк., фарбавальнае (хна)|хенна
Вынік адымання?|рознасць
Рака ў ЗША, найбуйны прыток Місісіпі?|Місуры
Гаворка рэлігійна-павучальнага характару?|пропаведзь
Рымляне звалі гэты абутак гальскай і адзначалі, што яна вельмі падыходзіць для тамтэйшага клімату. Што гэта за абутак?|галёшы
Малюнак якога дзяржаўнага сцяга змяняўся ў дэталях 28 раз?|ЗША
Рагатка ў рускай печы?|вілкі
Радзільня карабля?|верф
Радзільня шампіньёна і не толькі?|грыбніца
Радзіма бульбачкі?|Амерыка
Родны склон лацінскага вузла і бога грома дае нам культавую кнігу, а якую?|тору
Кіраўнічы рэдакцыйны артыкул у газеце, часопісе?|перадавіца
Руская мера аб'ёму вадкасцяў у 16–17 стст.?|кружка
Рускі землепраходзец|Дежнев
Рускі пісьменнік?|Олейников
Рускі паэт, згуляны ўзыходнай зоркай расійскага тэатра Сяргеем Безруковым?|Ясенін
Рыба сем. скорпеновых|клювач
Рыбіны яйкі?|ікра
Побач з булонскім лесам можна знайсці паказальнік з трыма стрэлкамі, на якіх паказаны адлегласці: 365 км, 5830 км, 16950 км. На які горад накіравана апошняя стрэлка? “на ...”|Мельбурн
З 1 студзеня 1935 гады ў Турцыі былі ўведзены прозвішчы. Якая было першае прозвішча, зацверджаная да таго ж адмысловым рашэннем меджліса?|Ататюрк
З 1 студзеня 1991 г. гэты овощ адмысловай пастановай ЕЭС ператварылі ў фрукт, каб з яго можна было варыць конфитюр. Што гэта такое?|морква
З 1862 г. найнізкі чын паліцэйскай варты ў Расіі?|гарадавы
З 1912 г. гэта назва не прысвойваецца ніводнаму судну, хоць да гэтага яно было досыць распаўсюджаным. Назавіце яго|тытанік
З 1953 г. пры ЮНЭСКА існуе міжнародная федэрацыя перакладнікаў. Які выдаецца імі часопіс названы па імі аднаго горада, а якога?|Вавілона
З якім выглядам дзейнасці чалавека Паўлаў параўноўваў нарыхтоўку харчоў у жывёл?|калекцыянаванне
З неба могуць прачынацца рыбы, жабы, скарбы, а якія дажджы самыя небяспечныя?|кіслотныя
З некаторых пор у Таскане праводзіцца конкурс, прысвечаны Пінокіа, дакладней, адной з яго фізіялагічных асаблівасцяў. Удзельнічаць у ім можа любы. У чым жа спаборнічаюць канкурсанты? “ва ...”|хлусні
З аднаго боку, яны нагадваюць чарапічныя дахі, з іншай – міжкантынентальныя ракеты. А імёны шматлікія з іх узялі ў грэцкіх богаў. Хто яны?|матылькі
С. Заречина распавядала, што аднойчы ў 1943 году Міхалкоў за чаркай з рэдактарам дывізіённай газеты трохі падправілі тэкст аднаго твора Лебедева-Кумачу. Што ж яны атрымалі?|гімн СССР
Самая буйная бібліятэка эратычнай літаратуры (25 400 тамоў) захоўваецца ў самім, мабыць, незвычайным для гэтага месцы. Дзе? “у ...”|Ватыкане
Самая маленькая дзяржава?|Ватыкан
Самыя далёкія аб'екты ў сусвеце|квазары
Самай вялікай мыш на святле?|Мікі Маўс
Самая дакладная прыкмета новага года гэта?|елка
Самы буйны горад у Аўстраліі?|Сіднэй
Самы папулярны раман Булгакава?|майстар і Маргарыта
Найстаражытнейшымі на зямлі сталіцамі лічацца тры гарады. Адзін з іх – Дзялі. Паспрабуйце назваць яшчэ два|Афіны і Рым
Саратаўская, бологоевская, касимовская, белобородовская, череповка і чарапашка, тульская, венская і іншыя – што гэта ўсё?|гармонікі
Збор мусульманскіх прававых актаў?|шарыят
Уласцівасць меркавання, якое характарызуе ступень яго пэўнасці?|мадальнасць
Святар, інакш архірэй?|біскуп
Святар, які адносіцца да трэцяй, вышэйшай ступені святарства?|архірэй
Священность жывёл ці з'яў прыроды?|татэмізм
Святы вецер, пра які ідзе гаворка ў гэтым пытанні, падняўся падчас другой сусветнай вайны. А дзе знаходзілася яго крыніца?|Японія
Святая кветка японцаў|хрызантэма
Сёння ў нас самае цяжкае пакаранне, не лічачы смяротнага пакарання смерцю – 15 гадоў пазбаўлення волі. А якое пакаранне, ізноў-ткі не лічачы смяротнага пакарання смерцю, было самым цяжкім у часы Пятра I?|цвічэнне пугай
Цяпер цяжка сказаць, хто апынуўся першым ворагам народа. А паспрабуйце ўспомніць, хто быў першым сябрам народа?|Марат
Сэкс па-індыйску?|камасутра
Сяло, у якім у канцы ХVII ст. пачала працаваць першая ветразная фабрыка ў Расіі?|Праабражэнскае
Сэрца, рэгата, сімфонія, слоік, суп, путч. Назавіце эпітэт, які аб'ядноўвае ўсе пералічаныя словы. (муж. р.)|піўной
Срэбра?|аргентум
Шэры волат, белы волат, белы пуховай, венскі блакітны, рускі гороностаевый, савецкі мардер, савецкая шыншыла і нават матылёк, хто яны ўсё?|трусы
Сястра таполі?|асіна
Сціснутае паведамленне пра розны?|агляд
Сіла|ньютан
Знак Канады?|кляновы ліст
Знак рускай масленіцы?|блін
Сімвалічны надпіс, выслоўе?|дэвіз
Знакам якога горада з'яўляецца кот без хваста?|Габрово
Знакі Расіі: Крэмль, матрошка, самавар, мядзведзь, bеtulа аlbа. Што такое bеtulа аlbа?|бяроза белая
Сінонім жорсткасць?|лютасць
Сінонім выгляд?|знешнасць
Сістэма рэвальвера?|вальтар
Скажыце імя 7 германскіх, 4 французскіх і 8 ангельскіх каралёў|Генрых
Як сказаць што-небудзь без удзелу галасавых звязкаў?|шэптам
Скажыце, як клікалі таго, хто быў першым заклікаў Ісусам Хрыстом у лік апосталаў?|Андрэй
Скажыце, як звалі прэзідэнта ФІДЭ Макса Эйве за яго мабільнасць і шпаркасць?|лятучы галандзец
Скажыце, як нашы скарацілі прыйшэлае ад немцаў назва lеitzkаmеrа?|палівачка
Колькі байтаў у адным мегабайце?|1048576
Колькі важаць 2151071428570000000000000 атамаў крэмнія?|1 кілаграм
Колькі грамаў у адным кілаграме?|1000
Колькі дрэў сярэдняга памеру расходуе на свае патрэбы чалавек на працягу жыцця?|400
Колькі кольцаў у знаку алімпіяды?|пяць
Колькі людзей жыло на зямлі за ўвесь час яе існаванні?|сто мільярдаў
Колькі пенсаў было ў анг. фунце стэрлінгаў да пераходу на дзесятковую ден. сістэму ў 1971?|240
Колькі чалавек у кагорце?|10
Колькі паверхаў у будынку пентагона?|пяць
Скупшчык крадзенага (кут. жарг.)?|барыга
Слова галактыка – грэцкага паходжання. А што ж у Старажытнай Грэцыі называлася словам gаlахiаs?|Млечны шлях
Змена бінтоў?|перавязка
Смерць – гэта сумная доля жывых істот, але не толькі. А пра якія элементы можна сказаць, што яны паміраюць?|радыёактыўныя
Смешнае словазлучэнне?|вастрыня
Спачатку яму ўкарацілі левае павека, затым зрабілі асадку на верхнюю сківіцу, і ўжо ніяк не менш сямі разоў памянялі форму носа. Пра каго ідзе гаворка? (імя + прозвішча)|Майкл Джэксан
Спачатку гэтыя людзі былі стырнікамі, затым асабістымі сакратарамі, а пад канец зрабіліся багамі. Хто яны?|фараоны
Сняць! як па-латыні прыдуркаватасць?|маразм
Сабранае насенне субтрапічнага дрэва гледычыі падвяргаюцца наступнай аперацыі: спачатку іх замарожваюць, потым даюць ім адтаць і апарваюць кіпенем. Што робяць далей?|саджаюць
Соў. баскетбаліст?|Ткаченко
Соў. драматург?|Радзінскі
Соў. физикохимик, Герай Соцтруда|Лепинь
