Калінінградская вобл. (горад)|Светлы
Якасць чалавека|хітрасць
Якасць, характар вымаўлення|вымова
Якасць, неабходнае мужчыну, каб жаніцца на трохкратнай удаве|гераічнасць
Каштанка – жанр|аповяд
Керамічная свістулька|акарына
Керамічная абліцавальная плітка|кафля
Керамічныя вырабы, пакрытыя празрыстай глазурай|маёліка
Газавы награвальны прыбор, род бясшумнага прымуса|керогаз
Кім стаў для Дж. Б. Шоў ангельскі пісьменнік Фрэнк Хэррис|біёграф
Кім становіцца карэктар, прапусцілы ў друк памылкі аўтара|суаўтар
Кім была па нацыянальнасці маці хакеіста Валера Харламова|іспанка
Кім у сутнасці быў Джэймс Кук па тэрміналогіі, прынятай у яго час|мараход
Кенатрон, игнитрон, паўправадніковы дыёд – кожны з іх|вентыль
КНДР (сталіца, цэнтр)|Пхеньян
Да ўсякай бочкі ... (погов.)|затычка
Касметычная прылада|пілка
Касманаўт з процілеглым знакам па вышыні|акіянаўт
Касманаўт СССР|Артюхин
Касманаўт СССР|Баландин
Касманаўт СССР|Березов
Касманаўт СССР|Глазков
Касманаўт СССР|Губарев
Касманаўт СССР|Крикалев
Касманаўт СССР|Лазарев
Касманаўт СССР|Левченко
Касманаўт СССР|Малышев
Касманаўт СССР|Полещук
Касманаўт СССР|Палякаў
Касманаўт СССР|Пападзюк
Касманаўт ЗША, які высадзіўся на Месяц|Армстронг
Касманаўт ЗША|Коллинз
Касманаўт Кубы|Мендеса
Касманаўт Манголіі|Гуррагча
Касманаўт Францыі|Кретьен
Касманаўт. Лётчык-касманаўт СССР (1975), генерал-маёр авіяцыі (1983), доктар тэхнічных навук, двойчы Герай Савецкага Звяза (1975, 1978)|Губарев
Касманаўт (прозвішча)|Мусабаев
Космическ. крыніца перыядычнага импульсн. э/м выпраменьванні|пульсар
Касмічнае судна|карабель
Касмічны статут Плутона|планета
Касмічная крыніца радыёвыпраменьвання|пульсар
Касмічная крыніца выпраменьванняў, якія дасягаюць Землі ў выглядзе перыядычных выбліскаў|пульсар
Касмічны лятальны апарат з навуковай апаратурай на борце|станцыя
Коснасць, што замінае нам сцвярджаць нашу волю ў адносінах з іншымі|баязлівасць
Коснаязыкасць|дислалия
Кастрамская вобл. (горад)|Чухлома
Касцяная аснова цэнтральнага і ніжняга аддзелаў твару чалавека|сківіца
Касцяная западзіна ў асабовым чэрапе|вачніца
Костка ў сярэдзіне пярэдняй сценкі грудной клеткі|грудзіна
Костка ў пярэдняй сценцы грудной клеткі|грудзіна
Костка плечавага пояса|ключыца
Костка, з якіх складаецца шкілет пальца|фаланга
Каардыната кропкі на плоскасці, а таксама вось каардынат, паказваная на графіках вертыкальна і звычайна якая пазначаецца Y|ардыната
Каардыната кропкі на плоскасці|абсцыса
Карабельная батарэя|плутонг
Карабельная тканіна|парусіна
Караблебудаўнік|карабел
Карабель капітана Нямое|наўтылус
Карабель камандуючага|флагман
Карабель пустэльні|вярблюд
Карабель, на якім падарожнічаў Гулівер|антылопа
Карэнная жыхарка краіны, сталіца якой – Бейрут|ліванка
Карэнная жыхарка астраўной дзяржавы ў Амерыцы|кубінка
Карэнная жыхарка былой респ. СССР|латышка
Карэннае насельніцтва Паўночнай Афрыкі|берберы
Карэнны жыхар краіны, сталіца якой Бейрут|ліванец
Карэнны жыхар, першабытнік|тубылец
Корань расліны, які ідзе ў ежу і на корм скаціне|карняплод
Скрыначка для захоўвання касметыкі ў антычную эпоху|пиксида
Скрынка з магнітнай стужкай|касета
Скрынка ў апараце, прыборы для ўкладвання аднастайных адзінкавых вырабаў, частак чаго-небудзь, таксама набор аднатыпных элементаў, зняволены ў агульны корпус|крама
Скрынка з тоўстай шчыльнай паперы|кардонка
Скрынка кандытарскіх вырабаў|цукеркі
Каровін нашыйнік|рагатка
Каровін азадак як гатунак мяса|сцягняк
Каралева Вялікабрытаніі, апошняя з Гановерскай дынастыі|Вікторыя
Каралева Даніі|Маргрете
Каралева, якая кіруе вельмі нядоўга (па Сакраце)|прыгажосць
Каралеўскі замак у Англіі, у якім згулялі вяселле адмысловец па сувязях з грамадскасцю Сафі Рыс-Джонс і прынц Эдвард, малодшы сын брытанскай каралевы Лізаветы. (яго браты Чарльз і Эндру)|Виндзор
Каралеўскі ляснічы (ангел.)|рэйнджар
Каралеўскі намеснік|кастелян
Каралеўства, заснаванае ў 491 г. саксамі|Сусэкс
Каралеўства, заснаванае падчас англосакского заваёвы Брытаніі|Сасэкс
Кароль салических франкаў, з роду Меровингов (р. 466 г.)|Хлодвиг
Кароль Францыі, адзін з родапачынальнікаў гульні ў шахматы па перапісцы|Людовік
Кароль папа|Джэксан
Кароль шпіянажу, кіраўнік ваеннай выведкі Нямеччыны перыяду Першай сусветнай вайны. “Самы хітры шпіён Еўропы” па імі Вальтар. Прозвішча?|Мікалаі
Кароль, якому служылі тры мушкецёра|Людовік
Караценькі ліст|цыдулка
Кароткая смешная байка, бывае з барадой|анекдот
Кароткая раменная пуга|бізун
Кароткая вузкая вуліца|завулак
Кароткая верхняя адзежа|жакетка
Кароткая мужчынская адзежа без рукавоў|камізэлька
Кароткая пуга|бізун
Кароткая трубка для адводу газу, пары, вадкасці ў трубаправодах, рэзервуарах|патрубак
Кароткая трубчастая костка пальца|фаланга
Короткостволый пісталет|бульдог
Короткоствольное арт. прылада|марціра
Короткоствольное артылерыйская гармата, якое кідае снарады па стромкай траекторыі|марціра
Короткоствольное стралковая зброя|пісталет
Короткоствольное прылада навяснога агню (устар.)|марціра
Кароткае злучальнае звяно трубаправодаў|кутнік
Кароткае бервяно, палена|абцінак
Кароткі ліст|цыдулка
Караткажылыя прамежкавыя прадукты хим. рэакцый, але вядомыя і стабільныя (хим.)|радыкал
Короткошерстая буйная легавая сабака|пойнтар
Короткошерстная службовы сабака|даберман
Кароткія кліпы, якія назаляюць з тэлеэкрана|рэклама
Кароткі сурдут з круглымі фалдамі|візітоўка
Кароткі расказ незвычайнага і смешнага характару|анекдот
Кароткі вадасцёк натуральнага паходжання|пратока
Кароткі кафтан у стан, які насілі ў мінулым стагоддзі|казакін
Кароткі тэкст на паверхні чаго-небудзь|надпіс
Кароткі жартоўны нумар на эстрадзе, у цырку|рэпрыза
Кошык у просты люд|пляцёнка
Карыца, гваздзік, кардамон (обобщ.)|рэзкая затаўка
Корм для прынады звяроў, рыб, птушак|прынаджванне
Кармавая культура|люцэрна
Кармавая патака, адыход бурачнацукровай вытворчасці|меласса
Кармавая трава сямейства бабовых|люцэрна
Кармавая травяністая расліна сямейства бабовых|люцэрна
Травы. расліна, кармавое, сямейства бабовых|лядвенец
Карміцелька няшчасных|надзея
Стырнік прыроды (Бярнард Шоў)|філосаф
Карняплод сямейства парасонавых, корань і лісце якога ўжываюцца як заправа да страў|пятрушка
Карняплод, кармавая рэпа|турнэпс
Корпус самалёта|фюзеляж
Корпус сабакі|калодка
Корпус лятальнага апарата|фюзеляж
Карыслівы вайсковец|найміт
Кобра|очковая
Коўш на доўгай дзяржальні|чарпак
Каго абложваюць крэдыторы|даўжнік
Каго мы чакаем з нецярпеннем, калі ў нас пацёк кран|слесар
Каго, акрамя мора і землі, венецыянцы лічаць ворагам гарадской лагуны (адказ у ім. п.)|чалавек
Кіпцюр улады|службовец
Калі двое не разам|расстанне
Калі ты мяне ўбачыў, ты змяніўся ў твары. Луіс, да каго ты раўнуеш, гэта твой сябар Хозе. (исполн. песні)|Вайкуле
Калісьці – чароўны напой, зараз – проста спиртовая настойка|эліксір
