Жанчына з нічога можа зрабіць тры рэчы: салатик, капялюшык і ...|трагедыю
Марскія чарапахі – самыя вялікія ... нашай планеты, але бо яны ўвесь час у вадзе, хіба гэта заўважыш? (Барыс Сяргеяў “Займальная фізіялогія”)|плаксы
Акулы і пахілы прыстасаваліся да жыцця ў салёнай вадзе, навучыўшыся захоўваць у крыві ... , дзякуючы чаму асматычны ціск іх крыві значна вышэй, чым марской вады (Барыс Сяргеяў “Займальная фізіялогія”)|мачавіну
Кенгуровая ... , жыхарка бязводных аўстралійскіх пустэльняў, складае ў глыбокіх норах у сваіх дзіўных защечных мяшках сухое насенне. Калі ў глебе ёсць хоць трохі вільгаці, насенне пачне яе ўбіраць. Бо асматычны ціск сухога насення ўраўноўваецца 400–500 атмасферам! (Барыс Сяргеяў “Займальная фізіялогія”)|пацук
У пустэльнях пясок напальваецца так, што калі ступіць на яго, можна атрымаць ...|апёк
Запасы ... у некаторых жывёл вельмі вялікія: у вярблюда яго можа быць 110–120 кілаграмаў, у барановых курдзюках – 10–11 (Барыс Сяргеяў “Займальная фізіялогія”)|тлушчу
Гэта жывёла павінна з'ядаць у дзень ежы гэтулькі, колькі важыць само, а часам і ўтрая больш (Барыс Сяргеяў “Займальная фізіялогія”)|крот
Французскі хімік Габриель Бертран падлічыў, што цела чалавека, які важыць каля 100 кілаграмаў, утрымоўвае 63 кілаграма гэтага хімічнага элемента (Барыс Сяргеяў “Займальная фізіялогія”)|кісларод
Французскі хімік Габриель Бертран падлічыў, што цела чалавека, што важыць каля 100 кілаграмаў, утрымоўвае 19 кілаграмаў гэтага хімічнага элемента (Барыс Сяргеяў “Займальная фізіялогія”)|вуглярод
Гэтыя рэчывы будуюцца з розных камбінацый 22 амінакіслот, толькі 10 з іх здольны сінтэзаваць наш арганізм, астатнія 12 павінны паступаць у гатовым выглядзе (Барыс Сяргеяў “Займальная фізіялогія”)|вавёркі
Лічынкі птушыных ... , німфы і сталыя казуркі, калі трапляюць на птушку, не заўсёды ўпіваюцца ў яе цела. Калі іх апыняецца шмат, то сярод іх заўсёды знаходзяцца канібалы, якія імкнуцца адшукаць пітушчую кроў самку ці німфу і прысмактацца да яе (Барыс Сяргеяў “Займальная фізіялогія”)|абцугоў
На ўласных экскрыментах, ядучы іх, вылучаючы і зноў ядучы, можа вырасці не адно пакаленне пчалінай ... . Гэты своеасаблівы кругазварот доўжыцца часам 7–8 гадоў. Тлумачыцца гэта тым, што яна сілкуецца воскам, які цалкам у яе кішачніку не пераварваецца (Барыс Сяргеяў “Займальная фізіялогія”)|молі
Гэты жук скочвае з гною даволі вялікія шары, у шмат разоў праўзыходныя яго ўласны памер|скарабей
Прыродны асенізатар (Барыс Сяргеяў “Займальная фізіялогія”)|скарабей
Зыходнай сыравінай для гэтага прадукта сілкавання служыць кветкавы нектар, які праходзіць папярэднюю перапрацоўку ў валлячыках пчол-зборшчыц, дзе трысняговы цукар часткова перакладаецца ў пладовы і вінаградны і затым зрыгваецца ў сотавыя вочкі (як, апетытна?) (Барыс Сяргеяў “Займальная фізіялогія”)|мёд
Закамянелы гной|копролит
Вядомы індыйскі паляўнічы Джым Корбетт апісвае некалькі выпадкаў, калі страта ўсяго толькі аднаго ... змушала тыгра нападаць на хатніх жывёл і нават на людзей, бо з буйнымі дзікімі капытнымі жывёламі (яго звычайная ежа) ён ужо зладзіцца не мог (Барыс Сяргеяў “Займальная фізіялогія”)|ікла
Ў гэтых жывёл пярэднія зубы растуць бесперапынна, ды так хутка, што калі пазбавіць жывёлу цвёрдай ежы і зубы перастануць зношвацца, то вырастуць да неверагодных памераў і зробяць свайго ўладальніка інвалідам (Барыс Сяргеяў “Займальная фізіялогія”)|грызуны
Ў карповых рыб рот бяззубы, затое ў ... палец ім лепш не соваць, менавіта туды перамясціліся зубы, і ўся першасная апрацоўка ежы вырабляецца там (Барыс Сяргеяў “Займальная фізіялогія”)|глытку
Птушкі карыстаюцца імі для драбнення ежы. У таўстасценным мускульным страўніку, які валодае значнай сілай, збожжа, што патрапілі паміж ... , лёгка пераціраюцца, як у жоранах (адказ у тб. п.) (Барыс Сяргеяў “Займальная фізіялогія”)|каменьчыкамі
Гэтыя аб'екты вагай 350–500 грамаў нярэдка знаходзяць у страўніках кітоў, маржоў і цюленяў (Барыс Сяргеяў “Займальная фізіялогія”)|камяні
Ў страўніку некаторых цюленяў іх знаходзілі да 11 кілаграмаў (Барыс Сяргеяў “Займальная фізіялогія”)|камяні
Некаторыя змеі могуць дзівіць ядам без укусу, таму што яны ім ... (Барыс Сяргеяў “Займальная фізіялогія”)|плююцца
Ў чалавека па меры пераварвання складаныя хімічныя рэчывы раскладаюцца на простыя: вавёркі – на амінакіслоты, вугляводы – на  моносахариды, тлушчы – на ... і тоўстыя кіслоты (Барыс Сяргеяў “Займальная фізіялогія”)|гліцэрына
Для кожнага выгляду ежы яны падрыхтоўваюць свой склад стрававальных сокаў (Барыс Сяргеяў “Займальная фізіялогія”)|залозы
Ў адным кубічным сантыметры змесціва рубца (такі аддзел страўніка) іх 15–20 мільярдаў (Барыс Сяргеяў “Займальная фізіялогія”)|мікраарганізмы
Гэты аддзел страўніка ў каровы велізарны, дасягае часам 100 літраў (Барыс Сяргеяў “Займальная фізіялогія”)|рубец
Іх малако самае салодкае. У ім каля 7 адсоткаў малочнага цукру (лактозы). У гэтым стаўленні з ім можа супернічаць толькі малако кабыл (Барыс Сяргеяў “Займальная фізіялогія”)|жанчыны
Вядомы рускі фізіёлаг І.Ф. Цион падлічыў, што на працягу чалавечага жыцця гэты чалавечы орган паспявае здзейсніць працу, роўную высілку, якога было б досыць, каб на найвысокую вяршыню Еўропы Монблан, на вышыню 4810 метраў, падняць чыгуначны састаў! (Барыс Сяргеяў “Займальная фізіялогія”)|сэрца
Блакітная кроў насамрэч з зямных насельнікаў бывае толькі ў гэтага сямейства жывёл (Барыс Сяргеяў “Займальная фізіялогія”)|ракападобныя
Хламідаманада снежная гіне ад гэтага ўжо пры тэмпературы 4 градусу|спякота
Які б новы прынцып у кіраванні, у лакацыі, арыентацыі ў прасторы ні быў прапанаваны навукоўцамі, пасля заўсёды апыняецца, што прырода ўжо даўным-даўно яго выкарыстоўвае. Мабыць, толькі з гэтай рэччу прырода схібіла. ... – адзінае, што чалавек прыдумаў сам (Барыс Сяргеяў “Займальная фізіялогія”)|кола
На мове індзейцаў-томанаков гэта рыба завецца “арима”, што значыць “які пазбаўляе рухі” (Барыс Сяргеяў “Займальная фізіялогія”)|вугор
У наш час вядома каля 300 выглядаў рыб, здольных даваць слабыя электрычныя разрады напругай ад 0,2 да 2 вольт. Першапачаткова навукоўцы думалі, што гэтыя рыбы забіваюць вельмі дробных жывёл. Але апынулася, электрычнасць для гэтых рыб не зброя, а складнік ... (Барыс Сяргеяў “Займальная фізіялогія”)|лакатара
З шасці асноўных органаў пачуццяў найболей важныя тры. Страта густу, а тым больш нюхі праходзяць для нас амаль неўзаметку. Нават са стратай дотыку можна было неяк мірыцца, але страта зроку, слыху ці пачуцці ... робіць чалавека цяжкім інвалідам (Барыс Сяргеяў “Займальная фізіялогія”)|раўнавагі
Ў гэтай жывёлы, формай цела злёгку які нагадвае лязо скальпеля, бачыць сам мозг – уздоўж усёй нервовай трубкі раскіданы святлоадчувальныя клетачкі, а бо цела празрыстая, тая жывёла выдатна адрознівае святло ад цемры (Барыс Сяргеяў “Займальная фізіялогія”)|ланцэтнік
Па трапным выразе вядомага рускага заолага Мадэста Богданова, менавіта яна вывела чалавека ў людзі|сабака
Злучэнне самца і самкі для прыплоду; злучка|спарванне
Асабліва цікава, што ... , напоўненае народкамі, можа адлучыцца ад цела васьмінога і весці самастойны лад жыцця. Раней яго лічылі адмысловым жывёлам і звалі гетерокотилем (Барыс Сяргеяў “Займальная фізіялогія”)|шчупальца
Самымі вялікімі яйкаклеткамі з усіх якія жывуць у наш час на Зямлі жывёл, калі ўзяць іх з усімі абалонкамі, да якіх у птушак ставяцца шкарлупіна і бялок, з'яўляюцца яйкі... Каго? (Барыс Сяргеяў “Займальная фізіялогія”)|страўсаў
Спарванне кажаноў працякае падчас зімоўкі, але апладненні ў гэты момант не адбываецца. Уведзеная ў арганізм самкі сперма захоўваецца ў палавых шляхах да ... (Барыс Сяргеяў “Займальная фізіялогія”)|вёсны
“Мы можам зваць чалавека ІМ у адным з двух выпадкаў: або ён мае мэтай атрымаць уладу, або ён яе ўтрымлівае” (Барыс Стругацкий). Хто ЁН?|палітык
Што ў грузінаў пазначае слова “мама”? (Леў Успенскі “Слова пра словы”)|бацька
Іспанскі Іван|Хуан
Гэта слова па-чэшску значыць “увага! беражыся!”|ганьба
Са слоў, якія набіраюцца двума паказальнымі пальцамі нават пры дзесяціпальцавым метадзе набору, якое самае доўгае?|непашыранасць
перен. Ажыццяўленне чаго-небудзь без плану, без кіраўніцтва, стыхійна|самацёк
разг.-сниж. Назва якіх-л. прыладдзя|прычындалы
Тое, што ўсталявана, адкрыта даследаваннем, пошукамі; ізноў адкрытая праўда|адкрыццё
разг. Тое, што спасцігнута, расчынена, выяўлена кім-або|адкрыццё
Ў анекдоце на пытанне, якое ў яе мужа гэта, жонка адказала: “Сантыметраў пятнаццаць”|хобі
“Якая груда! Які мацёры звышчалавек!” – хто сказаў?|Горкі
“Якая груда! Які мацёры звышчалавек!” – пра каго сказана?|Талсты
Невыкарыстоўваныя ў дадзенай сістэме адносін прадметы, рэчывы, адыходы жыццядзейнасці|смецце
Слова “невымоўныя”, паводле слоўніка Ўшакова, з'яўляецца гутарковым эўфемізмам для назвы менавіта гэтага выгляду адзежы|споднікі
Гэта строгая, рэзкая вымова, выкліканне – не робяць, а ўладкоўваюць|разнос
разг. Што-л. нестоящее, недарэчнае, дурное; глупства, бяссэнсіца|бязглуздзіца
Ў габрэйскіх фальклорных адданнях оживляемый магічнымі сродкамі гліняны волат, які паслухмяна выконвае даручаную яму працу, але можа выйсці з-пад кантролю свайго стваральніка і загубіць яго|голем
Фраза “За працу!” больш за ўсё цешыць тады, калі яна з'яўляецца ...|тостам
Аўтар большасці тэкстаў песень групы “Наўтылус помпилиус”|Карміцеляў
Мы кажам “сысці па-ангельску”. А якой нацыі прыпісваецца сыход не развітваючыся ў фразеалогіі ангельцаў?|французы
Збудаванне з адкрытым ці змешчаным у зачыненым памяшканні штучным вадаёмам для плавання, скачкоў у ваду і т. п.|басейн
разг. Ваганне карабля, самалёта і да т.п. з боку ў бок, угару і ўніз падчас руху; гайданка|гайданка
Разнавіднасць псіхапата, паталогія паводзін якога ляжыць вылучна ў сферы сацыяльных паводзін, індывід з клінічнай няздольнасцю да адаптацыі ў чалавечым соцыуме|социопат
Юры Дереникович, расійскі мовазнавец, акадэмік РАН (1992). Працы ў вобласці семантыкі, сінтаксісу, лексікаграфіі, структурнай і матэматычнай лінгвістыкі, машыннага перакладу і інш.|Апресян
Горад (з 1777) у Расійскай Федэрацыі, Яраслаўская вобл., прыстань на Рыбинском вдхр., у 65 км ад Рыбинска. 7,9 тыс. жыхароў (1993). Сыромаслоделательный завод і інш. Лесокомбинат.|Пошехонье
Гэта мова ўяўляе сабою ўдасканаленую форму эсперанта|идо
Лепшая запасная частка да айчыннага аўтамабіля (гумар.)|ровар
Назва гэтай мовы ў перакладзе значыць “які спадзяецца”|эсперанта
Мешаніна моў, што тармозіць развіццё сацыяльна-эканамічных і культурных сувязяў паміж народамі|вавилонизм
Заснавальнік антрапасофіі|Штайнер
Баявое мастацтва, распрацаванае ў сярэдзіне ХХ стагоддзі генералам Чхве Хон Хі ў Карэі. За аснову ўзяты карэйскі выгляд самобороны Тхэккен. Характарызуецца вялікай колькасцю высокіх скачкоў з ударамі нагамі. Алімпійскі выгляд спорту з 2000 гады|тэквандо
Баявое мастацтва, распрацаванае ў сярэдзіне ХХ стагоддзі генералам Чхве Хон Хі ў Карэі. За аснову ўзяты карэйскі выгляд самобороны Тхэккен. Характарызуецца вялікай колькасцю высокіх скачкоў з ударамі нагамі. Алімпійскі выгляд спорту з 2000 гады|тхэквондо
Баявое мастацтва, распрацаванае ў сярэдзіне ХХ стагоддзі генералам Чхве Хон Хі ў Карэі. За аснову ўзяты карэйскі выгляд самобороны Тхэккен. Характарызуецца вялікай колькасцю высокіх скачкоў з ударамі нагамі. Алімпійскі выгляд спорту з 2000 гады|таэквондо
(лат. хутканогі, хорта) Каханы конь імператара Калігулы, рымскі сенатар|Инцитат
Калі сукенкі бываюць з травы? Тады, калі яны ...|змяты
Ў Вовы было 6 яблыкаў, палову ён аддаў брату. Колькі яблыкаў засталося ў Вовы?|пяць з паловай
Як вядома, усе спрадвечна рускія жаночыя імёны сканчаюцца або на “а”, або на “я”: Ганна, Марыя, Вольга і г.д. Аднак ёсць адно-адзінае жаночае імя, якое не сканчаецца ні на “а”, ні на “я”. Назавіце яго|Каханне
Якое слова сканчаецца на чатыры згодных?|монстар
У якім слове ідуць тры запар літары О?|зоообъединение
Назавіце слова з сямю літарамі О, якія ідуць не запар|абараназдольнасць
Якое слова аб'ядноўвае ношеные порткі і лясную вёсачку?|дзюра
Які самы вялікі магчымы лік? (літарамі)|трыццаць першае
Перад пачаткам невялікага міжнароднага футбольнага турніру адзін чалавек склаў заклад, што ніводны футбаліст не заб'е ніводнага мяча і здолела выйграць гэта спрэчка. Чаму? Таму, што гулялі толькі ...|футбалісткі
Аўтар “Добра тэмпераванага клавира”|Бах
Трыманне мовы за зубамі|маўчанне
“Чалавек ты, ці анёл, // Ці нільскі кракадзіл – // Мне пляваць, у якім ты рангу, // Абы ў ... не хадзіў.” (Вадзім Шефнер)|госці
“На могілкі загадкавы ... , // Тут кожны метр навекі кімсьці заняты. // Жывыя ведалі, што яны памруць, // Але мёртвыя, што памерлі, – не ведаюць.” (Вадзім Шефнер)|выгода
“Ўсё гэта канчаецца проста – // Не ўзлётам у нябесную высь, // А сонным маўчаннем ... , // Дзе трава каранямі спляліся.” (Вадзім Шефнер)|цвінтара
перен. Зацьменне свядомасці, морак розуму|марок
разг. Зацяжная, клапотная справа; важданіна|марока
Якая адрына па сумяшчальніцтве з'яўляецца сталіцай Латвіі?|рыга
“Нават пачуццё спачування, // Нават пякельны непокой // Ад прыняцця сілкавання // Не адвучаць ... людскай.” (Вадзім Шефнер)|род
“У ... душа болить, // На сэрца смутак-прыкрасць: // Прыйдзецца зноў кагосьці забіць – // Бо жыць вось усёткі трэба.” (Вадзім Шефнер)|людаеда
“Будзь заўсёды сабе ... , // Думай мудра, думай хутка, // Каб творчыя думкі // У галаве тваёй не кіслі.” (Вадзім Шефнер)|міністрам
Стваральнік вугальнага процігаза (1915)|Зелинский
“Дзе глыбіня ўсяго па грудзі // І вельмі блізкі ... , // Там таксама можа патануць // Той, хто ў сябе не верыць.” (Вадзім Шефнер)|бераг
“Дзе чагосьці занадта мала – // Чакай сур'ёзнага правалу. // Дзе чагосьці занадта шмат – // Чакай жаласнага ... .” (Вадзім Шефнер)|выніку
“Браток, улічы для выразнасці, // Плануючы лёс, // Што ў поўнай бяспецы // Ты будзеш толькі ў ... .” (Вадзім Шефнер)|труне
разг. Пакой, праз якую можна прайсці ў іншую|прахадная
разг. Месца пры ўваходзе на прадпрыемства, дзе вырабляецца праверка пропускаў|прахадная
Скнара, спакуснік, набрыдзь, слабак, зваднік, звадыяш, скандаліст, слімак, сцерва, скнара, спекулянт, сімулянт, смаркач, садыст, сутэнёр, свінтух, суцяга, скобарь, супастат, сабатажнік, самадур, жмінда – якое слова на З з адмоўным адценнем можна дадаць?|брыдкаслоў
“Ёсць і для сціпласці мяжа, // Не сціпла паводзь да тлуму, – // Інакш будзеш не ў спраў, // Залічаны будзеш у ... .” (Вадзім Шефнер)|гультаі
Злыдзень, зласлівец, мурзіла, зубоскалец, зануда, заморак, задрыга, злыдзень, зубрыла – назавіце яшчэ адно слова з адмоўным адценнем на літару З|забулдыга
Сталярнае прыстасаванне ў выглядзе латка для рэзання дошак пад кутом, як правіла складнікам 45°|стусло
разг. Сяброўская сустрэча, гулянка ў вузкім крузе (звычайна з адценнем жартаўлівасці)|междусобойчик
Першае паведамленне топіка, якое адлюстроўваецца на кожнай яго старонцы|шапка
Выдаленне валасянога полага з асобных частак цела з касметычнай мэтай|эпіляцыя
“–Ну, што Піцер, як на цябе дзейнічае, – пракрычаў Багатыроў, – скажы, а? –Адчуваю, што загипнотизировываюсь, – сказаў Нехлюдов. –Загипнотизировываешься? – паўтарыў Багатыроў і гучна зарагатаў.” З якога рамана Льва Талстога гэты ўрывак?|уваскрэсенне
Імя акцёра, які выканаў галоўную ролю ў фільме Карена Шахназорова “Кур'ер” – Фёдар, а прозвішча?|Дунаевский
Хто з зязюль выдае добра ўсім вядомае “ку-ку”?|самцы
Выгляд сужыцця жывых арганізмаў, пры якім толькі адзін з партнёраў атрымлівае ад сужыцця карысць, не наносячы іншаму якой-небудзь шкоды; нахлебніцтва|комменсализм
Лідар экстрэмісцкай ліванскай шыіцкай групоўкі “Хезбалла” з 1992 гады, калі спецслужбы Ізраілю ліквідавалі яго папярэдніка Аббаса аль-Мусави, імя Хассан|Насралла
Тэрмін, які азначае геаметрычную фігуру, што валодае ўласцівасцю самоподобия, гэта значыць складзеную з некалькіх частак, кожная з якіх падобная ўсёй постаці цалкам|фрактал
Нервовая сістэма гэта паразітычнага чарвяка ўтрымоўвае строга 162 нейрона, а напрыклад 163 нейрона для яго – такое ж пачварнасць, як шэсць пальцаў на руцэ чалавека|аскарыда
Як завецца пара прыдаткаў на заднім канцы брушка прусака?|церки
Прынесеная з токам крыві часціца (які адарваўся тромб, бурбалка паветра і т. д.)|эмбол
Узаемавыгадныя адносіны паміж арганізмамі (прыватны выпадак сімбіёзу)|мутуалізм
Вытлумачэнне якой-небудзь навуковай праблемы, выклад сваіх поглядаў па вызначаным пытанні|трактоўка
Вытлумачэнне ў адпаведнасці са сваім разуменнем|трактоўка
Ад якога імя памяншальнае – Джэк?|Джон
Сталіцы колькіх еўрапейскіх дзяржаў размешчаны на рацэ Дунай?|чатырох
Што рухае самалёты з поршневымі рухавікамі?|прапелер
З сабакамі якой пароды ўступіў у сутычку Артемон з “Залатога ключыка”?|даберманы
Як у Расіі 15-17 стст. зваліся феадальна-залежныя людзі, не мелыя сваёй гаспадаркі, якія жылі і працавалыя ў дварах сялян ці пасадскіх людзей?|захрыбетнікі
Які ваенны чын адпавядаў расійскаму грамадзянскаму чыну надворнага дарадніка?|падпалкоўнік
Які колер мае фарба “індыга”?|сіні
Хто з аднакашнікаў А. С. Пушкіна па ліцэі дасягнуў вышэйшага ў Расіі чыну канцлера?|Гарчакоў
На тэрыторыі якой краіны знаходзіцца гіганцкі нацыянальны парк Серенгети?|Танзанія
Дзе падчас Маскоўскай Алімпіяды спаборнічалі яхтсмены?|Талін
Пасля перамогі над кім Аляксандр стаў Неўскім?|шведамі
Хто, паводле прымаўкі, хітры на выдумкі?|галота
Што запальваецца пры тэмпературы 451 па Фарэнгейце?|папера
Што адмарозіў сабе дваровы хлопчык са знакамітага верша А. С. Пушкіна?|пальчык
Вожык носіць на спіне яблыкі для знішчэння ...|паразітаў
Хто з былых прэм'ераў Росии дэманстраваў уменне гуляць на баяне?|Чарнамырдзін
Пры якім кітайскім імператару канфуцыянства стала афіцыйнай ідэалогіяй краіны|У-дзі
На якой рацэ варта горад Багдад?|Тыгр
Здольнасць жывёлы пераносіць папярэдні досвед ці яго элементы ў новае становішча і на яго аснове вырашаць стаячую перад гэтай жывёлай задачу|инсайт
Расійскі лінгвіст, акадэмік РАН (1992), прафесар (1991), доктар філалагічных навук, суаўтар Новага вялікага англа-рускага слоўніка, клічуць Юры Дереникович, а прозвішча яго ...|Апресян
Назва некаторых лячэбных і дыягнастычных сродкаў|сыроватка
Гэта мова праграмавання быў створаны Джонам Маккарти, арганізатарам Дартмутского семінара і заснавальнікам кафедраў ІІ ў Массачусетсском тэхналагічным інстытуце і Стэнфардскім універсітэце|Лісп
Эмацыйны цэнтр мозгу, у якім гняздуюцца задавальненне, нянавісць, страх, роспач, голад, і які служыць пасроднікам паміж эмоцыямі і іх ментальнымі і фізічнымі праявамі|гіпаталамус
Важны апрацоўчы цэнтр і пераключалы вузел у мозгу, які перадае значную частку імпульсаў, якія паступаюць звонку, у кару галаўнога мозгу|таламус
разг.-сниж. Франтаваты і легкадумны малады чалавек; фат, франт|хлышч
Гэты баец быў гатовы прыняць ва ўзнагароду медаль, калі не дадуць ордэны|Теркин
Панавальная на вызначаным этапе развіцця навукі сістэма асноватворных поглядаў і агульных стыляў мыслення|парадыгма
Ідэя скачкападобнага ходу эвалюцыі|сальтационизм
На якую літару правільна ставіць націск у слове амнібус?|пра
Паводле першапачатковай задуме Роберта Земекиса і Стывена Спілберга роля машыны часу ў фільме “Назад у будучыню” павінен быў гуляць халадзільнік, а не аўтамабіль. Назавіце тых, для бяспекі каго гэта ідэя была адпрэчана|дзеці
Дэталь замка, якая забяспечвае яго сакрэтнасць|сувальда
шырокі прастакутны пэндзаль для пабелу|макловица
Магільны помнік загінуламу, усталяваны не на магіле (уздоўж дарог)|ксенотафия
Ў ангельскай мове слова сitу азначае вялікі, прамысловы горад, або горад незалежна ад памераў, у якім ёсць ...|сабор
(аббр.) БАК = Вялікі адронны ...|коллайдер
Абмоткі электрамагнітаў Вялікага адроннага коллайдера пры яго працы знаходзяцца ў звышправодным стане, каб вытрымаць токі, неабходныя для стварэння наймагутнага магнітнага поля, а нізкую (-271,4 градусу па шкале Цэльсія) тэмпературу забяспечвае вадкі ...|гелій
Камяністы перакат на рацэ, плыткі ўчастак ракі (Сібір, Далёкі Ўсход)|шивер
Шкло, шматкроць нагрэтае да тэмпературы загартоўкі (540–560 град. З) з наступным хуткім раўнамерным астуджэннем паветрам; загартаванае шкло|сталініт
Здольнасць счаплення двух разнастайных целаў на малекулярным узроўні|адгезія
... замка – гэта колькасць розных камбінацый яго замыкалай прылады, кожная з якіх адпавядае толькі вызначанаму ключу ці коду|сакрэтнасць
Разлічаны на некалькі сем'яў элітны катэдж|таун-хаўс
Род пажадлівых дыназаўраў канца крэйдавага перыяду|тыраназаўр
перен. Здольнасць, прыродная схільнасць навошта-або|жылка
Рэжым працы некаторых поршневых і рэактыўных рухавікоў, які ўжываецца для часавага павелічэння цягі ў выпадку неабходнасці (узлёт, разгон да звышгукавой хуткасці, манеўр паветранага бою)|фарсаж
Вам вядома знаёма выраз “камарова жменя”. Гулька – гэта чыя назва?|галубячы
Сем ... , якія “бываюць” у лбу, калі разумець літаральна, – 126 сантыметраў|пядзяў
Той, хто пасланы з якім-небудзь спешным даручэннем; ганец, кур'ер|пасланец
Паводле анекдота, іх “не толькі глядзяць, але і носяць”|перадачы
І назва металу, і кароткі прыметнік, дастасоўнае як да людзей, так і да жывёл|хром
Выгляд хабару службовай асобе прадпрыемства, які прымае рашэнне пра выдаткоўванне грашовых сродкаў гэтага прадпрыемства; выплачваецца ад сумы выдаткоўваных сродкаў|адкат
Гэтыя тры тэлезоркі добра вядомыя кожнаму з нас. Бландына клічуць Сцяпан, шатэна клічуць Піліп. А як клічуць лысага?|Хрюша
Не брэша, не кусаецца, а гэтак жа завецца|@
Загадка: з кіпцюрамі, а не птушка, ляціць і мацюкаецца|электрык
Чым іх больш, чым вага менш. Што гэта?|дзіркі
Сярэдняе арыфметычнае паміж роварам і матацыклам?|мапед
Якое кола не круціцца пры правым развароце?|запасное
Збожжа, якое прайшло агонь, ваду і медныя трубы|самагонка
Якое слова пачынаецца з трох літар “Г” і сканчаецца трыма літарамі “Я”?|трыганаметрыя
Невялікія круглявыя, грушападобныя шкляныя пасудзіны, якія ўжываюць для лячэння кашля ці запаленні лёгкіх, ставячы іх на спіну хворага|слоікі
Гэтым словам можа быць жартам названы шэраг бутэлек|батарэя
Калі хто-небудзь паводзіць сябе “як бедны ...”, значыць, ён трымаецца вельмі сціпла, наўмысна паказвае сваё ніжэйшае становішча, з тым каб папытаць у окражающих дапамогі, падтрымкі і т. п.|сваяк
Аўтарскі ... – гэта адзінка вымярэння аб'ёму літаратурнага твора, якая ўраўноўваецца 40000 друкаваных знакаў (каля 22 машынапісных старонак)|ліст
Назва якой сталіцы адбываецца ад словазлучэння “Дацкі замак”?|Талін
Фільм, дзеянне якога разгортваецца на часавым адрэзку паміж пачаткам і канцом іншага фільма, выпушчанага раней|мидквел
