Парода сабак, атрыманая скрыжаваннем лабрадора і пудзелі|лабрадудель
Частка панчохі, шкарпэткі, якая зачыняе падэшву ступні|след
устар. Пляц, якая служыла месцам для конскіх, гімнастычных і іншых змаганняў|рысталішча
“Раб быў вольны – ён не меў ...” /Ратмір Тумановский/|сем'і
“... – гэта боязь перавагі іншага твару” /Аляксандр Дзюма-сын/|рэўнасць
“Невялікая радасць паднімацца ўсё вышэй, калі па-ранейшаму застаешся на ...” /Крысціян Фрыдрых Геббель/|усходам
“Ніхто не пляткарыць пра таемныя ... іншых людзей” /Бертран Рассел/|дабрадзейнасцях
Што Жорис дэ Брюйн вызначыў як “думка, якая выконвае піруэт”?|афарызм
Чалавек, які ўсё жыццё кладзе на тое, каб дамагчыся вядомасці, а потым ходзіць у цёмных ачках, каб яго не пазналі. /Фред Ален/|знакамітасць
На адной фармацэўтычнай фабрыцы яго выкарыстоўвалі ў якасці кантралёра на канвееры, па якім вырабленыя таблеткі ішлі ў пакаванне. У яго была выпрацавана рэакцыя дзюбаць і скідаць бракаваныя таблеткі па прыкмеце іх адрознення ад стандарту. Хто ён?|голуб
Абложаны прускім войскам Парыж падтрымліваў сувязь з навакольным светам пры дапамозе больш 600 паштовых ..., якія даставілі за час аблогі больш 100 тыс. допісаў|блакітней
Паштовае паведамленне, якое дастаўляецца з дапамогай голуба|голубеграмма
Папуляцыя нелетающих птушак выспы Стывенс была знішчана ... наглядчыка маяка|коткай
Ва ўсіх краінах чыгункі для перасоўванняў служаць, а ў нас, звыш таго, і для ... /Міхась Салтыков-Шчадрын/|крадзяжу
Здольнасць знаходзіць пераканаўчыя апраўданні ўласнай дурасці /Часопіс «Пшекруй»/|розум
Аэродинамичные ... аказваюць найвялікі супраціў /Часопіс «Пшекруй»/|дзяўчыны
Чалавек знясе ўсё, акрамя ... /Часопіс «Пшекруй»/|яйкі
Ніколі чалавек не бывае так блізкі да ... , як пры запаўненні анкеты пра прыём на працу /Часопіс «Пшекруй»/|дасканаласці
Чалавек, які на дзесяць гадоў старэй цябе /Часопіс «Пшекруй»/|стары
Досвед навучыў мяне не давяраць нават ... /Часопіс «Пшекруй»/|досведу
Вечарынка ў суседзяў, на якую ты не запрошаны /Часопіс «Пшекруй»/|вэрхал
Калі табе здаецца, што ўсё посходили з розуму, ідзі да ... /Часопіс «Пшекруй»/|псіхіятру
Ну вядома, я распаўнела! Пасля ... я важыла толькі 3 кг! /Часопіс «Пшекруй»/|нараджэнні
Чалавек, які чытае кнігі нават у добрае надвор'е /Часопіс «Пшекруй»/|інтэлектуал
Калі мы, нарэшце, можам дазволіць сабе мець дзяцей, у нас ужо ... /Часопіс «Пшекруй»/|унукі
Адзіная жывёла, у якое можна забіваць цвікі /Часопіс «Пшекруй»/|конь
Ёсць два тыпу мужчын: адны маладыя, сімпатычныя, з будучыняй; іншыя падумваюць о ... /Часопіс «Пшекруй»/|жаніцьбе
Бываюць паслугі настолькі вялікія, што разлічыцца за іх можна толькі ... /Дзюма-бацька/|няўдзячнасцю
Да 90 гадоў дажываюць толькі прадстаўнікі старэйшага пакалення. У моладзі на гэта бракуе ... /Часопіс «Пшекруй»/|вытрымкі
Пагледзіце на партрэты вядомых філосафаў мінулага. Сапраўды ... стараць! /Часопіс «Пшекруй»/|разважанні
За сем дзён нельга нічога добрага зрабіць. Прыклады: наш свет і штотыднёвыя ... /Часопіс «Пшекруй»/|часопісы
Кіравалі заўсёды сумныя, цікавымі бываюць толькі ... /Часопіс «Пшекруй»/|выключэнні
Я з задавальненнем бы казала па-ангельску, калі б не трэба было вучыць ... /Кретя Патачкувна/|мова
Варта быць лёгкім як птушка, але не як ... /Поль Валеры/|пярынка
Нішто так не павялічвае ... кіроўцы, як якая едзе за ім міліцэйская машына /З кнігі “Будзь Карузо абаранкі”/|кваліфікацыю
Вельмі можа быць, што ... не самая прыемная рэч на святле. Але бо трэба ж кудысьці хадзіць па раніцах /Ян Камычек/|праца
... надае непрыемны густ кавы, калі забудзешся яго туды пакласці|Галлюксовна
Гэта эвалюцыя – хвацкая рэч! Выратавала нас ад ... /Кретя Патачкувна/|заапарка
Калі мама смяецца досціпам таты, значыць, у хаце ... /Часопіс «Пшекруй»/|госці
перен. разг. Сфера дзейнасці, змешчаная ў чыім-або вядзенні|епархія
Па словах Бертрана Рассела, гэта навука «дасягнула такіх поспехаў, што здаровых людзей практычна не засталося»|дыягностыка
Вечная трагедыя навукі: выродлівыя ... забіваюць прыгожыя гіпотэзы. /Томас Гексли/|факты
Пясок, скрежещущий у шасцернях тэорыі /Стэфан Гарчиньский/|факты
Ніколі не прыпісвай чалавечай шкоднасці таго, што можна растлумачыць проста (чым?) ... /Джон Коллинз/|дурасцю
Бываюць паслугі настолькі неацэнныя, што адплаціць за іх можна толькі (чым?) ... /Аляксандр Дзюма-бацька/|няўдзячнасцю
Мільёны нашых суграмадзян не працуюць, але, дзякуй богу, маюць ... /Аўтар невядомы/|працу
Род смерці, а не лад жыцця /Габрыэль Лауб/|гераічнасць
Праўда, на якую не хапіла доказаў /В. Хмурны/|аксіёма
Менавіта так, паводле афарызму Гилберта Честертона, мы завём чалавека, якога можна хваліць не чытаючы|класік
Не жаласны стогн далёкай скрыпкі, а пераможнае рыпанне ложкавых спружын /Седуны Перлмен/|каханне
Ніводны акцёр не перагуляе ў кадры дзіцяці ці ... /Кінематаграфічная аксіёма/|шчанюка
