Вяршыня ў Азіі|Зердкух
Велічыня, якая атрымліваецца ў выніку дзеяння, зваротнага дыферэнцыяванню|інтэграл
Велічыня, якой вымяраюцца іншыя аднастайныя велічыні|адзінка
Венесуэла, адм. ц. штата Баринас (горад у Амерыцы)|Баринас
Венесуэла, штат, адм. ц. – Сьюдад-Балівар|Балівар
Венесуэла, штат, адм. ц. – г. Баринас|Баринас
Венесуэльскі рубель|балівар
Венецыянская шпацырная лодка з прыпаднятымі носам і кармой, якая кіруецца адным вяслом|гандола
Венецыянскае таксі|гандола
Венецыянскі купец, назва маёнтка|Бельмонт
Вянок сімптомаў|сіндром
Венг. акторка|Теречик
Вугорскі хімік-тэхнолаг і дзярж. дзеяч|Полински
Вугоршчына (горад у Еўропе)|Мишкольц
Вендэта ў вачах закона|самасуд
Шлюбуе Цэзара|карона
Якая вянчае частка калоны паміж ствалом і перакрыццем|капітэль
Што вянчае частка калоны, слупа ці пілястры|капітэль
Вецер, які азначае канец лета на возеры Ильмень|шелоник
Ветрагонка, травяністая расліна|анемона
Трухлявая адзежа, лахманы|лахманы
Галінаваны атожылак нейрона, што праводзіць нервовыя імпульсы да яго цела|дендрит
Веча на Русі|збор
Вечарынка з сяброўкамі ў хаце нявесты напярэдадні шлюбы|дзявочнік
Вячорка, калі сумесна секлі капусту для квашання, – старадаўні рускі звычай|капустка
Вячэрняе набажэнства ў праваслаўнай царкве|вячэрня
Вячэрні муж. чорны пінжак з адкрытымі грудзьмі і доўгімі закаўрашамі, пакрытымі шоўкам|смокінг
Вячэрняя мужчынская адзежа|смокінг
Вечна гнаная вадкасць на Русі|самагонка
Вечна-зялёнае дрэва Крыму і Каўказа|камелія
Вечнозел. расліна, хмызняк з ягадамі|багноўка
Вечнозел. іглічнае дрэва сем. таксодиевых|секвоя
Вечназялёнае дрэва ці хмызняк паўднёвых краін з буйнымі духмянымі кветкамі|магнолія
Вечназялёнае дрэва ці хмызняк, таксама ядомы плён яго, вонкава падобны на маленькую сліву|масліна
Вечназялёнае дрэва|гардэнія
Вечназялёнае (дрэвы і хмызнякі)|гардэнія
Вечназялёнае (дрэвы і хмызнякі)|эўкаліпт
Вечназялёнае цытрусавае дрэва сямейства рутовых, са скарынкі пладоў якога здабываюць эфірнае масла, выкарыстоўванае ў парфумерыі|бергамот
Вечназялёны хмызняк з буйнымі кветкамі|алеандр
(дрэвы і хмызнякі) Вечназялёны хмызняк|размарын
Вечны падарожнік|вандроўца
Рэчывы, разнавіднасць ионитов|аніяніты
Рэчыўнае ці маральнае ўздзеянне|уплыў
Рэчыва – экстракт з арганічнай тканіны|выцяжка
Рэчыва з добрым апетытам на прымешкі ў газах і растворах|адсарбент
Рэчыва задзірлівы ўзбуджаны стан і якое паралізуе цэнтральную нервовую сістэму|наркотык
Рэчыва лабараторнага ці фабрычнага выраба|прэпарат
Рэчыва неабходнае для звычайнага абмену рэчываў і жыццядзейнасці арганізма|вітамін
Рэчыва, створанае для карысці і служэлае для забруджвання|хімікат
Рэчыва, што спрыяе адукацыі антыцелаў|антыген
Рэчыва, якое спрыяе ўзнікненню злаякаснай пухліны|онкоген
Рэчыва, што ўтвараецца ў раслінах рэшткамі глюкозы і фруктозы|цукроза
Рэчыва, якое змяшчаецца ў слінных залозах медыцынскіх п'явак і што перашкаджае згортванню крыві|гирудин
Рэчыва, якое перашкаджае згортванню крыві|гепарын
Рэчыва, што паскарае дзеянне каталізатара|актыватар
Рэчыва, якое ўступала ў хімічнае ўзаемадзеянне|рэактыў
Рэчыва, што ўваходзіць у склад касметычных крэмаў|гліцэрына
Рэчыва, уноснае ў глебу для памяншэння яе кіслотнасці (пэўнае)|вапна
Рэчыва, які выклікае стан ап'янення|наркотык
Рэчыва, дадаванае ў квашаніну|жэлацін
Рэчыва, дадаванае ў побытавы газ для надання яму характэрнага паху|адарант
Рэчыва, з якога ў арганізме ўтворыцца неабходны для зроку і інш. вітамін А (рэтынол)|каратын
Рэчыва, якое навукоўцы беспаспяхова шукалі ў тлумачэнне прыроды цеплыні|цепларод
Рэчыва, малекулы якога здольныя рэагаваць паміж сабой ці з малекуламі інш. рэчываў|монамер
Рэчыва, якое падвышае ўстойлівасць матэрыялаў да іянізавальнага выпраменьвання|антирад
Рэчыва, што падвяргаецца ўздзеянню фермента|субстрат
Рэчыва, якое атрымліваецца пры перагонцы нафты|газалін
Рэчыва, што засцерагае драўніну ад узгарання|антыпірэн
Рэчыва, приготовл. для лабараторнага даследавання|прэпарат
Рэчыва, якое надае раслінам зялёны колер|хлорофил
Рэчыва, што ўжываецца для ажыццяўлення хімічнай рэакцыі|рэактыў
Рэчыва, які прымае ўдзел у рэакцыі|рэагент
Рэчыва, дрэнна што праводзіць цяпло|ізалятар
Рэчыва-прэпарат ці прадукт хімічнай прамысловасці|хімікат
Рэчы, з павагай якія захоўваюцца як памяць пра мінулае|рэліквіі
Рэч як з голкі зняты|абноўка
Рэч, свята захоўваемая як памяць пра мінулае|рэліквія
Рэч, што служыць для забаўкі, забавы|цацка
Рэч, якая служыць для дзіцячай забавы|цацка
Рэч, тавар|выраб
Рэч, якую падаюць, перадаюць бязвыплатна, звычайна прымяркоўваючы да якой-небудзь падзеі|падарунак
Рэч, што служыць для гульні|цацка
Рэч, штука|прадмет
У Францыі і некаторых іншых краінах: службовая асоба, якое стаіць на чале дэпартамента, круга|прэфект
У часы былой Брытанскай імперыі: самакіравальная дзяржава, што ўваходзіць у склад гэтай імперыі і якое залежыць ад яе ў сваёй унутранай і вонкавай палітыцы|дамініён
Падчас Стогадовай вайны менавіта гэты горад, захоплены ангельцамі, вызваліла Жана д’Арк|Божанси
Падчас Вялікай французскай рэвалюцыі: чалец радыкальнага палітычнага клуба, рэвалюцыянер|якабінец
Падчас паўстання на Сенацкім пляцы ў артылерыі правительст. войскаў ... ён адсутнічаў|боезапас
Падчас першай сусветнай і грамадзянскай вайны: армейская назва ровара, механічнага воза|самакат
У шматлікіх войсках, пачынальна з 17 ст. – салдат адборнай пяхотнай ці кавалерыйскай часткі|грэнадзёр
У што можна ўзвесці лік, а можна цэлага навукоўца|ступень
У што трансфармаваўся любы намёк Палітбюро ў абкамах і на месцах, улічваючы сверхисполнительность, выгадаваную рэпрэсіямі? (сав.)|указанне
Восславление (у хрысціянскім і юдзейскім набажэнстве)|алілуя
Паўстанне страўніка супраць вострага і спіртнога|гастрыт
Узыходжанне розуму да Бога|малітва
Захапленне, радасны стан|захапленне
Воскоподобное рэчыва, якое атрымліваецца з нафты|парафін
Запаленне слізістай абалонкі глоткі: першение ў горле, боль пры глытанні, кашаль|фарынгіт
Запаленне слізістай абалонкі страўніка|гастрыт
Запаленне слізістай абалонкі носа|катар
Запаленне слізістай абалонкі придаточной паражніны носа|гаймарыт
Запаленне слізістай ротавай паражніны|стаматыт
Запаленне бронх|бранхіт
Запаленне павекаў|блефарыт
Запаленне скуры|дэрматыт
Запаленне мазгавых абалонак|менінгіт
Запаленне печані|гепатыт
Запаленне прамой кішкі|практыт
Запаленне плеўры|плеўрыт
Запаленчае захворванне печані|гепатыт
Успрыманне пахаў|нюх
Успрыманне чалавекам дакранання, ціскі, расцяжэнні|дотык
Выхаванец навучальнай установы ў адносінах да гэтай установы|гадаванец
Выхаванец ваеннай вучэльні|курсант
Выхаванец дваранскай навучальнай установы – ліцэя|ліцэіст
Выхавальнік дзяцей у дваранскіх і буржуазных сем'ях|гувернёр
Запальнік, што змяшчае невялікі які выбухае пры ўдары зарад, які падпальвае асноўны зарад пораху ў гільзе|капсуль
Вост. курыльны прыбор|наргіле
Ўсходняя саладосць з арэхамі|козинаки
Усходняя частка франкскай дзяржавы Меровингов|Австразия
Ўсходне-афрыканскае дрэва з ядомымі пладамі і дужай драўнінай|сикомор
Усходняе прадпрыемства общ. сілкаванні|чайхана
Ўсходні смычковый прылада|кяманча
Ўсходні курыльны прыбор|наргіле
Вострушка-круцёлка ўперлася ў шрубу нагой, страціла шруба супакой|адвёртка
Восьмы месяц фр. респ. календара|флореаль
Восьмы месяц французскага рэспубліканскага календара|флореаль
Васьмікантовік|актаэдр
Вайскавод на Русі|ваявода
Вайскавод, генерал войска (1940), Герай Савецкага Соьза (1978)|Тюленев
Вайскавод, генерал-палкоўнік (1941), Герай Савецкага Звяза (1940)|Кирпонос
Вайскавод, маршал авіяцыі (1955), Герай Савецкага Звяза (1944)|Руденко
Вайскавод, маршал авіяцыі|Агальцов
Вайскавод, маршал бранетанкавых войскаў (1945), двойчы Герай Савецкага Звяза (1944, 1945)|Багданаў
Вайскавод, маршал бранетанкавых войскаў|Рыбалко
Вайскавод|камандзір
Ваенная спецыялізацыя мастака|баталіст
Ваенная прафесія ў некаторых краінах|рэйнджар
Ваенная прафесія|партызан
Ваенная прафесія|пантанёр
Ваенная прафесія|сувязны
Ваенная прафесія|снайпер
Ваенная прафесія|танкіст
Ваенная прафесія|фуражыр
Ваенна-администр. адзінка ў Візантыі|экзархат
Ваенна-крымінальны кодэкс Пятра I|артыкул
Ваенна-феадальнае саслоўе ў Японіі (сяр. стагоддзі – 19 ст.)|самураі
Вайсковец (устар.)|абознік
Вайсковец аднаго з родаў войскаў|ракетчык
