Герай рамана І. Гончарова?|Абломаў
Гидроакустический прыбор для вымярэння глыбіні вод|рэхалот
Гидроакустический прыбор для вызначэння глыбіні мора|рэхалот
Гидроизолятор, дахавы матэрыял|изол
Гидроизоляционная пракладка ў швах збудаванняў, напр., плаціны|шпонка
Гідралакатар|сонар
Гідралакатар (назва ў Вялікабрытаніі да 1948 г.); сонар|асдик
Гидротехнич. збудаванне, полузапруда|буна
Гідратэхнічнае причальное збудаванне|пірс
Гідратэхнічнае збудаванне|дамба
Гідратэхнічнае збудаванне|канал
Гідратэхнічнае збудаванне|фантан
Гідратэхнічнае збудаванне|шлюз
Гималайск. расліна, ім высцілала сваё гняздо птушка Фенікс|нард
Гімалайскі паўдзікі сабака|бюансю
Гімалайская птушка|ірэна
Гімн справядлівасці?|Біблія
Гімн. снарад|конь
Гимнастич. практыкаванні|зарадка
Гімнастычная ці акрабатычная постаць|піраміда
Гімнастычны снарад у выглядзе двух чыгунных шароў, злучаных круглай дзяржальняй|гантэля
Гімнастычны снарад|скакалка
Гімнастычны шнур|скакалка
Гімнастычны элемент|ластаўка
Гімнастка, абсалютная чэмпіёнка Расіі, Алімпійская чэмпіёнка Атланты|Хоркина
Гімнаст у цырку|акрабат
Гімнаст (прозвішча)|Андрыянаў
Гімнастычны ашэстак, спартовы снарад|турнік
Гімнастычная постаць, якую з усіх гумарыстаў здольны выканаць толькі М. Задорнов|шпагат
Гімнастычная постаць, ногі выцягнуты ў розныя бакі па адной прамой перпендыкулярна тулаву|шпагат
Гімнастычны гарнітур|трыко
Гімнастычны снарад; ашэстак, падвешаная на двух трасах ці вяроўках?|трапецыя
Гімнастычны снарад|брусы
Гімнастычны снарад|казёл
Гімнастычны снарад|кольцы
Гімнастычнае практыкаванне – кручэнне цела вакол ашэстка|сонца
Гімнастычнае практыкаванне на ашэстку|сонца
Гіпсавая павязка, якая накладаецца пры пераломах|лонгетт
Гипотетическ. часціца, якая валодае адным магнітным канцавоссем|монополь
Гіпатэтычная часціца гравітацыйнага поля|гравітон
Гіперкомплексны лік|альтернион
Гіпертрафаваны апетыт|голад
Гіпноз у старажытных грэкаў|сон
Гіпатэтычная планета Сонечнай сістэмы|Фаэтон
Гіпатэтычнае асяроддзе распаўсюду святла і радыёхваль|эфір
Гіпатэтычная найтонкая вадкасць, якой перш тлумачылі з'явы цяпла, магнетызму, электрычнасці?|флюід
Гіпатэтычная фундаментальная часціца, з якіх складаюцца ўсе адроны|кварк
Гіпатэтычная часціца, заўсёды рухомая хутчэй святла, час для яе ідзе ў зваротным кірунку|тахіён
Гіпатэтычныя часціцы з дробавым электрычным зарадам|кваркі
Гіпатэтычны касмічны аб'ект, зарыфмаваны Андрэем Узнясенскім|антысвет
Гіпатэтычны касмічны аб'ект, які складаецца з антырэчыва|антысвет
Гіпатэтычная выспа (па старажытнагрэцкім адданні)|Атлантыда
Гиппарх Нікейскі (2 у да н. э.) падзяліў мерыдыян ад экватара да канцавосся на 90 гр. і такім чынам падзяліў паверхню Землі паралельнымі акружнасцямі. Як зваліся гэтыя акружнасці?|кліматамі
Гіпсавая павязка|лонгет
Гіпсавыя ці бетонныя рэльефныя ўпрыгожванні фасадаў і інтэр'ераў|лепка
Гіраскапічны прыбор|авіягарызонт
Гітарыст групы “Рink Flоуd”|Гилмор
Гітарны капот|дэка
Гітлер|фюрар
Гітлераўская Нямеччына|рэйх
Галоўны лекар маскоўскіх турмаў, пакінуў пра сябе добрую памяць|Гааз
Галоўны герой рамана Д. Нагишкина “Сэрца Бонивура”|Бонивур
Галоўны горад і порт Сяўба. Ірландыі|Белфаст
Галоўны герой паэмы Гамера “Іліяда”|Ахілес
Галоўная пазямельная мера ў Вялікім княстве Літоўскам|валока
Галоўнае памяшканне з верхнім святлом у антычнай рымскай жылой хаце|атрыум
Галоўны рэжысёр Маскоўскага тэатра сатыры|Плучек
Гл. патрабаванне да выхавання малады. пакаленні ў спартанцаў|строгасць
Гл. страва чыста ангельскай вячэры|смажаніна
Гл. кніга кабалы, містычнай плыні юдаізму|зогар
Частка сям'і ці старэйшы з дзяцей (устар.)|гасцінец
Частка спартовай каманды|капітан
Частка акругі ці інш. адм.-тэрытарыяльнай адзінкі|прэфект
Частка роду ў першабытным грамадстве|патрыярх
Частка каталіц. рыцарскага ордэна ў сярэднія вякі|магістр
Частка мясцовага самакіравання ў Нямеччыне|ландрат
Частка церк.-адм. тэрытарыяльнай адзінкі|біскуп
Галаўкам Ю.-З. фронта ў 1916 г., ажыццявіў знакаміты. прарыў|Брусилов
Галоўная небяспека для вадалазаў пры ўздыме на паверхню|эмбалія
Галоўная гара Пяцігорска|Бештау
Галоўны пляц Масквы, якая склалася ў ХV ст. пасля грандыёзнага пажару 1493 г.|Чырвоны
Галоўны пляц у Азіі|Регистан
Галоўная ўстанова горада, якое займаецца перасыланнем паведамленняў і лёгкіх грузаў|паштамт
Галоўны дзейсны твар бою быкоў (карыды), той, хто павінен закалоць быка|тарэадор
Галоўная добрая якасць брытвы|вастрыня
Галоўны будынак амерыканскіх вайскоўцаў зблізку Вашынгтона|Пентагон
Галоўнае з грамадскіх набажэнстваў|літургія
Галоўнакамандуючы рускім войскам у вайне 1812 г.|Кутузаў
Галоўнакамандуючы|галаўкам
Галоўныя гадзіны Расіі|куранты
Галоўны аўстралійскі скакун|кенгуру
Галоўны рэжысёр Маскоўскага тэатра Лянком|Захараў
Галоўны брэменскі музыка|трубадур
Галоўны вестыбюль вакзала|конкорс
Галоўны горад Паўночнай Ірландыі|Белфаст
Галоўны горад Уэльса ў Вялікабрытаніі|Кардифф
Галоўны горад паўвострава Таймыр|Дудзінка
Галоўны горад штата Мэрыленд у ЗША|Аннаполис
Галоўны горад-порт о. Сіцылія|Палермо
Галоўны маршал артылерыі (1959), Герай Савецкага Звяза (1945)|Неделин
Галоўны персанаж рускага лялечнага тэатра|пятрушка
Галоўны порт на Мадагаскары|Таматаве
Галоўнай свецкай падзеяй лютага 1740 гады стала вяселле князя М. Галіцына – Квасніка з калмычкай А. Бужениновой. З чаго быў зроблены хата, у якім праходзіла гэта вяселле?|лёд
Гладыятарскі бой, які імітуе марская бітва|навмахия
Гладыёлус|шпажнік
