Гангстарская затычка|кляп
Дзе размешчана рэзідэнцыя Ўсявышняга|нябёсы
Дзе размясцілася кіраванне алмазнай кампаніі “Дэ Бирс”?|Кимберли
Дзе твая ўсмешка, поўная запалу і агню – той, да каго звернутыя гэтыя словы|мішка
Дзе гандлююць акцыямі|біржа
Дзе, па меркаванні дызайнера па прычосках Відала Сассуна, знаходзіцца тое адзінае месца, у якім прыбытак папярэднічае працы? “у ...”|слоўніка
Дзе, па меркаванні літаратараў ХVII–ХVIII стст., а менавіта, а якой вобласці Пелопонесса, працякала шчаслівае, ідылічнае жыццё? “у ...”|Аркадзі
Гегель казаў, што яго філасофію нельга выказаць ні коратка, ні даступна, ні па... Скончыце думку Гегеля|па-французску
Геена|пекла
Гема з выпуклым малюнкам|камея
Ген перадачы ведаў|слова
Ген. пракурор, частка мін-у юстыцыі ў ЗША|атарнэй
Ген. секр. ЦК КП Вугоршчыны|Ракоши
Генарал-маёр, двойчы Герай Савецкага Звяза, аўтар кнігі “Ад Путивля да Карпат”|Ковпак
Генерал – герой Булдакова, як майстар тостаў у кампаніі|тамада
Генерал – фельдмаршал елізавецінскіх часоў, які згадваецца ў “Капітанскай дачцы” А. Пушкіна|Миних
Генерал войска (1941), Герай Савецкага Звяза (1937); Рэпрэсаваны; рэабілітаваны пасмяротна|Паўлаў
Генерал войска (1944), Герай Савецкага Звяза (1945)|Пятроў
Генерал войска (1962), двойчы Герай Савецкага Звяза (1944, 1945)|Плиев
Генерал войска (1980), Герай Савецкага Звяза (1983)|Зайцаў
Генерал у Турцыі|аручы
Генерал лейтэнант царскага войска, галоўнакамандуючы “Ўзброенымі сіламі Поўдня Расіі”, адзін з арганізатараў Добраахвотніцкага войска?|Дзянікін
Генерал, герой Айчыннай вайны 1812 г.|Тучков
Генерал, герой абароны Севастопаля 1854 г.|Хрулев
Генерал, які заснаваў у 1836 г. горад Адэлаіда|Лайт
Генерал-лейтэнант, герой Айчыннай вайны 1812 гады Іван Сямёнавіч Дорохов па месцы нараджэння|туляк
Генерал-маёр (1943), двойчы Герай Савецкага Звяза (1943)|Фесин
Генерал-палкоўнік (1940), Герай Савецкага Звяза (1939). У 1937–38 галоўны ваенны дараднік пры рэспубліканскім урадзе ў Іспаніі. У 1938–41 камандуючы 1-й Далёкаўсходнім войскам і Далёкаўсходнім фронтам, у 1941 начальнік Кіраванні ППА|Штерн
Генерал-палкоўнік (1943), Герай Савецкага Звяза (1945)|Гордов
Генерал-палкоўнік (1989), Герай Савецкага Звяза (1989)|Грамоў
Генерал-палкоўнік авіяцыі (1944), Герай Савецкага Звяза (1934). У 1934 – сусветны рэкорд далёкасці палёту (св. 12 тыс. км), у 1937 – беспасадкавы пералёт Масква – Паўночнае канцавоссе – ЗША з А. Б. Юмашевым і С. А. Данилиным|Грамоў
Генерал-палкоўнік авіяцыі (1944), двойчы Герай Савецкага Звяза (1939, 1945)|Хрюкин
Генерал-палкоўнік танкавых войскаў (1944), Герай Савецкага Звяза (1943)|Радзім
Генерал-фельдмаршал, герой вайны 1877–1878 гг.|Гурко
Генеральны сакратар Рады цэркваў ПАР. Нобелеўская прэмія свету (1984)|Туту
Генеральны сакратар зладзейскага камітэта|араны
Генеральны фундатар урада|народ
Генеральская зімовая шапка|кучомка
Генеральскі занятак|вайна
Генератар гуку ў гармоніку|язычок
Генератар з самаўзбуджэннем|аўтагенератар
Генетыка чалавека|антрапагенэтыка
Генетич. тэрмін|андрогенез
Генетычная канстытуцыя арганізма?|генатып
Генетычная змена, якое складаецца ў кратным павелічэнні ліку набораў храмасом|автополиплоидия
Геніяльнае вынаходства караля Гамбринуса|піва
Геніяльны старажытнарускі жывапісец па імі Андрэй|Рублев
Геніяльны немец, што аказаў моцны ўплыў на Мікалая Гумілёва|Ніцшэ
Генры – скульптар, Джордж – філосаф, Томас – паэт, Дэми і Роберт – кінаакцёры|Мур
Генры Бичер заўважыў, што ісці па жыцці без гэтага пачуцця – усё адно, што ехаць у возе без рысор. Што гэта за пачуццё?|пачуццё гумару
Генры Форд пачаў з чысткі чаравік і стаў мільярдарам. А хто пачаў з сабачага нашыйніка і гадзіннікавага шкла і стаў губернатарам? (імя+прозвішча)|Сайрес Сміт
Генрых IV сказаў, што Парыж яе варта|імша
Генуэзскі прэзідэнт|дож
Географ, вандроўца, які адкрыў адзін з мацерыкоў|Калумб
Географич. аб'ект|горы
Геаграфічная каардыната|шырата
Геаграфічная, прыродная зона|стэп
Геаграфічны пояс|антарктыка
Геаграфічны пояс|арктыка
Геаграфічны статут Сахаліна|выспа
Геаграфічны статут Сіцыліі?|выспа
Геодезич. прылада|экер
Геадэзічны знак у кропцы з вядомай вышынёй і каардынатамі|рэпер
Геадэзічная партатыўная прылада|экер
Геадэзічны эскіз|абрыс
Геол. структура на Зямлі на месцы падзення крупн. метэарыта|астроблема
Геологич. эпоха|неаліт
Геологич. з'ява|горст
Геалагічная структура, якая ўтварылася на паверхні Землі ад падзення масіўнага метэарыта ці астэроіда|астроблема
Геалагічная эпоха, што ідзе ўслед за олигоценом|міяцэн
Геалагічная эпоха|эра
Геалагічны перыяд|неаген
Геалагічны тэрмін|эон
Геалагічная адукацыя, з якога перыядычна выкідваюцца вантробы Землі|вулкан
Геалагічная адукацыя, чыннік землятрусаў|разлом
Геалагічная адукацыя?|вулкан
Геалагічнае цела, якое ўтварылася ў выніку запаўнення расколіны горнай пародай, а таксама сама горная парода ў гэтай расколіне|жыла
Геом. цела; пасудзіна для перагонкі і кіпячэнні вадкасцяў|куб
Геом. цела|куб
Геометрич. постаць|зорка
Геаметрычная крывая?|эліпс
Геаметрычная крывая|астроіда
Геаметрычная фігура, адзінае выратаванне для тапельцаў|круг
Геаметрычная фігура, утвораная двума прамянямі|кут
Геаметрычная фігура, акружнасць, ад лат. “яйка”|авал
Геаметрычная фігура|дуга
Геаметрычная фігура|куб
Геаметрычная фігура|прызма
Геаметрычная фігура|ромб
Геаметрычная фігура|сектар
Геаметрычная фігура|сфера
Геаметрычная фігура|эліпс
Геаметрычны элемент акружнасці, які дае магчымасць у два разу паменшыць характарыстыку забруджанай тэрыторыі|радыус
Геаметрычнае месца кропак на плоскасці, роўнападаленых ад зададзенай?|акружнасць
Геаметрычнае паняцце, якое здымаецца за адсутнасцю даху|кут
Геаметрычнае цела, што мадэлюе Зямлю|геоид
Геаметрычнае цела?|шар
Геаметрычнае цела?|куб
Геаметрычнае цела?|конус
Геаметрычнае цела|прызма
Геапалітычная вадкасць|нафта
Георгій па-французску|Жорж
Гер. произв. Брехта; раман Френсиса|кураж
Гер. произв. Брехта|Кураж
Гер. эпас цюркамоўных народаў СССР|едыгей
Гера – мужа Зеўса – даводзілася яму сястрой. Як завуцца такія незвычайныя шлюбы?|инцест
Геракл у вачах старажытных грэкаў|герой
Геракл параніў Керинейскую ... стралой|лань
Геральдычная жывёла гарады Венецыі і былой Венецыянскай рэспублікі|леў
Геращенко?|банкір
Гербіцыд, службовец для знішчэння пустазелляў сямейства мятликовых|тарга
Гербіцыд|атразин
Гербавая птушка ў Расіі|арол
Геркулес, міфічны герой?|Геракл
Гермаў. плямёны, якія пасяліліся ў Брытаніі|саксы
Гермаў. племя|алеманны
Ў Нямеччыне яны зваліся мінезінгеры, у Францыі – труверы, а як яны зваліся ў Правансе?|трубадуры
Нямеччына (горад у Еўропе)?|Берлін
Нямеччына (горад у Еўропе)|Гале
Нямеччына (горад у Еўропе)|Дессау
Нямеччына (горад у Еўропе)|Котбус
Нямеччына (горад у Еўропе)|Хемниц
Нямеччына (горад у Еўропе)|Шверин
Нямеччына (горад у Еўропе)|Эрфурт
Нямеччына, гл. горад Ганзы|Любек
Нямеччына, землі|Гессен
Нямеччына, зямля Сяўба. Рэйн-Вестфалія (горад у Еўропе)|Ахен
Нямеччына, зямля Цюрынгія, у вярхоўях р. Гера (горад у Еўропе)|Арнштадт
Нямеччына, гістарычная вобласць|Саар
Нямеччына, гістарычная вобласць|Швабия
Нямеччына, гістарычная вобласць|Юлих
Нямеччына, на р. Дунай (горад у Еўропе)|Ульм
Нямеччына, на р. Нейсе (горад у Еўропе)|Циттау
Нямеччына, порт (горад у Еўропе)|Брэмен
Нямеччына, порт (горад у Еўропе)|Висмар
Нямеччына, порт (горад у Еўропе)|Кіль
Нямеччына, порт (горад у Еўропе)|Любек
Нямеччына. Размешчана пры ўпадзенні р. Шпре ў р. Хафель, на суднаходных каналах, якія злучаюць Берлін з рр. Эльба і Одар (сталіца, цэнтр)|Берлін
Германск. штучн. спадарожнік|ацур
Германская імперыя|рэйх
Германская фірма, якая вырабляе спартовыя тавары|адидас
Германскія відэакасеты|агфа
Германскі Кузбас|Рур
Германскі аўтамабіль?|аўдзі
