Вулкан на о. Хансю|Ивате
Вываз тавараў ці капіталаў за мяжу|экспарт
Кодла жывёл|гняздо
Кодла качкі|качаняты
Высновы, заключны вынік сказанага|рэзюмэ
Вываз – экспарт, увоз – ...?|імпарт
Вываз бруду|асенізацыя
Вывазка выкапняў на паверхню|выкочванне
Лупцоўка (разг.)|лупцоўка
Вымова (разг.)|праборка
Вымова, навучанне|натацыя
Выган|паша
Выгін, прагін у які валодае пругкасцю прадмеце|напружина
Выгада, барыш|навар
Выгада, карысць|авантаж
Выгада, карысць|карысць
Выгада, прыбытак|барыш
Выгоднае знаёмства|блат
Выгоднае перасоўванне войскаў|манеўр
Выгаралае месца ў лесе|гар
Выдушванне малюнкаў, узораў|цісненне
Выдача дзяржавай пазык, субсідый з мэтай прадухілення банкруцтваў прадпрыемстваў|санацыя
Выдача за сваё чужога твора, вынаходствы (ці яго частак)|плагіят
Выдача чужога твора за сваё|плагіят
Выбітная савецкая тэатральная акторка|Ермолова
Выбітная расійская спартоўка-лыжніца|Егорова
Выбітная руская балярына|Паўлава
Выбітнай рускі савецкі спявак (лірычны тэнар), народны артыст Рэспублікі|Собинов
Выбітны аўстрыйскі скрыпач і кампазітар|Крейслер
Выбітны амерыканскі селекцыянер-раслінавод|Бербанк
Выбітны савецкі селекцыянер, навуковец-біёлаг|Мічурын
Выбітны савецкі хакейны брамнік|Трацяк
Выбітны расійскі хакейны брамнік|Трацяк
Выбітны рускі савецкі навуковец-неўролаг, заснавальнік навуковай школы|Бехтерев
Выбітны рускі лекар-хірург і анатам|Пірагоў
Выбітны рускі мікрабіёлаг і эпідэміёлаг|Гамалея
Выбітны рускі спявак|Шаляпин
Выбітны дзеяч на якой-небудзь ніве|карыфей
Выбітны, агульнапрызнаны дзеяч навукі, мастацтвы|класік
Вытрымліванне спіртных напояў у дубовай тары|старэнне
Вытрымка з літаратурнага твора|урывак
Выштукаваная скурка маладога барана|двухвушнік
Вылучэнне склада ці словы сілай голасу ці падвышэннем тону, а таксама значок, што паказвае такое вылучэнне|націск
Вылучэнне склада, словы сілай голасу|націск
Вылучэнне адзінкі гаворкі з дапамогай фанетычных сродкаў|націск
Вылучэнне раслінамі кропель вады праз вадзяныя вусцейкі|гуттация
Вылучэнне кропель вады лісцем раслін|гуттация
Вылучаная Іванам Грозным у кіраванне баярам частка дзяржавы, галоўным чынам на ўскраінах|земшчына
Выраб, вытворчасць|выраб
Выдумка, выдумка, перабольшаны аповяд|легенда
Выдумка, зман, разлічаныя на запалохванне|блеф
Выдумка|здагадка
Выдумка|небыліца
