Германскі бог|Водан
Герай ветхозаветн. адданняў, меў огромн. физич. сілу|Самсон
Герай вайны 1812 г., партызан (1787–1813)|Фигнер
Герай вайны 1812 г.|Анкудинов
Герай вайны 1812 г.|Кожина
Герай вайны 1812 г.|Курин
Герай вайны 1812 г.|Платов
Герай вайны 1812 г.|Стулов
Герай вайны 1812 г.|Тучков
Герай вайны 1812 г.|Уваров
Герай нямеччына-скандынаўскага эпасу, гістарычны Атыла|Атли
Герай нямеччына-скандынаўскага эпасу, гістарычны Атыла|Этцель
Герай гр. войны|Шчорс
Герай гражд. войны; фільм Довженко|Шчорс
Герай грамадзянскай вайны, прататып героя рамана А. Серафімавіча “Жалезны струмень”|Ковтюх
Герай грамадзянскай вайны, рэпрэсаваны ў 1937 году|Якир
Герай грамадзянскай вайны|Шчорс
Герай греч. міфалогіі; трагедыя Вальтэра; п'еса А. Жыда|Эдип
Герай греч. міфалогіі|Аякс
Герай греч. міфалогіі|Эгей
Герай греч. міфалогіі|Эдип
Герай греч. міфалогіі|Ясон
Герай дыснэеўскіх мультыкаў пра сабаку|Шэльма
Герай інш.-греч. міфалогіі, сын Пасейдона і Геі|Антэй
Герай інш.-інд. эпасу “Махабхарата”|Бхима
Герай інш.-інд. эпасу “Махабхарата”|Дрона
Герай драмы М. Лермантава “Маскарад”|Арбенин
Герай старажытна-індыйскага эпасу “Махабхарата”|Арджуна
Герай старажытнагрэцкай міфалогіі|Пярсей
Герай старажытнагрэцкай міфалогіі|Сізіф
Герай з казак “Тысяча і адной ночы”|Аладдин
Герай вядомай усяму свету рускай народнай казкі|Ямеля
Герай інд. эпасу “Махабхарата”, сын Вьясы і Амбалики|Панду
Герай иранск. эпасу, сын Рустама|Сухраб
Герай іранскага эпасу|Туса
Герай италийских паданняў, сын Гермеса і німфы Никостраты|Эвандр
Герай кельцкага эпасу|Оссиан
Герай кельцкага, а пасля еўрапейскага эпасу, які апавядаў пра рыцараў Круглага стала|Артур
Герай кніг Конан Дойла|Ватсон
Герай кнігі А. Милна пра Віні-Пуху, прататыпам якога быў сын пісьменніка|Робін
Герай кнігі Б. Рябинина “Мае сябры”|Джери
Герай кнігі швед. пісьменніцы С. Лагерлеф|Нильс
Герай камедыі Лопе дэ Вега “Настаўнік танцаў”|Альдемаро
Герай камедыі Мольера “Мяшчанін у дваранстве”|Журден
Герай лакскага эпасу, які паўтарыў подзвіг Праметэя|Амир
Герай міфа Старажытнай Грэцыі, знак непасільнай і безвыніковай працы|Сізіф
Герай шматлікіх дэтэктыўных раманаў Агаты Крысці?|Пуаро
Герай шматлікіх рускіх песень і рамансаў|фурман
Герай мультыка “Чып і Дэйл спяшаюцца на дапамогу”|Вжик
Герай нартского эпасу адыгов|Дзахуш
Герай нямецкіх легенд і твораў сусветнай літаратуры і мастацтвы, знак імкнення чалавека да спазнання свету|Фаўст
Герай абароны Севастопаля 1854 г.|Жерве
Герай абароны Севастопаля|Вавёрчын
Герай абароны Севастопаля|Заіка
Герай агульнагерманскага эпасу|Сигурд
Герай адэскіх аповядаў Язэпа Бабеля|Беня
Герай аднайменнага баявіка, згуляны С. Сталлоне|Рэмба
Герай аднайменнай наўгародскай быліны, гусляр і спявак?|Садко
Герай аперэты “Прынцэса цырка” Имре Кальмана|Эдвин
Герай аперэты І. Кальмана “Сільва”|Эдвин
Герай оперы А. Холминова “Аптымістычная трагедыя”|Аляксей
Герай оперы Д. Россини “Севільскі цырульнік”|Фігаро
Герай оперы М. І. Глінкі|Руслан
Герай оперы С. Прокофьева|Котко
Герай оперы, партыю якога выконвае жанчына|Орфей
Герай вызваленчай вайны ўкраінскага народа, паплечнік Б. Хмяльніцкага|Богун
Герай песні А. Пугачовай, які “зрабіць жадаў навальніцу, а атрымаў казу”|чараўнік
Герай апавядання пра сусветны патоп|Ной
Герай аповесці А. Гайдара “Ваенная таямніца”|Алька
Герай аповесці А. Герцэна|Крупаў
Герай аповесці А. Грина “Пунсовыя ветразі”|Грэй
Герай аповесці-прыпавесці Э. Хэмінгуэя|стары
Герай позняй карэйскай міфалогіі|Кунъе
Герай папулярнага мультфільма|Фунцік
Герай апошняга чэмпіянату свету?|Зидан
Герай паэмы А. Пушкіна|Руслан
Герай паэмы А. Твардоўскага|Теркин
Герай паэмы Э. Багрицкого|Опанас
Герай твораў А. Дзюма|Атос
Герай твораў А. Конан Дойля|Холмс
Герай твораў В. Липатова, якога на экране “матэрыялізаваў” Мих. Жаров|Анискин
Герай твора Г. Сянкевіча “Крыжакі”|Юранд
Герай твора Ж. Дакладная|Нямое
Герай п'есы Мольера “Мяшчанін у дваранстве”|Журден
Герай п'есы С. Алешина “Ўсё застаецца людзям”|Дронов
Герай п'есы У. Шэкспіра “Веницианский купец”|Шейлок
Герай аповяду “Мексіканец” Джэка Лондану|Ривера
Герай аповяду А. Талстога “Рускі характар”|Дремов
Герай аповяду А. Н. Талстога “Рускі характар”|Дремов
Герай рамана А. Серафімавіча “Жалезны струмень”|кажух
Герай рамана Джэка Лондану|Иден
Герай рамана Ж. Дакладная, капітан|Грант
