Порт у Анголе|Лобиту
Партовае збудаванне для рамонту судна|майстроў
Партовае збудаванне|маўляў
Партовы працоўны|докер
Партрэт якога навукоўца быў намаляваны на банкноце 5 тыс. французскіх франкаў у 1976 году?|Парацельс
Партрэтыст, графік, аўтар карціны “Партрэт Е. С. Корзинкиной”|Сяроў
Португ. мараплавец 15 ст.|Алмейда
Португ. мараплавец, адкрыў Бразілію|Кабрал
Португ. мараплавец|Диаш
Партугалія, порт (горад у Еўропе)|Фару
Партугальская грашовая адзінка|эскуда
Партугальская залатая манета, чаканілася з 15 ст.|эскуда
Партугальская асада, слывущая самай густанаселенай тэрыторыяй у свеце|Макао
Партугальская каманда гуляючая на стадыёне “эстадио ды луш”|Бенфика
Партугальская манета ў 20 рэалаў, якая чаканілася ў 15–19 стст.|винтем
Партугальскі пісьменнік, аўтар рамана “Агонь у цёмнай ночы”|Намора
Партфель-дыпламат|кейс
Анучы да лапцяў|анучы
Анучы пад лапці|анучы
Анучы, кавалак тканіны для заворачивания ногі ў лапцях ці ботах (устар.)|анучы
Поруб на Русі|турма
Даручэнне біржавому пасродніку|загад
Даручэнне на выраб|замова
Даручэнне, зварот, якое змяшчае пералік патрабаванняў і пажаданняў|наказ
Даручальніцтва па вэксалі|аваль
Парцыённая талерка свінні|карыта
Порцыя грома|грымота
Порцыя аплявухі|адвес
Порцыя ежы на вызначаны тэрмін|рацыён
Порцыя|доза
Поршневы рухавік унутранага згарання|дызель
Парыў марскога ветра?|шквал
Парыў, запал|запал
Пакрыццё для даху|шыфер
Парадкавы лік прадмета?|нумар
Парадкавы ... хімічнага элемента ў табліцы Мендзялеева роўны ліку пратонаў у атамным ядры|нумар
Парадак дзеянняў|спосаб
Парадак падпісання тэксту міжнароднай дамовы яго ўдзельнікамі|альтернат
Парадак размяшчэння ці рухі – па адным чарадой|гусек
Парадак выканання абрадаў|рытуал
Парадак, абрад|чын
Парадак, вызначанае размяшчэнне вайсковых адзінак|лад
Мястэчка гарадскога тыпу ў Іванаўскай вобласці, цэнтр миниат. лакавага жывапісу|Халуй
Пасадка ў мерзлаце|алас
Пасадка насення ў глебу; час пасева, сеянні|сяўба
Пасадка насення ў глебу|сяўба
Пасадкі з восені|азіміна
Прысвячэнне ў манахі на Русі|схіма
Прысвечаны ў таямніцы якога-небудзь вучэння, секты|адэпт
Пасяўная кампанія наадварот|вага
Пасевы кавуноў|бахча
Пасівелае слова?|архаізм
Сельскае селішча на Філіпінах|баррио
Селішча ў татараў|авыл
Селішча, двор на зямельным участку, занятым кім-або ўдалечыні ад засвоеных тэрыторый?|засценак
Мястэчка Казахстана|Атасу
Мястэчка Юрмалы|Майори
Мястэчка ў Іванаўскай вобласці, дзе знаходзяцца майстэрні па размалёўцы лакавых вырабаў|Палех
Мястэчка ў Іркуцкай вобл.|Аян
Самы вялікі гарачы фантан у Ісландыі, які даў імя ўсім вадзяным вулканам, назва ж яго ў сваю чаргу адбываецца ад исл. “лінуць”|Гейзер
Мястэчка ў Курскай вобл. (музей Курскай бітвы)|Поныри
Мястэчка ў Курскай вобласці, дзе знаходзіцца гісторыка-мемарыяльны музей Курскай бітвы 1943 гады|Поныри
Мястэчка ў Прионежском раёне|Пай
Мястэчка ў Хакасіі|Майна
Мястэчка гарадскога тыпу ў Арменіі (горад)|Ахтала
Мястэчка гарадскога тыпу ў Арменіі, на р. Раздадзены (горад)|Арзни
Мястэчка гарадскога тыпу ў Башкірыі|Аксаково
Мястэчка гарадскога тыпу ў Казахстане ў Карагандинской вобласці|Актас
Мястэчка гарадскога тыпу ў Казахстане, Алма-Атинская вобл. (горад)|Алатау
Мястэчка гарадскога тыпу ў Казахстане, Джезказганская вобл. (горад)|Атасу
Мястэчка гарадскога тыпу ў Туркменіі, Балканская вобл., порт на Каспійскім м. (горад)|Бекдаш
Мястэчка гарадскога тыпу ў Якутыі (горад)|Айхал
Мястэчка гарадскога тыпу, Горны Алтай (горад)|Акташ
Мястэчка гарадскога тыпу, Ненецкі авт. окр. (горад)|Амдерма
Мястэчка гарадскога тыпу, цэнтр Агінскага Бурацкай Аўтаномнай акругі (горад)|Агинское
Мястэчка качавога тыпу ў кіргізаў і алтайцаў|аіл
Мястэчка на ўсходнім беразе Онежского азёры|Пяльма
Мястэчка на о. Мальта|Слима
Мястэчка са знакамітым музеем Курскай бітвы|Поныри
Мястэчка ў старажытных германцаў|абшчына
Мястэчка, які ўваходзіць у залатое кольца Расіі|Палех
Мястэчка-курорт у Грузіі|Абастумани
Наведванне хворага лекарам|візіт
Наведванне рэкецірамі гандлёвай кропкі|наезд
Наведванне, прыезд|наезд
Ссінелы сіняк на целе|сіняк
Пасланец у вінную краму і зваротна|ганец
Пасланец у вінную краму паводле прымаўкі|ганец
Пасланец|кур'ер
Пасланне, ліст без подпісу|ананімка
Пасланне, распараджэнне таты Рымскага|була
Пасля 1913 г. першае месца ў свеце па здабычы золата займае ПАР. Якая краіна займала першае месца па гэтым паказчыку перад тым?|ПАР
Пасля доўгага расстання Онегин сустрэў Таццяну на балі. Які галаўны ўбор быў на ёй у гэты момант|берэт
Пасля яго адкрыцця ў 1930 году было прапанавана шмат імёнаў для яго: Крок, Атлас, Космас, Афіна, Геркулес, Гера, Минерва, Ловелл і нават Зеўс. Якое імя замацавалася за ім канчаткова?|Плутон
Пасля яго паходаў Расія павялічылася на цэлую Сібір|Ярмак
Пасля жніва і малацьбы старажытныя егіпцяне, перад тым як засынаць пшаніцу на захоўванне ў свіраны, вызначалі яе колькасць. У вобласці якога зодиакального сузор'і ў гэтыя дні знаходзілася Сонца?|Шалі
Пасля вынаходства кінематографа было шмат прапаноў з нагоды з'яўленні новай, дзясятай музы – музы кіно. А якую дзясятую музу прапанавалі ўвесці ў ХVIII павеку?|крытыка
Пасля лодкі і да парахода|катэр
Пасля міні і міді|макси
Пасля шматлікіх скандалаў, сын заявіў бацьку, што не жадае быць падобным на яго таму, што жадае жыць звычайным жыццём. А як жа клічуць ненармальнага татачку свавольнага сынка|прынц Чарльз
Пасля ночы|раніца
Пасля аб'яднання Нямеччыны памежнікам, якія служылі на мяжы ГДР і ФРГ, прыйшлося шукаць новую працу, але ўсё адно 6000 засталося без працы. Хто яны?|сабакі
Пасля першай перагонкі гэта аркэ, пасля другой – арзэ, пасля трэцяй – харзо. А што гэта да перагонкі?|кумыс
Пасля рака|леў
