Палярная лісіца|пясец
Памяшканне для лекцый і канцэртаў на курорце|курзала
Памяшканне для пакарання адзінкавым зняволеннем, часта з невыноснымі ўмовамі|карцар
Памяшканне для народнага суда, казнохранилище франкскіх каралёў, палата дэпутатаў, падземная выпрацоўка, апарат для вытворчасці сернай кіслаты – назавіце гэта адным словам|камера
Памяшканне для чакання, адпачынку ў гасцініцы?|хол
Памяшканне для аркестра ў тэатры|яма
Памяшканне для адпачынку|фае
Памяшканне для пасажыраў у аўтобусе, тралейбусе|салон
Памяшканне для нябожчыкаў пры лякарні|морг
Памяшканне для публікі, публічных збораў, для заняткаў чым-небудзь|зала
Памяшканне для працы з партнёрамі|офіс
Памяшканне для скаціны|хлеў
Памяшканне для ўтрымання хатніх жывёл|хлеў
Памяшканне для ўтрымання і гадоўлі жывёл|саджанняў
Памяшканне для ўтрымання авечак|кошара
Памяшканне для ўтрымання пад арыштам вайскоўцаў, у прастамоўі|губа
Памяшканне для ўтрымання сабак, звычайна паляўнічых|сабакарня
Памяшканне для стаянкі і абслугоўвання аўтамабіляў|гараж
Памяшканне для стаянкі і бягучага рамонту самалётаў|ангар
Памяшканне для стаянкі, тэхнічнага абслугоўвання і рамонту аўтамабіляў|гараж
Памяшканне для стаянкі, захоўванні дырыжабляў і аэрастатаў|элінг
Памяшканне для стральбы; городошная постаць|цір
Памяшканне для стральбы|цір
Памяшканне для сушкі снапоў перад малацьбой (устар.)|восець
Памяшканне для сушкі снапоў?|восець
Памяшканне для гандлю збожжам, пакутай, а таксама для захоўвання збожжа, пакуты|лабаз
Памяшканне для захоўвання і рамонту самалётаў|ангар
Памяшканне для захоўвання сельскагаспадарчага інвентара|адрына
Памяшканне для чытання лекцый, дакладаў|аўдыторыя
Памяшканне і вадаём для ўтрымання і гадоўлі жывёл|саджанняў
Памяшканне ці вадаём для ўтрымання і гадоўлі жывёл|саджанняў
Памяшканне касмічнага карабля|адсек
Памяшканне паміж двума дзвярамі|тамбур
Памяшканне паміж жылой часткай хаты і ганкам у драўляных хатах|сенцы
Памяшканне паміж вонкавымі і ўнутранымі дзвярамі|тамбур
Памяшканне на АТС ці тэлеграфе, у якім знаходзяцца ўводы ўсіх кабеляў і ліній сувязі|крос
Памяшканне на караблі|рубка
Памяшканне на караблі|трум
Памяшканне на курорце для канцэртаў, збораў|курзала
Памяшканне на папяровай фабрыцы|рольня
Памяшканне на судне для падрыхтоўкі ежы|камбуз
Памяшканне ніжэй узроўня зямлі для захоўвання харчоў|склеп
Памяшканне перад галоўнай залай|аванзала
Памяшканне пад падстрэшкам на сялян. двары для захоўвання прылад|павець
Памяшканне са сценкамі з дубцоў|клетка
Памяшканне ў дзвярэй глядзельнай залы ў тэатры, кіно і т. п. для якія чакаюць ці што шпацыруюць у антракце гледачоў|фае
Памяшканне, у якім рускія сялянкі апрацоўвалі лён|мялица
Памяшканне, у якім чытаюцца лекцыі, даклады і т. п.|аўдыторыя
Памяшканне, дзе кожны дзень разгульваюцца камедыі ці трагедыі|тэатр
Памяшканне, месца, якое служыць сакрэтным сховішчам, сховішчам|схованка
Памяшканне, прызначанае для чытання лекцый, дакладаў?|аўдыторыя
Памяшканне, каб “слухаць”, выяўляючыся літаральна|аўдыторыя
Памяшканне, у якім жывуць, можна жыць|жыллё
Памяшканне, у якім вырабляюцца грашовыя аперацыі|каса
Абшарнік у дарэвалюцыйнай Расіі|пан
Абшарнік на Русі|пан
Абшарнік, дваранін у Польшчы, Літве, дорев. Украіне і Беларусі|пан
Пані Наталля Гончарова ў адносінах да А. Пушкіну|цешча
Абшарніцкае землеўладанне|маёнтак
Памідор і яго мякаць|тамат
Апроч нетскейп навігатара ёсць папулярны браўзар ... (адказ ангел. літарамі)|intеrnеt ехрlоrеr
Поминальный абрад|трызна
Памінкі ў старажытных славян|трызна
Помоечная|лазня
Змовіны, дамова паміж бацькамі жаніха і нявесты|змова
Памост у сялянскай хаце ад печы да процілеглай сцяны, агульная спальня|палаткі
Памост для пакарання смерцю; плаха|эшафот
Памост для пакарання смерцю|эшафот
Памост для здзяйснення пакарання смерцю?|эшафот
Памост, на якім даўней здзяйснялася пакаранне смерцю|плаха
Памагаты капітана Врунгеля|крышан
Памагаты адмыслоўца|асістэнт
Памагаты шэрыфа|бейлиф
Памагатая прафесара, лекара|асістэнтка
Морак свядомасці ад вонкавых уздзеянняў (разг.)|тлум
Памутненне рагавіцы вока|бяльмо
Памутненне свядомасці|тлум
Памутненне крышталіка вока?|катаракта
Больш надзейны было б рук тваіх кольца, карацей ... пэўна, мне лягла|дарога
Панядзелак – сустрэча, аўторак – заигрыш, асяроддзе – ласуха, чацвер – шырокі, пятніца – цешчыны вечарынкі, субота – золовкины вячоркі, нядзеля – дараваны дзень. Як звалася ўсё гэта разам?|масленіца
Паніжэнне ўзроўня мора; верш. І. Буніна|адліў
Паніжэнні ў горных пародах|аласы
Разуменне камічнага, уменне бачыць смешнае|гумар
Панажоўшчына (кулінарнае)|рэзанне
Панажоўшчына|разня
Понтское, Румское, Рускае. А як яго завём мы?|Чорнае мора
Понукатель жывёл|пуга
Паняцце “я” ў рэлігійна-міфалагічнай сістэме індуізму|атман
Паняцце інд. рэлігіі пра жаночы творча-энергетич. пачатку|шакти
Паняцце індыйскай філасофіі|майя
Паняцце гістарычнага матэрыялізму|базіс
Паняцце тэорыі спазнання, процілеглае апрыёры|апастэрыёры
Паняцце, якое выказвае маральныя абавязкі чалавека?|абавязак
Паняцце, якое В. Далеч вызначае як “слупок, падножжа, стаяла; пень, надаўбень”|тумба
Паняцце, уяўленне, якое адлюстроўвае абагульненне досведу і што выказвае стаўленне да рэчаіснасці|ідэя
Поп-... , шматлікія лічаць гэта мастацтвам|арт
Поп-зорка Анжаліка Варум зусім не Анжаліка. Яе сапраўднае імя?|Марыя
Трапленне мяча ў вароты суперніка|гол
Папярочная бэлька на судне, якая з'яўляецца папярочнай сувяззю яго бартоў і служэлая падставай для палубы|бімс
Папярочная бэлька, соед. барты карабля|бімс
Папярочная грань бруса, бярвенне|тарэц
Папярочная дамба, высунутая ў бок мора ці рэкі і якая засцерагае бераг ад размывання|буна
Папярочныя ніткі тканіны, што пераплятаюцца з падоўжнымі|качак
Папярочны брус на шчогле|рэя
Папярочны брусок, які зачыняе праём паміж дзвярамі і падлогай|парог
Папярочны памер|шырыня
Папярочны разрэз бервяна, бруса|тарэц
Папярочны стрыжань у верхняй частцы якара|шток
Папярочны, што ляжыць брус у розных збудаваннях|ляжак
Апека, нагляд|апека
Апека, сыход|клопат
Апека|апека
Апякун|апякун
Паплавок, гаплік, чарвячок|вуда
Папаўненне ў калючым сямействе|важычаня
Папаўненне свайго багажу, але не валізак з барахлом|вучоба
Ніва, вобласць дзейнасці?|арэна
Папросту мешкавіна|рагожа
Скакуха (детск.)|непаседа
Чыюк з хохлікам на галаве|какаду
Чыюк, які залётае ў шматлікія крыжаванкі|ара
Чыюк|амазона
Попул. тэлеперадача; осн. содерж. творчасці; порт у Гане|тэма
Попул. тэлеперадача|тэма
Популярн. артыст айчыннай эстрады|Шифрин
Популярн. карточн. гульня моск. прафесіяналаў у да. 70-х гг.|деберц
Папулярная амерыканская аўтамабільная марка|форд
Папулярная амерыканская акторка, імя Джэйн|фонду
Папулярная ў мінулым французская кінаактрыса, а цяпер шляхетны абаронца жывёл|Брага
Папулярная ўсходняя настольная гульня|нарды
Папулярная група з г. Люберцы|любэ
Папулярная дзіцячая гульня|хованкі
Папулярная картачная гульня. Паводле адной з версій, яна здабыла сваю назву ў Турцыі – ад мясцовага “Бируч” (адзін-тры)?|брыдж
Папулярная кампутарная гульня з жанру “гонкі” (адказ ангел. літарамі)?|nееd fоr sрееd
Папулярная лялька|Барби
Папулярная песня, кліп|хіт
Папулярная прыбалтыйская спявачка, эстрада|Па-важку
Папулярная расійская эстрадная група В. Рыбіна|выдма
Папулярная расійская эстрадная спявачка па імі Ларыса|Даліна
Папулярная савецкая акторка, знялася ў фільме “Вясёлыя дзеці”|Арлова
Папулярная савецкая спявачка па імі Людміла|Зыкина
Папулярная савецкая спявачка|Юр'ева
Папулярная савецкая эстрадная спявачка|Па-важку
Папулярная сучасная салонная гульня|мафія
Папулярная спартовая гульня|футбол
Папулярная татарская народная танцавальная мелодыя|апипе
Папулярная тэлеперадача|погляд
Найпапулярны ў мінулым французскі акцёр, імя Жан|Маре
