Падсямейства птушак атрада чыюкоў|лоры
Зрэбнікі, доўгія ніжнія мужчынскія порткі?|споднікі
Ўздым вады з-за шароша|затор
Уздым глыбінных вод|апвеллинг
Пад'ёмнік невялікіх судоў на бераг|сліп
Пад'ёмнік з кабінай для перасоўвання людзей, грузаў|ліфт
Пад'ёмна-транспартная прылада?|эскалатар
Пад'ёмная прылада ў шахце; карціна К. Савицкого|клець
Пад'ёмная прылада ў шахце|клець
Пад'ёмны кран са стралой і апорнай паваротнай шчоглай, размацаванай падкосамі ці расцяжкамі|дэрык
Подьемник, які дапамагае змяніць кола ў аўтамабіля?|дамкрат
Пад'ячы, складальнік летапісу, прысвечанай Ярмаку|Есипов
Поедатель бульбачкі|жук
Паядынак паміж двума супернікамі|двубой
Паядынак па рашэнні суда на Русі|поле
Паядынак; аповесць А. Чэхава|двубой
Паядынак|двубой
Цягнік адмысловага прызначэння для масавых перавозак|эшалон
Цягнік|склад
Паездка артыстаў, спартоўцаў, палітыка і т. п. з выступамі|турнэ
Паездка па некалькіх месцам на гастролі|турнэ
Паездка, вандраванне (устар.); рос. часопіс|ваяж
Паездка, вандраванне (устар.)|ваяж
Паездка?|ваяж
Пажарныя машыны|дэпо
Пажарны інвентар|бусак
Пажарны рукаў|шланг
Пажаданне; аповяд В. Шукшына|наказ
Пажаданне|наказ
Пажыццёвы “імпатэнт” муляра|адвес
Пажыццёвы частка Венецыянскай рэспублікі ў 7–18 стст.?|дож
Пажыткі турыста|заплечнік
Пажыткі, усякія хатнія рэчы|пажыткі
Пастава ёга|асана
Хрыбетнік, геаметрычны, алгебраічны тэрмін|хорда
Хрыбетнік|хрыбет
Хрыбетная водная жывёла|рыба
Хрыбетная жывёла, якое дыхае ў раннім узросце жабрамі, а ў сталым стане лёгкімі|амфібія
Позднеспелый гатунак бульбы|лорх
Позднеспелый гатунак рэпчатага лука|каба
Позні класіцызм|ампір
Позняя восеньская пара ў гаворкі паляўнічых|узерк
Пазітыўны фатаграфічны малюнак з празрыстай асновай для разгледжвання на прасвет ці на экране|слайд
Пазіцыя ў классич. танцы: адна нага паднята і выцягнута назад|арабеск
Пазіцыя для партыі, якая аддае перавагу не адхіляцца налева ці направа?|цэнтрызм
Пазнавальна-шкодная актыўнасць|агрэсіўнасць
Пазалочаныя ці пасярэбраныя ніткі для швіва|мішура
Пазалочаны галаўны ўбор, напрананы падчас набажэнства прадстаўнікамі вышэйшага праваслаўнага духавенства|мітра
Пазалочаны ўрачысты галаўны ўбор вышэйшага хрысц. духавенствы|мітра
Ганьба, сорам|сорам
Пазыўны В. Терешковой|гарбаткі
Пазыўныя першай космонавтки Землі Валянціны Терешковой?|гарбаткі
Поилка, у котор. вада паступае пры націсканні на клапан|аўтапаілка
Пайменаваная вобласць дадзеных у ЭВМ|файл
Злоў бездаглядных сабак і котак?|адлоў
Пошук збеглых сялян і злачынцаў|вышук
Пошукі, шпегаванні звяроў, птушак з мэтай забойства ці лоўлі|паляванне
Поймавае возера|сарма
Поймавы лес|тугай
Пакуль не заплаціш, не заснеш і жаданне не вернецца (рекл.)|падатак
Пакуль палку не кінеш – не разгарыцца|вогнішча
Пакуль сонца ўзыдзе, ... вочы выесць – прапушчанае слова з прыказкі|раса
Паказ мод?|дэфіле
Паказ фільма перад яго выпускам?|прагляд
Паказчык актыўнасці нашага арганізма?|тонус
Паказчык крутасці схілу|ухіл
Паказчык карыснага дзеяння?|каэфіцыент
Паказчык папулярнасці газеты, часопіса|тыраж
Паказчык памеру, маштабаў (перен.)|калібр
Паказчык свяцільнасці цела|альбеда
Паказчык спартовай класіфікацыі|разрад
Паказчык, прымета?|прыкмета
Паказная ўдаласць?|бравада
Паказная, напускная адвага?|бравада
Паказны бляск без внутр. утрыманні|мішура
Паказны бляск, падробленая раскоша|мішура
Паказуха ў войскі і ў мастацкай самадзейнасці|агляд
Показушное бразганне зброяй|парад
Спусцістая паверхня|скос
Спусцісты спуск; падпорка ў выглядзе нахільнага бруса|адхон
Спусцісты спуск|адхон
Спусцісты ўчастак дарогі, чыгуначнага шляху|ухіл
Покерная “вуліца”|стрыт
Покерная камбінацыя|карэ
Покерная камбінацыя|стрыт
Пакіданне гімнастам “каня”|адскок
Пакінутая вёска ў Калевальском раёне|Алаярви
Паклажа, багаж|груз
Паклёп, збудаваны на бязвіннага|паклёп
Паклёп|абгавор
Глыбокая пашана зоркам, планетам і іншым нябесным целам|астролатрия
Прыхільнік усяго вытанчанага|эстэт
Прыхільнік мастацтва, знаток вытанчанага?|эстэт
Прыхільнік, знаток вытанчанага, выдатнага|эстэт
Прыхільнікам якога нямы. филисофа быў Уладзімір Ленский (Онегин)|кант
Пакоі, у якіх нябожчык адлежваецца перад пахаваннямі|морг
Пакаленне, клан|род
Пакос, сенажаць|іржышча
Полаг таямнічасці (устар.)|флёр
Заступнік кавальскага рамяства ў інш.-греч. міфалогіі|Гефест
Заступнік канёў і пчол ва ўсходнеславянскай міфалогіі|Авсень
Заступнік памерлых у старажытных егіпцян|Сепа
Егіпецкі бог, захавальнік саркафагаў і павадыр мёртвых на шляхі да суда Озириса?|Анубіс
У старажытнаегіпецкай міфалогіі – сын Нефтиды, брат Баты і бацька Кебхуты, заступнік усіх памерлых, захавальнік лекаў і ядаў, які маляваўся ў выглядзе шакала?|Анубіс
Заступніца Чайковского|Мекк
Заступніца паэзіі; жаночае імя|муза
Заступніца паэзіі|муза
Заступніцтва, пратэкцыя|фавор
Покрыўны пласт будынкаў?|абліцоўванне
Крой адзежы, пры якім рукавы “вырастаюць” прама з пляча|рэглан
Крой адзежы|фасон
Крой адзежы|фрэнч
Крой, узор, па якім пашыта што-небудзь|фасон
Крой, форма абутку, сукенкі|фасон
Покрыва для канёў|гунька
Покрыва для царкоўных пасудзін|паветра
Покрыва нябожчыка|саван
Покрыва, які зачыняе твар мусульманкі|чадра
Што пакрывае з часам каляровыя металы тонкі злёгку афарбаваны пласт прадуктаў карозіі, надае ўражанне старажытнасці худож. вырабам|паціна
Пакрыццё для сцен|шпалеры
Пакрыццё мэблі, падлог|лак
Пакрыццё выспы Нешанцавання|зеляніна
Пакрыццё падлогі планкамі з цвёрдых парод дрэва|паркет
Пакрыццё праезнай часткі дарогі|адзежа
Пакрыццё сцен|шпалеры
Пакрытае панцырам пресноводное ці марское членістаногае з клюшнямі і брушкам|рак
Пакрытае пёрамі і пухам хрыбетная жывёла з крыламі і дзюбай|птушка
Покрыўка з мяккага матэрыялу, зробленая па форме прадмета і якая абараняе яго ад забруджвання, вільгаці|чахол
Покрыўка над колам|крыло
Купля Лешиной мамы (песенн.)|галёшы
Купля каштоўных папер новых выпускаў|андерайтинг
Замах на жыццё шахматнай каралевы|гардзе
Замах на чыю-або жыццё на палітычнай глебе|аттентат
Падлога Макартні, Джымі Хендрикс, Біл Клінтан. А з якога горада быў самы вядомы рускі, які валодаў тым жа, што і пералічаныя ў пытанні людзі?|Тула
Падлога з деревян. планак|паркет
Падлога з хораша складзеных кавалачкаў дрэва|паркет
Падлога з габляваных дошчачак|паркет
Падлога з латыні|сэкс
Падлога. акторка|ракса
Падлога. батанік, вандроўца|Бойм
Падлога. кінарэжысёр|Кунерт
Падлога. кароль Казімір 3 як предст-ці дынастыі; рус. паэт|Пяст
