Прымат, род мандрылаў, мартышкообразное|дрил
Прыродная зона, куды вазіў самотных дзяўчын Кала Бельды|тундра
Прыродная фарба для валасоў|хна
Прыродная светла-сіняя фарба?|блакіт
Прыродная смала|муміё
Прыродная смала|шэлак
Прыродная, геаграфічная зона ў С. Амерыцы|прэрыя
Прыроднае (якое здабываецца з кашалотаў) рэчыва з моцным пахам, выкарыстоўванае ў парфумерыі|амбра
Прыроднае багацце, з якога робяць разнастайнае гаручае|нафта
Прыродная водная адукацыя|заліў
Прыродная водная адукацыя|мора
Прыродная водная адукацыя|сажалка
Прыроднае вадкае паліва|нафта
Прыроднае ці сінтэтычнае рэчыва, што прываблівае жывёл|аттрактант
Прыродная мінеральная адукацыя|руда
Прыроднае мінеральнае злучэнне?|руда
Прыродная марская адукацыя|гавань
Прыродная адукацыя паміж выспамі?|праліў
Прыродная адукацыя мінералаў, мінеральны пласт у зямной кары|парода
Прыродная адукацыя на моры|бухта
Прыродная адукацыя на моры|прыпай
Прыродная адукацыя на рацэ|затока
Прыродная адукацыя на рацэ|парог
Прыродная адукацыя на рацэ|рэчышча
Прыродная адукацыя рэльефу, зацяжны ўздым|цягун
Прыродная адукацыя рэльефу, стромкі ўступ|глинт
Прыродная адукацыя рэльефу, ландшафту|кар
Прыродная адукацыя рэльефу, ландшафту|адгор'е
Прыродная адукацыя рэльефу, ландшафту|ялла
Прыродная адукацыя|ляднік
Прыродная адукацыя|сцёк
Прыродная адукацыя|багна
Прыроднае паліва|газ
Прыродная цяжкапраходная адукацыя|балота
Прыроднае чашеобразное паглыбленне на мясцовасці|кар
Прыродная з'ява, дзякуючы якому можна ўбачыць адразу “тры” Сонцы|гало
Прыродная з'ява на вадзе|зыб
Прыродная з'ява на вадзе|лавіна
Прыродная з'ява на вадзе|прыбой
Прыродная з'ява на моры|адліў
Прыродная з'ява на моры|прыліў
Прыродная з'ява, якое вядзе да капяжу і бездаражы|раставанне
Прыродная з'ява, якое, як высвятлілася, не ўмеюць прагназаваць метэаролагі|снег
Прыродная з'ява; карціна Малявина|віхура
Прыродная з'ява|віхура
Прыродная з'ява|завея
Прыродныя воды ліманаў, салёных азёр|расол
Прыродны вегетарыянскі кран|жыраф
Прыродны вадаём|возера
Прыродны жоўты пігмент. Осн. кампаненты – гідраксіды жалеза і гліна. Дзякуючы невысокага кошту шырока ўжываецца для падрыхтоўкі фарбаў, шпатлёвак і грунтовак|охра
Прыродны жоўты пігмент?|охра
Прыродны і сінтэтычны крышталь вугляроду|лінеіць
Прыродны карычневы пігмент|умбра
Прыродны фарбавальнік, якая здабываецца з залоз малюскаў|пурпур
Прыродны спадарожнік нафты|газ
Прыродны светла-карычневы пігмент|сіена
Прыродны характар|клімат
Прырост дрэва бягучага года з лісцем і ныркамі|уцёкі
Прыручаныя шалі|бязмен
Прысадка да маторнага паліва, што падвышае яго актанавы лік|антыдэтанатар
Присадочный матэрыял, які ўжываецца пры паянні|прыпой
Прысваенне, завалоданне; прыстасаванне чаго-небудзь|апроприация
Прысваенне, завалоданне|апроприация
Присемянник, выраст вокр. тупай для яго распаўсюду|ариллус
Прыслуга; карціна Малявина|дзеўка
Прыслуга|дзеўка
Прыглядае за баранамі|аўчар
Якое далучаецца да прозвішча ці імя найменне жанчыны ў германскіх краінах|фраў
Прыстасаванне для абагравання жылля ў Азіі|сандал
Паслугач, паслугач якога-небудзь уплывовага твару?|халуй
Прыстасаванне для патронаў|абойма
Приспособл. вочы да бачання прад-тов на разл. адлегласці|акамадацыя
Приспособл. для запальвання агню|запалка
Приспособл. жывёл, раст., челов. да новага клімату|акліматызацыя
Прыстасаванне ў выглядзе дзвюх пласцінак для змены голасу акцёра|вабік
