Пустэльня ў Аравіі|Тихана
Пчаліны ... выкарыстоўваюць для падрыхтоўкі болесуцішальных лекаў|яд
Пчаліны воўк – адзінкавая аса, якая дасягае ў даўжыню 1,5 гл|филант
Пчаліная хата|вулей
Пчаліны клей; пропаліс|вуза
Пчаліны гаючы прадукт|мёд
Пчалярская гаспадарка, месца, дзе размешчаны вуллі|пчальнік
Пчалярскі інвентар|дымар
Пчалярскі інвентар|раёўня
Пчалярская гаспадарка|пчальнік
Пчолы для свеч|воск
Пшаніца, жыта і інш.|трава
Пшанічная, жытняя, касцяная|пакута
Пшанічная перапечка мудрагелістай формы|калач
Проса, трава|проса
Пылевидная шэрая маса, якая застаецца ад чаго-небудзь згарэлага|попел
Пылевидная шэрая маса|попел
Пыл, якой жадаюць свету|прах
Пыльная бура ў Афрыцы|хабуб
Пыльны прыпар (квартирн.)|уборка
Пылок на народны лад|краса
Пылок раслін, выкладзеная ў вочкі сотаў|пярга
Пышнае завяршэнне чаго-небудзь|апафеоз
Пышнае аздабленне ў каўняра з карунак ці лёгкай тканіны|жабо
Пышная зморшчына, зборка на рукаве, спадніцы|буф
Пышны каўнер?|жаба
П'еса А. Н. Астроўскага|ваявода
П'еса А. Н. Астроўскага|дзікунка
П'еса А. Н. Талстога|касатка
П'еса А. Дударава|радавыя
П'еса Арыстафана|жабы
П'еса Арцыбашева|рэўнасць
П'еса Афиногенова|Машанька
П'еса С. Беккета, у якой мужчына і жанчына жывуць ва ўрне для смецця|эндшпіль
П'еса С. Міхалкова|аплявуха
П'еса Н. Гогаля|рэвізор
П'еса Рощина|блізніца
П'еса Тургенева|халасцяк
П'еса Хелмана|ліскі
П'еса Б. Шоў|кандида
П'еса Брагінскага|пакой
П'еса Бурдзе|Рубікон
П'еса В. Розова|кабанчик
П'еса В. Ф. Пановой|дзяўчынкі
П'еса Грэгары|кинкора
П'еса Л. Зорина|дабракі
П'еса Лугавога|вар'яцкая
П'еса М. Горкага|варвары
П'еса Чэхава|мядзведзь
П'еса Шэкспіра|Лукрэцыя
П'еса для спеву на адных галосных гуках без тэксту|вакаліз
П'еса італьянскага драматурга К. Гоццы|Турандот
П'еса лёгкага камедыйнага характару з куплетамі і танцамі|вадэвіль
П'еса, у якой дыялогі чаргуюцца са спевам куплетаў, танцамі|вадэвіль
П'ер Жан (1887–1976), франц. пісьменнік, кніга “Трагічныя паэмы” (1922), раман “Пустэльны свет” (1927). Бачны паэт Дв. Сопр. (зб. “Парыжскае богамаці”, 1944) і публіцыст. Кн. вершаў “Мова” (1952), “Лірычнае” (1956). Кн. “Жывы Р. Роллан” (1920)|Жув
П'еса : Л. Андрэева|акіян
П'еса А. Горкага|ворагі
П'еса А. Арбузова|Таня
П'еса А. Гельмана (перс. Коптяева)|Зинуля
П'еса А. Горкага; п'еса Арцыбашева; аповяд А. Чэхава|ворагі
П'еса А. Н. Астроўскага|блазнота
П'еса А. Н. Астроўскага|лес
П'еса А. Н. Астроўскага|бездань
П'еса А. Н. Астроўскага|Тушино
П'еса А. Н. астроўскага?|навальніца
П'еса А. Н. Астроўскага пра прамень святла ў цёмным царстве|навальніца
П'еса А. Астроўскага|блазнота
П'еса А. Астроўскага|бездань
П'еса А. П. Чэхава|Іванаў
П'еса А. Салынского|гаворка
П'еса Алешина; фільм Г. Козинцева|адна
П'еса Алешина|іншая
П'еса Алешина|калі
П'еса Алешина|адна
П'еса Алешина|палата
П'еса Ануя|склеп
П'еса Арбузова; опера Крейтнера|Таня
П'еса Арбузова|Таня
П'еса Арыстафана; сав. арбіт. станцыя; гасцініца ў Маскве|свет
П'еса Арыстафана; верш. А. Галіча|аблокі
П'еса Арыстафана|ахарняне
П'еса Арыстафана|свет
П'еса Арыстафана|аблокі
П'еса Арыстафана|птушкі
П'еса Арцыбашева|ворагі
П'еса Афиногенова|страх
П'еса Б. Лавренева|разлом
П'еса Бабеля (1935)|марыя
П'еса Біль-Белацаркоўскага|этапы
П'еса Буравского|кажы
П'еса Бурдзе; гераіня ром. А. Дзюма; палі докум. для нататак|марго
П'еса Бурдзе|марго
П'еса Бурдзе|вязніца
П'еса В. Гюго|эрнани
П'еса В. Любимовой|снежка
П'еса В. Маякоўскага (1929)|лазня
П'еса В. Маякоўскага; карціна А. Герасімава|лазня
П'еса В. Мережко|бабры
П'еса В. Озерова|фингал
П'еса В. Розова|хаты
П'еса В. Хлебнікава|аспарух
П'еса Верхарна э.|світанкі
П'еса Г. Ибсена?|Нара
П'еса Г. Гауптмана|ткачы
П'еса Г. Маркава|выклік
П'еса Гарин-Міхайлаўскага|зора
П'еса Гогаля|гульцы
П'еса Гогаля|рым
