Трагедыя Адысона|катон
Патрабаванне, умова, прад'яўлянае моцным бокам і якое навязваецца слабому боку для безумоўнага выканання|дыктат
Трывога, турбота|паніка
Трэнер Боруссии з Дортмунда|Заммер
Трэнер Вероны?|Малезани
Трэнер Інтэра?|Купер
Трэнер Кьево?|Дель Нери
Трэнер Лацыё?|Дзаккерони
Трэнер Пармы?|Ульвьери
Трэнер Ромы?|Капэла
Трэнер Зборнай Расіі?|Паўлаў
Трэнер Удзінэзэ?|Тарделли
Трэнер Фіарэнціны?|Манчини
Трэнер Францыі на Чэмпіянаце Свету 1998?|Жаку
Трэнер Ювентуса?|Липпи
Трэнер баскетбольнай каманды ЦСКА|Еремин
Трэнер па фігурным катанні|Дубова
Трэнер зборнай Італіі?|Траппатони
Трэнер зборнай Расіі?|Гершкович
Трэнер. пальчатка ў боксе|лапа
Трэніравальны бой у фехтаванні|ассо
Трыножак для ўсталёўкі фотаапарата|штатыў
Трапло, гаварун|балбатун
Трэск пры разломліванні чаго-небудзь|храбусценне
Трасковая рыба|хек
Трэці месяц фр. респ. календара|фример
Трэці па велічыні (пасля Рузы і Пахры) прыток Масквы-рэкі|Истра
Траціна зямной апоры (міф.)|кіт
Трэцяя страва|кісель
Трэцяе імя нобелеўскага лаўрэата Чарльза Вильсона, які прыдумаў камеру для назірання за трэкамі мікрачасцін|рыс
Трэцяя – Канченджанга, другая – Чогори. Іх ведаюць нешматлікія, а вось першую ведаюць усё. Назавіце яе|Джомолунгма
Трэцяя літара грэцкага алфавіту|гама
Трэцяя літара старорусского алфавіту|ведзі
Трэцяя музычная прыступка|рэ
Трэцяя ад Сонца планета ў Сонечнай сістэме|зямля
Трэцяя па парадку ад Сонца вялікая планета Сонечнай сістэмы?|Зямля
Трэцяя ступень (матем.)|куб
Трэцяя частка месяца|дэкада
Треуг. ветразь|кливер
Трохкутная частка тарцовай сцяны паміж пахіламі даху|щипец
Трохкутны нишеобразный збор|тромп
Трохкутны ветразь|кливер
Трохкутны пахіл вальмовой дахі|вальма
Трохкутны пахіл чатырохсхільнага даху|вальма
Трехатомный кісларод|азон
Трохгаловы і трехтуловищный волат у грэцкіх міфах|герион
Трохкратны алімпійскі чэмпіён у акадэмічным веславанні з самым распаўсюджаным рускім прозвішчам|Іванаў
Трохкратны алімпійскі чэмпіён у патройным скачку|Санеев
Трохмачтавае ветразнае судна 18–19 стст. сярэдніх памераў з прамымі ветразямі|шлюп
Трохмачтавы ваенны карабель з лёгкай артылерыяй|корвет
Трохмачтавы ветразнік|люггер
Трохпальцая чайка|моевка
Трехрукавная кашуля па сваёй сутнасці|шлюб
Трохскладовая вершаваная страфа з націскам на апошнім складзе|анапест
Трохскладовая ступня|амфимакр
Трохскладовы вершаваны памер з націскам на другім складзе|амфібрахій
Трохскладовы вершаваны памер з націскам на трэцім складзе|анапест
Трехэлектродная электронная лямпа|трыёд
Расколіна паміж асяродкам дрэва і гадавымі кольцамі|адлуп
Тры ў адным: і каньяк, і пірожнае, і імператар?|напалеон
Тры вясёлых сябра, экіпаж машыны баявой (якая машына?)|танк
Тры ўзвода салдатаў|рота
Тры іспанскіх вёскі: Люта дель Куэрко, Кампо дэ Кринтата і Консуэгра дагэтуль спрачаюцца паміж сабой, каму ж прыналежалі гэтыя млыны. А ў якой правінцыі яны знаходзяцца?|Ла Манча
Тры прылады ёсць у лекара, па словах Авіцэны. Нож, расліна, а што трэцяе?|слова
Тры асноўных элемента музыкі: мелодыя, гармонія і|рытм
Тры пальца, сціснутыя разам канцамі|дробка
Тры сямействы казурак атрада двукрылых|авадні
Тры ўдару ў суднавы звон апоўдні|рында
Трыбуна на форуме старажытнага Рыма|ростра
Трыбуна праведніка|амбон
Тригонометрич. функцыя|секанс
Трыганаметрычная функцыя кута|сінус
Трыганаметрычная функцыя|арккосінус
Трыганаметрычная функцыя|арккатангенс
Трыганаметрычная функцыя|арктангенс
Трыганаметрычная функцыя|секанс
Трыганаметрычная функцыя|сінус
Трыкатажная, звычайна ніжняя, кашуля без рукавоў і каўняра|суколка
Трыкатажнае ці нятканае палатно з баваўнянага, ваўнянага ці напаўваўнянага прадзіва з начосам|вацін
Трыкатажнае палатно з густым начосам|вацін
Трыкатажны гарнітур, шчыльна абліпальны цела|трыко
Триллерный класік па імі Альфрэд|Хічкок
Трыпер, прынесены дахаты і выяўлены жонкай|доказ
Трисвинца тетроксид|сурык
Тришкин ...|кафтан
Кранальная частка дзвярэй|ручка
Патройнае футра фігурыста|кажух
Траістая згода (Вялікабрытанія, Францыя і царская Расія)|антанта
Тралейбусная спальня|парк
Сцяжынка|шыўка
Тропич. дэкор. дрэва|гинкго
Тропич. дрэва сем. тутавых; верш. А. Пушкіна|анчар
Тропич. дрэва сем. тутавых|анчар
Тропич. дрэва, са ствалоў здабываюць камедзь|акажу
Тропич. птушка|турако
Тропич. расліна|кактус
Тропич. травяністае декорат. расліна, якое квітнее раз у жыцці|агава
Тропич. фрукт; фин. пісьменнік; нялёткая птушка|ківі
Тропич. фрукт|ківі
