Найстарая франц. штодзённая газета|фігаро
Старадаўняя фр. песня|виреле
Старадаўняя франц. залатая і срэбная манета|экю
Старадаўняя франц. мера даўжыні|туаз
Старадаўняя франц. манета (1640–1795 гг.), роўная 24 ліўрам|луідор
Старадаўняя франц. манета, якая знаходзілася ў звароце да пачатку 19 ст.|денье
Старадаўняя французская залатая манета|луі
Старадаўняя французская залатая манета|су
Старадаўняя французская мера даўжыні|туаз
Старадаўняя шаўковая ўзорыстая тканіна|адамашка
Старадаўняя шчака|шчака
Старадаўняя паўднёва-руская адзежа замужняй жанчыны, род спадніцы|панева
Старадаўняя, цвёрдая і пругкая, з узорыстай паверхняй сталь для клінкоў?|булат
Старадаўняя адзежа, без каўняра, доўгая|ферязь
Старадаўняя артылерыйская зброя|армата
Старадаўняе ваеннае парусно-вяслярнае судна, месца катаргі для весляроў, якое ўжываецца да 18 ст.|галера
Старадаўняе ваеннае судна 16–17 стст.|галеас
Старадаўняе ваеннае судна з вострым носам|галера
Старадаўняя жаночая хатняя сукенка вольнага крою|капот
Старадаўняя жаночая сукенка з вельмі шырокай колоколообразной спадніцай на крыналіне|раброн
Старадаўняя кідальная зброя|дзіда
Старадаўняя назва Крымскага паўвострава|Таўрыя
Старадаўняя назва літары “Ф”|ферт
Старадаўняя назва літары “а”?|аз
Старадаўняя назва літары “п”|супакой
Старадаўняя назва лекара ў Расіі|лекар
Старадаўняя назва г. Долинск|Отиай
Старадаўняя назва дзяржавы габрэяў|юдэя
Старадаўняя назва даніны|мыта
Старадаўняя назва жаніха ці нявесты|партыя
Старадаўняя назва ігральнай косткі|альчик
Старадаўняя назва канёў усходняй пароды|аргамак
Старадаўняя назва народнасці саамы?|лапары
Старадаўняя назва абозу|кош
Старадаўняя назва пальца на руцэ|палец
Старадаўняя назва гандлёвага сухапутнага шляху|шлях
Старадаўняя назва вэлюму ці ручнікі|убрус
Старадаўняя назва червонной масці|керы
Старадаўняя агнястрэльная зброя|мушкет
Старадаўняя прылада для ворыва|гарлапаніла
Старадаўняя зброя – насаджаны на ручку сякерка з малаточкам на абуху|чакан
Старадаўняя зброя – фігурная сякерка на доўгім тронку, які з'явіўся на Русі напачатку ХVII стст.|алебарда
Старадаўняя зброя ў выглядзе сякеры на доўгай ручцы|сякера
Старадаўняя зброя ў выглядзе сякеры на доўгай дзяржальні|сякера
Старадаўняя зброя ў форме лука|арбалет
Старадаўняя зброя, жазло з “галоўкай”, даўжынёй каля 0,5–0,8 метра?|булава
Старадаўняя зброя: цяжкая дубінка з патоўшчаным канцом|булава
Старадаўняя зброя|касец
Старадаўняе ветразнае судна|галион
Старадаўняе прыстасаванне для мыцця|рубель
Старадаўняе рачное драўлянае плоскодонное судна|струг
Старадаўняя стрэльба буйнага калібра з кнотавым запалам|мушкет
Старадаўняе рускае імя|Егорий
Старадаўняе рускае мужчынскае імя|Акім
Старадаўняе рускае мужчынскае імя|Пров
Старадаўняя руская назва берылу|верилл
Старадаўняя руская назва вішнёва-ружовага мінерала класа силикатов|арлец
Старадаўняя руская назва дзікай свінні – кабана?|вяпрук
Старадаўняя руская назва кабана?|вяпрук
Старадаўняя руская назва шпинели ювелірнай якасці|балаш
Старадаўняе рускае пазначэнне дробнай рыбы|дробля
Старадаўняе рускае рачное парусно-вяслярнае плоскодонное судна са стромымі бартамі і завостранымі ўскрайкамі (11–18 ст.)|струг
Старадаўняе рускае ўпрыгожванне на абразе з золата ці срэбра|цата
Старадаўняя ручная зброя|бярдыш
Старадаўняе сяло – цэнтр народнай мастацкай здабычы|Халуй
Старадаўняе транспартнае двухмачтовое судна|галиот
Старадаўняя халодная зброя. Паўкруглае ці іншай формы лязо на доўгай ручцы|алебарда
Старадаўнія вочы|вочы
Старадаўнія вусны?|вусны
Старадаўнія прадметы, каштоўнасці|антыкварыят
Старадаўнія рускія і ўкраінскія вершы|вершы
Старадаўнія шашкі|тавлеи
Старадаўні (15–18 стст.) смычковый музычная прылада|віёла
Старадаўні бальны танец|павана
Старадаўняя бронекамізэлька|кіраса
Старадаўні выгляд даспехаў для абароны ад паразы халоднай зброяй|латы
Старадаўні выгляд мыты|мыты
Старадаўні военнный парусно-вяслярны карабель|галеас
Старадаўні ваенны карабель|ладдзя
Старадаўні геадэзічны прыбор|астралябія
Старадаўні галаўны ўбор вайскоўцаў|ківер
Старадаўні горад на Волзе|Кимры
Старадаўні гарадскі грамадскі транспарт|конка
Старадаўні вытанчаны франц. танец, з 17 ст. бальны|менуэт
Старадаўні вытанчаны французскі танец|менуэт
Старадаўні індыйскі горад, у якім можна наведаць маўзалей Тадж-Махаў|агра
Старадаўні кінжал|штылет
Старадаўні сялянскі кафтан з тоўстага сукна|бравэрка
Старадаўні лёгкі хмельны напой|мёд
Старадаўні металічны вайсковы галаўны ўбор|шлем
Старадаўні народны ірландскі танец|жыга
Старадаўні нямы. парны танец|аллеманда
Старадаўняя круглявая пасудзіна для віна|чара
Старадаўні гарматны снарад у выглядзе шара|ядро
Старадаўні плыўны велічны французскі танец|павана
Старадаўні польскі і ўкраінскі кафтан з шырокімі адкіднымі рукавамі|кунтуш
Старадаўні польскі ці ўкраінскі суконны паўкафтан|жупан
Старадаўні святочны рускі галаўны ўбор замужніх жанчын|кічка
Старадаўні рэцэпт для ўжывання ўнутр: 5 частак гіпсу ці нягашанай вапны змяшаць з 3 часткамі пакуты і 2 часткамі цукру. Для чаго выкарыстоўваюць такую сумесь?|атрута для грызуноў
Старадаўні калядны і калядны сялянскі абрад|каляда
